context: You've noticed, have you?! response:	Butts?!
context: You've noticed, have you?!\Butts?! response:	Wrong! The Jiggle Butt Gang!
context: You've noticed, have you?!\Butts?!\Wrong! The Jiggle Butt Gang! response:	What do you guys want?!
context: You've noticed, have you?!\Butts?!\Wrong! The Jiggle Butt Gang!\What do you guys want?! response:	Hey, come on, do you know where we are?!
context: You've noticed, have you?!\Butts?!\Wrong! The Jiggle Butt Gang!\What do you guys want?!\Hey, come on, do you know where we are?! response:	What is this?!
context: You've noticed, have you?!\Butts?!\Wrong! The Jiggle Butt Gang!\What do you guys want?!\Hey, come on, do you know where we are?!\What is this?! response:	Jail! We're in a jail!
context: You've noticed, have you?!\Butts?!\Wrong! The Jiggle Butt Gang!\What do you guys want?!\Hey, come on, do you know where we are?!\What is this?!\Jail! We're in a jail! response:	What are you in for, laddy?
context: You've noticed, have you?!\Butts?!\Wrong! The Jiggle Butt Gang!\What do you guys want?!\Hey, come on, do you know where we are?!\What is this?!\Jail! We're in a jail!\What are you in for, laddy? response:	What am I...?
context: Butts?!\Wrong! The Jiggle Butt Gang!\What do you guys want?!\Hey, come on, do you know where we are?!\What is this?!\Jail! We're in a jail!\What are you in for, laddy?\What am I...? response:	That's right! Lucy!
context: Wrong! The Jiggle Butt Gang!\What do you guys want?!\Hey, come on, do you know where we are?!\What is this?!\Jail! We're in a jail!\What are you in for, laddy?\What am I...?\That's right! Lucy! response:	Where's Lucy?!
context: What do you guys want?!\Hey, come on, do you know where we are?!\What is this?!\Jail! We're in a jail!\What are you in for, laddy?\What am I...?\That's right! Lucy!\Where's Lucy?! response:	Hell if I know! You were the only one here when they tossed us in.
context: Hey, come on, do you know where we are?!\What is this?!\Jail! We're in a jail!\What are you in for, laddy?\What am I...?\That's right! Lucy!\Where's Lucy?!\Hell if I know! You were the only one here when they tossed us in. response:	It was just me?!
context: What is this?!\Jail! We're in a jail!\What are you in for, laddy?\What am I...?\That's right! Lucy!\Where's Lucy?!\Hell if I know! You were the only one here when they tossed us in.\It was just me?! response:	Where's Lucy?!
context: Jail! We're in a jail!\What are you in for, laddy?\What am I...?\That's right! Lucy!\Where's Lucy?!\Hell if I know! You were the only one here when they tossed us in.\It was just me?!\Where's Lucy?! response:	Are you okay?!
context: What are you in for, laddy?\What am I...?\That's right! Lucy!\Where's Lucy?!\Hell if I know! You were the only one here when they tossed us in.\It was just me?!\Where's Lucy?!\Are you okay?! response:	Dammit! What was that?!
context: What am I...?\That's right! Lucy!\Where's Lucy?!\Hell if I know! You were the only one here when they tossed us in.\It was just me?!\Where's Lucy?!\Are you okay?!\Dammit! What was that?! response:	A magic barrier, I reckon.
context: That's right! Lucy!\Where's Lucy?!\Hell if I know! You were the only one here when they tossed us in.\It was just me?!\Where's Lucy?!\Are you okay?!\Dammit! What was that?!\A magic barrier, I reckon. response:	Barrier...?
context: Where's Lucy?!\Hell if I know! You were the only one here when they tossed us in.\It was just me?!\Where's Lucy?!\Are you okay?!\Dammit! What was that?!\A magic barrier, I reckon.\Barrier...? response:	You can't use magic in this cage,
context: Hell if I know! You were the only one here when they tossed us in.\It was just me?!\Where's Lucy?!\Are you okay?!\Dammit! What was that?!\A magic barrier, I reckon.\Barrier...?\You can't use magic in this cage, response:	and if you try damaging it with excessive force, you'll be knocked on your butt like you just were.
context: It was just me?!\Where's Lucy?!\Are you okay?!\Dammit! What was that?!\A magic barrier, I reckon.\Barrier...?\You can't use magic in this cage,\and if you try damaging it with excessive force, you'll be knocked on your butt like you just were. response:	Once you're locked up in here, it's like it's all over.
context: Where's Lucy?!\Are you okay?!\Dammit! What was that?!\A magic barrier, I reckon.\Barrier...?\You can't use magic in this cage,\and if you try damaging it with excessive force, you'll be knocked on your butt like you just were.\Once you're locked up in here, it's like it's all over. response:	Don't make me laugh!
context: Are you okay?!\Dammit! What was that?!\A magic barrier, I reckon.\Barrier...?\You can't use magic in this cage,\and if you try damaging it with excessive force, you'll be knocked on your butt like you just were.\Once you're locked up in here, it's like it's all over.\Don't make me laugh! response:	Roar of the Fire Dragon... Huh?!
context: Dammit! What was that?!\A magic barrier, I reckon.\Barrier...?\You can't use magic in this cage,\and if you try damaging it with excessive force, you'll be knocked on your butt like you just were.\Once you're locked up in here, it's like it's all over.\Don't make me laugh!\Roar of the Fire Dragon... Huh?! response:	Real Nightmare!
context: A magic barrier, I reckon.\Barrier...?\You can't use magic in this cage,\and if you try damaging it with excessive force, you'll be knocked on your butt like you just were.\Once you're locked up in here, it's like it's all over.\Don't make me laugh!\Roar of the Fire Dragon... Huh?!\Real Nightmare! response:	Make a fool outta me...
context: Barrier...?\You can't use magic in this cage,\and if you try damaging it with excessive force, you'll be knocked on your butt like you just were.\Once you're locked up in here, it's like it's all over.\Don't make me laugh!\Roar of the Fire Dragon... Huh?!\Real Nightmare!\Make a fool outta me... response:	One more time!
context: You can't use magic in this cage,\and if you try damaging it with excessive force, you'll be knocked on your butt like you just were.\Once you're locked up in here, it's like it's all over.\Don't make me laugh!\Roar of the Fire Dragon... Huh?!\Real Nightmare!\Make a fool outta me...\One more time! response:	Roar of the...
context: and if you try damaging it with excessive force, you'll be knocked on your butt like you just were.\Once you're locked up in here, it's like it's all over.\Don't make me laugh!\Roar of the Fire Dragon... Huh?!\Real Nightmare!\Make a fool outta me...\One more time!\Roar of the... response:	That'll do for a while!
context: Once you're locked up in here, it's like it's all over.\Don't make me laugh!\Roar of the Fire Dragon... Huh?!\Real Nightmare!\Make a fool outta me...\One more time!\Roar of the...\That'll do for a while! response:	That'll do!
context: Don't make me laugh!\Roar of the Fire Dragon... Huh?!\Real Nightmare!\Make a fool outta me...\One more time!\Roar of the...\That'll do for a while!\That'll do! response:	That'll do it for now!
context: Roar of the Fire Dragon... Huh?!\Real Nightmare!\Make a fool outta me...\One more time!\Roar of the...\That'll do for a while!\That'll do!\That'll do it for now! response:	What the hell?! Let go of me!
context: Real Nightmare!\Make a fool outta me...\One more time!\Roar of the...\That'll do for a while!\That'll do!\That'll do it for now!\What the hell?! Let go of me! response:	Cool it!
context: Make a fool outta me...\One more time!\Roar of the...\That'll do for a while!\That'll do!\That'll do it for now!\What the hell?! Let go of me!\Cool it! response:	Meeting you here is surely a sign from the god of evil, laddy!
context: One more time!\Roar of the...\That'll do for a while!\That'll do!\That'll do it for now!\What the hell?! Let go of me!\Cool it!\Meeting you here is surely a sign from the god of evil, laddy! response:	Let's put our heads together and think up a way to escape from here!
context: Roar of the...\That'll do for a while!\That'll do!\That'll do it for now!\What the hell?! Let go of me!\Cool it!\Meeting you here is surely a sign from the god of evil, laddy!\Let's put our heads together and think up a way to escape from here! response:	You're right...
context: That'll do for a while!\That'll do!\That'll do it for now!\What the hell?! Let go of me!\Cool it!\Meeting you here is surely a sign from the god of evil, laddy!\Let's put our heads together and think up a way to escape from here!\You're right... response:	It is lucky that we met here.
context: That'll do!\That'll do it for now!\What the hell?! Let go of me!\Cool it!\Meeting you here is surely a sign from the god of evil, laddy!\Let's put our heads together and think up a way to escape from here!\You're right...\It is lucky that we met here. response:	Right?!
context: That'll do it for now!\What the hell?! Let go of me!\Cool it!\Meeting you here is surely a sign from the god of evil, laddy!\Let's put our heads together and think up a way to escape from here!\You're right...\It is lucky that we met here.\Right?! response:	You and us are comrades!
context: What the hell?! Let go of me!\Cool it!\Meeting you here is surely a sign from the god of evil, laddy!\Let's put our heads together and think up a way to escape from here!\You're right...\It is lucky that we met here.\Right?!\You and us are comrades! response:	And since we're comrades...
context: Cool it!\Meeting you here is surely a sign from the god of evil, laddy!\Let's put our heads together and think up a way to escape from here!\You're right...\It is lucky that we met here.\Right?!\You and us are comrades!\And since we're comrades... response:	It's lame, so no thanks.
context: Meeting you here is surely a sign from the god of evil, laddy!\Let's put our heads together and think up a way to escape from here!\You're right...\It is lucky that we met here.\Right?!\You and us are comrades!\And since we're comrades...\It's lame, so no thanks. response:	L-Lame?!
context: Let's put our heads together and think up a way to escape from here!\You're right...\It is lucky that we met here.\Right?!\You and us are comrades!\And since we're comrades...\It's lame, so no thanks.\L-Lame?! response:	Hey, more importantly, why are you guys in here?
context: You're right...\It is lucky that we met here.\Right?!\You and us are comrades!\And since we're comrades...\It's lame, so no thanks.\L-Lame?!\Hey, more importantly, why are you guys in here? response:	We're here'cause evil guys like us don't know when to quit.
context: It is lucky that we met here.\Right?!\You and us are comrades!\And since we're comrades...\It's lame, so no thanks.\L-Lame?!\Hey, more importantly, why are you guys in here?\We're here'cause evil guys like us don't know when to quit. response:	To be precise, where there's treasure, there's evil!
context: Right?!\You and us are comrades!\And since we're comrades...\It's lame, so no thanks.\L-Lame?!\Hey, more importantly, why are you guys in here?\We're here'cause evil guys like us don't know when to quit.\To be precise, where there's treasure, there's evil! response:	It seems like the treasure you people are looking for is that clock, right?
context: You and us are comrades!\And since we're comrades...\It's lame, so no thanks.\L-Lame?!\Hey, more importantly, why are you guys in here?\We're here'cause evil guys like us don't know when to quit.\To be precise, where there's treasure, there's evil!\It seems like the treasure you people are looking for is that clock, right? response:	Looks like it has some connection to this cathedral!
context: And since we're comrades...\It's lame, so no thanks.\L-Lame?!\Hey, more importantly, why are you guys in here?\We're here'cause evil guys like us don't know when to quit.\To be precise, where there's treasure, there's evil!\It seems like the treasure you people are looking for is that clock, right?\Looks like it has some connection to this cathedral! response:	Huh. You did your homework.
context: It's lame, so no thanks.\L-Lame?!\Hey, more importantly, why are you guys in here?\We're here'cause evil guys like us don't know when to quit.\To be precise, where there's treasure, there's evil!\It seems like the treasure you people are looking for is that clock, right?\Looks like it has some connection to this cathedral!\Huh. You did your homework. response:	Evil guys are plugged into a network of evil.
context: L-Lame?!\Hey, more importantly, why are you guys in here?\We're here'cause evil guys like us don't know when to quit.\To be precise, where there's treasure, there's evil!\It seems like the treasure you people are looking for is that clock, right?\Looks like it has some connection to this cathedral!\Huh. You did your homework.\Evil guys are plugged into a network of evil. response:	And so,
context: Hey, more importantly, why are you guys in here?\We're here'cause evil guys like us don't know when to quit.\To be precise, where there's treasure, there's evil!\It seems like the treasure you people are looking for is that clock, right?\Looks like it has some connection to this cathedral!\Huh. You did your homework.\Evil guys are plugged into a network of evil.\And so, response:	we snuck into this place!
context: We're here'cause evil guys like us don't know when to quit.\To be precise, where there's treasure, there's evil!\It seems like the treasure you people are looking for is that clock, right?\Looks like it has some connection to this cathedral!\Huh. You did your homework.\Evil guys are plugged into a network of evil.\And so,\we snuck into this place! response:	And then we heard something terrible!
context: To be precise, where there's treasure, there's evil!\It seems like the treasure you people are looking for is that clock, right?\Looks like it has some connection to this cathedral!\Huh. You did your homework.\Evil guys are plugged into a network of evil.\And so,\we snuck into this place!\And then we heard something terrible! response:	Something terrible?
context: It seems like the treasure you people are looking for is that clock, right?\Looks like it has some connection to this cathedral!\Huh. You did your homework.\Evil guys are plugged into a network of evil.\And so,\we snuck into this place!\And then we heard something terrible!\Something terrible? response:	Your Holiness, about the archbishop's madness...
context: Looks like it has some connection to this cathedral!\Huh. You did your homework.\Evil guys are plugged into a network of evil.\And so,\we snuck into this place!\And then we heard something terrible!\Something terrible?\Your Holiness, about the archbishop's madness... response:	Perhaps we can no longer keep it hidden.
context: Huh. You did your homework.\Evil guys are plugged into a network of evil.\And so,\we snuck into this place!\And then we heard something terrible!\Something terrible?\Your Holiness, about the archbishop's madness...\Perhaps we can no longer keep it hidden. response:	The pilgrims outside the gate...
context: Evil guys are plugged into a network of evil.\And so,\we snuck into this place!\And then we heard something terrible!\Something terrible?\Your Holiness, about the archbishop's madness...\Perhaps we can no longer keep it hidden.\The pilgrims outside the gate... response:	It seems they don't know yet.
context: And so,\we snuck into this place!\And then we heard something terrible!\Something terrible?\Your Holiness, about the archbishop's madness...\Perhaps we can no longer keep it hidden.\The pilgrims outside the gate...\It seems they don't know yet. response:	Good then.
context: we snuck into this place!\And then we heard something terrible!\Something terrible?\Your Holiness, about the archbishop's madness...\Perhaps we can no longer keep it hidden.\The pilgrims outside the gate...\It seems they don't know yet.\Good then. response:	All we need do is keep the archbishop out of sight until the anniversary event begins.
context: And then we heard something terrible!\Something terrible?\Your Holiness, about the archbishop's madness...\Perhaps we can no longer keep it hidden.\The pilgrims outside the gate...\It seems they don't know yet.\Good then.\All we need do is keep the archbishop out of sight until the anniversary event begins. response:	If there are those who spread negative rumors, the Cleaner only need be sent to eliminate them.
context: Something terrible?\Your Holiness, about the archbishop's madness...\Perhaps we can no longer keep it hidden.\The pilgrims outside the gate...\It seems they don't know yet.\Good then.\All we need do is keep the archbishop out of sight until the anniversary event begins.\If there are those who spread negative rumors, the Cleaner only need be sent to eliminate them. response:	E-Eliminate?!
context: Your Holiness, about the archbishop's madness...\Perhaps we can no longer keep it hidden.\The pilgrims outside the gate...\It seems they don't know yet.\Good then.\All we need do is keep the archbishop out of sight until the anniversary event begins.\If there are those who spread negative rumors, the Cleaner only need be sent to eliminate them.\E-Eliminate?! response:	That means kill!
context: Perhaps we can no longer keep it hidden.\The pilgrims outside the gate...\It seems they don't know yet.\Good then.\All we need do is keep the archbishop out of sight until the anniversary event begins.\If there are those who spread negative rumors, the Cleaner only need be sent to eliminate them.\E-Eliminate?!\That means kill! response:	We thought that was big trouble, and tried to escape right away, but ended up here.
context: The pilgrims outside the gate...\It seems they don't know yet.\Good then.\All we need do is keep the archbishop out of sight until the anniversary event begins.\If there are those who spread negative rumors, the Cleaner only need be sent to eliminate them.\E-Eliminate?!\That means kill!\We thought that was big trouble, and tried to escape right away, but ended up here. response:	The only silver lining is they don't know what we overheard.
context: It seems they don't know yet.\Good then.\All we need do is keep the archbishop out of sight until the anniversary event begins.\If there are those who spread negative rumors, the Cleaner only need be sent to eliminate them.\E-Eliminate?!\That means kill!\We thought that was big trouble, and tried to escape right away, but ended up here.\The only silver lining is they don't know what we overheard. response:	But! If they do find out what we heard, I bet we'll never get out of here!
context: Good then.\All we need do is keep the archbishop out of sight until the anniversary event begins.\If there are those who spread negative rumors, the Cleaner only need be sent to eliminate them.\E-Eliminate?!\That means kill!\We thought that was big trouble, and tried to escape right away, but ended up here.\The only silver lining is they don't know what we overheard.\But! If they do find out what we heard, I bet we'll never get out of here! response:	We may never get out...
context: All we need do is keep the archbishop out of sight until the anniversary event begins.\If there are those who spread negative rumors, the Cleaner only need be sent to eliminate them.\E-Eliminate?!\That means kill!\We thought that was big trouble, and tried to escape right away, but ended up here.\The only silver lining is they don't know what we overheard.\But! If they do find out what we heard, I bet we'll never get out of here!\We may never get out... response:	We'll see...
context: If there are those who spread negative rumors, the Cleaner only need be sent to eliminate them.\E-Eliminate?!\That means kill!\We thought that was big trouble, and tried to escape right away, but ended up here.\The only silver lining is they don't know what we overheard.\But! If they do find out what we heard, I bet we'll never get out of here!\We may never get out...\We'll see... response:	Hey! I thought evil doesn't give up!
context: E-Eliminate?!\That means kill!\We thought that was big trouble, and tried to escape right away, but ended up here.\The only silver lining is they don't know what we overheard.\But! If they do find out what we heard, I bet we'll never get out of here!\We may never get out...\We'll see...\Hey! I thought evil doesn't give up! response:	Yeah, sure, but what are we gonna do when magic won't even work here?!
context: That means kill!\We thought that was big trouble, and tried to escape right away, but ended up here.\The only silver lining is they don't know what we overheard.\But! If they do find out what we heard, I bet we'll never get out of here!\We may never get out...\We'll see...\Hey! I thought evil doesn't give up!\Yeah, sure, but what are we gonna do when magic won't even work here?! response:	I'm breakin' outta here!
