context: Uesugi-san! response:	Y-Yotsuba!
context: Uesugi-san!\Y-Yotsuba! response:	Tomorrow is finally the day.
context: Uesugi-san!\Y-Yotsuba!\Tomorrow is finally the day. response:	For what?
context: Uesugi-san!\Y-Yotsuba!\Tomorrow is finally the day.\For what? response:	What else would it be?
context: Uesugi-san!\Y-Yotsuba!\Tomorrow is finally the day.\For what?\What else would it be? response:	This!
context: Uesugi-san!\Y-Yotsuba!\Tomorrow is finally the day.\For what?\What else would it be?\This! response:	School Camp
context: Uesugi-san!\Y-Yotsuba!\Tomorrow is finally the day.\For what?\What else would it be?\This!\School Camp response:	School camp!
context: Uesugi-san!\Y-Yotsuba!\Tomorrow is finally the day.\For what?\What else would it be?\This!\School Camp\School camp! response:	Have you read the leaflet?
context: Y-Yotsuba!\Tomorrow is finally the day.\For what?\What else would it be?\This!\School Camp\School camp!\Have you read the leaflet? response:	I haven't.
context: Tomorrow is finally the day.\For what?\What else would it be?\This!\School Camp\School camp!\Have you read the leaflet?\I haven't. response:	It's full of fun events.
context: For what?\What else would it be?\This!\School Camp\School camp!\Have you read the leaflet?\I haven't.\It's full of fun events. response:	Outdoor cooking, skiing, fishing, hiking,
context: What else would it be?\This!\School Camp\School camp!\Have you read the leaflet?\I haven't.\It's full of fun events.\Outdoor cooking, skiing, fishing, hiking, response:	and then... the campfire!
context: This!\School Camp\School camp!\Have you read the leaflet?\I haven't.\It's full of fun events.\Outdoor cooking, skiing, fishing, hiking,\and then... the campfire! response:	And its dance of legend!
context: School Camp\School camp!\Have you read the leaflet?\I haven't.\It's full of fun events.\Outdoor cooking, skiing, fishing, hiking,\and then... the campfire!\And its dance of legend! response:	I heard there are a lot of people who start dating because of it.
context: School camp!\Have you read the leaflet?\I haven't.\It's full of fun events.\Outdoor cooking, skiing, fishing, hiking,\and then... the campfire!\And its dance of legend!\I heard there are a lot of people who start dating because of it. response:	I told you, relationships between students are a waste of time.
context: Have you read the leaflet?\I haven't.\It's full of fun events.\Outdoor cooking, skiing, fishing, hiking,\and then... the campfire!\And its dance of legend!\I heard there are a lot of people who start dating because of it.\I told you, relationships between students are a waste of time. response:	B-But wouldn't you want to date someone you have feelings for?
context: I haven't.\It's full of fun events.\Outdoor cooking, skiing, fishing, hiking,\and then... the campfire!\And its dance of legend!\I heard there are a lot of people who start dating because of it.\I told you, relationships between students are a waste of time.\B-But wouldn't you want to date someone you have feelings for? response:	Right, Miku?
context: It's full of fun events.\Outdoor cooking, skiing, fishing, hiking,\and then... the campfire!\And its dance of legend!\I heard there are a lot of people who start dating because of it.\I told you, relationships between students are a waste of time.\B-But wouldn't you want to date someone you have feelings for?\Right, Miku? response:	Miku?
context: Outdoor cooking, skiing, fishing, hiking,\and then... the campfire!\And its dance of legend!\I heard there are a lot of people who start dating because of it.\I told you, relationships between students are a waste of time.\B-But wouldn't you want to date someone you have feelings for?\Right, Miku?\Miku? response:	Why do we date people we like?
context: and then... the campfire!\And its dance of legend!\I heard there are a lot of people who start dating because of it.\I told you, relationships between students are a waste of time.\B-But wouldn't you want to date someone you have feelings for?\Right, Miku?\Miku?\Why do we date people we like? response:	That's because you love the person so much, you can't help it.
context: And its dance of legend!\I heard there are a lot of people who start dating because of it.\I told you, relationships between students are a waste of time.\B-But wouldn't you want to date someone you have feelings for?\Right, Miku?\Miku?\Why do we date people we like?\That's because you love the person so much, you can't help it. response:	You must have an idea what that's like, Miku.
context: I heard there are a lot of people who start dating because of it.\I told you, relationships between students are a waste of time.\B-But wouldn't you want to date someone you have feelings for?\Right, Miku?\Miku?\Why do we date people we like?\That's because you love the person so much, you can't help it.\You must have an idea what that's like, Miku. response:	I-I don't.
context: I told you, relationships between students are a waste of time.\B-But wouldn't you want to date someone you have feelings for?\Right, Miku?\Miku?\Why do we date people we like?\That's because you love the person so much, you can't help it.\You must have an idea what that's like, Miku.\I-I don't. response:	All right.
context: B-But wouldn't you want to date someone you have feelings for?\Right, Miku?\Miku?\Why do we date people we like?\That's because you love the person so much, you can't help it.\You must have an idea what that's like, Miku.\I-I don't.\All right. response:	Now that we're all here, let's start studying.
context: Right, Miku?\Miku?\Why do we date people we like?\That's because you love the person so much, you can't help it.\You must have an idea what that's like, Miku.\I-I don't.\All right.\Now that we're all here, let's start studying. response:	Again?!
context: Miku?\Why do we date people we like?\That's because you love the person so much, you can't help it.\You must have an idea what that's like, Miku.\I-I don't.\All right.\Now that we're all here, let's start studying.\Again?! response:	I have a shoot, so I'll pass.
context: Why do we date people we like?\That's because you love the person so much, you can't help it.\You must have an idea what that's like, Miku.\I-I don't.\All right.\Now that we're all here, let's start studying.\Again?!\I have a shoot, so I'll pass. response:	Actually, I sent you a message about that.
context: That's because you love the person so much, you can't help it.\You must have an idea what that's like, Miku.\I-I don't.\All right.\Now that we're all here, let's start studying.\Again?!\I have a shoot, so I'll pass.\Actually, I sent you a message about that. response:	I have to prepare for tomorrow, too.
context: You must have an idea what that's like, Miku.\I-I don't.\All right.\Now that we're all here, let's start studying.\Again?!\I have a shoot, so I'll pass.\Actually, I sent you a message about that.\I have to prepare for tomorrow, too. response:	Wait up!
context: I-I don't.\All right.\Now that we're all here, let's start studying.\Again?!\I have a shoot, so I'll pass.\Actually, I sent you a message about that.\I have to prepare for tomorrow, too.\Wait up! response:	Jeez...
context: All right.\Now that we're all here, let's start studying.\Again?!\I have a shoot, so I'll pass.\Actually, I sent you a message about that.\I have to prepare for tomorrow, too.\Wait up!\Jeez... response:	Miku,
context: Now that we're all here, let's start studying.\Again?!\I have a shoot, so I'll pass.\Actually, I sent you a message about that.\I have to prepare for tomorrow, too.\Wait up!\Jeez...\Miku, response:	my class has a meeting about the school camp.
context: Again?!\I have a shoot, so I'll pass.\Actually, I sent you a message about that.\I have to prepare for tomorrow, too.\Wait up!\Jeez...\Miku,\my class has a meeting about the school camp. response:	Can you do the usual deal again?
context: I have a shoot, so I'll pass.\Actually, I sent you a message about that.\I have to prepare for tomorrow, too.\Wait up!\Jeez...\Miku,\my class has a meeting about the school camp.\Can you do the usual deal again? response:	Okay.
context: Actually, I sent you a message about that.\I have to prepare for tomorrow, too.\Wait up!\Jeez...\Miku,\my class has a meeting about the school camp.\Can you do the usual deal again?\Okay. response:	The usual deal?
context: I have to prepare for tomorrow, too.\Wait up!\Jeez...\Miku,\my class has a meeting about the school camp.\Can you do the usual deal again?\Okay.\The usual deal? response:	What is Miku up to?
context: Wait up!\Jeez...\Miku,\my class has a meeting about the school camp.\Can you do the usual deal again?\Okay.\The usual deal?\What is Miku up to? response:	Ichika?
context: Jeez...\Miku,\my class has a meeting about the school camp.\Can you do the usual deal again?\Okay.\The usual deal?\What is Miku up to?\Ichika? response:	Didn't she just leave?
context: Miku,\my class has a meeting about the school camp.\Can you do the usual deal again?\Okay.\The usual deal?\What is Miku up to?\Ichika?\Didn't she just leave? response:	No way...
context: my class has a meeting about the school camp.\Can you do the usual deal again?\Okay.\The usual deal?\What is Miku up to?\Ichika?\Didn't she just leave?\No way... response:	M-Miku?!
context: Can you do the usual deal again?\Okay.\The usual deal?\What is Miku up to?\Ichika?\Didn't she just leave?\No way...\M-Miku?! response:	She took Ichika's place!
