context: Oh, God, please save the soul of this girl with a broken heart! response:	Zoisite, committing evil deeds in a sacred place...
context: Oh, God, please save the soul of this girl with a broken heart!\Zoisite, committing evil deeds in a sacred place... response:	You're not getting away with this anymore!
context: Oh, God, please save the soul of this girl with a broken heart!\Zoisite, committing evil deeds in a sacred place...\You're not getting away with this anymore! response:	In the name of God, Sailor Moon will punish you!
context: Oh, God, please save the soul of this girl with a broken heart!\Zoisite, committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of God, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: Oh, God, please save the soul of this girl with a broken heart!\Zoisite, committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of God, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: Oh, God, please save the soul of this girl with a broken heart!\Zoisite, committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of God, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: Oh, God, please save the soul of this girl with a broken heart!\Zoisite, committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of God, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: Oh, God, please save the soul of this girl with a broken heart!\Zoisite, committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of God, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: Zoisite, committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of God, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: You're not getting away with this anymore!\In the name of God, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of God, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
context: Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance response:	Hi, I'm Usagi Tsukino.
context: Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Hi, I'm Usagi Tsukino. response:	As you know, I am the sailor warrior of love and justice,
context: Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice, response:	Sailor Moon!
context: Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon! response:	At last, the fourth member of our group appeared!
context: Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared! response:	She's sweet and she's strong.
context: Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong. response:	Makoto Kino is Sailor Jupiter!
context: Onaji kuni ni umareta no miracle romance\Shinjite iru no miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter! response:	With all four sailor warriors together now,
context: Shinjite iru no miracle romance\Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now, response:	it's like we're unbeatable now, you know?
context: Hi, I'm Usagi Tsukino.\As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know? response:	Bring A Smile To Naru's Face! Usagi's Friendship
context: As you know, I am the sailor warrior of love and justice,\Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Bring A Smile To Naru's Face! Usagi's Friendship response:	Quickly...
context: Sailor Moon!\At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Bring A Smile To Naru's Face! Usagi's Friendship\Quickly... response:	Quickly. Please find the Silver Crystal.
context: At last, the fourth member of our group appeared!\She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Bring A Smile To Naru's Face! Usagi's Friendship\Quickly...\Quickly. Please find the Silver Crystal. response:	Please tell me!
context: She's sweet and she's strong.\Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Bring A Smile To Naru's Face! Usagi's Friendship\Quickly...\Quickly. Please find the Silver Crystal.\Please tell me! response:	What is the Silver Crystal? Who in the world are you?
context: Makoto Kino is Sailor Jupiter!\With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Bring A Smile To Naru's Face! Usagi's Friendship\Quickly...\Quickly. Please find the Silver Crystal.\Please tell me!\What is the Silver Crystal? Who in the world are you? response:	The Silver Crystal...
context: With all four sailor warriors together now,\it's like we're unbeatable now, you know?\Bring A Smile To Naru's Face! Usagi's Friendship\Quickly...\Quickly. Please find the Silver Crystal.\Please tell me!\What is the Silver Crystal? Who in the world are you?\The Silver Crystal... response:	Once you find the Silver Crystal, everything...
context: it's like we're unbeatable now, you know?\Bring A Smile To Naru's Face! Usagi's Friendship\Quickly...\Quickly. Please find the Silver Crystal.\Please tell me!\What is the Silver Crystal? Who in the world are you?\The Silver Crystal...\Once you find the Silver Crystal, everything... response:	Once you find the Silver Crystal, everything...
context: Bring A Smile To Naru's Face! Usagi's Friendship\Quickly...\Quickly. Please find the Silver Crystal.\Please tell me!\What is the Silver Crystal? Who in the world are you?\The Silver Crystal...\Once you find the Silver Crystal, everything...\Once you find the Silver Crystal, everything... response:	That same dream again!
context: Quickly...\Quickly. Please find the Silver Crystal.\Please tell me!\What is the Silver Crystal? Who in the world are you?\The Silver Crystal...\Once you find the Silver Crystal, everything...\Once you find the Silver Crystal, everything...\That same dream again! response:	Who is that princess?
context: Quickly. Please find the Silver Crystal.\Please tell me!\What is the Silver Crystal? Who in the world are you?\The Silver Crystal...\Once you find the Silver Crystal, everything...\Once you find the Silver Crystal, everything...\That same dream again!\Who is that princess? response:	Am I Tuxedo Mask?
