context: Water. response:	Earth.
context: Water.\Earth. response:	Fire.
context: Water.\Earth.\Fire. response:	Air.
context: Water.\Earth.\Fire.\Air. response:	Long ago, the four nations lived together in harmony.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony. response:	Then, everything changed when the Fire Nation attacked.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked. response:	Only the Avatar, master of all four elements, could stop them.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them. response:	But when the world needed him most, he vanished.
context: Water.\Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished. response:	A hundred years passed, and my brother and I discovered the new Avatar...
context: Earth.\Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar... response:	And although his airbending skills are great.
context: Fire.\Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great. response:	He has a lot to learn before he's ready to save anyone.
context: Air.\Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone. response:	But I believe Aang can save the world.
context: Long ago, the four nations lived together in harmony.\Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world. response:	I'm not one to complain, but can't Appa fly any higher?
context: Then, everything changed when the Fire Nation attacked.\Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\I'm not one to complain, but can't Appa fly any higher? response:	I have an idea, why don't we all get on your back and you can fly us to the North Pole?
context: Only the Avatar, master of all four elements, could stop them.\But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\I'm not one to complain, but can't Appa fly any higher?\I have an idea, why don't we all get on your back and you can fly us to the North Pole? response:	I'd love to! Climb on everyone, Sokka's ready for takeoff!
context: But when the world needed him most, he vanished.\A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\I'm not one to complain, but can't Appa fly any higher?\I have an idea, why don't we all get on your back and you can fly us to the North Pole?\I'd love to! Climb on everyone, Sokka's ready for takeoff! response:	Look, we're all just a little tired and cranky...
context: A hundred years passed, and my brother and I discovered the new Avatar...\And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\I'm not one to complain, but can't Appa fly any higher?\I have an idea, why don't we all get on your back and you can fly us to the North Pole?\I'd love to! Climb on everyone, Sokka's ready for takeoff!\Look, we're all just a little tired and cranky... response:	And for what? We can't even find the Northern Water Tribe.
context: And although his airbending skills are great.\He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\I'm not one to complain, but can't Appa fly any higher?\I have an idea, why don't we all get on your back and you can fly us to the North Pole?\I'd love to! Climb on everyone, Sokka's ready for takeoff!\Look, we're all just a little tired and cranky...\And for what? We can't even find the Northern Water Tribe. response:	There's nothing up here.
context: He has a lot to learn before he's ready to save anyone.\But I believe Aang can save the world.\I'm not one to complain, but can't Appa fly any higher?\I have an idea, why don't we all get on your back and you can fly us to the North Pole?\I'd love to! Climb on everyone, Sokka's ready for takeoff!\Look, we're all just a little tired and cranky...\And for what? We can't even find the Northern Water Tribe.\There's nothing up here. response:	They're waterbenders! We found the Water Tribe!
context: But I believe Aang can save the world.\I'm not one to complain, but can't Appa fly any higher?\I have an idea, why don't we all get on your back and you can fly us to the North Pole?\I'd love to! Climb on everyone, Sokka's ready for takeoff!\Look, we're all just a little tired and cranky...\And for what? We can't even find the Northern Water Tribe.\There's nothing up here.\They're waterbenders! We found the Water Tribe! response:	He's heading north. The Northern Water Tribe.
context: I'm not one to complain, but can't Appa fly any higher?\I have an idea, why don't we all get on your back and you can fly us to the North Pole?\I'd love to! Climb on everyone, Sokka's ready for takeoff!\Look, we're all just a little tired and cranky...\And for what? We can't even find the Northern Water Tribe.\There's nothing up here.\They're waterbenders! We found the Water Tribe!\He's heading north. The Northern Water Tribe. response:	The Avatar needs to master waterbending. He's looking for a teacher.
context: I have an idea, why don't we all get on your back and you can fly us to the North Pole?\I'd love to! Climb on everyone, Sokka's ready for takeoff!\Look, we're all just a little tired and cranky...\And for what? We can't even find the Northern Water Tribe.\There's nothing up here.\They're waterbenders! We found the Water Tribe!\He's heading north. The Northern Water Tribe.\The Avatar needs to master waterbending. He's looking for a teacher. response:	Then what are we waiting for? Let's go get him!
context: I'd love to! Climb on everyone, Sokka's ready for takeoff!\Look, we're all just a little tired and cranky...\And for what? We can't even find the Northern Water Tribe.\There's nothing up here.\They're waterbenders! We found the Water Tribe!\He's heading north. The Northern Water Tribe.\The Avatar needs to master waterbending. He's looking for a teacher.\Then what are we waiting for? Let's go get him! response:	Patience, Captain Li. This isn't some little Earth village we can just march into.
context: Look, we're all just a little tired and cranky...\And for what? We can't even find the Northern Water Tribe.\There's nothing up here.\They're waterbenders! We found the Water Tribe!\He's heading north. The Northern Water Tribe.\The Avatar needs to master waterbending. He's looking for a teacher.\Then what are we waiting for? Let's go get him!\Patience, Captain Li. This isn't some little Earth village we can just march into. response:	The Water Tribe is a great nation.
context: And for what? We can't even find the Northern Water Tribe.\There's nothing up here.\They're waterbenders! We found the Water Tribe!\He's heading north. The Northern Water Tribe.\The Avatar needs to master waterbending. He's looking for a teacher.\Then what are we waiting for? Let's go get him!\Patience, Captain Li. This isn't some little Earth village we can just march into.\The Water Tribe is a great nation. response:	There's a reason they've survived a hundred years of war.
context: There's nothing up here.\They're waterbenders! We found the Water Tribe!\He's heading north. The Northern Water Tribe.\The Avatar needs to master waterbending. He's looking for a teacher.\Then what are we waiting for? Let's go get him!\Patience, Captain Li. This isn't some little Earth village we can just march into.\The Water Tribe is a great nation.\There's a reason they've survived a hundred years of war. response:	The frozen tundra is treacherous. The landscape itself is an icy fortress.
context: They're waterbenders! We found the Water Tribe!\He's heading north. The Northern Water Tribe.\The Avatar needs to master waterbending. He's looking for a teacher.\Then what are we waiting for? Let's go get him!\Patience, Captain Li. This isn't some little Earth village we can just march into.\The Water Tribe is a great nation.\There's a reason they've survived a hundred years of war.\The frozen tundra is treacherous. The landscape itself is an icy fortress. response:	We'll need a massive invasion force.
context: He's heading north. The Northern Water Tribe.\The Avatar needs to master waterbending. He's looking for a teacher.\Then what are we waiting for? Let's go get him!\Patience, Captain Li. This isn't some little Earth village we can just march into.\The Water Tribe is a great nation.\There's a reason they've survived a hundred years of war.\The frozen tundra is treacherous. The landscape itself is an icy fortress.\We'll need a massive invasion force. response:	There it is!
context: The Avatar needs to master waterbending. He's looking for a teacher.\Then what are we waiting for? Let's go get him!\Patience, Captain Li. This isn't some little Earth village we can just march into.\The Water Tribe is a great nation.\There's a reason they've survived a hundred years of war.\The frozen tundra is treacherous. The landscape itself is an icy fortress.\We'll need a massive invasion force.\There it is! response:	The Northern Water Tribe...
context: Then what are we waiting for? Let's go get him!\Patience, Captain Li. This isn't some little Earth village we can just march into.\The Water Tribe is a great nation.\There's a reason they've survived a hundred years of war.\The frozen tundra is treacherous. The landscape itself is an icy fortress.\We'll need a massive invasion force.\There it is!\The Northern Water Tribe... response:	We're finally here...
context: Patience, Captain Li. This isn't some little Earth village we can just march into.\The Water Tribe is a great nation.\There's a reason they've survived a hundred years of war.\The frozen tundra is treacherous. The landscape itself is an icy fortress.\We'll need a massive invasion force.\There it is!\The Northern Water Tribe...\We're finally here... response:	I can't believe how many waterbenders live up here!
context: The Water Tribe is a great nation.\There's a reason they've survived a hundred years of war.\The frozen tundra is treacherous. The landscape itself is an icy fortress.\We'll need a massive invasion force.\There it is!\The Northern Water Tribe...\We're finally here...\I can't believe how many waterbenders live up here! response:	We'll find a master to teach us, no problem!
