context: *grunt* response:	OH NO SHE DIDN'!
context: *grunt*\OH NO SHE DIDN'! response:	This is Cody and I at our daily slumber parties.
context: *grunt*\OH NO SHE DIDN'!\This is Cody and I at our daily slumber parties. response:	Family play?
context: *grunt*\OH NO SHE DIDN'!\This is Cody and I at our daily slumber parties.\Family play? response:	*LOVE*
context: *grunt*\OH NO SHE DIDN'!\This is Cody and I at our daily slumber parties.\Family play?\*LOVE* response:	D-round.
context: *grunt*\OH NO SHE DIDN'!\This is Cody and I at our daily slumber parties.\Family play?\*LOVE*\D-round. response:	The brilliant glow of this sky, does it carry right into your heart?
context: *grunt*\OH NO SHE DIDN'!\This is Cody and I at our daily slumber parties.\Family play?\*LOVE*\D-round.\The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: *grunt*\OH NO SHE DIDN'!\This is Cody and I at our daily slumber parties.\Family play?\*LOVE*\D-round.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence response:	Even if your hands are still far from that dream,
context: OH NO SHE DIDN'!\This is Cody and I at our daily slumber parties.\Family play?\*LOVE*\D-round.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream, response:	Come now and remember that kindly voice,
context: This is Cody and I at our daily slumber parties.\Family play?\*LOVE*\D-round.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice, response:	Someone was there singing for you, singing those chords of happiness
context: Family play?\*LOVE*\D-round.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness response:	Sound of the sky, echo on high, break through that overwhelming sadness
context: *LOVE*\D-round.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness response:	Everything that shines in your eyes
context: D-round.\The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes response:	Is part of the real world
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world response:	Even your tears can't leave you here to stay forever
context: The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever response:	In this light pouring down onto you, play tomorrow's song
context: Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song response:	Here.
context: Come now and remember that kindly voice,\Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Here. response:	Come on.
context: Someone was there singing for you, singing those chords of happiness\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Here.\Come on. response:	And that's the way we'll do it.
context: Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Here.\Come on.\And that's the way we'll do it. response:	Roger.
context: Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Here.\Come on.\And that's the way we'll do it.\Roger. response:	As for where we condu-
context: Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Here.\Come on.\And that's the way we'll do it.\Roger.\As for where we condu- response:	Heading out, Kanata?
context: Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\Here.\Come on.\And that's the way we'll do it.\Roger.\As for where we condu-\Heading out, Kanata? response:	Good morning.
context: In this light pouring down onto you, play tomorrow's song\Here.\Come on.\And that's the way we'll do it.\Roger.\As for where we condu-\Heading out, Kanata?\Good morning. response:	Already planning to use your first paycheck?
context: Here.\Come on.\And that's the way we'll do it.\Roger.\As for where we condu-\Heading out, Kanata?\Good morning.\Already planning to use your first paycheck? response:	Not all of it.
context: Come on.\And that's the way we'll do it.\Roger.\As for where we condu-\Heading out, Kanata?\Good morning.\Already planning to use your first paycheck?\Not all of it. response:	I'm sending some home,
context: And that's the way we'll do it.\Roger.\As for where we condu-\Heading out, Kanata?\Good morning.\Already planning to use your first paycheck?\Not all of it.\I'm sending some home, response:	and I thought I'd send some souvenirs back, and...
context: Roger.\As for where we condu-\Heading out, Kanata?\Good morning.\Already planning to use your first paycheck?\Not all of it.\I'm sending some home,\and I thought I'd send some souvenirs back, and... response:	A little treat for yourself?
context: As for where we condu-\Heading out, Kanata?\Good morning.\Already planning to use your first paycheck?\Not all of it.\I'm sending some home,\and I thought I'd send some souvenirs back, and...\A little treat for yourself? response:	Yes.
context: Heading out, Kanata?\Good morning.\Already planning to use your first paycheck?\Not all of it.\I'm sending some home,\and I thought I'd send some souvenirs back, and...\A little treat for yourself?\Yes. response:	The first month was just training so you didn't get anything.
context: Good morning.\Already planning to use your first paycheck?\Not all of it.\I'm sending some home,\and I thought I'd send some souvenirs back, and...\A little treat for yourself?\Yes.\The first month was just training so you didn't get anything. response:	Excited, aren't you?
context: Already planning to use your first paycheck?\Not all of it.\I'm sending some home,\and I thought I'd send some souvenirs back, and...\A little treat for yourself?\Yes.\The first month was just training so you didn't get anything.\Excited, aren't you? response:	Yes. But I'm surprised.
context: Not all of it.\I'm sending some home,\and I thought I'd send some souvenirs back, and...\A little treat for yourself?\Yes.\The first month was just training so you didn't get anything.\Excited, aren't you?\Yes. But I'm surprised. response:	I heard that we were usually paid late, and then in military scrip.
context: I'm sending some home,\and I thought I'd send some souvenirs back, and...\A little treat for yourself?\Yes.\The first month was just training so you didn't get anything.\Excited, aren't you?\Yes. But I'm surprised.\I heard that we were usually paid late, and then in military scrip. response:	Here you are. Good work this month.
context: and I thought I'd send some souvenirs back, and...\A little treat for yourself?\Yes.\The first month was just training so you didn't get anything.\Excited, aren't you?\Yes. But I'm surprised.\I heard that we were usually paid late, and then in military scrip.\Here you are. Good work this month. response:	Thank you very much!
context: A little treat for yourself?\Yes.\The first month was just training so you didn't get anything.\Excited, aren't you?\Yes. But I'm surprised.\I heard that we were usually paid late, and then in military scrip.\Here you are. Good work this month.\Thank you very much! response:	I didn't think I would get real money.
context: Yes.\The first month was just training so you didn't get anything.\Excited, aren't you?\Yes. But I'm surprised.\I heard that we were usually paid late, and then in military scrip.\Here you are. Good work this month.\Thank you very much!\I didn't think I would get real money. response:	Of course you do. Why do you think we have our other busine-
context: The first month was just training so you didn't get anything.\Excited, aren't you?\Yes. But I'm surprised.\I heard that we were usually paid late, and then in military scrip.\Here you are. Good work this month.\Thank you very much!\I didn't think I would get real money.\Of course you do. Why do you think we have our other busine- response:	Kanata, um... Er... There's a flea market in town today.
context: Excited, aren't you?\Yes. But I'm surprised.\I heard that we were usually paid late, and then in military scrip.\Here you are. Good work this month.\Thank you very much!\I didn't think I would get real money.\Of course you do. Why do you think we have our other busine-\Kanata, um... Er... There's a flea market in town today. response:	It's your first time, right?
context: Yes. But I'm surprised.\I heard that we were usually paid late, and then in military scrip.\Here you are. Good work this month.\Thank you very much!\I didn't think I would get real money.\Of course you do. Why do you think we have our other busine-\Kanata, um... Er... There's a flea market in town today.\It's your first time, right? response:	Your first paycheck and your first day off.
context: I heard that we were usually paid late, and then in military scrip.\Here you are. Good work this month.\Thank you very much!\I didn't think I would get real money.\Of course you do. Why do you think we have our other busine-\Kanata, um... Er... There's a flea market in town today.\It's your first time, right?\Your first paycheck and your first day off. response:	A first time for everything and right on time.
context: Here you are. Good work this month.\Thank you very much!\I didn't think I would get real money.\Of course you do. Why do you think we have our other busine-\Kanata, um... Er... There's a flea market in town today.\It's your first time, right?\Your first paycheck and your first day off.\A first time for everything and right on time. response:	Forget about your day job and take a good look at everything.
context: Thank you very much!\I didn't think I would get real money.\Of course you do. Why do you think we have our other busine-\Kanata, um... Er... There's a flea market in town today.\It's your first time, right?\Your first paycheck and your first day off.\A first time for everything and right on time.\Forget about your day job and take a good look at everything. response:	Okay!
context: I didn't think I would get real money.\Of course you do. Why do you think we have our other busine-\Kanata, um... Er... There's a flea market in town today.\It's your first time, right?\Your first paycheck and your first day off.\A first time for everything and right on time.\Forget about your day job and take a good look at everything.\Okay! response:	Kanata's Day Off - Hair Ties
context: Of course you do. Why do you think we have our other busine-\Kanata, um... Er... There's a flea market in town today.\It's your first time, right?\Your first paycheck and your first day off.\A first time for everything and right on time.\Forget about your day job and take a good look at everything.\Okay!\Kanata's Day Off - Hair Ties response:	I'll be going then!
context: Kanata, um... Er... There's a flea market in town today.\It's your first time, right?\Your first paycheck and your first day off.\A first time for everything and right on time.\Forget about your day job and take a good look at everything.\Okay!\Kanata's Day Off - Hair Ties\I'll be going then! response:	I told you not to say anything suspicious around Kanata.
context: It's your first time, right?\Your first paycheck and your first day off.\A first time for everything and right on time.\Forget about your day job and take a good look at everything.\Okay!\Kanata's Day Off - Hair Ties\I'll be going then!\I told you not to say anything suspicious around Kanata. response:	But just think about it!
context: Your first paycheck and your first day off.\A first time for everything and right on time.\Forget about your day job and take a good look at everything.\Okay!\Kanata's Day Off - Hair Ties\I'll be going then!\I told you not to say anything suspicious around Kanata.\But just think about it! response:	Getting paid in the middle of nowhere and without even a late supply shipment?
context: A first time for everything and right on time.\Forget about your day job and take a good look at everything.\Okay!\Kanata's Day Off - Hair Ties\I'll be going then!\I told you not to say anything suspicious around Kanata.\But just think about it!\Getting paid in the middle of nowhere and without even a late supply shipment? response:	And... she actually believed you...
context: Forget about your day job and take a good look at everything.\Okay!\Kanata's Day Off - Hair Ties\I'll be going then!\I told you not to say anything suspicious around Kanata.\But just think about it!\Getting paid in the middle of nowhere and without even a late supply shipment?\And... she actually believed you... response:	She accepts what she gets. That's Kanata.
context: Okay!\Kanata's Day Off - Hair Ties\I'll be going then!\I told you not to say anything suspicious around Kanata.\But just think about it!\Getting paid in the middle of nowhere and without even a late supply shipment?\And... she actually believed you...\She accepts what she gets. That's Kanata. response:	Right.
context: Kanata's Day Off - Hair Ties\I'll be going then!\I told you not to say anything suspicious around Kanata.\But just think about it!\Getting paid in the middle of nowhere and without even a late supply shipment?\And... she actually believed you...\She accepts what she gets. That's Kanata.\Right. response:	Unlike you two. You found out where we got the money.
context: I'll be going then!\I told you not to say anything suspicious around Kanata.\But just think about it!\Getting paid in the middle of nowhere and without even a late supply shipment?\And... she actually believed you...\She accepts what she gets. That's Kanata.\Right.\Unlike you two. You found out where we got the money. response:	And how.
context: I told you not to say anything suspicious around Kanata.\But just think about it!\Getting paid in the middle of nowhere and without even a late supply shipment?\And... she actually believed you...\She accepts what she gets. That's Kanata.\Right.\Unlike you two. You found out where we got the money.\And how. response:	Well then.
context: But just think about it!\Getting paid in the middle of nowhere and without even a late supply shipment?\And... she actually believed you...\She accepts what she gets. That's Kanata.\Right.\Unlike you two. You found out where we got the money.\And how.\Well then. response:	Why don't we forget about our day jobs, too?
context: Getting paid in the middle of nowhere and without even a late supply shipment?\And... she actually believed you...\She accepts what she gets. That's Kanata.\Right.\Unlike you two. You found out where we got the money.\And how.\Well then.\Why don't we forget about our day jobs, too? response:	It's got character.
context: And... she actually believed you...\She accepts what she gets. That's Kanata.\Right.\Unlike you two. You found out where we got the money.\And how.\Well then.\Why don't we forget about our day jobs, too?\It's got character. response:	Don't you think?
context: She accepts what she gets. That's Kanata.\Right.\Unlike you two. You found out where we got the money.\And how.\Well then.\Why don't we forget about our day jobs, too?\It's got character.\Don't you think? response:	But there's just one fault.
context: Right.\Unlike you two. You found out where we got the money.\And how.\Well then.\Why don't we forget about our day jobs, too?\It's got character.\Don't you think?\But there's just one fault. response:	The price isn't going any lower.
context: Unlike you two. You found out where we got the money.\And how.\Well then.\Why don't we forget about our day jobs, too?\It's got character.\Don't you think?\But there's just one fault.\The price isn't going any lower. response:	I'm sorry, I didn't notice you there.
context: And how.\Well then.\Why don't we forget about our day jobs, too?\It's got character.\Don't you think?\But there's just one fault.\The price isn't going any lower.\I'm sorry, I didn't notice you there. response:	Looks like you're ready.
context: Well then.\Why don't we forget about our day jobs, too?\It's got character.\Don't you think?\But there's just one fault.\The price isn't going any lower.\I'm sorry, I didn't notice you there.\Looks like you're ready. response:	Yeah. We haven't run into any trouble.
context: Why don't we forget about our day jobs, too?\It's got character.\Don't you think?\But there's just one fault.\The price isn't going any lower.\I'm sorry, I didn't notice you there.\Looks like you're ready.\Yeah. We haven't run into any trouble. response:	But I've run into some.
context: It's got character.\Don't you think?\But there's just one fault.\The price isn't going any lower.\I'm sorry, I didn't notice you there.\Looks like you're ready.\Yeah. We haven't run into any trouble.\But I've run into some. response:	I've got an idea to take care of it.
context: Don't you think?\But there's just one fault.\The price isn't going any lower.\I'm sorry, I didn't notice you there.\Looks like you're ready.\Yeah. We haven't run into any trouble.\But I've run into some.\I've got an idea to take care of it. response:	You in?
context: But there's just one fault.\The price isn't going any lower.\I'm sorry, I didn't notice you there.\Looks like you're ready.\Yeah. We haven't run into any trouble.\But I've run into some.\I've got an idea to take care of it.\You in? response:	Tell me more about this idea.
