context: Pai! Pai! response:	Are you all right, Pai?
context: Pai! Pai!\Are you all right, Pai? response:	Do you know anything about the starry skies of the past?
context: Pai! Pai!\Are you all right, Pai?\Do you know anything about the starry skies of the past? response:	Do you have any memories of them?
context: Pai! Pai!\Are you all right, Pai?\Do you know anything about the starry skies of the past?\Do you have any memories of them? response:	Is this the topic of the questionnaire?
context: Pai! Pai!\Are you all right, Pai?\Do you know anything about the starry skies of the past?\Do you have any memories of them?\Is this the topic of the questionnaire? response:	It's a strange topic, isn't it?
context: Pai! Pai!\Are you all right, Pai?\Do you know anything about the starry skies of the past?\Do you have any memories of them?\Is this the topic of the questionnaire?\It's a strange topic, isn't it? response:	It's probably because of the rumor about the stars.
context: Pai! Pai!\Are you all right, Pai?\Do you know anything about the starry skies of the past?\Do you have any memories of them?\Is this the topic of the questionnaire?\It's a strange topic, isn't it?\It's probably because of the rumor about the stars. response:	Rumor?
context: Pai! Pai!\Are you all right, Pai?\Do you know anything about the starry skies of the past?\Do you have any memories of them?\Is this the topic of the questionnaire?\It's a strange topic, isn't it?\It's probably because of the rumor about the stars.\Rumor? response:	That's right! It's today, isn't it?
context: Are you all right, Pai?\Do you know anything about the starry skies of the past?\Do you have any memories of them?\Is this the topic of the questionnaire?\It's a strange topic, isn't it?\It's probably because of the rumor about the stars.\Rumor?\That's right! It's today, isn't it? response:	You can see the stars of the past for one night. Didn't you know?
context: Do you know anything about the starry skies of the past?\Do you have any memories of them?\Is this the topic of the questionnaire?\It's a strange topic, isn't it?\It's probably because of the rumor about the stars.\Rumor?\That's right! It's today, isn't it?\You can see the stars of the past for one night. Didn't you know? response:	Stars of the past?
context: Do you have any memories of them?\Is this the topic of the questionnaire?\It's a strange topic, isn't it?\It's probably because of the rumor about the stars.\Rumor?\That's right! It's today, isn't it?\You can see the stars of the past for one night. Didn't you know?\Stars of the past? response:	From midnight until dawn.
context: Is this the topic of the questionnaire?\It's a strange topic, isn't it?\It's probably because of the rumor about the stars.\Rumor?\That's right! It's today, isn't it?\You can see the stars of the past for one night. Didn't you know?\Stars of the past?\From midnight until dawn. response:	No way. We're not talking about happy hour at Kabukicho, you know.
context: It's a strange topic, isn't it?\It's probably because of the rumor about the stars.\Rumor?\That's right! It's today, isn't it?\You can see the stars of the past for one night. Didn't you know?\Stars of the past?\From midnight until dawn.\No way. We're not talking about happy hour at Kabukicho, you know. response:	This month's goal
context: It's probably because of the rumor about the stars.\Rumor?\That's right! It's today, isn't it?\You can see the stars of the past for one night. Didn't you know?\Stars of the past?\From midnight until dawn.\No way. We're not talking about happy hour at Kabukicho, you know.\This month's goal response:	on our loan
context: Rumor?\That's right! It's today, isn't it?\You can see the stars of the past for one night. Didn't you know?\Stars of the past?\From midnight until dawn.\No way. We're not talking about happy hour at Kabukicho, you know.\This month's goal\on our loan response:	Bonus payment
context: That's right! It's today, isn't it?\You can see the stars of the past for one night. Didn't you know?\Stars of the past?\From midnight until dawn.\No way. We're not talking about happy hour at Kabukicho, you know.\This month's goal\on our loan\Bonus payment response:	N-n-n-n-no! Excuse me!
context: You can see the stars of the past for one night. Didn't you know?\Stars of the past?\From midnight until dawn.\No way. We're not talking about happy hour at Kabukicho, you know.\This month's goal\on our loan\Bonus payment\N-n-n-n-no! Excuse me! response:	In any case, what you want me to do for this brat... I-I mean...
context: Stars of the past?\From midnight until dawn.\No way. We're not talking about happy hour at Kabukicho, you know.\This month's goal\on our loan\Bonus payment\N-n-n-n-no! Excuse me!\In any case, what you want me to do for this brat... I-I mean... response:	your son, is conduct a survey, correct?
context: From midnight until dawn.\No way. We're not talking about happy hour at Kabukicho, you know.\This month's goal\on our loan\Bonus payment\N-n-n-n-no! Excuse me!\In any case, what you want me to do for this brat... I-I mean...\your son, is conduct a survey, correct? response:	Even these kinds of extra credit assignments can affect his grades.
context: No way. We're not talking about happy hour at Kabukicho, you know.\This month's goal\on our loan\Bonus payment\N-n-n-n-no! Excuse me!\In any case, what you want me to do for this brat... I-I mean...\your son, is conduct a survey, correct?\Even these kinds of extra credit assignments can affect his grades. response:	The more the better, as far as this assignment is concerned.
context: This month's goal\on our loan\Bonus payment\N-n-n-n-no! Excuse me!\In any case, what you want me to do for this brat... I-I mean...\your son, is conduct a survey, correct?\Even these kinds of extra credit assignments can affect his grades.\The more the better, as far as this assignment is concerned. response:	Other children will probably collect ten replies at most.
context: on our loan\Bonus payment\N-n-n-n-no! Excuse me!\In any case, what you want me to do for this brat... I-I mean...\your son, is conduct a survey, correct?\Even these kinds of extra credit assignments can affect his grades.\The more the better, as far as this assignment is concerned.\Other children will probably collect ten replies at most. response:	So let's make it fifty... no, a hundred for my child.
context: Bonus payment\N-n-n-n-no! Excuse me!\In any case, what you want me to do for this brat... I-I mean...\your son, is conduct a survey, correct?\Even these kinds of extra credit assignments can affect his grades.\The more the better, as far as this assignment is concerned.\Other children will probably collect ten replies at most.\So let's make it fifty... no, a hundred for my child. response:	Okay...
