context: With all my strength... response:	I'll do what I can right now!
context: With all my strength...\I'll do what I can right now! response:	Smash...!
context: With all my strength...\I'll do what I can right now!\Smash...! response:	It doesn't hurt... as much as before...!
context: With all my strength...\I'll do what I can right now!\Smash...!\It doesn't hurt... as much as before...! response:	It wasn't a throw that relied on power.
context: With all my strength...\I'll do what I can right now!\Smash...!\It doesn't hurt... as much as before...!\It wasn't a throw that relied on power. response:	He just concentrated all the power into his fingertip?
context: With all my strength...\I'll do what I can right now!\Smash...!\It doesn't hurt... as much as before...!\It wasn't a throw that relied on power.\He just concentrated all the power into his fingertip? response:	Teacher...
context: With all my strength...\I'll do what I can right now!\Smash...!\It doesn't hurt... as much as before...!\It wasn't a throw that relied on power.\He just concentrated all the power into his fingertip?\Teacher... response:	I still...
context: With all my strength...\I'll do what I can right now!\Smash...!\It doesn't hurt... as much as before...!\It wasn't a throw that relied on power.\He just concentrated all the power into his fingertip?\Teacher...\I still... response:	This kid...
context: I'll do what I can right now!\Smash...!\It doesn't hurt... as much as before...!\It wasn't a throw that relied on power.\He just concentrated all the power into his fingertip?\Teacher...\I still...\This kid... response:	He got over 700 meters?!
context: Smash...!\It doesn't hurt... as much as before...!\It wasn't a throw that relied on power.\He just concentrated all the power into his fingertip?\Teacher...\I still...\This kid...\He got over 700 meters?! response:	Finally, a hero-like record!
context: It doesn't hurt... as much as before...!\It wasn't a throw that relied on power.\He just concentrated all the power into his fingertip?\Teacher...\I still...\This kid...\He got over 700 meters?!\Finally, a hero-like record! response:	His finger's swollen!
context: It wasn't a throw that relied on power.\He just concentrated all the power into his fingertip?\Teacher...\I still...\This kid...\He got over 700 meters?!\Finally, a hero-like record!\His finger's swollen! response:	There was the entrance exam, too.
context: He just concentrated all the power into his fingertip?\Teacher...\I still...\This kid...\He got over 700 meters?!\Finally, a hero-like record!\His finger's swollen!\There was the entrance exam, too. response:	He has a strange Quirk...
context: Teacher...\I still...\This kid...\He got over 700 meters?!\Finally, a hero-like record!\His finger's swollen!\There was the entrance exam, too.\He has a strange Quirk... response:	It's not very stylish.
context: I still...\This kid...\He got over 700 meters?!\Finally, a hero-like record!\His finger's swollen!\There was the entrance exam, too.\He has a strange Quirk...\It's not very stylish. response:	Wh-What's with that power?!
context: This kid...\He got over 700 meters?!\Finally, a hero-like record!\His finger's swollen!\There was the entrance exam, too.\He has a strange Quirk...\It's not very stylish.\Wh-What's with that power?! response:	Everyone's Quirks manifest by the age of four.
context: He got over 700 meters?!\Finally, a hero-like record!\His finger's swollen!\There was the entrance exam, too.\He has a strange Quirk...\It's not very stylish.\Wh-What's with that power?!\Everyone's Quirks manifest by the age of four. response:	This is unthinkable!
context: Finally, a hero-like record!\His finger's swollen!\There was the entrance exam, too.\He has a strange Quirk...\It's not very stylish.\Wh-What's with that power?!\Everyone's Quirks manifest by the age of four.\This is unthinkable! response:	But in reality...
context: His finger's swollen!\There was the entrance exam, too.\He has a strange Quirk...\It's not very stylish.\Wh-What's with that power?!\Everyone's Quirks manifest by the age of four.\This is unthinkable!\But in reality... response:	S-Someone told me...
context: There was the entrance exam, too.\He has a strange Quirk...\It's not very stylish.\Wh-What's with that power?!\Everyone's Quirks manifest by the age of four.\This is unthinkable!\But in reality...\S-Someone told me... response:	You can become a hero...
context: He has a strange Quirk...\It's not very stylish.\Wh-What's with that power?!\Everyone's Quirks manifest by the age of four.\This is unthinkable!\But in reality...\S-Someone told me...\You can become a hero... response:	That it was because of my own effort...
context: It's not very stylish.\Wh-What's with that power?!\Everyone's Quirks manifest by the age of four.\This is unthinkable!\But in reality...\S-Someone told me...\You can become a hero...\That it was because of my own effort... response:	What is the meaning of this?
context: Wh-What's with that power?!\Everyone's Quirks manifest by the age of four.\This is unthinkable!\But in reality...\S-Someone told me...\You can become a hero...\That it was because of my own effort...\What is the meaning of this? response:	Hey!
context: Everyone's Quirks manifest by the age of four.\This is unthinkable!\But in reality...\S-Someone told me...\You can become a hero...\That it was because of my own effort...\What is the meaning of this?\Hey! response:	Tell me what's going on, Deku, you bastard!
context: This is unthinkable!\But in reality...\S-Someone told me...\You can become a hero...\That it was because of my own effort...\What is the meaning of this?\Hey!\Tell me what's going on, Deku, you bastard! response:	What the?
context: But in reality...\S-Someone told me...\You can become a hero...\That it was because of my own effort...\What is the meaning of this?\Hey!\Tell me what's going on, Deku, you bastard!\What the? response:	These cloths are hard...!
context: S-Someone told me...\You can become a hero...\That it was because of my own effort...\What is the meaning of this?\Hey!\Tell me what's going on, Deku, you bastard!\What the?\These cloths are hard...! response:	They're weapons for capture made of carbon fiber woven together with metal wire made of a special alloy.
context: You can become a hero...\That it was because of my own effort...\What is the meaning of this?\Hey!\Tell me what's going on, Deku, you bastard!\What the?\These cloths are hard...!\They're weapons for capture made of carbon fiber woven together with metal wire made of a special alloy. response:	Jeez...
context: That it was because of my own effort...\What is the meaning of this?\Hey!\Tell me what's going on, Deku, you bastard!\What the?\These cloths are hard...!\They're weapons for capture made of carbon fiber woven together with metal wire made of a special alloy.\Jeez... response:	Don't keep making me use my Quirk over and over.
context: What is the meaning of this?\Hey!\Tell me what's going on, Deku, you bastard!\What the?\These cloths are hard...!\They're weapons for capture made of carbon fiber woven together with metal wire made of a special alloy.\Jeez...\Don't keep making me use my Quirk over and over. response:	I have dry eye.
