context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Previously on Fairy Tail!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail! response:	Oh, no! The Council is angry!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Oh, no! The Council is angry! response:	Well of course they'd be angry after we keep running amuck all the time.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Oh, no! The Council is angry!\Well of course they'd be angry after we keep running amuck all the time. response:	Thank you very much...
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Oh, no! The Council is angry!\Well of course they'd be angry after we keep running amuck all the time.\Thank you very much... response:	The master has been called before the Council!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Oh, no! The Council is angry!\Well of course they'd be angry after we keep running amuck all the time.\Thank you very much...\The master has been called before the Council! response:	What'll we do?
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Previously on Fairy Tail!\Oh, no! The Council is angry!\Well of course they'd be angry after we keep running amuck all the time.\Thank you very much...\The master has been called before the Council!\What'll we do? response:	Thank you very much!
context: and sit back from the screen,'kay?\Previously on Fairy Tail!\Oh, no! The Council is angry!\Well of course they'd be angry after we keep running amuck all the time.\Thank you very much...\The master has been called before the Council!\What'll we do?\Thank you very much! response:	And wait... Who are you?
context: Previously on Fairy Tail!\Oh, no! The Council is angry!\Well of course they'd be angry after we keep running amuck all the time.\Thank you very much...\The master has been called before the Council!\What'll we do?\Thank you very much!\And wait... Who are you? response:	It'll be all right! I'll yell it out countless times.
