context: Looks like another hot day. response:	Good thing Kana-chan said we don't have to wear hakama.
context: Looks like another hot day.\Good thing Kana-chan said we don't have to wear hakama. response:	Yeah, I would die if I had to wear that thing.
context: Looks like another hot day.\Good thing Kana-chan said we don't have to wear hakama.\Yeah, I would die if I had to wear that thing. response:	Are you okay, Chihaya?
context: Looks like another hot day.\Good thing Kana-chan said we don't have to wear hakama.\Yeah, I would die if I had to wear that thing.\Are you okay, Chihaya? response:	I'm okay.
context: Looks like another hot day.\Good thing Kana-chan said we don't have to wear hakama.\Yeah, I would die if I had to wear that thing.\Are you okay, Chihaya?\I'm okay. response:	Well, let's get going.
context: Looks like another hot day.\Good thing Kana-chan said we don't have to wear hakama.\Yeah, I would die if I had to wear that thing.\Are you okay, Chihaya?\I'm okay.\Well, let's get going. response:	Nobody forgot anything, right?
context: Looks like another hot day.\Good thing Kana-chan said we don't have to wear hakama.\Yeah, I would die if I had to wear that thing.\Are you okay, Chihaya?\I'm okay.\Well, let's get going.\Nobody forgot anything, right? response:	No!
context: Looks like another hot day.\Good thing Kana-chan said we don't have to wear hakama.\Yeah, I would die if I had to wear that thing.\Are you okay, Chihaya?\I'm okay.\Well, let's get going.\Nobody forgot anything, right?\No! response:	Listen up, everyone.
context: Good thing Kana-chan said we don't have to wear hakama.\Yeah, I would die if I had to wear that thing.\Are you okay, Chihaya?\I'm okay.\Well, let's get going.\Nobody forgot anything, right?\No!\Listen up, everyone. response:	There is no preliminary round for the individual tournament,
context: Yeah, I would die if I had to wear that thing.\Are you okay, Chihaya?\I'm okay.\Well, let's get going.\Nobody forgot anything, right?\No!\Listen up, everyone.\There is no preliminary round for the individual tournament, response:	so there will be over 400 competitors.
context: Are you okay, Chihaya?\I'm okay.\Well, let's get going.\Nobody forgot anything, right?\No!\Listen up, everyone.\There is no preliminary round for the individual tournament,\so there will be over 400 competitors. response:	Ayase-san is in Class A.
