context: It was a silent night response:	Eclipse was beginnin'
context: It was a silent night\Eclipse was beginnin' response:	The overlapping moments
context: It was a silent night\Eclipse was beginnin'\The overlapping moments response:	We might believe them to be eternity
context: It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity response:	In darkness...
context: It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness... response:	It's darker than black
context: It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black response:	The labyrinthine sky
context: It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky response:	Begs for light
context: It was a silent night\Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light response:	If I bite your soul
context: Eclipse was beginnin'\The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul response:	The impulse eats away at me
context: The overlapping moments\We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me response:	Can I... Can I... Can I... Who am I...?
context: We might believe them to be eternity\In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...? response:	Libido erases my reason
context: In darkness...\It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason response:	(Where is my heart?)
context: It's darker than black\The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?) response:	Into darkness
context: The labyrinthine sky\Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness response:	(Where is my heart?)
context: Begs for light\If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?) response:	I have fallen
context: If I bite your soul\The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen response:	(Where is my heart?)
context: The impulse eats away at me\Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?) response:	Taking a hideous form
context: Can I... Can I... Can I... Who am I...?\Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form response:	If my human tears have dried
context: Libido erases my reason\(Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried response:	What will you think of me?
context: (Where is my heart?)\Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me? response:	Give me an answer
context: Into darkness\(Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer response:	Our crimson blood
context: (Where is my heart?)\I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood response:	(Bloody bonds) Our crimson blood
context: I have fallen\(Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood response:	Wets our bond
context: (Where is my heart?)\Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond response:	We share our weakness
context: Taking a hideous form\If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness response:	(Bloody bonds) We share our weakness
context: If my human tears have dried\What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness response:	Will we two live on?
context: What will you think of me?\Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on? response:	Licking each other's wounds
context: Give me an answer\Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds response:	Defining each other's life
context: Our crimson blood\(Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life response:	Thirsting for love
context: (Bloody bonds) Our crimson blood\Wets our bond\We share our weakness\(Bloody bonds) We share our weakness\Will we two live on?\Licking each other's wounds\Defining each other's life\Thirsting for love response:	Dark Side
