context: Watch Duty response:	Tamaki Miyake
context: Watch Duty\Tamaki Miyake response:	Himi
context: Watch Duty\Tamaki Miyake\Himi response:	Good morning!
context: Watch Duty\Tamaki Miyake\Himi\Good morning! response:	You're late.
context: Watch Duty\Tamaki Miyake\Himi\Good morning!\You're late. response:	Being late for watch duty makes trouble for everyone.
context: Watch Duty\Tamaki Miyake\Himi\Good morning!\You're late.\Being late for watch duty makes trouble for everyone. response:	Yes ma'am!
context: Watch Duty\Tamaki Miyake\Himi\Good morning!\You're late.\Being late for watch duty makes trouble for everyone.\Yes ma'am! response:	Today's menu, if you would.
context: Watch Duty\Tamaki Miyake\Himi\Good morning!\You're late.\Being late for watch duty makes trouble for everyone.\Yes ma'am!\Today's menu, if you would. response:	Food Waste
context: Tamaki Miyake\Himi\Good morning!\You're late.\Being late for watch duty makes trouble for everyone.\Yes ma'am!\Today's menu, if you would.\Food Waste response:	Leftover special.
context: Himi\Good morning!\You're late.\Being late for watch duty makes trouble for everyone.\Yes ma'am!\Today's menu, if you would.\Food Waste\Leftover special. response:	That's too honest!
context: Good morning!\You're late.\Being late for watch duty makes trouble for everyone.\Yes ma'am!\Today's menu, if you would.\Food Waste\Leftover special.\That's too honest! response:	At times like these, we go with you-know-what!
context: You're late.\Being late for watch duty makes trouble for everyone.\Yes ma'am!\Today's menu, if you would.\Food Waste\Leftover special.\That's too honest!\At times like these, we go with you-know-what! response:	Today's Menu
context: Being late for watch duty makes trouble for everyone.\Yes ma'am!\Today's menu, if you would.\Food Waste\Leftover special.\That's too honest!\At times like these, we go with you-know-what!\Today's Menu response:	Antarctic Style Pork
context: Yes ma'am!\Today's menu, if you would.\Food Waste\Leftover special.\That's too honest!\At times like these, we go with you-know-what!\Today's Menu\Antarctic Style Pork response:	Eat your dried sardines, too!
context: Today's menu, if you would.\Food Waste\Leftover special.\That's too honest!\At times like these, we go with you-know-what!\Today's Menu\Antarctic Style Pork\Eat your dried sardines, too! response:	Pork-on-rice and pork soup sets available!!
context: Food Waste\Leftover special.\That's too honest!\At times like these, we go with you-know-what!\Today's Menu\Antarctic Style Pork\Eat your dried sardines, too!\Pork-on-rice and pork soup sets available!! response:	Cleaning duty: Team B
context: Leftover special.\That's too honest!\At times like these, we go with you-know-what!\Today's Menu\Antarctic Style Pork\Eat your dried sardines, too!\Pork-on-rice and pork soup sets available!!\Cleaning duty: Team B response:	That's it for the watch report.
context: That's too honest!\At times like these, we go with you-know-what!\Today's Menu\Antarctic Style Pork\Eat your dried sardines, too!\Pork-on-rice and pork soup sets available!!\Cleaning duty: Team B\That's it for the watch report. response:	Is there any other business to address?
context: At times like these, we go with you-know-what!\Today's Menu\Antarctic Style Pork\Eat your dried sardines, too!\Pork-on-rice and pork soup sets available!!\Cleaning duty: Team B\That's it for the watch report.\Is there any other business to address? response:	Um, I was thinking the premade Calpis is too thin...
context: Today's Menu\Antarctic Style Pork\Eat your dried sardines, too!\Pork-on-rice and pork soup sets available!!\Cleaning duty: Team B\That's it for the watch report.\Is there any other business to address?\Um, I was thinking the premade Calpis is too thin... response:	It's too strong, isn't it?
context: Antarctic Style Pork\Eat your dried sardines, too!\Pork-on-rice and pork soup sets available!!\Cleaning duty: Team B\That's it for the watch report.\Is there any other business to address?\Um, I was thinking the premade Calpis is too thin...\It's too strong, isn't it? response:	Poor man's Calpis.
context: Eat your dried sardines, too!\Pork-on-rice and pork soup sets available!!\Cleaning duty: Team B\That's it for the watch report.\Is there any other business to address?\Um, I was thinking the premade Calpis is too thin...\It's too strong, isn't it?\Poor man's Calpis. response:	Don't call me poor.
context: Pork-on-rice and pork soup sets available!!\Cleaning duty: Team B\That's it for the watch report.\Is there any other business to address?\Um, I was thinking the premade Calpis is too thin...\It's too strong, isn't it?\Poor man's Calpis.\Don't call me poor. response:	Person on duty there?
context: Cleaning duty: Team B\That's it for the watch report.\Is there any other business to address?\Um, I was thinking the premade Calpis is too thin...\It's too strong, isn't it?\Poor man's Calpis.\Don't call me poor.\Person on duty there? response:	Well, the person on duty yesterday made it, not me,
context: That's it for the watch report.\Is there any other business to address?\Um, I was thinking the premade Calpis is too thin...\It's too strong, isn't it?\Poor man's Calpis.\Don't call me poor.\Person on duty there?\Well, the person on duty yesterday made it, not me, response:	but I'll do what I can.
context: Is there any other business to address?\Um, I was thinking the premade Calpis is too thin...\It's too strong, isn't it?\Poor man's Calpis.\Don't call me poor.\Person on duty there?\Well, the person on duty yesterday made it, not me,\but I'll do what I can. response:	It's cold!
context: Um, I was thinking the premade Calpis is too thin...\It's too strong, isn't it?\Poor man's Calpis.\Don't call me poor.\Person on duty there?\Well, the person on duty yesterday made it, not me,\but I'll do what I can.\It's cold! response:	They did say it would be windy...
context: It's too strong, isn't it?\Poor man's Calpis.\Don't call me poor.\Person on duty there?\Well, the person on duty yesterday made it, not me,\but I'll do what I can.\It's cold!\They did say it would be windy... response:	What are we supposed to do after this?
context: Poor man's Calpis.\Don't call me poor.\Person on duty there?\Well, the person on duty yesterday made it, not me,\but I'll do what I can.\It's cold!\They did say it would be windy...\What are we supposed to do after this? response:	Clean the bathrooms!
