context: In the year 845... response:	the Colossal and Armored Titans
context: In the year 845...\the Colossal and Armored Titans response:	suddenly appeared, destroying the wall,
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall, response:	along with the life we'd known.
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known. response:	Humanity abandoned Wall Maria,
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known.\Humanity abandoned Wall Maria, response:	losing twenty percent of its population and a third of its territory,
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory, response:	to retreat within Wall Rose.
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose. response:	And in the year 850, in Trost...
context: In the year 845...\the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850, in Trost... response:	Once again, humanity could not stop a Titan invasion.
context: the Colossal and Armored Titans\suddenly appeared, destroying the wall,\along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850, in Trost...\Once again, humanity could not stop a Titan invasion. response:	Eren Jaeger had been devoured by a Titan,
context: suddenly appeared, destroying the wall,\along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850, in Trost...\Once again, humanity could not stop a Titan invasion.\Eren Jaeger had been devoured by a Titan, response:	but reappeared, emerging from a mysterious Titan.
context: along with the life we'd known.\Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850, in Trost...\Once again, humanity could not stop a Titan invasion.\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan. response:	Response The Battle for Trost (6)
context: Humanity abandoned Wall Maria,\losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850, in Trost...\Once again, humanity could not stop a Titan invasion.\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Response The Battle for Trost (6) response:	I'll ask you once more!
context: losing twenty percent of its population and a third of its territory,\to retreat within Wall Rose.\And in the year 850, in Trost...\Once again, humanity could not stop a Titan invasion.\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Response The Battle for Trost (6)\I'll ask you once more! response:	What are you?!
context: to retreat within Wall Rose.\And in the year 850, in Trost...\Once again, humanity could not stop a Titan invasion.\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Response The Battle for Trost (6)\I'll ask you once more!\What are you?! response:	A human!
context: And in the year 850, in Trost...\Once again, humanity could not stop a Titan invasion.\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Response The Battle for Trost (6)\I'll ask you once more!\What are you?!\A human! response:	I see...
context: Once again, humanity could not stop a Titan invasion.\Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Response The Battle for Trost (6)\I'll ask you once more!\What are you?!\A human!\I see... response:	Then don't hate me for this.
context: Eren Jaeger had been devoured by a Titan,\but reappeared, emerging from a mysterious Titan.\Response The Battle for Trost (6)\I'll ask you once more!\What are you?!\A human!\I see...\Then don't hate me for this. response:	Marco...
context: but reappeared, emerging from a mysterious Titan.\Response The Battle for Trost (6)\I'll ask you once more!\What are you?!\A human!\I see...\Then don't hate me for this.\Marco... response:	I can't...
context: Response The Battle for Trost (6)\I'll ask you once more!\What are you?!\A human!\I see...\Then don't hate me for this.\Marco...\I can't... response:	I can't fight the Titans anymore!
context: I'll ask you once more!\What are you?!\A human!\I see...\Then don't hate me for this.\Marco...\I can't...\I can't fight the Titans anymore! response:	What happened?
context: What are you?!\A human!\I see...\Then don't hate me for this.\Marco...\I can't...\I can't fight the Titans anymore!\What happened? response:	My friends were eaten right in front of me!
context: A human!\I see...\Then don't hate me for this.\Marco...\I can't...\I can't fight the Titans anymore!\What happened?\My friends were eaten right in front of me! response:	I saw them devoured,
context: I see...\Then don't hate me for this.\Marco...\I can't...\I can't fight the Titans anymore!\What happened?\My friends were eaten right in front of me!\I saw them devoured, response:	and I didn't even feel sad or angry...
context: Then don't hate me for this.\Marco...\I can't...\I can't fight the Titans anymore!\What happened?\My friends were eaten right in front of me!\I saw them devoured,\and I didn't even feel sad or angry... response:	All I could think was, I'm so glad that it wasn't me!
context: Marco...\I can't...\I can't fight the Titans anymore!\What happened?\My friends were eaten right in front of me!\I saw them devoured,\and I didn't even feel sad or angry...\All I could think was, I'm so glad that it wasn't me! response:	But...
context: I can't...\I can't fight the Titans anymore!\What happened?\My friends were eaten right in front of me!\I saw them devoured,\and I didn't even feel sad or angry...\All I could think was, I'm so glad that it wasn't me!\But... response:	Next time, it'll be me...
context: I can't fight the Titans anymore!\What happened?\My friends were eaten right in front of me!\I saw them devoured,\and I didn't even feel sad or angry...\All I could think was, I'm so glad that it wasn't me!\But...\Next time, it'll be me... response:	I realized something.
context: What happened?\My friends were eaten right in front of me!\I saw them devoured,\and I didn't even feel sad or angry...\All I could think was, I'm so glad that it wasn't me!\But...\Next time, it'll be me...\I realized something. response:	Essentially, our job
context: My friends were eaten right in front of me!\I saw them devoured,\and I didn't even feel sad or angry...\All I could think was, I'm so glad that it wasn't me!\But...\Next time, it'll be me...\I realized something.\Essentially, our job response:	is to fight the Titans until they eat us, isn't it?
context: I saw them devoured,\and I didn't even feel sad or angry...\All I could think was, I'm so glad that it wasn't me!\But...\Next time, it'll be me...\I realized something.\Essentially, our job\is to fight the Titans until they eat us, isn't it? response:	I'd rather die right now than be eaten!
context: and I didn't even feel sad or angry...\All I could think was, I'm so glad that it wasn't me!\But...\Next time, it'll be me...\I realized something.\Essentially, our job\is to fight the Titans until they eat us, isn't it?\I'd rather die right now than be eaten! response:	Stop it...
