context: Closed response:	Sangetsu Bakery
context: Closed\Sangetsu Bakery response:	First you skip out on your trip, then you stay out all night, eh?
context: Closed\Sangetsu Bakery\First you skip out on your trip, then you stay out all night, eh? response:	Ryosuke...
context: Closed\Sangetsu Bakery\First you skip out on your trip, then you stay out all night, eh?\Ryosuke... response:	I thought you were going on the graduation trip
context: Closed\Sangetsu Bakery\First you skip out on your trip, then you stay out all night, eh?\Ryosuke...\I thought you were going on the graduation trip response:	to leave your school mood behind.
context: Closed\Sangetsu Bakery\First you skip out on your trip, then you stay out all night, eh?\Ryosuke...\I thought you were going on the graduation trip\to leave your school mood behind. response:	What about your job interview? My senior there was pissed at you.
context: Closed\Sangetsu Bakery\First you skip out on your trip, then you stay out all night, eh?\Ryosuke...\I thought you were going on the graduation trip\to leave your school mood behind.\What about your job interview? My senior there was pissed at you. response:	um...
context: Closed\Sangetsu Bakery\First you skip out on your trip, then you stay out all night, eh?\Ryosuke...\I thought you were going on the graduation trip\to leave your school mood behind.\What about your job interview? My senior there was pissed at you.\um... response:	I'm glad you weren't in an accident or anything.
context: Sangetsu Bakery\First you skip out on your trip, then you stay out all night, eh?\Ryosuke...\I thought you were going on the graduation trip\to leave your school mood behind.\What about your job interview? My senior there was pissed at you.\um...\I'm glad you weren't in an accident or anything. response:	You'd better retreat fast. If Asako finds you, she'll chew you out.
context: First you skip out on your trip, then you stay out all night, eh?\Ryosuke...\I thought you were going on the graduation trip\to leave your school mood behind.\What about your job interview? My senior there was pissed at you.\um...\I'm glad you weren't in an accident or anything.\You'd better retreat fast. If Asako finds you, she'll chew you out. response:	Episode 4: Real Reality, Fabricated Reality
context: Ryosuke...\I thought you were going on the graduation trip\to leave your school mood behind.\What about your job interview? My senior there was pissed at you.\um...\I'm glad you weren't in an accident or anything.\You'd better retreat fast. If Asako finds you, she'll chew you out.\Episode 4: Real Reality, Fabricated Reality response:	It's seriously inconvenient having no memories.
context: I thought you were going on the graduation trip\to leave your school mood behind.\What about your job interview? My senior there was pissed at you.\um...\I'm glad you weren't in an accident or anything.\You'd better retreat fast. If Asako finds you, she'll chew you out.\Episode 4: Real Reality, Fabricated Reality\It's seriously inconvenient having no memories. response:	Hey, did I kill 20,000 NEETs?
context: to leave your school mood behind.\What about your job interview? My senior there was pissed at you.\um...\I'm glad you weren't in an accident or anything.\You'd better retreat fast. If Asako finds you, she'll chew you out.\Episode 4: Real Reality, Fabricated Reality\It's seriously inconvenient having no memories.\Hey, did I kill 20,000 NEETs? response:	I'm sorry; I don't have a clear grasp of what happened to them afterwards.
context: What about your job interview? My senior there was pissed at you.\um...\I'm glad you weren't in an accident or anything.\You'd better retreat fast. If Asako finds you, she'll chew you out.\Episode 4: Real Reality, Fabricated Reality\It's seriously inconvenient having no memories.\Hey, did I kill 20,000 NEETs?\I'm sorry; I don't have a clear grasp of what happened to them afterwards. response:	But it's true that I gathered 20,000 NEETs here, right?
context: um...\I'm glad you weren't in an accident or anything.\You'd better retreat fast. If Asako finds you, she'll chew you out.\Episode 4: Real Reality, Fabricated Reality\It's seriously inconvenient having no memories.\Hey, did I kill 20,000 NEETs?\I'm sorry; I don't have a clear grasp of what happened to them afterwards.\But it's true that I gathered 20,000 NEETs here, right? response:	-Yes. -For real?!
context: I'm glad you weren't in an accident or anything.\You'd better retreat fast. If Asako finds you, she'll chew you out.\Episode 4: Real Reality, Fabricated Reality\It's seriously inconvenient having no memories.\Hey, did I kill 20,000 NEETs?\I'm sorry; I don't have a clear grasp of what happened to them afterwards.\But it's true that I gathered 20,000 NEETs here, right?\-Yes. -For real?! response:	I wonder if I really did do it...
context: You'd better retreat fast. If Asako finds you, she'll chew you out.\Episode 4: Real Reality, Fabricated Reality\It's seriously inconvenient having no memories.\Hey, did I kill 20,000 NEETs?\I'm sorry; I don't have a clear grasp of what happened to them afterwards.\But it's true that I gathered 20,000 NEETs here, right?\-Yes. -For real?!\I wonder if I really did do it... response:	And why was I chosen to be a Selecao, anyway?
context: Episode 4: Real Reality, Fabricated Reality\It's seriously inconvenient having no memories.\Hey, did I kill 20,000 NEETs?\I'm sorry; I don't have a clear grasp of what happened to them afterwards.\But it's true that I gathered 20,000 NEETs here, right?\-Yes. -For real?!\I wonder if I really did do it...\And why was I chosen to be a Selecao, anyway? response:	I couldn't say. I haven't been informed of the selection criteria.
context: It's seriously inconvenient having no memories.\Hey, did I kill 20,000 NEETs?\I'm sorry; I don't have a clear grasp of what happened to them afterwards.\But it's true that I gathered 20,000 NEETs here, right?\-Yes. -For real?!\I wonder if I really did do it...\And why was I chosen to be a Selecao, anyway?\I couldn't say. I haven't been informed of the selection criteria. response:	I see, you haven't been informed...
context: Hey, did I kill 20,000 NEETs?\I'm sorry; I don't have a clear grasp of what happened to them afterwards.\But it's true that I gathered 20,000 NEETs here, right?\-Yes. -For real?!\I wonder if I really did do it...\And why was I chosen to be a Selecao, anyway?\I couldn't say. I haven't been informed of the selection criteria.\I see, you haven't been informed... response:	-Correct. -What's the Supporter then?
