context: How dare you manipulate the children's hero, Red Man, response:	and turn the special natural treasure,
context: How dare you manipulate the children's hero, Red Man,\and turn the special natural treasure, response:	Lake Akan's Marimo Balls, into weapons?!
context: How dare you manipulate the children's hero, Red Man,\and turn the special natural treasure,\Lake Akan's Marimo Balls, into weapons?! response:	The Hokkaido Tourist Association
context: How dare you manipulate the children's hero, Red Man,\and turn the special natural treasure,\Lake Akan's Marimo Balls, into weapons?!\The Hokkaido Tourist Association response:	never gave you permission to do that, did they?!
context: How dare you manipulate the children's hero, Red Man,\and turn the special natural treasure,\Lake Akan's Marimo Balls, into weapons?!\The Hokkaido Tourist Association\never gave you permission to do that, did they?! response:	In the name of the moon, Sailor Moon will punish you!
context: How dare you manipulate the children's hero, Red Man,\and turn the special natural treasure,\Lake Akan's Marimo Balls, into weapons?!\The Hokkaido Tourist Association\never gave you permission to do that, did they?!\In the name of the moon, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: How dare you manipulate the children's hero, Red Man,\and turn the special natural treasure,\Lake Akan's Marimo Balls, into weapons?!\The Hokkaido Tourist Association\never gave you permission to do that, did they?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: How dare you manipulate the children's hero, Red Man,\and turn the special natural treasure,\Lake Akan's Marimo Balls, into weapons?!\The Hokkaido Tourist Association\never gave you permission to do that, did they?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: and turn the special natural treasure,\Lake Akan's Marimo Balls, into weapons?!\The Hokkaido Tourist Association\never gave you permission to do that, did they?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: Lake Akan's Marimo Balls, into weapons?!\The Hokkaido Tourist Association\never gave you permission to do that, did they?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: The Hokkaido Tourist Association\never gave you permission to do that, did they?!\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
