context: It all began in China, in Qingqing City. response:	There was news that a baby that gave off light was born.
context: It all began in China, in Qingqing City.\There was news that a baby that gave off light was born. response:	Ever since then, superpowers were discovered in various places,
context: It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places, response:	and time passed without the cause being identified.
context: It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places,\and time passed without the cause being identified. response:	The world has become a superhuman society,
context: It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places,\and time passed without the cause being identified.\The world has become a superhuman society, response:	and about 80 of the world's population now has some kind of special trait.
context: It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places,\and time passed without the cause being identified.\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait. response:	In this world swirling with chaos,
context: It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places,\and time passed without the cause being identified.\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos, response:	the profession that everyone once dreamed about and admired
context: It all began in China, in Qingqing City.\There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places,\and time passed without the cause being identified.\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired response:	came into the limelight.
context: There was news that a baby that gave off light was born.\Ever since then, superpowers were discovered in various places,\and time passed without the cause being identified.\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight. response:	That profession is...
context: Ever since then, superpowers were discovered in various places,\and time passed without the cause being identified.\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\That profession is... response:	It's fine now. Why?
context: and time passed without the cause being identified.\The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\That profession is...\It's fine now. Why? response:	Because I am here.
context: The world has become a superhuman society,\and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\That profession is...\It's fine now. Why?\Because I am here. response:	He's so cool!
context: and about 80 of the world's population now has some kind of special trait.\In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\That profession is...\It's fine now. Why?\Because I am here.\He's so cool! response:	Once I get my Quirk, I wanna be like him, too!
context: In this world swirling with chaos,\the profession that everyone once dreamed about and admired\came into the limelight.\That profession is...\It's fine now. Why?\Because I am here.\He's so cool!\Once I get my Quirk, I wanna be like him, too! response:	But...
