context: Not quite what I had in mind... response:	Back to the drawing board!
context: Not quite what I had in mind...\Back to the drawing board! response:	Huh?
context: Not quite what I had in mind...\Back to the drawing board!\Huh? response:	Delicious!
context: Not quite what I had in mind...\Back to the drawing board!\Huh?\Delicious! response:	It actually turned out to be delicious! It's a one-in-ten-thousand miracle!
context: Not quite what I had in mind...\Back to the drawing board!\Huh?\Delicious!\It actually turned out to be delicious! It's a one-in-ten-thousand miracle! response:	I want to give it to him no matter what! I've got to give it to him!
context: Not quite what I had in mind...\Back to the drawing board!\Huh?\Delicious!\It actually turned out to be delicious! It's a one-in-ten-thousand miracle!\I want to give it to him no matter what! I've got to give it to him! response:	DELICIOUS
context: Not quite what I had in mind...\Back to the drawing board!\Huh?\Delicious!\It actually turned out to be delicious! It's a one-in-ten-thousand miracle!\I want to give it to him no matter what! I've got to give it to him!\DELICIOUS response:	If I'm not mistaken, today's Valentine's Day, huh?
context: Not quite what I had in mind...\Back to the drawing board!\Huh?\Delicious!\It actually turned out to be delicious! It's a one-in-ten-thousand miracle!\I want to give it to him no matter what! I've got to give it to him!\DELICIOUS\If I'm not mistaken, today's Valentine's Day, huh? response:	Well, not that it means much to me.
context: Back to the drawing board!\Huh?\Delicious!\It actually turned out to be delicious! It's a one-in-ten-thousand miracle!\I want to give it to him no matter what! I've got to give it to him!\DELICIOUS\If I'm not mistaken, today's Valentine's Day, huh?\Well, not that it means much to me. response:	Not that it really means anything to me...
context: Huh?\Delicious!\It actually turned out to be delicious! It's a one-in-ten-thousand miracle!\I want to give it to him no matter what! I've got to give it to him!\DELICIOUS\If I'm not mistaken, today's Valentine's Day, huh?\Well, not that it means much to me.\Not that it really means anything to me... response:	You were hopeful, were you not?
context: Delicious!\It actually turned out to be delicious! It's a one-in-ten-thousand miracle!\I want to give it to him no matter what! I've got to give it to him!\DELICIOUS\If I'm not mistaken, today's Valentine's Day, huh?\Well, not that it means much to me.\Not that it really means anything to me...\You were hopeful, were you not? response:	I was not. Not by a long shot!
context: It actually turned out to be delicious! It's a one-in-ten-thousand miracle!\I want to give it to him no matter what! I've got to give it to him!\DELICIOUS\If I'm not mistaken, today's Valentine's Day, huh?\Well, not that it means much to me.\Not that it really means anything to me...\You were hopeful, were you not?\I was not. Not by a long shot! response:	Jeez, Shu! As if there'd be any chocolates in my locker...
context: I want to give it to him no matter what! I've got to give it to him!\DELICIOUS\If I'm not mistaken, today's Valentine's Day, huh?\Well, not that it means much to me.\Not that it really means anything to me...\You were hopeful, were you not?\I was not. Not by a long shot!\Jeez, Shu! As if there'd be any chocolates in my locker... response:	There's no way in hell.
context: DELICIOUS\If I'm not mistaken, today's Valentine's Day, huh?\Well, not that it means much to me.\Not that it really means anything to me...\You were hopeful, were you not?\I was not. Not by a long shot!\Jeez, Shu! As if there'd be any chocolates in my locker...\There's no way in hell. response:	My, how modest we are!
context: If I'm not mistaken, today's Valentine's Day, huh?\Well, not that it means much to me.\Not that it really means anything to me...\You were hopeful, were you not?\I was not. Not by a long shot!\Jeez, Shu! As if there'd be any chocolates in my locker...\There's no way in hell.\My, how modest we are! response:	Well, let's just pray that somebody will give us some by the end of the day... comrade!
context: Well, not that it means much to me.\Not that it really means anything to me...\You were hopeful, were you not?\I was not. Not by a long shot!\Jeez, Shu! As if there'd be any chocolates in my locker...\There's no way in hell.\My, how modest we are!\Well, let's just pray that somebody will give us some by the end of the day... comrade! response:	It's not a big deal, all right?
context: Not that it really means anything to me...\You were hopeful, were you not?\I was not. Not by a long shot!\Jeez, Shu! As if there'd be any chocolates in my locker...\There's no way in hell.\My, how modest we are!\Well, let's just pray that somebody will give us some by the end of the day... comrade!\It's not a big deal, all right? response:	Awww, I wish someone would give me some chocolate!
context: You were hopeful, were you not?\I was not. Not by a long shot!\Jeez, Shu! As if there'd be any chocolates in my locker...\There's no way in hell.\My, how modest we are!\Well, let's just pray that somebody will give us some by the end of the day... comrade!\It's not a big deal, all right?\Awww, I wish someone would give me some chocolate! response:	After all, I've never gotten any from a girl before...
context: I was not. Not by a long shot!\Jeez, Shu! As if there'd be any chocolates in my locker...\There's no way in hell.\My, how modest we are!\Well, let's just pray that somebody will give us some by the end of the day... comrade!\It's not a big deal, all right?\Awww, I wish someone would give me some chocolate!\After all, I've never gotten any from a girl before... response:	Will Chitoge bring me some, maybe?
context: Jeez, Shu! As if there'd be any chocolates in my locker...\There's no way in hell.\My, how modest we are!\Well, let's just pray that somebody will give us some by the end of the day... comrade!\It's not a big deal, all right?\Awww, I wish someone would give me some chocolate!\After all, I've never gotten any from a girl before...\Will Chitoge bring me some, maybe? response:	I mean, we are boyfriend and girlfriend on paper...
context: There's no way in hell.\My, how modest we are!\Well, let's just pray that somebody will give us some by the end of the day... comrade!\It's not a big deal, all right?\Awww, I wish someone would give me some chocolate!\After all, I've never gotten any from a girl before...\Will Chitoge bring me some, maybe?\I mean, we are boyfriend and girlfriend on paper... response:	And maybe Onodera, too...
context: My, how modest we are!\Well, let's just pray that somebody will give us some by the end of the day... comrade!\It's not a big deal, all right?\Awww, I wish someone would give me some chocolate!\After all, I've never gotten any from a girl before...\Will Chitoge bring me some, maybe?\I mean, we are boyfriend and girlfriend on paper...\And maybe Onodera, too... response:	Nah, that's never gonna happen, right? How delusional am I?
context: Well, let's just pray that somebody will give us some by the end of the day... comrade!\It's not a big deal, all right?\Awww, I wish someone would give me some chocolate!\After all, I've never gotten any from a girl before...\Will Chitoge bring me some, maybe?\I mean, we are boyfriend and girlfriend on paper...\And maybe Onodera, too...\Nah, that's never gonna happen, right? How delusional am I? response:	As if she'd give me any! Me of all people!
