context: My beloved Vieira Sensei... response:	The city where Sensei conducted, Prague...
context: My beloved Vieira Sensei...\The city where Sensei conducted, Prague... response:	The performance in Dvorak Hall...
context: My beloved Vieira Sensei...\The city where Sensei conducted, Prague...\The performance in Dvorak Hall... response:	This year I really wanted to go to see it again...
context: My beloved Vieira Sensei...\The city where Sensei conducted, Prague...\The performance in Dvorak Hall...\This year I really wanted to go to see it again... response:	Why do I have to be here?
context: My beloved Vieira Sensei...\The city where Sensei conducted, Prague...\The performance in Dvorak Hall...\This year I really wanted to go to see it again...\Why do I have to be here? response:	Having a famous pianist for a father,
context: My beloved Vieira Sensei...\The city where Sensei conducted, Prague...\The performance in Dvorak Hall...\This year I really wanted to go to see it again...\Why do I have to be here?\Having a famous pianist for a father, response:	raised in a family of musicians,
context: My beloved Vieira Sensei...\The city where Sensei conducted, Prague...\The performance in Dvorak Hall...\This year I really wanted to go to see it again...\Why do I have to be here?\Having a famous pianist for a father,\raised in a family of musicians, response:	since I was small I have attended stages all over the world...
context: My beloved Vieira Sensei...\The city where Sensei conducted, Prague...\The performance in Dvorak Hall...\This year I really wanted to go to see it again...\Why do I have to be here?\Having a famous pianist for a father,\raised in a family of musicians,\since I was small I have attended stages all over the world... response:	Vienna...
context: The city where Sensei conducted, Prague...\The performance in Dvorak Hall...\This year I really wanted to go to see it again...\Why do I have to be here?\Having a famous pianist for a father,\raised in a family of musicians,\since I was small I have attended stages all over the world...\Vienna... response:	Berlin...
context: The performance in Dvorak Hall...\This year I really wanted to go to see it again...\Why do I have to be here?\Having a famous pianist for a father,\raised in a family of musicians,\since I was small I have attended stages all over the world...\Vienna...\Berlin... response:	Prague...
context: This year I really wanted to go to see it again...\Why do I have to be here?\Having a famous pianist for a father,\raised in a family of musicians,\since I was small I have attended stages all over the world...\Vienna...\Berlin...\Prague... response:	the majestic Orchestras of Europe...
context: Why do I have to be here?\Having a famous pianist for a father,\raised in a family of musicians,\since I was small I have attended stages all over the world...\Vienna...\Berlin...\Prague...\the majestic Orchestras of Europe... response:	and then, the conducting of Sebastiano Vieira
context: Having a famous pianist for a father,\raised in a family of musicians,\since I was small I have attended stages all over the world...\Vienna...\Berlin...\Prague...\the majestic Orchestras of Europe...\and then, the conducting of Sebastiano Vieira response:	Soon I became engrossed in music...
context: raised in a family of musicians,\since I was small I have attended stages all over the world...\Vienna...\Berlin...\Prague...\the majestic Orchestras of Europe...\and then, the conducting of Sebastiano Vieira\Soon I became engrossed in music... response:	Using my father's reputation I slipped into the Concert Hall
context: since I was small I have attended stages all over the world...\Vienna...\Berlin...\Prague...\the majestic Orchestras of Europe...\and then, the conducting of Sebastiano Vieira\Soon I became engrossed in music...\Using my father's reputation I slipped into the Concert Hall response:	Oh, tamagochi!
context: Vienna...\Berlin...\Prague...\the majestic Orchestras of Europe...\and then, the conducting of Sebastiano Vieira\Soon I became engrossed in music...\Using my father's reputation I slipped into the Concert Hall\Oh, tamagochi! response:	That was when Vieira-Sensei began to grow fond of me...
context: Berlin...\Prague...\the majestic Orchestras of Europe...\and then, the conducting of Sebastiano Vieira\Soon I became engrossed in music...\Using my father's reputation I slipped into the Concert Hall\Oh, tamagochi!\That was when Vieira-Sensei began to grow fond of me... response:	I was a small child but even so he taught me various things
context: Prague...\the majestic Orchestras of Europe...\and then, the conducting of Sebastiano Vieira\Soon I became engrossed in music...\Using my father's reputation I slipped into the Concert Hall\Oh, tamagochi!\That was when Vieira-Sensei began to grow fond of me...\I was a small child but even so he taught me various things response:	scatologist (a person having an interest in poops)
context: the majestic Orchestras of Europe...\and then, the conducting of Sebastiano Vieira\Soon I became engrossed in music...\Using my father's reputation I slipped into the Concert Hall\Oh, tamagochi!\That was when Vieira-Sensei began to grow fond of me...\I was a small child but even so he taught me various things\scatologist (a person having an interest in poops) response:	And then, when my mother divorced my father and I had to go home to Japan with her...
context: and then, the conducting of Sebastiano Vieira\Soon I became engrossed in music...\Using my father's reputation I slipped into the Concert Hall\Oh, tamagochi!\That was when Vieira-Sensei began to grow fond of me...\I was a small child but even so he taught me various things\scatologist (a person having an interest in poops)\And then, when my mother divorced my father and I had to go home to Japan with her... response:	Ten years later...
context: Soon I became engrossed in music...\Using my father's reputation I slipped into the Concert Hall\Oh, tamagochi!\That was when Vieira-Sensei began to grow fond of me...\I was a small child but even so he taught me various things\scatologist (a person having an interest in poops)\And then, when my mother divorced my father and I had to go home to Japan with her...\Ten years later... response:	Why do I have to be here?
context: Using my father's reputation I slipped into the Concert Hall\Oh, tamagochi!\That was when Vieira-Sensei began to grow fond of me...\I was a small child but even so he taught me various things\scatologist (a person having an interest in poops)\And then, when my mother divorced my father and I had to go home to Japan with her...\Ten years later...\Why do I have to be here? response:	Terrible!
context: Oh, tamagochi!\That was when Vieira-Sensei began to grow fond of me...\I was a small child but even so he taught me various things\scatologist (a person having an interest in poops)\And then, when my mother divorced my father and I had to go home to Japan with her...\Ten years later...\Why do I have to be here?\Terrible! response:	Equally terrible!
context: That was when Vieira-Sensei began to grow fond of me...\I was a small child but even so he taught me various things\scatologist (a person having an interest in poops)\And then, when my mother divorced my father and I had to go home to Japan with her...\Ten years later...\Why do I have to be here?\Terrible!\Equally terrible! response:	Everyone's terrible!
context: I was a small child but even so he taught me various things\scatologist (a person having an interest in poops)\And then, when my mother divorced my father and I had to go home to Japan with her...\Ten years later...\Why do I have to be here?\Terrible!\Equally terrible!\Everyone's terrible! response:	Hey! Look, look! It's Chiaki-sama!
context: scatologist (a person having an interest in poops)\And then, when my mother divorced my father and I had to go home to Japan with her...\Ten years later...\Why do I have to be here?\Terrible!\Equally terrible!\Everyone's terrible!\Hey! Look, look! It's Chiaki-sama! response:	Great, he's heading here!
context: And then, when my mother divorced my father and I had to go home to Japan with her...\Ten years later...\Why do I have to be here?\Terrible!\Equally terrible!\Everyone's terrible!\Hey! Look, look! It's Chiaki-sama!\Great, he's heading here! response:	A- ah, that fourth-year Chiaki-senpai? I don't know why but he's really putting on airs!
context: Ten years later...\Why do I have to be here?\Terrible!\Equally terrible!\Everyone's terrible!\Hey! Look, look! It's Chiaki-sama!\Great, he's heading here!\A- ah, that fourth-year Chiaki-senpai? I don't know why but he's really putting on airs! response:	That Nani-sama, Ore-sama, Chiaki-sama?
context: Why do I have to be here?\Terrible!\Equally terrible!\Everyone's terrible!\Hey! Look, look! It's Chiaki-sama!\Great, he's heading here!\A- ah, that fourth-year Chiaki-senpai? I don't know why but he's really putting on airs!\That Nani-sama, Ore-sama, Chiaki-sama? response:	Be quiet, all of you!
context: Terrible!\Equally terrible!\Everyone's terrible!\Hey! Look, look! It's Chiaki-sama!\Great, he's heading here!\A- ah, that fourth-year Chiaki-senpai? I don't know why but he's really putting on airs!\That Nani-sama, Ore-sama, Chiaki-sama?\Be quiet, all of you! response:	Don't give Chiaki-Sama trouble!
context: Equally terrible!\Everyone's terrible!\Hey! Look, look! It's Chiaki-sama!\Great, he's heading here!\A- ah, that fourth-year Chiaki-senpai? I don't know why but he's really putting on airs!\That Nani-sama, Ore-sama, Chiaki-sama?\Be quiet, all of you!\Don't give Chiaki-Sama trouble! response:	Watch your manners, okay? Your manners!
context: Everyone's terrible!\Hey! Look, look! It's Chiaki-sama!\Great, he's heading here!\A- ah, that fourth-year Chiaki-senpai? I don't know why but he's really putting on airs!\That Nani-sama, Ore-sama, Chiaki-sama?\Be quiet, all of you!\Don't give Chiaki-Sama trouble!\Watch your manners, okay? Your manners! response:	So impressive even for Eto Sensei, who teaches only the super talented in the Piano Division, he's the most favorite.
