context: watashi ga umareta asa no machi yuki no naka ni umoreta response:	sore wa sore wa chiisai te de aozora wo aoida
context: watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida response:	sanagara mukashi kara yoku shiru tonari no ano ko no you ni
context: watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni response:	katahou no mimitabu de kiku sotsugyou no canon
context: watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon response:	hitori demo daijoubu yo tte mekureteru watashi no story
context: watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story response:	dareka no sei ni shitai yo
context: watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo response:	tsurai naa iya iya
context: watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya response:	kanashikutte naite bakkari itara me ga tokete nakunatta
context: watashi ga umareta asa no machi yuki no naka ni umoreta\sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta response:	aki ni nari mata fuyu ni nari hitotsu toshi wo totta
context: sore wa sore wa chiisai te de aozora wo aoida\sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta response:	tooku made nigete iru tsumori demo owaranai kimi no story
context: sanagara mukashi kara yoku shiru tonari no ano ko no you ni\katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story response:	niya niya waratte iru
context: katahou no mimitabu de kiku sotsugyou no canon\hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru response:	fugainaiya iya
context: hitori demo daijoubu yo tte mekureteru watashi no story\dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya response:	sugari nagara oikakete mitemo ashige ni saretemo
context: dareka no sei ni shitai yo\tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo response:	aita ana wo fusagou
context: tsurai naa iya iya\kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou response:	chigai nai ya iya
context: kanashikutte naite bakkari itara me ga tokete nakunatta\aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya response:	fugainai ya iya
context: aki ni nari mata fuyu ni nari hitotsu toshi wo totta\tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya response:	tsurai naa iya iya
context: tooku made nigete iru tsumori demo owaranai kimi no story\niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya response:	My hometown lay buried in snow the morning I was born.
context: niya niya waratte iru\fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born. response:	I looked up at the blue sky with my tiny hands.
context: fugainaiya iya\sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands. response:	The face of the girl next door that I've known so well...
context: sugari nagara oikakete mitemo ashige ni saretemo\aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well... response:	It's as familiar as the graduation canon.
context: aita ana wo fusagou\chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon. response:	Thriving in solitude has been mistaken as my life story.
context: chigai nai ya iya\fugainai ya iya\tsurai naa iya iya\My hometown lay buried in snow the morning I was born.\I looked up at the blue sky with my tiny hands.\The face of the girl next door that I've known so well...\It's as familiar as the graduation canon.\Thriving in solitude has been mistaken as my life story. response:	I want to blame it on someone.
