context: The port town of Hargeon... response:	A Fairy Tail ship has just set sail from here.
context: The port town of Hargeon...\A Fairy Tail ship has just set sail from here. response:	With 8 teams of wizards aboard, it heads for Tenroujima.
context: The port town of Hargeon...\A Fairy Tail ship has just set sail from here.\With 8 teams of wizards aboard, it heads for Tenroujima. response:	The S Class Wizard Advancement Exam is a big annual event in Fairy Tail.
context: The port town of Hargeon...\A Fairy Tail ship has just set sail from here.\With 8 teams of wizards aboard, it heads for Tenroujima.\The S Class Wizard Advancement Exam is a big annual event in Fairy Tail. response:	8 participants, including Natsu, and their chosen partners,
context: The port town of Hargeon...\A Fairy Tail ship has just set sail from here.\With 8 teams of wizards aboard, it heads for Tenroujima.\The S Class Wizard Advancement Exam is a big annual event in Fairy Tail.\8 participants, including Natsu, and their chosen partners, response:	took up the challenge, set this year on the holy ground of Tenroujima.
context: The port town of Hargeon...\A Fairy Tail ship has just set sail from here.\With 8 teams of wizards aboard, it heads for Tenroujima.\The S Class Wizard Advancement Exam is a big annual event in Fairy Tail.\8 participants, including Natsu, and their chosen partners,\took up the challenge, set this year on the holy ground of Tenroujima. response:	Only one person can pass.
context: The port town of Hargeon...\A Fairy Tail ship has just set sail from here.\With 8 teams of wizards aboard, it heads for Tenroujima.\The S Class Wizard Advancement Exam is a big annual event in Fairy Tail.\8 participants, including Natsu, and their chosen partners,\took up the challenge, set this year on the holy ground of Tenroujima.\Only one person can pass. response:	Who will be the one to open the door to S Class?
context: The port town of Hargeon...\A Fairy Tail ship has just set sail from here.\With 8 teams of wizards aboard, it heads for Tenroujima.\The S Class Wizard Advancement Exam is a big annual event in Fairy Tail.\8 participants, including Natsu, and their chosen partners,\took up the challenge, set this year on the holy ground of Tenroujima.\Only one person can pass.\Who will be the one to open the door to S Class? response:	So hot...
context: A Fairy Tail ship has just set sail from here.\With 8 teams of wizards aboard, it heads for Tenroujima.\The S Class Wizard Advancement Exam is a big annual event in Fairy Tail.\8 participants, including Natsu, and their chosen partners,\took up the challenge, set this year on the holy ground of Tenroujima.\Only one person can pass.\Who will be the one to open the door to S Class?\So hot... response:	Even though it was winter at home... What is this?!
context: With 8 teams of wizards aboard, it heads for Tenroujima.\The S Class Wizard Advancement Exam is a big annual event in Fairy Tail.\8 participants, including Natsu, and their chosen partners,\took up the challenge, set this year on the holy ground of Tenroujima.\Only one person can pass.\Who will be the one to open the door to S Class?\So hot...\Even though it was winter at home... What is this?! response:	I think I'm gonna melt!
context: The S Class Wizard Advancement Exam is a big annual event in Fairy Tail.\8 participants, including Natsu, and their chosen partners,\took up the challenge, set this year on the holy ground of Tenroujima.\Only one person can pass.\Who will be the one to open the door to S Class?\So hot...\Even though it was winter at home... What is this?!\I think I'm gonna melt! response:	I'll turn into ice cream and get eaten by Happy!
context: 8 participants, including Natsu, and their chosen partners,\took up the challenge, set this year on the holy ground of Tenroujima.\Only one person can pass.\Who will be the one to open the door to S Class?\So hot...\Even though it was winter at home... What is this?!\I think I'm gonna melt!\I'll turn into ice cream and get eaten by Happy! response:	Not very appetizing...
context: took up the challenge, set this year on the holy ground of Tenroujima.\Only one person can pass.\Who will be the one to open the door to S Class?\So hot...\Even though it was winter at home... What is this?!\I think I'm gonna melt!\I'll turn into ice cream and get eaten by Happy!\Not very appetizing... response:	Lu-chan, sit up straight.
context: Only one person can pass.\Who will be the one to open the door to S Class?\So hot...\Even though it was winter at home... What is this?!\I think I'm gonna melt!\I'll turn into ice cream and get eaten by Happy!\Not very appetizing...\Lu-chan, sit up straight. response:	Because of currents, this area has the same climate all year'round.
context: Who will be the one to open the door to S Class?\So hot...\Even though it was winter at home... What is this?!\I think I'm gonna melt!\I'll turn into ice cream and get eaten by Happy!\Not very appetizing...\Lu-chan, sit up straight.\Because of currents, this area has the same climate all year'round. response:	I feel sluggish...
