context: My brother, my brother... response:	My brother, my brother...
context: My brother, my brother...\My brother, my brother... response:	My beloved brother.
context: My brother, my brother...\My brother, my brother...\My beloved brother. response:	My brother.
context: My brother, my brother...\My brother, my brother...\My beloved brother.\My brother. response:	I've come... I've come...
context: My brother, my brother...\My brother, my brother...\My beloved brother.\My brother.\I've come... I've come... response:	I've come to see you!
context: My brother, my brother...\My brother, my brother...\My beloved brother.\My brother.\I've come... I've come...\I've come to see you! response:	Anybody home?
context: My brother, my brother...\My brother, my brother...\My beloved brother.\My brother.\I've come... I've come...\I've come to see you!\Anybody home? response:	Sakura Hall
context: My brother, my brother...\My brother, my brother...\My beloved brother.\My brother.\I've come... I've come...\I've come to see you!\Anybody home?\Sakura Hall response:	Hey, Shiina! Your underwear!
context: My brother, my brother...\My beloved brother.\My brother.\I've come... I've come...\I've come to see you!\Anybody home?\Sakura Hall\Hey, Shiina! Your underwear! response:	What?!
context: My beloved brother.\My brother.\I've come... I've come...\I've come to see you!\Anybody home?\Sakura Hall\Hey, Shiina! Your underwear!\What?! response:	U-Um...
context: My brother.\I've come... I've come...\I've come to see you!\Anybody home?\Sakura Hall\Hey, Shiina! Your underwear!\What?!\U-Um... response:	Sheesh!
context: I've come... I've come...\I've come to see you!\Anybody home?\Sakura Hall\Hey, Shiina! Your underwear!\What?!\U-Um...\Sheesh! response:	You need to realize the importance of underwear already!
context: I've come to see you!\Anybody home?\Sakura Hall\Hey, Shiina! Your underwear!\What?!\U-Um...\Sheesh!\You need to realize the importance of underwear already! response:	God's Little Prank
context: Anybody home?\Sakura Hall\Hey, Shiina! Your underwear!\What?!\U-Um...\Sheesh!\You need to realize the importance of underwear already!\God's Little Prank response:	They're not just scraps of
context: Sakura Hall\Hey, Shiina! Your underwear!\What?!\U-Um...\Sheesh!\You need to realize the importance of underwear already!\God's Little Prank\They're not just scraps of response:	You're...
context: Hey, Shiina! Your underwear!\What?!\U-Um...\Sheesh!\You need to realize the importance of underwear already!\God's Little Prank\They're not just scraps of\You're... response:	You're... you're...
context: What?!\U-Um...\Sheesh!\You need to realize the importance of underwear already!\God's Little Prank\They're not just scraps of\You're...\You're... you're... response:	You're with a naked girl?!
context: U-Um...\Sheesh!\You need to realize the importance of underwear already!\God's Little Prank\They're not just scraps of\You're...\You're... you're...\You're with a naked girl?! response:	We are...
context: Sheesh!\You need to realize the importance of underwear already!\God's Little Prank\They're not just scraps of\You're...\You're... you're...\You're with a naked girl?!\We are... response:	Earthlings...
context: You need to realize the importance of underwear already!\God's Little Prank\They're not just scraps of\You're...\You're... you're...\You're with a naked girl?!\We are...\Earthlings... response:	Testing... testing...
context: God's Little Prank\They're not just scraps of\You're...\You're... you're...\You're with a naked girl?!\We are...\Earthlings...\Testing... testing... response:	Hey, Mom. It's me.
context: They're not just scraps of\You're...\You're... you're...\You're with a naked girl?!\We are...\Earthlings...\Testing... testing...\Hey, Mom. It's me. response:	Image by Shiina Mashiro
context: You're...\You're... you're...\You're with a naked girl?!\We are...\Earthlings...\Testing... testing...\Hey, Mom. It's me.\Image by Shiina Mashiro response:	It's me.
context: You're... you're...\You're with a naked girl?!\We are...\Earthlings...\Testing... testing...\Hey, Mom. It's me.\Image by Shiina Mashiro\It's me. response:	D-Dad?!
context: You're with a naked girl?!\We are...\Earthlings...\Testing... testing...\Hey, Mom. It's me.\Image by Shiina Mashiro\It's me.\D-Dad?! response:	Perfect timing. There's something I wanted to tell you.
context: We are...\Earthlings...\Testing... testing...\Hey, Mom. It's me.\Image by Shiina Mashiro\It's me.\D-Dad?!\Perfect timing. There's something I wanted to tell you. response:	Wh-What's that?
context: Earthlings...\Testing... testing...\Hey, Mom. It's me.\Image by Shiina Mashiro\It's me.\D-Dad?!\Perfect timing. There's something I wanted to tell you.\Wh-What's that? response:	Image by Kamiigusa Misaki
context: Testing... testing...\Hey, Mom. It's me.\Image by Shiina Mashiro\It's me.\D-Dad?!\Perfect timing. There's something I wanted to tell you.\Wh-What's that?\Image by Kamiigusa Misaki response:	I'll never let you have my daughter!
context: Hey, Mom. It's me.\Image by Shiina Mashiro\It's me.\D-Dad?!\Perfect timing. There's something I wanted to tell you.\Wh-What's that?\Image by Kamiigusa Misaki\I'll never let you have my daughter! response:	We are...
context: Image by Shiina Mashiro\It's me.\D-Dad?!\Perfect timing. There's something I wanted to tell you.\Wh-What's that?\Image by Kamiigusa Misaki\I'll never let you have my daughter!\We are... response:	Earthlings...
context: It's me.\D-Dad?!\Perfect timing. There's something I wanted to tell you.\Wh-What's that?\Image by Kamiigusa Misaki\I'll never let you have my daughter!\We are...\Earthlings... response:	Image
context: D-Dad?!\Perfect timing. There's something I wanted to tell you.\Wh-What's that?\Image by Kamiigusa Misaki\I'll never let you have my daughter!\We are...\Earthlings...\Image response:	Mother
context: Perfect timing. There's something I wanted to tell you.\Wh-What's that?\Image by Kamiigusa Misaki\I'll never let you have my daughter!\We are...\Earthlings...\Image\Mother response:	Here's a question for you. Who am I?
context: Wh-What's that?\Image by Kamiigusa Misaki\I'll never let you have my daughter!\We are...\Earthlings...\Image\Mother\Here's a question for you. Who am I? response:	Option 1: Yang Guifei.
context: Image by Kamiigusa Misaki\I'll never let you have my daughter!\We are...\Earthlings...\Image\Mother\Here's a question for you. Who am I?\Option 1: Yang Guifei. response:	Option 2: Cleopatra.
context: I'll never let you have my daughter!\We are...\Earthlings...\Image\Mother\Here's a question for you. Who am I?\Option 1: Yang Guifei.\Option 2: Cleopatra. response:	Option 3...
context: We are...\Earthlings...\Image\Mother\Here's a question for you. Who am I?\Option 1: Yang Guifei.\Option 2: Cleopatra.\Option 3... response:	Hello, Mom?
context: Earthlings...\Image\Mother\Here's a question for you. Who am I?\Option 1: Yang Guifei.\Option 2: Cleopatra.\Option 3...\Hello, Mom? response:	We are Earthlings...
context: Image\Mother\Here's a question for you. Who am I?\Option 1: Yang Guifei.\Option 2: Cleopatra.\Option 3...\Hello, Mom?\We are Earthlings... response:	Sorata, what's wrong? You sound tired.
context: Mother\Here's a question for you. Who am I?\Option 1: Yang Guifei.\Option 2: Cleopatra.\Option 3...\Hello, Mom?\We are Earthlings...\Sorata, what's wrong? You sound tired. response:	Of course I'm tired!
context: Here's a question for you. Who am I?\Option 1: Yang Guifei.\Option 2: Cleopatra.\Option 3...\Hello, Mom?\We are Earthlings...\Sorata, what's wrong? You sound tired.\Of course I'm tired! response:	At least answer the phone like a normal person!
context: Option 1: Yang Guifei.\Option 2: Cleopatra.\Option 3...\Hello, Mom?\We are Earthlings...\Sorata, what's wrong? You sound tired.\Of course I'm tired!\At least answer the phone like a normal person! response:	I have enough on my plate as it is...
context: Option 2: Cleopatra.\Option 3...\Hello, Mom?\We are Earthlings...\Sorata, what's wrong? You sound tired.\Of course I'm tired!\At least answer the phone like a normal person!\I have enough on my plate as it is... response:	Why?
context: Option 3...\Hello, Mom?\We are Earthlings...\Sorata, what's wrong? You sound tired.\Of course I'm tired!\At least answer the phone like a normal person!\I have enough on my plate as it is...\Why? response:	It's Yuko. She's turned up here.
context: Hello, Mom?\We are Earthlings...\Sorata, what's wrong? You sound tired.\Of course I'm tired!\At least answer the phone like a normal person!\I have enough on my plate as it is...\Why?\It's Yuko. She's turned up here. response:	Oh yeah, about that...
context: We are Earthlings...\Sorata, what's wrong? You sound tired.\Of course I'm tired!\At least answer the phone like a normal person!\I have enough on my plate as it is...\Why?\It's Yuko. She's turned up here.\Oh yeah, about that... response:	Mother! Mother!
context: Sorata, what's wrong? You sound tired.\Of course I'm tired!\At least answer the phone like a normal person!\I have enough on my plate as it is...\Why?\It's Yuko. She's turned up here.\Oh yeah, about that...\Mother! Mother! response:	Why won't my dear brother come home...
context: Of course I'm tired!\At least answer the phone like a normal person!\I have enough on my plate as it is...\Why?\It's Yuko. She's turned up here.\Oh yeah, about that...\Mother! Mother!\Why won't my dear brother come home... response:	even though it's summer break?
context: At least answer the phone like a normal person!\I have enough on my plate as it is...\Why?\It's Yuko. She's turned up here.\Oh yeah, about that...\Mother! Mother!\Why won't my dear brother come home...\even though it's summer break? response:	Because he's living with a girl in Tokyo in secret to you...
context: I have enough on my plate as it is...\Why?\It's Yuko. She's turned up here.\Oh yeah, about that...\Mother! Mother!\Why won't my dear brother come home...\even though it's summer break?\Because he's living with a girl in Tokyo in secret to you... response:	and he's doing lots of unmentionable things with her!
context: Why?\It's Yuko. She's turned up here.\Oh yeah, about that...\Mother! Mother!\Why won't my dear brother come home...\even though it's summer break?\Because he's living with a girl in Tokyo in secret to you...\and he's doing lots of unmentionable things with her! response:	Oh, no!
context: It's Yuko. She's turned up here.\Oh yeah, about that...\Mother! Mother!\Why won't my dear brother come home...\even though it's summer break?\Because he's living with a girl in Tokyo in secret to you...\and he's doing lots of unmentionable things with her!\Oh, no! response:	After I told her that, she insisted on going to see you.
context: Oh yeah, about that...\Mother! Mother!\Why won't my dear brother come home...\even though it's summer break?\Because he's living with a girl in Tokyo in secret to you...\and he's doing lots of unmentionable things with her!\Oh, no!\After I told her that, she insisted on going to see you. response:	So, this was your doing...
context: Mother! Mother!\Why won't my dear brother come home...\even though it's summer break?\Because he's living with a girl in Tokyo in secret to you...\and he's doing lots of unmentionable things with her!\Oh, no!\After I told her that, she insisted on going to see you.\So, this was your doing... response:	Image by Aoyama Nanami
context: Why won't my dear brother come home...\even though it's summer break?\Because he's living with a girl in Tokyo in secret to you...\and he's doing lots of unmentionable things with her!\Oh, no!\After I told her that, she insisted on going to see you.\So, this was your doing...\Image by Aoyama Nanami response:	Well, that's how it is, so take care of Yuko for a while!
context: even though it's summer break?\Because he's living with a girl in Tokyo in secret to you...\and he's doing lots of unmentionable things with her!\Oh, no!\After I told her that, she insisted on going to see you.\So, this was your doing...\Image by Aoyama Nanami\Well, that's how it is, so take care of Yuko for a while! response:	What are you saying?!
context: Because he's living with a girl in Tokyo in secret to you...\and he's doing lots of unmentionable things with her!\Oh, no!\After I told her that, she insisted on going to see you.\So, this was your doing...\Image by Aoyama Nanami\Well, that's how it is, so take care of Yuko for a while!\What are you saying?! response:	Image by Akasaka Ryunosuke
context: and he's doing lots of unmentionable things with her!\Oh, no!\After I told her that, she insisted on going to see you.\So, this was your doing...\Image by Aoyama Nanami\Well, that's how it is, so take care of Yuko for a while!\What are you saying?!\Image by Akasaka Ryunosuke response:	She wanted to talk to you about her future plans,
context: Oh, no!\After I told her that, she insisted on going to see you.\So, this was your doing...\Image by Aoyama Nanami\Well, that's how it is, so take care of Yuko for a while!\What are you saying?!\Image by Akasaka Ryunosuke\She wanted to talk to you about her future plans, response:	so ask her about them.
context: After I told her that, she insisted on going to see you.\So, this was your doing...\Image by Aoyama Nanami\Well, that's how it is, so take care of Yuko for a while!\What are you saying?!\Image by Akasaka Ryunosuke\She wanted to talk to you about her future plans,\so ask her about them. response:	Did she just gloss over the most important part?
context: So, this was your doing...\Image by Aoyama Nanami\Well, that's how it is, so take care of Yuko for a while!\What are you saying?!\Image by Akasaka Ryunosuke\She wanted to talk to you about her future plans,\so ask her about them.\Did she just gloss over the most important part? response:	Starting Station: Harajuku -> Shinjuku, Yoyogi, Shibuya Fare Quota: 160 Yen
context: Image by Aoyama Nanami\Well, that's how it is, so take care of Yuko for a while!\What are you saying?!\Image by Akasaka Ryunosuke\She wanted to talk to you about her future plans,\so ask her about them.\Did she just gloss over the most important part?\Starting Station: Harajuku -> Shinjuku, Yoyogi, Shibuya Fare Quota: 160 Yen response:	I don't have time to babysit...
context: Well, that's how it is, so take care of Yuko for a while!\What are you saying?!\Image by Akasaka Ryunosuke\She wanted to talk to you about her future plans,\so ask her about them.\Did she just gloss over the most important part?\Starting Station: Harajuku -> Shinjuku, Yoyogi, Shibuya Fare Quota: 160 Yen\I don't have time to babysit... response:	Let's Make a Game! Pitch Train Train (Temp): Original Puzzle Game Downloadable Mobile Phone Content
context: What are you saying?!\Image by Akasaka Ryunosuke\She wanted to talk to you about her future plans,\so ask her about them.\Did she just gloss over the most important part?\Starting Station: Harajuku -> Shinjuku, Yoyogi, Shibuya Fare Quota: 160 Yen\I don't have time to babysit...\Let's Make a Game! Pitch Train Train (Temp): Original Puzzle Game Downloadable Mobile Phone Content response:	The results haven't been announced yet...
context: Image by Akasaka Ryunosuke\She wanted to talk to you about her future plans,\so ask her about them.\Did she just gloss over the most important part?\Starting Station: Harajuku -> Shinjuku, Yoyogi, Shibuya Fare Quota: 160 Yen\I don't have time to babysit...\Let's Make a Game! Pitch Train Train (Temp): Original Puzzle Game Downloadable Mobile Phone Content\The results haven't been announced yet... response:	Sorata.
context: She wanted to talk to you about her future plans,\so ask her about them.\Did she just gloss over the most important part?\Starting Station: Harajuku -> Shinjuku, Yoyogi, Shibuya Fare Quota: 160 Yen\I don't have time to babysit...\Let's Make a Game! Pitch Train Train (Temp): Original Puzzle Game Downloadable Mobile Phone Content\The results haven't been announced yet...\Sorata. response:	Who is this woman?
context: so ask her about them.\Did she just gloss over the most important part?\Starting Station: Harajuku -> Shinjuku, Yoyogi, Shibuya Fare Quota: 160 Yen\I don't have time to babysit...\Let's Make a Game! Pitch Train Train (Temp): Original Puzzle Game Downloadable Mobile Phone Content\The results haven't been announced yet...\Sorata.\Who is this woman? response:	She's my little sister, Yuko!
context: Did she just gloss over the most important part?\Starting Station: Harajuku -> Shinjuku, Yoyogi, Shibuya Fare Quota: 160 Yen\I don't have time to babysit...\Let's Make a Game! Pitch Train Train (Temp): Original Puzzle Game Downloadable Mobile Phone Content\The results haven't been announced yet...\Sorata.\Who is this woman?\She's my little sister, Yuko! response:	Who's she, Bro?
