context: Why are you doing this? response:	I want you to go back to your Landing Castle
context: Why are you doing this?\I want you to go back to your Landing Castle response:	and find out where the real Princess Asseylum is.
context: Why are you doing this?\I want you to go back to your Landing Castle\and find out where the real Princess Asseylum is. response:	Why me?
context: Why are you doing this?\I want you to go back to your Landing Castle\and find out where the real Princess Asseylum is.\Why me? response:	Because you want the same thing as Princess Asseylum.
context: Why are you doing this?\I want you to go back to your Landing Castle\and find out where the real Princess Asseylum is.\Why me?\Because you want the same thing as Princess Asseylum. response:	There's one other thing that I want you to find out for me.
context: Why are you doing this?\I want you to go back to your Landing Castle\and find out where the real Princess Asseylum is.\Why me?\Because you want the same thing as Princess Asseylum.\There's one other thing that I want you to find out for me. response:	What Slaine Troyard's objective is.
context: Why are you doing this?\I want you to go back to your Landing Castle\and find out where the real Princess Asseylum is.\Why me?\Because you want the same thing as Princess Asseylum.\There's one other thing that I want you to find out for me.\What Slaine Troyard's objective is. response:	Objective?
context: Why are you doing this?\I want you to go back to your Landing Castle\and find out where the real Princess Asseylum is.\Why me?\Because you want the same thing as Princess Asseylum.\There's one other thing that I want you to find out for me.\What Slaine Troyard's objective is.\Objective? response:	Take this.
context: I want you to go back to your Landing Castle\and find out where the real Princess Asseylum is.\Why me?\Because you want the same thing as Princess Asseylum.\There's one other thing that I want you to find out for me.\What Slaine Troyard's objective is.\Objective?\Take this. response:	When you meet Princess Asseylum, show this to her.
context: and find out where the real Princess Asseylum is.\Why me?\Because you want the same thing as Princess Asseylum.\There's one other thing that I want you to find out for me.\What Slaine Troyard's objective is.\Objective?\Take this.\When you meet Princess Asseylum, show this to her. response:	She'll know that you are on our side.
context: Why me?\Because you want the same thing as Princess Asseylum.\There's one other thing that I want you to find out for me.\What Slaine Troyard's objective is.\Objective?\Take this.\When you meet Princess Asseylum, show this to her.\She'll know that you are on our side. response:	Milady!
context: Because you want the same thing as Princess Asseylum.\There's one other thing that I want you to find out for me.\What Slaine Troyard's objective is.\Objective?\Take this.\When you meet Princess Asseylum, show this to her.\She'll know that you are on our side.\Milady! response:	What happened after that, Harklight?
context: There's one other thing that I want you to find out for me.\What Slaine Troyard's objective is.\Objective?\Take this.\When you meet Princess Asseylum, show this to her.\She'll know that you are on our side.\Milady!\What happened after that, Harklight? response:	Pacification of the Lake Victoria area
context: What Slaine Troyard's objective is.\Objective?\Take this.\When you meet Princess Asseylum, show this to her.\She'll know that you are on our side.\Milady!\What happened after that, Harklight?\Pacification of the Lake Victoria area response:	centered around the Landing Castle touchdown point is complete.
context: Objective?\Take this.\When you meet Princess Asseylum, show this to her.\She'll know that you are on our side.\Milady!\What happened after that, Harklight?\Pacification of the Lake Victoria area\centered around the Landing Castle touchdown point is complete. response:	Well done.
context: Take this.\When you meet Princess Asseylum, show this to her.\She'll know that you are on our side.\Milady!\What happened after that, Harklight?\Pacification of the Lake Victoria area\centered around the Landing Castle touchdown point is complete.\Well done. response:	The might of a united front by multiple Orbital Knights
context: When you meet Princess Asseylum, show this to her.\She'll know that you are on our side.\Milady!\What happened after that, Harklight?\Pacification of the Lake Victoria area\centered around the Landing Castle touchdown point is complete.\Well done.\The might of a united front by multiple Orbital Knights response:	struck fear into more than the UFE, I'd wager.
context: She'll know that you are on our side.\Milady!\What happened after that, Harklight?\Pacification of the Lake Victoria area\centered around the Landing Castle touchdown point is complete.\Well done.\The might of a united front by multiple Orbital Knights\struck fear into more than the UFE, I'd wager. response:	I believe that this success will have impressed upon everyone the value of a leader.
context: Milady!\What happened after that, Harklight?\Pacification of the Lake Victoria area\centered around the Landing Castle touchdown point is complete.\Well done.\The might of a united front by multiple Orbital Knights\struck fear into more than the UFE, I'd wager.\I believe that this success will have impressed upon everyone the value of a leader. response:	Because they never expected a difficult fight on Earth,
context: What happened after that, Harklight?\Pacification of the Lake Victoria area\centered around the Landing Castle touchdown point is complete.\Well done.\The might of a united front by multiple Orbital Knights\struck fear into more than the UFE, I'd wager.\I believe that this success will have impressed upon everyone the value of a leader.\Because they never expected a difficult fight on Earth, response:	not with the power of Aldnoah at their disposal.
context: Pacification of the Lake Victoria area\centered around the Landing Castle touchdown point is complete.\Well done.\The might of a united front by multiple Orbital Knights\struck fear into more than the UFE, I'd wager.\I believe that this success will have impressed upon everyone the value of a leader.\Because they never expected a difficult fight on Earth,\not with the power of Aldnoah at their disposal. response:	Aldnoah...
context: centered around the Landing Castle touchdown point is complete.\Well done.\The might of a united front by multiple Orbital Knights\struck fear into more than the UFE, I'd wager.\I believe that this success will have impressed upon everyone the value of a leader.\Because they never expected a difficult fight on Earth,\not with the power of Aldnoah at their disposal.\Aldnoah... response:	Count Saazbaum lamented our hierarchical society based on Aldnoah activation rights.
context: Well done.\The might of a united front by multiple Orbital Knights\struck fear into more than the UFE, I'd wager.\I believe that this success will have impressed upon everyone the value of a leader.\Because they never expected a difficult fight on Earth,\not with the power of Aldnoah at their disposal.\Aldnoah...\Count Saazbaum lamented our hierarchical society based on Aldnoah activation rights. response:	He even believed it was a mistake to live on Mars in the first place.
context: The might of a united front by multiple Orbital Knights\struck fear into more than the UFE, I'd wager.\I believe that this success will have impressed upon everyone the value of a leader.\Because they never expected a difficult fight on Earth,\not with the power of Aldnoah at their disposal.\Aldnoah...\Count Saazbaum lamented our hierarchical society based on Aldnoah activation rights.\He even believed it was a mistake to live on Mars in the first place. response:	Because they had the power to do so, humans migrated to Mars and began the war.
context: struck fear into more than the UFE, I'd wager.\I believe that this success will have impressed upon everyone the value of a leader.\Because they never expected a difficult fight on Earth,\not with the power of Aldnoah at their disposal.\Aldnoah...\Count Saazbaum lamented our hierarchical society based on Aldnoah activation rights.\He even believed it was a mistake to live on Mars in the first place.\Because they had the power to do so, humans migrated to Mars and began the war. response:	Princess Asseylum, Princess Lemrina...
context: I believe that this success will have impressed upon everyone the value of a leader.\Because they never expected a difficult fight on Earth,\not with the power of Aldnoah at their disposal.\Aldnoah...\Count Saazbaum lamented our hierarchical society based on Aldnoah activation rights.\He even believed it was a mistake to live on Mars in the first place.\Because they had the power to do so, humans migrated to Mars and began the war.\Princess Asseylum, Princess Lemrina... response:	Both are victims of Aldnoah.
context: Because they never expected a difficult fight on Earth,\not with the power of Aldnoah at their disposal.\Aldnoah...\Count Saazbaum lamented our hierarchical society based on Aldnoah activation rights.\He even believed it was a mistake to live on Mars in the first place.\Because they had the power to do so, humans migrated to Mars and began the war.\Princess Asseylum, Princess Lemrina...\Both are victims of Aldnoah. response:	That holds true for us, as well.
context: not with the power of Aldnoah at their disposal.\Aldnoah...\Count Saazbaum lamented our hierarchical society based on Aldnoah activation rights.\He even believed it was a mistake to live on Mars in the first place.\Because they had the power to do so, humans migrated to Mars and began the war.\Princess Asseylum, Princess Lemrina...\Both are victims of Aldnoah.\That holds true for us, as well. response:	But our days of being swallowed by that power are at an end.
context: Aldnoah...\Count Saazbaum lamented our hierarchical society based on Aldnoah activation rights.\He even believed it was a mistake to live on Mars in the first place.\Because they had the power to do so, humans migrated to Mars and began the war.\Princess Asseylum, Princess Lemrina...\Both are victims of Aldnoah.\That holds true for us, as well.\But our days of being swallowed by that power are at an end. response:	Using the territory we gained in this battle as a beachhead,
context: Count Saazbaum lamented our hierarchical society based on Aldnoah activation rights.\He even believed it was a mistake to live on Mars in the first place.\Because they had the power to do so, humans migrated to Mars and began the war.\Princess Asseylum, Princess Lemrina...\Both are victims of Aldnoah.\That holds true for us, as well.\But our days of being swallowed by that power are at an end.\Using the territory we gained in this battle as a beachhead, response:	we will eventually expand our domain across the entire Earth.
context: He even believed it was a mistake to live on Mars in the first place.\Because they had the power to do so, humans migrated to Mars and began the war.\Princess Asseylum, Princess Lemrina...\Both are victims of Aldnoah.\That holds true for us, as well.\But our days of being swallowed by that power are at an end.\Using the territory we gained in this battle as a beachhead,\we will eventually expand our domain across the entire Earth. response:	And then, by combining the power of Aldnoah with bountiful resources,
context: Because they had the power to do so, humans migrated to Mars and began the war.\Princess Asseylum, Princess Lemrina...\Both are victims of Aldnoah.\That holds true for us, as well.\But our days of being swallowed by that power are at an end.\Using the territory we gained in this battle as a beachhead,\we will eventually expand our domain across the entire Earth.\And then, by combining the power of Aldnoah with bountiful resources, response:	we will build our world.
context: Princess Asseylum, Princess Lemrina...\Both are victims of Aldnoah.\That holds true for us, as well.\But our days of being swallowed by that power are at an end.\Using the territory we gained in this battle as a beachhead,\we will eventually expand our domain across the entire Earth.\And then, by combining the power of Aldnoah with bountiful resources,\we will build our world. response:	Repair status?
context: Both are victims of Aldnoah.\That holds true for us, as well.\But our days of being swallowed by that power are at an end.\Using the territory we gained in this battle as a beachhead,\we will eventually expand our domain across the entire Earth.\And then, by combining the power of Aldnoah with bountiful resources,\we will build our world.\Repair status? response:	Not good, ma'am.
context: That holds true for us, as well.\But our days of being swallowed by that power are at an end.\Using the territory we gained in this battle as a beachhead,\we will eventually expand our domain across the entire Earth.\And then, by combining the power of Aldnoah with bountiful resources,\we will build our world.\Repair status?\Not good, ma'am. response:	The wiring is fried, and it's taking a long time to replace it.
context: But our days of being swallowed by that power are at an end.\Using the territory we gained in this battle as a beachhead,\we will eventually expand our domain across the entire Earth.\And then, by combining the power of Aldnoah with bountiful resources,\we will build our world.\Repair status?\Not good, ma'am.\The wiring is fried, and it's taking a long time to replace it. response:	A mission at a time like this...?
