context: Your Majesty... response:	Jiu'er.
context: Your Majesty...\Jiu'er. response:	I'm really happy that you carried me home.
context: Your Majesty...\Jiu'er.\I'm really happy that you carried me home. response:	But you're drenched.
context: Your Majesty...\Jiu'er.\I'm really happy that you carried me home.\But you're drenched. response:	That makes me very upset.
context: Your Majesty...\Jiu'er.\I'm really happy that you carried me home.\But you're drenched.\That makes me very upset. response:	In the future...
context: Your Majesty...\Jiu'er.\I'm really happy that you carried me home.\But you're drenched.\That makes me very upset.\In the future... response:	In the future, we'll walk home only after the rain stops. All right?
context: Your Majesty...\Jiu'er.\I'm really happy that you carried me home.\But you're drenched.\That makes me very upset.\In the future...\In the future, we'll walk home only after the rain stops. All right? response:	All right.
context: Your Majesty...\Jiu'er.\I'm really happy that you carried me home.\But you're drenched.\That makes me very upset.\In the future...\In the future, we'll walk home only after the rain stops. All right?\All right. response:	This is not real.
context: Jiu'er.\I'm really happy that you carried me home.\But you're drenched.\That makes me very upset.\In the future...\In the future, we'll walk home only after the rain stops. All right?\All right.\This is not real. response:	What isn't real?
context: I'm really happy that you carried me home.\But you're drenched.\That makes me very upset.\In the future...\In the future, we'll walk home only after the rain stops. All right?\All right.\This is not real.\What isn't real? response:	It isn't real to call you, Your Majesty.
context: But you're drenched.\That makes me very upset.\In the future...\In the future, we'll walk home only after the rain stops. All right?\All right.\This is not real.\What isn't real?\It isn't real to call you, Your Majesty. response:	You're Dong Hua.
context: That makes me very upset.\In the future...\In the future, we'll walk home only after the rain stops. All right?\All right.\This is not real.\What isn't real?\It isn't real to call you, Your Majesty.\You're Dong Hua. response:	Lord Dong Hua.
context: In the future...\In the future, we'll walk home only after the rain stops. All right?\All right.\This is not real.\What isn't real?\It isn't real to call you, Your Majesty.\You're Dong Hua.\Lord Dong Hua. response:	You look better like this.
context: In the future, we'll walk home only after the rain stops. All right?\All right.\This is not real.\What isn't real?\It isn't real to call you, Your Majesty.\You're Dong Hua.\Lord Dong Hua.\You look better like this. response:	You were a bit ugly in your mortal form.
context: All right.\This is not real.\What isn't real?\It isn't real to call you, Your Majesty.\You're Dong Hua.\Lord Dong Hua.\You look better like this.\You were a bit ugly in your mortal form. response:	Was I?
