context: Showdown!! The Embodiment of Flame in a 20x Kaio-ken Kamehame-Ha response:	That's our Freeza-sama! He's just playing with Goku! Such composure!
context: Showdown!! The Embodiment of Flame in a 20x Kaio-ken Kamehame-Ha\That's our Freeza-sama! He's just playing with Goku! Such composure! response:	W- Who the hell are you!?
context: Showdown!! The Embodiment of Flame in a 20x Kaio-ken Kamehame-Ha\That's our Freeza-sama! He's just playing with Goku! Such composure!\W- Who the hell are you!? response:	W- Who, me?
context: Showdown!! The Embodiment of Flame in a 20x Kaio-ken Kamehame-Ha\That's our Freeza-sama! He's just playing with Goku! Such composure!\W- Who the hell are you!?\W- Who, me? response:	He's a frog! A frog, I tell you!
context: Showdown!! The Embodiment of Flame in a 20x Kaio-ken Kamehame-Ha\That's our Freeza-sama! He's just playing with Goku! Such composure!\W- Who the hell are you!?\W- Who, me?\He's a frog! A frog, I tell you! response:	CHAN-GE!!
context: Showdown!! The Embodiment of Flame in a 20x Kaio-ken Kamehame-Ha\That's our Freeza-sama! He's just playing with Goku! Such composure!\W- Who the hell are you!?\W- Who, me?\He's a frog! A frog, I tell you!\CHAN-GE!! response:	T- Then, this frog is...
context: Showdown!! The Embodiment of Flame in a 20x Kaio-ken Kamehame-Ha\That's our Freeza-sama! He's just playing with Goku! Such composure!\W- Who the hell are you!?\W- Who, me?\He's a frog! A frog, I tell you!\CHAN-GE!!\T- Then, this frog is... response:	B- Bulma-san?
context: Showdown!! The Embodiment of Flame in a 20x Kaio-ken Kamehame-Ha\That's our Freeza-sama! He's just playing with Goku! Such composure!\W- Who the hell are you!?\W- Who, me?\He's a frog! A frog, I tell you!\CHAN-GE!!\T- Then, this frog is...\B- Bulma-san? response:	Haven't I been saying so all this time!?
context: That's our Freeza-sama! He's just playing with Goku! Such composure!\W- Who the hell are you!?\W- Who, me?\He's a frog! A frog, I tell you!\CHAN-GE!!\T- Then, this frog is...\B- Bulma-san?\Haven't I been saying so all this time!? response:	I'll send you all to hell!
context: W- Who the hell are you!?\W- Who, me?\He's a frog! A frog, I tell you!\CHAN-GE!!\T- Then, this frog is...\B- Bulma-san?\Haven't I been saying so all this time!?\I'll send you all to hell! response:	I'll never get anywhere like this.
context: W- Who, me?\He's a frog! A frog, I tell you!\CHAN-GE!!\T- Then, this frog is...\B- Bulma-san?\Haven't I been saying so all this time!?\I'll send you all to hell!\I'll never get anywhere like this. response:	Your body is mine!
context: He's a frog! A frog, I tell you!\CHAN-GE!!\T- Then, this frog is...\B- Bulma-san?\Haven't I been saying so all this time!?\I'll send you all to hell!\I'll never get anywhere like this.\Your body is mine! response:	CHAN-GE!
