context: Cockroach... response:	Under Shinichirou's shoe, there is a cockroach, too.
context: Cockroach...\Under Shinichirou's shoe, there is a cockroach, too. response:	In Shinichirou's hat, there is a cockroach, too.
context: Cockroach...\Under Shinichirou's shoe, there is a cockroach, too.\In Shinichirou's hat, there is a cockroach, too. response:	Inside Shinichirou's heart, there is...
context: Cockroach...\Under Shinichirou's shoe, there is a cockroach, too.\In Shinichirou's hat, there is a cockroach, too.\Inside Shinichirou's heart, there is... response:	Yuasa Hiromi.
context: Cockroach...\Under Shinichirou's shoe, there is a cockroach, too.\In Shinichirou's hat, there is a cockroach, too.\Inside Shinichirou's heart, there is...\Yuasa Hiromi. response:	Fly.
context: Cockroach...\Under Shinichirou's shoe, there is a cockroach, too.\In Shinichirou's hat, there is a cockroach, too.\Inside Shinichirou's heart, there is...\Yuasa Hiromi.\Fly. response:	Fly.
context: Cockroach...\Under Shinichirou's shoe, there is a cockroach, too.\In Shinichirou's hat, there is a cockroach, too.\Inside Shinichirou's heart, there is...\Yuasa Hiromi.\Fly.\Fly. response:	Go on!
context: Cockroach...\Under Shinichirou's shoe, there is a cockroach, too.\In Shinichirou's hat, there is a cockroach, too.\Inside Shinichirou's heart, there is...\Yuasa Hiromi.\Fly.\Fly.\Go on! response:	Stop it...
context: Under Shinichirou's shoe, there is a cockroach, too.\In Shinichirou's hat, there is a cockroach, too.\Inside Shinichirou's heart, there is...\Yuasa Hiromi.\Fly.\Fly.\Go on!\Stop it... response:	I knew it...
context: In Shinichirou's hat, there is a cockroach, too.\Inside Shinichirou's heart, there is...\Yuasa Hiromi.\Fly.\Fly.\Go on!\Stop it...\I knew it... response:	I knew it... it was useless...
context: Inside Shinichirou's heart, there is...\Yuasa Hiromi.\Fly.\Fly.\Go on!\Stop it...\I knew it...\I knew it... it was useless... response:	If you can't make your own decisions,
context: Yuasa Hiromi.\Fly.\Fly.\Go on!\Stop it...\I knew it...\I knew it... it was useless...\If you can't make your own decisions, response:	You won't have fun...
context: Fly.\Fly.\Go on!\Stop it...\I knew it...\I knew it... it was useless...\If you can't make your own decisions,\You won't have fun... response:	You won't be happy...
context: Fly.\Go on!\Stop it...\I knew it...\I knew it... it was useless...\If you can't make your own decisions,\You won't have fun...\You won't be happy... response:	and you won't be able to laugh...
context: Go on!\Stop it...\I knew it...\I knew it... it was useless...\If you can't make your own decisions,\You won't have fun...\You won't be happy...\and you won't be able to laugh... response:	As I thought, you can't cry if you don't decide to yourself.
context: Stop it...\I knew it...\I knew it... it was useless...\If you can't make your own decisions,\You won't have fun...\You won't be happy...\and you won't be able to laugh...\As I thought, you can't cry if you don't decide to yourself. response:	I was only looking down on you, because I thought, like me, you can't fly...
context: I knew it...\I knew it... it was useless...\If you can't make your own decisions,\You won't have fun...\You won't be happy...\and you won't be able to laugh...\As I thought, you can't cry if you don't decide to yourself.\I was only looking down on you, because I thought, like me, you can't fly... response:	But, that was wrong...
context: I knew it... it was useless...\If you can't make your own decisions,\You won't have fun...\You won't be happy...\and you won't be able to laugh...\As I thought, you can't cry if you don't decide to yourself.\I was only looking down on you, because I thought, like me, you can't fly...\But, that was wrong... response:	You only chose not to fly.
context: If you can't make your own decisions,\You won't have fun...\You won't be happy...\and you won't be able to laugh...\As I thought, you can't cry if you don't decide to yourself.\I was only looking down on you, because I thought, like me, you can't fly...\But, that was wrong...\You only chose not to fly. response:	You hold up your head and look straight ahead.
context: You won't have fun...\You won't be happy...\and you won't be able to laugh...\As I thought, you can't cry if you don't decide to yourself.\I was only looking down on you, because I thought, like me, you can't fly...\But, that was wrong...\You only chose not to fly.\You hold up your head and look straight ahead. response:	That's the same as flying...
context: You won't be happy...\and you won't be able to laugh...\As I thought, you can't cry if you don't decide to yourself.\I was only looking down on you, because I thought, like me, you can't fly...\But, that was wrong...\You only chose not to fly.\You hold up your head and look straight ahead.\That's the same as flying... response:	Yeah,
context: and you won't be able to laugh...\As I thought, you can't cry if you don't decide to yourself.\I was only looking down on you, because I thought, like me, you can't fly...\But, that was wrong...\You only chose not to fly.\You hold up your head and look straight ahead.\That's the same as flying...\Yeah, response:	I think Noe will return home soon.
context: As I thought, you can't cry if you don't decide to yourself.\I was only looking down on you, because I thought, like me, you can't fly...\But, that was wrong...\You only chose not to fly.\You hold up your head and look straight ahead.\That's the same as flying...\Yeah,\I think Noe will return home soon. response:	Yes.
context: I was only looking down on you, because I thought, like me, you can't fly...\But, that was wrong...\You only chose not to fly.\You hold up your head and look straight ahead.\That's the same as flying...\Yeah,\I think Noe will return home soon.\Yes. response:	It didn't seem like anything happened, so relax.
context: But, that was wrong...\You only chose not to fly.\You hold up your head and look straight ahead.\That's the same as flying...\Yeah,\I think Noe will return home soon.\Yes.\It didn't seem like anything happened, so relax. response:	Pass it along to him, as well.
context: You only chose not to fly.\You hold up your head and look straight ahead.\That's the same as flying...\Yeah,\I think Noe will return home soon.\Yes.\It didn't seem like anything happened, so relax.\Pass it along to him, as well. response:	Yup.
context: You hold up your head and look straight ahead.\That's the same as flying...\Yeah,\I think Noe will return home soon.\Yes.\It didn't seem like anything happened, so relax.\Pass it along to him, as well.\Yup. response:	Yeah, I'm fine.
context: That's the same as flying...\Yeah,\I think Noe will return home soon.\Yes.\It didn't seem like anything happened, so relax.\Pass it along to him, as well.\Yup.\Yeah, I'm fine. response:	Bye.
context: Yeah,\I think Noe will return home soon.\Yes.\It didn't seem like anything happened, so relax.\Pass it along to him, as well.\Yup.\Yeah, I'm fine.\Bye. response:	What was she talking about?
context: I think Noe will return home soon.\Yes.\It didn't seem like anything happened, so relax.\Pass it along to him, as well.\Yup.\Yeah, I'm fine.\Bye.\What was she talking about? response:	I was the one comparing myself to Ground.
context: Yes.\It didn't seem like anything happened, so relax.\Pass it along to him, as well.\Yup.\Yeah, I'm fine.\Bye.\What was she talking about?\I was the one comparing myself to Ground. response:	I was the one not noticing how great Ground really is.
context: It didn't seem like anything happened, so relax.\Pass it along to him, as well.\Yup.\Yeah, I'm fine.\Bye.\What was she talking about?\I was the one comparing myself to Ground.\I was the one not noticing how great Ground really is. response:	The one opposing everything, was me, I chose to escape from reality.
context: Pass it along to him, as well.\Yup.\Yeah, I'm fine.\Bye.\What was she talking about?\I was the one comparing myself to Ground.\I was the one not noticing how great Ground really is.\The one opposing everything, was me, I chose to escape from reality. response:	Ground chose not to fly,
context: Yup.\Yeah, I'm fine.\Bye.\What was she talking about?\I was the one comparing myself to Ground.\I was the one not noticing how great Ground really is.\The one opposing everything, was me, I chose to escape from reality.\Ground chose not to fly, response:	but I didn't decide on anything myself.
context: Yeah, I'm fine.\Bye.\What was she talking about?\I was the one comparing myself to Ground.\I was the one not noticing how great Ground really is.\The one opposing everything, was me, I chose to escape from reality.\Ground chose not to fly,\but I didn't decide on anything myself. response:	The dance, the picture book...
context: Bye.\What was she talking about?\I was the one comparing myself to Ground.\I was the one not noticing how great Ground really is.\The one opposing everything, was me, I chose to escape from reality.\Ground chose not to fly,\but I didn't decide on anything myself.\The dance, the picture book... response:	Noe...
context: What was she talking about?\I was the one comparing myself to Ground.\I was the one not noticing how great Ground really is.\The one opposing everything, was me, I chose to escape from reality.\Ground chose not to fly,\but I didn't decide on anything myself.\The dance, the picture book...\Noe... response:	even Hiromi...
context: I was the one comparing myself to Ground.\I was the one not noticing how great Ground really is.\The one opposing everything, was me, I chose to escape from reality.\Ground chose not to fly,\but I didn't decide on anything myself.\The dance, the picture book...\Noe...\even Hiromi... response:	The reason I didn't want to do the dance wasn't because I'm bad at it!
context: I was the one not noticing how great Ground really is.\The one opposing everything, was me, I chose to escape from reality.\Ground chose not to fly,\but I didn't decide on anything myself.\The dance, the picture book...\Noe...\even Hiromi...\The reason I didn't want to do the dance wasn't because I'm bad at it! response:	It's because I didn't want to be compared to Dad!
context: The one opposing everything, was me, I chose to escape from reality.\Ground chose not to fly,\but I didn't decide on anything myself.\The dance, the picture book...\Noe...\even Hiromi...\The reason I didn't want to do the dance wasn't because I'm bad at it!\It's because I didn't want to be compared to Dad! response:	The reason I didn't draw the picture book wasn't because I didn't feel like it!
context: Ground chose not to fly,\but I didn't decide on anything myself.\The dance, the picture book...\Noe...\even Hiromi...\The reason I didn't want to do the dance wasn't because I'm bad at it!\It's because I didn't want to be compared to Dad!\The reason I didn't draw the picture book wasn't because I didn't feel like it! response:	It's because I was scared of learning my limits!
context: but I didn't decide on anything myself.\The dance, the picture book...\Noe...\even Hiromi...\The reason I didn't want to do the dance wasn't because I'm bad at it!\It's because I didn't want to be compared to Dad!\The reason I didn't draw the picture book wasn't because I didn't feel like it!\It's because I was scared of learning my limits! response:	I'm home.
context: The dance, the picture book...\Noe...\even Hiromi...\The reason I didn't want to do the dance wasn't because I'm bad at it!\It's because I didn't want to be compared to Dad!\The reason I didn't draw the picture book wasn't because I didn't feel like it!\It's because I was scared of learning my limits!\I'm home. response:	Go on and wash your hands, it'll be ready soon.
context: Noe...\even Hiromi...\The reason I didn't want to do the dance wasn't because I'm bad at it!\It's because I didn't want to be compared to Dad!\The reason I didn't draw the picture book wasn't because I didn't feel like it!\It's because I was scared of learning my limits!\I'm home.\Go on and wash your hands, it'll be ready soon. response:	You must be hungry, right?
context: even Hiromi...\The reason I didn't want to do the dance wasn't because I'm bad at it!\It's because I didn't want to be compared to Dad!\The reason I didn't draw the picture book wasn't because I didn't feel like it!\It's because I was scared of learning my limits!\I'm home.\Go on and wash your hands, it'll be ready soon.\You must be hungry, right? response:	Being out all night...
context: The reason I didn't want to do the dance wasn't because I'm bad at it!\It's because I didn't want to be compared to Dad!\The reason I didn't draw the picture book wasn't because I didn't feel like it!\It's because I was scared of learning my limits!\I'm home.\Go on and wash your hands, it'll be ready soon.\You must be hungry, right?\Being out all night... response:	Hey, don't cling to me so hard.
context: It's because I didn't want to be compared to Dad!\The reason I didn't draw the picture book wasn't because I didn't feel like it!\It's because I was scared of learning my limits!\I'm home.\Go on and wash your hands, it'll be ready soon.\You must be hungry, right?\Being out all night...\Hey, don't cling to me so hard. response:	The food will...
context: The reason I didn't draw the picture book wasn't because I didn't feel like it!\It's because I was scared of learning my limits!\I'm home.\Go on and wash your hands, it'll be ready soon.\You must be hungry, right?\Being out all night...\Hey, don't cling to me so hard.\The food will... response:	Thank you.
context: It's because I was scared of learning my limits!\I'm home.\Go on and wash your hands, it'll be ready soon.\You must be hungry, right?\Being out all night...\Hey, don't cling to me so hard.\The food will...\Thank you. response:	Thank you.
context: I'm home.\Go on and wash your hands, it'll be ready soon.\You must be hungry, right?\Being out all night...\Hey, don't cling to me so hard.\The food will...\Thank you.\Thank you. response:	Thank you.
context: Go on and wash your hands, it'll be ready soon.\You must be hungry, right?\Being out all night...\Hey, don't cling to me so hard.\The food will...\Thank you.\Thank you.\Thank you. response:	It's chilling cold... Let's head back in and get ourselves warmed up.
context: You must be hungry, right?\Being out all night...\Hey, don't cling to me so hard.\The food will...\Thank you.\Thank you.\Thank you.\It's chilling cold... Let's head back in and get ourselves warmed up. response:	Enjoy.
context: Being out all night...\Hey, don't cling to me so hard.\The food will...\Thank you.\Thank you.\Thank you.\It's chilling cold... Let's head back in and get ourselves warmed up.\Enjoy. response:	Sorry for the trouble, ma'am.
context: Hey, don't cling to me so hard.\The food will...\Thank you.\Thank you.\Thank you.\It's chilling cold... Let's head back in and get ourselves warmed up.\Enjoy.\Sorry for the trouble, ma'am. response:	Hey, where's the young master?
