context: She won't come back, will she? response:	I did the right thing, didn't I, Onii-sama?
context: She won't come back, will she?\I did the right thing, didn't I, Onii-sama? response:	Poor Julio.
context: She won't come back, will she?\I did the right thing, didn't I, Onii-sama?\Poor Julio. response:	It's nothing, Mama.
context: She won't come back, will she?\I did the right thing, didn't I, Onii-sama?\Poor Julio.\It's nothing, Mama. response:	But I can't believe I couldn't dispose of that bad Norma.
context: She won't come back, will she?\I did the right thing, didn't I, Onii-sama?\Poor Julio.\It's nothing, Mama.\But I can't believe I couldn't dispose of that bad Norma. response:	You did well, Julio.
context: She won't come back, will she?\I did the right thing, didn't I, Onii-sama?\Poor Julio.\It's nothing, Mama.\But I can't believe I couldn't dispose of that bad Norma.\You did well, Julio. response:	Really? Did I do well?
context: She won't come back, will she?\I did the right thing, didn't I, Onii-sama?\Poor Julio.\It's nothing, Mama.\But I can't believe I couldn't dispose of that bad Norma.\You did well, Julio.\Really? Did I do well? response:	I'm so happy.
context: She won't come back, will she?\I did the right thing, didn't I, Onii-sama?\Poor Julio.\It's nothing, Mama.\But I can't believe I couldn't dispose of that bad Norma.\You did well, Julio.\Really? Did I do well?\I'm so happy. response:	Mother would never praise me.
context: I did the right thing, didn't I, Onii-sama?\Poor Julio.\It's nothing, Mama.\But I can't believe I couldn't dispose of that bad Norma.\You did well, Julio.\Really? Did I do well?\I'm so happy.\Mother would never praise me. response:	She kept favoring Angelise.
context: Poor Julio.\It's nothing, Mama.\But I can't believe I couldn't dispose of that bad Norma.\You did well, Julio.\Really? Did I do well?\I'm so happy.\Mother would never praise me.\She kept favoring Angelise. response:	She died defending Angelise.
context: It's nothing, Mama.\But I can't believe I couldn't dispose of that bad Norma.\You did well, Julio.\Really? Did I do well?\I'm so happy.\Mother would never praise me.\She kept favoring Angelise.\She died defending Angelise. response:	Onii-sama.
context: But I can't believe I couldn't dispose of that bad Norma.\You did well, Julio.\Really? Did I do well?\I'm so happy.\Mother would never praise me.\She kept favoring Angelise.\She died defending Angelise.\Onii-sama. response:	Now it's Mama's turn to ask for a favor.
context: You did well, Julio.\Really? Did I do well?\I'm so happy.\Mother would never praise me.\She kept favoring Angelise.\She died defending Angelise.\Onii-sama.\Now it's Mama's turn to ask for a favor. response:	I know.
context: Really? Did I do well?\I'm so happy.\Mother would never praise me.\She kept favoring Angelise.\She died defending Angelise.\Onii-sama.\Now it's Mama's turn to ask for a favor.\I know. response:	You want me to open the singular point, right?
context: I'm so happy.\Mother would never praise me.\She kept favoring Angelise.\She died defending Angelise.\Onii-sama.\Now it's Mama's turn to ask for a favor.\I know.\You want me to open the singular point, right? response:	Good boy.
context: Mother would never praise me.\She kept favoring Angelise.\She died defending Angelise.\Onii-sama.\Now it's Mama's turn to ask for a favor.\I know.\You want me to open the singular point, right?\Good boy. response:	Guard Chief, what are you...
