context: As far as he is concerned response:	your eyesight didn't hold much significance to begin with.
context: As far as he is concerned\your eyesight didn't hold much significance to begin with. response:	Su Jin?
context: As far as he is concerned\your eyesight didn't hold much significance to begin with.\Su Jin? response:	It is me.
context: As far as he is concerned\your eyesight didn't hold much significance to begin with.\Su Jin?\It is me. response:	Su Su, how is your injury? Does it still hurt?
context: As far as he is concerned\your eyesight didn't hold much significance to begin with.\Su Jin?\It is me.\Su Su, how is your injury? Does it still hurt? response:	I trusted you. Why did you harm me in this way?
context: As far as he is concerned\your eyesight didn't hold much significance to begin with.\Su Jin?\It is me.\Su Su, how is your injury? Does it still hurt?\I trusted you. Why did you harm me in this way? response:	Leaving aside that you hurt your own eyes
context: As far as he is concerned\your eyesight didn't hold much significance to begin with.\Su Jin?\It is me.\Su Su, how is your injury? Does it still hurt?\I trusted you. Why did you harm me in this way?\Leaving aside that you hurt your own eyes response:	you have also caused me to lose my eyes.
context: As far as he is concerned\your eyesight didn't hold much significance to begin with.\Su Jin?\It is me.\Su Su, how is your injury? Does it still hurt?\I trusted you. Why did you harm me in this way?\Leaving aside that you hurt your own eyes\you have also caused me to lose my eyes. response:	What good does this do for you?
context: your eyesight didn't hold much significance to begin with.\Su Jin?\It is me.\Su Su, how is your injury? Does it still hurt?\I trusted you. Why did you harm me in this way?\Leaving aside that you hurt your own eyes\you have also caused me to lose my eyes.\What good does this do for you? response:	It is true you don't have your eyes.
context: Su Jin?\It is me.\Su Su, how is your injury? Does it still hurt?\I trusted you. Why did you harm me in this way?\Leaving aside that you hurt your own eyes\you have also caused me to lose my eyes.\What good does this do for you?\It is true you don't have your eyes. response:	But now, I can already see.
context: It is me.\Su Su, how is your injury? Does it still hurt?\I trusted you. Why did you harm me in this way?\Leaving aside that you hurt your own eyes\you have also caused me to lose my eyes.\What good does this do for you?\It is true you don't have your eyes.\But now, I can already see. response:	I came today to tell you
context: Su Su, how is your injury? Does it still hurt?\I trusted you. Why did you harm me in this way?\Leaving aside that you hurt your own eyes\you have also caused me to lose my eyes.\What good does this do for you?\It is true you don't have your eyes.\But now, I can already see.\I came today to tell you response:	your eyes are quite handy.
context: I trusted you. Why did you harm me in this way?\Leaving aside that you hurt your own eyes\you have also caused me to lose my eyes.\What good does this do for you?\It is true you don't have your eyes.\But now, I can already see.\I came today to tell you\your eyes are quite handy. response:	You're using... my eyes?
context: Leaving aside that you hurt your own eyes\you have also caused me to lose my eyes.\What good does this do for you?\It is true you don't have your eyes.\But now, I can already see.\I came today to tell you\your eyes are quite handy.\You're using... my eyes? response:	Did Ye Hua not tell you?
context: you have also caused me to lose my eyes.\What good does this do for you?\It is true you don't have your eyes.\But now, I can already see.\I came today to tell you\your eyes are quite handy.\You're using... my eyes?\Did Ye Hua not tell you? response:	He took out your eyes to give to me.
context: What good does this do for you?\It is true you don't have your eyes.\But now, I can already see.\I came today to tell you\your eyes are quite handy.\You're using... my eyes?\Did Ye Hua not tell you?\He took out your eyes to give to me. response:	When Medicine King changed my eyes for me
context: It is true you don't have your eyes.\But now, I can already see.\I came today to tell you\your eyes are quite handy.\You're using... my eyes?\Did Ye Hua not tell you?\He took out your eyes to give to me.\When Medicine King changed my eyes for me response:	Ye Hua stayed by my side the whole day and night.
