context: 4:51 response:	11:40
context: 4:51\11:40 response:	16:39
context: 4:51\11:40\16:39 response:	yume kanaeru made chousen wa tsuzuku
context: 4:51\11:40\16:39\yume kanaeru made chousen wa tsuzuku response:	boku wa dokomade chikazuketandarou?
context: 4:51\11:40\16:39\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou? response:	juunengo no mirai kagayaiteru sugata wa
context: 4:51\11:40\16:39\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa response:	koukai wa shinai jibun de egaita story
context: 4:51\11:40\16:39\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story response:	fumidaseba yukute habamu genjitsu
context: 4:51\11:40\16:39\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu response:	makenai to ima mune ni chikatta
context: 11:40\16:39\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta response:	kokorozashita tsukamitai yume ga arukara
context: 16:39\yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara response:	moyashite yuke jounetsu wo atsuku
context: yume kanaeru made chousen wa tsuzuku\boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku response:	yume no tochuu de meguriau deai to wakare
context: boku wa dokomade chikazuketandarou?\juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare response:	kimi ga oshietekureta boku dake ga motsu chikara
context: juunengo no mirai kagayaiteru sugata wa\koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara response:	tachiagatteikundayo nando tsumazuitatte
context: koukai wa shinai jibun de egaita story\fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte response:	Dream of life
context: fumidaseba yukute habamu genjitsu\makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life response:	From: Azuki Miho Sub: Mashiro I read Hirameki! Tanto-kun. It'll definitely be a big hit with the kids!
context: makenai to ima mune ni chikatta\kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\From: Azuki Miho Sub: Mashiro I read Hirameki! Tanto-kun. It'll definitely be a big hit with the kids! response:	Kaya is still 19.
context: kokorozashita tsukamitai yume ga arukara\moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\From: Azuki Miho Sub: Mashiro I read Hirameki! Tanto-kun. It'll definitely be a big hit with the kids!\Kaya is still 19. response:	I know. Sorry.
context: moyashite yuke jounetsu wo atsuku\yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\From: Azuki Miho Sub: Mashiro I read Hirameki! Tanto-kun. It'll definitely be a big hit with the kids!\Kaya is still 19.\I know. Sorry. response:	Why are you apologizing?
context: yume no tochuu de meguriau deai to wakare\kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\From: Azuki Miho Sub: Mashiro I read Hirameki! Tanto-kun. It'll definitely be a big hit with the kids!\Kaya is still 19.\I know. Sorry.\Why are you apologizing? response:	You're always saying, No one will ever take an abrasive woman like you as a bride.
context: kimi ga oshietekureta boku dake ga motsu chikara\tachiagatteikundayo nando tsumazuitatte\Dream of life\From: Azuki Miho Sub: Mashiro I read Hirameki! Tanto-kun. It'll definitely be a big hit with the kids!\Kaya is still 19.\I know. Sorry.\Why are you apologizing?\You're always saying, No one will ever take an abrasive woman like you as a bride. response:	If a guy like that exists, I'd like to meet him.
