context: OP response:	(TL BELOW REQUIRES MASSIVE ASSISTANCE. TQ!!)
context: OP\(TL BELOW REQUIRES MASSIVE ASSISTANCE. TQ!!) response:	**SONG**
context: OP\(TL BELOW REQUIRES MASSIVE ASSISTANCE. TQ!!)\**SONG** response:	ED
context: OP\(TL BELOW REQUIRES MASSIVE ASSISTANCE. TQ!!)\**SONG**\ED response:	Log on to www.ruri-subs.com or visit us at
context: OP\(TL BELOW REQUIRES MASSIVE ASSISTANCE. TQ!!)\**SONG**\ED\Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: OP\(TL BELOW REQUIRES MASSIVE ASSISTANCE. TQ!!)\**SONG**\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs response:	This is bad.
context: OP\(TL BELOW REQUIRES MASSIVE ASSISTANCE. TQ!!)\**SONG**\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\This is bad. response:	We're a bit too far from the foothold to go back to the castle.
context: OP\(TL BELOW REQUIRES MASSIVE ASSISTANCE. TQ!!)\**SONG**\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\This is bad.\We're a bit too far from the foothold to go back to the castle. response:	Still, I need to come up with a way to bring her to a safe place.
context: (TL BELOW REQUIRES MASSIVE ASSISTANCE. TQ!!)\**SONG**\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\This is bad.\We're a bit too far from the foothold to go back to the castle.\Still, I need to come up with a way to bring her to a safe place. response:	Princess, Princess!
context: **SONG**\ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\This is bad.\We're a bit too far from the foothold to go back to the castle.\Still, I need to come up with a way to bring her to a safe place.\Princess, Princess! response:	Sir Hero!
context: ED\Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\This is bad.\We're a bit too far from the foothold to go back to the castle.\Still, I need to come up with a way to bring her to a safe place.\Princess, Princess!\Sir Hero! response:	That voice...
context: Log on to www.ruri-subs.com or visit us at\Fansubbed by Ruri Subs\This is bad.\We're a bit too far from the foothold to go back to the castle.\Still, I need to come up with a way to bring her to a safe place.\Princess, Princess!\Sir Hero!\That voice... response:	Rico! Eclair!
context: Fansubbed by Ruri Subs\This is bad.\We're a bit too far from the foothold to go back to the castle.\Still, I need to come up with a way to bring her to a safe place.\Princess, Princess!\Sir Hero!\That voice...\Rico! Eclair! response:	Sorry for running late, Princess!
context: This is bad.\We're a bit too far from the foothold to go back to the castle.\Still, I need to come up with a way to bring her to a safe place.\Princess, Princess!\Sir Hero!\That voice...\Rico! Eclair!\Sorry for running late, Princess! response:	We're here to rescue you!
context: We're a bit too far from the foothold to go back to the castle.\Still, I need to come up with a way to bring her to a safe place.\Princess, Princess!\Sir Hero!\That voice...\Rico! Eclair!\Sorry for running late, Princess!\We're here to rescue you! response:	Flying Flower In The Night
context: Still, I need to come up with a way to bring her to a safe place.\Princess, Princess!\Sir Hero!\That voice...\Rico! Eclair!\Sorry for running late, Princess!\We're here to rescue you!\Flying Flower In The Night response:	Eclair, I'm glad you're okay.
context: Princess, Princess!\Sir Hero!\That voice...\Rico! Eclair!\Sorry for running late, Princess!\We're here to rescue you!\Flying Flower In The Night\Eclair, I'm glad you're okay. response:	Of course. Didn't I say that I'd be back soon?
context: Sir Hero!\That voice...\Rico! Eclair!\Sorry for running late, Princess!\We're here to rescue you!\Flying Flower In The Night\Eclair, I'm glad you're okay.\Of course. Didn't I say that I'd be back soon? response:	Rico too!
context: That voice...\Rico! Eclair!\Sorry for running late, Princess!\We're here to rescue you!\Flying Flower In The Night\Eclair, I'm glad you're okay.\Of course. Didn't I say that I'd be back soon?\Rico too! response:	Yes!
