context: I gave up my voice in order to protect the knowledge I got from you. response:	Are you saying you will protect me, Chane?
context: I gave up my voice in order to protect the knowledge I got from you.\Are you saying you will protect me, Chane? response:	I am not about to get devoured. I'll have to devour them, first.
context: I gave up my voice in order to protect the knowledge I got from you.\Are you saying you will protect me, Chane?\I am not about to get devoured. I'll have to devour them, first. response:	Who'd have thought it was liquor?
context: I gave up my voice in order to protect the knowledge I got from you.\Are you saying you will protect me, Chane?\I am not about to get devoured. I'll have to devour them, first.\Who'd have thought it was liquor? response:	This time, we'll case the Martillo Family's place!
context: I gave up my voice in order to protect the knowledge I got from you.\Are you saying you will protect me, Chane?\I am not about to get devoured. I'll have to devour them, first.\Who'd have thought it was liquor?\This time, we'll case the Martillo Family's place! response:	It's funny, isn't it? The way people run into each other?
context: I gave up my voice in order to protect the knowledge I got from you.\Are you saying you will protect me, Chane?\I am not about to get devoured. I'll have to devour them, first.\Who'd have thought it was liquor?\This time, we'll case the Martillo Family's place!\It's funny, isn't it? The way people run into each other? response:	It could be that all encounters are something of a miracle, huh?
context: I gave up my voice in order to protect the knowledge I got from you.\Are you saying you will protect me, Chane?\I am not about to get devoured. I'll have to devour them, first.\Who'd have thought it was liquor?\This time, we'll case the Martillo Family's place!\It's funny, isn't it? The way people run into each other?\It could be that all encounters are something of a miracle, huh? response:	Yeah. By the way, Maiza- san...
context: I gave up my voice in order to protect the knowledge I got from you.\Are you saying you will protect me, Chane?\I am not about to get devoured. I'll have to devour them, first.\Who'd have thought it was liquor?\This time, we'll case the Martillo Family's place!\It's funny, isn't it? The way people run into each other?\It could be that all encounters are something of a miracle, huh?\Yeah. By the way, Maiza- san... response:	How did that injury of yours earlier heal so quickly?
context: Are you saying you will protect me, Chane?\I am not about to get devoured. I'll have to devour them, first.\Who'd have thought it was liquor?\This time, we'll case the Martillo Family's place!\It's funny, isn't it? The way people run into each other?\It could be that all encounters are something of a miracle, huh?\Yeah. By the way, Maiza- san...\How did that injury of yours earlier heal so quickly? response:	If you wouldn't mind, could you tell me how it happened?
context: I am not about to get devoured. I'll have to devour them, first.\Who'd have thought it was liquor?\This time, we'll case the Martillo Family's place!\It's funny, isn't it? The way people run into each other?\It could be that all encounters are something of a miracle, huh?\Yeah. By the way, Maiza- san...\How did that injury of yours earlier heal so quickly?\If you wouldn't mind, could you tell me how it happened? response:	Perhaps someday, I will be able to tell you,
context: Who'd have thought it was liquor?\This time, we'll case the Martillo Family's place!\It's funny, isn't it? The way people run into each other?\It could be that all encounters are something of a miracle, huh?\Yeah. By the way, Maiza- san...\How did that injury of yours earlier heal so quickly?\If you wouldn't mind, could you tell me how it happened?\Perhaps someday, I will be able to tell you, response:	but not right now.
context: This time, we'll case the Martillo Family's place!\It's funny, isn't it? The way people run into each other?\It could be that all encounters are something of a miracle, huh?\Yeah. By the way, Maiza- san...\How did that injury of yours earlier heal so quickly?\If you wouldn't mind, could you tell me how it happened?\Perhaps someday, I will be able to tell you,\but not right now. response:	I see.
context: It's funny, isn't it? The way people run into each other?\It could be that all encounters are something of a miracle, huh?\Yeah. By the way, Maiza- san...\How did that injury of yours earlier heal so quickly?\If you wouldn't mind, could you tell me how it happened?\Perhaps someday, I will be able to tell you,\but not right now.\I see. response:	That woman!
context: It could be that all encounters are something of a miracle, huh?\Yeah. By the way, Maiza- san...\How did that injury of yours earlier heal so quickly?\If you wouldn't mind, could you tell me how it happened?\Perhaps someday, I will be able to tell you,\but not right now.\I see.\That woman! response:	Maiza- san, excuse me for a minute!
context: Yeah. By the way, Maiza- san...\How did that injury of yours earlier heal so quickly?\If you wouldn't mind, could you tell me how it happened?\Perhaps someday, I will be able to tell you,\but not right now.\I see.\That woman!\Maiza- san, excuse me for a minute! response:	Firo!
context: How did that injury of yours earlier heal so quickly?\If you wouldn't mind, could you tell me how it happened?\Perhaps someday, I will be able to tell you,\but not right now.\I see.\That woman!\Maiza- san, excuse me for a minute!\Firo! response:	You're...
context: If you wouldn't mind, could you tell me how it happened?\Perhaps someday, I will be able to tell you,\but not right now.\I see.\That woman!\Maiza- san, excuse me for a minute!\Firo!\You're... response:	Hey, just a minute! I said just a minute!
context: Perhaps someday, I will be able to tell you,\but not right now.\I see.\That woman!\Maiza- san, excuse me for a minute!\Firo!\You're...\Hey, just a minute! I said just a minute! response:	Now, take it easy.
context: but not right now.\I see.\That woman!\Maiza- san, excuse me for a minute!\Firo!\You're...\Hey, just a minute! I said just a minute!\Now, take it easy. response:	I just wanted to give this back to you.
context: I see.\That woman!\Maiza- san, excuse me for a minute!\Firo!\You're...\Hey, just a minute! I said just a minute!\Now, take it easy.\I just wanted to give this back to you. response:	Yes. There's only one body.
context: That woman!\Maiza- san, excuse me for a minute!\Firo!\You're...\Hey, just a minute! I said just a minute!\Now, take it easy.\I just wanted to give this back to you.\Yes. There's only one body. response:	Huh? Yes... Yes...
context: Maiza- san, excuse me for a minute!\Firo!\You're...\Hey, just a minute! I said just a minute!\Now, take it easy.\I just wanted to give this back to you.\Yes. There's only one body.\Huh? Yes... Yes... response:	It means that the man is capable of going toe-to-toe with Chane.
context: Firo!\You're...\Hey, just a minute! I said just a minute!\Now, take it easy.\I just wanted to give this back to you.\Yes. There's only one body.\Huh? Yes... Yes...\It means that the man is capable of going toe-to-toe with Chane. response:	Shoot them both, while they go at it.
context: You're...\Hey, just a minute! I said just a minute!\Now, take it easy.\I just wanted to give this back to you.\Yes. There's only one body.\Huh? Yes... Yes...\It means that the man is capable of going toe-to-toe with Chane.\Shoot them both, while they go at it. response:	C-Copy that.
context: Hey, just a minute! I said just a minute!\Now, take it easy.\I just wanted to give this back to you.\Yes. There's only one body.\Huh? Yes... Yes...\It means that the man is capable of going toe-to-toe with Chane.\Shoot them both, while they go at it.\C-Copy that. response:	Code Beta has been put into effect.
context: Now, take it easy.\I just wanted to give this back to you.\Yes. There's only one body.\Huh? Yes... Yes...\It means that the man is capable of going toe-to-toe with Chane.\Shoot them both, while they go at it.\C-Copy that.\Code Beta has been put into effect. response:	Are we really going to kill Chane- san?
context: I just wanted to give this back to you.\Yes. There's only one body.\Huh? Yes... Yes...\It means that the man is capable of going toe-to-toe with Chane.\Shoot them both, while they go at it.\C-Copy that.\Code Beta has been put into effect.\Are we really going to kill Chane- san? response:	He said to go after her while she's fighting the white suit.
context: Yes. There's only one body.\Huh? Yes... Yes...\It means that the man is capable of going toe-to-toe with Chane.\Shoot them both, while they go at it.\C-Copy that.\Code Beta has been put into effect.\Are we really going to kill Chane- san?\He said to go after her while she's fighting the white suit. response:	I wonder if you'd fill me in a bit more about that.
context: Huh? Yes... Yes...\It means that the man is capable of going toe-to-toe with Chane.\Shoot them both, while they go at it.\C-Copy that.\Code Beta has been put into effect.\Are we really going to kill Chane- san?\He said to go after her while she's fighting the white suit.\I wonder if you'd fill me in a bit more about that. response:	Okay, okay, drop the gun.
context: It means that the man is capable of going toe-to-toe with Chane.\Shoot them both, while they go at it.\C-Copy that.\Code Beta has been put into effect.\Are we really going to kill Chane- san?\He said to go after her while she's fighting the white suit.\I wonder if you'd fill me in a bit more about that.\Okay, okay, drop the gun. response:	You there, the timid-looking one, drop your gun, too.
context: Shoot them both, while they go at it.\C-Copy that.\Code Beta has been put into effect.\Are we really going to kill Chane- san?\He said to go after her while she's fighting the white suit.\I wonder if you'd fill me in a bit more about that.\Okay, okay, drop the gun.\You there, the timid-looking one, drop your gun, too. response:	Damn it!
context: C-Copy that.\Code Beta has been put into effect.\Are we really going to kill Chane- san?\He said to go after her while she's fighting the white suit.\I wonder if you'd fill me in a bit more about that.\Okay, okay, drop the gun.\You there, the timid-looking one, drop your gun, too.\Damn it! response:	Well, well, he ran away.
context: Code Beta has been put into effect.\Are we really going to kill Chane- san?\He said to go after her while she's fighting the white suit.\I wonder if you'd fill me in a bit more about that.\Okay, okay, drop the gun.\You there, the timid-looking one, drop your gun, too.\Damn it!\Well, well, he ran away. response:	I can't say that he's a coward, though.
context: Are we really going to kill Chane- san?\He said to go after her while she's fighting the white suit.\I wonder if you'd fill me in a bit more about that.\Okay, okay, drop the gun.\You there, the timid-looking one, drop your gun, too.\Damn it!\Well, well, he ran away.\I can't say that he's a coward, though. response:	It is, I have to admit, a normal response to run away after seeing me.
context: He said to go after her while she's fighting the white suit.\I wonder if you'd fill me in a bit more about that.\Okay, okay, drop the gun.\You there, the timid-looking one, drop your gun, too.\Damn it!\Well, well, he ran away.\I can't say that he's a coward, though.\It is, I have to admit, a normal response to run away after seeing me. response:	Chane would be that woman,
context: I wonder if you'd fill me in a bit more about that.\Okay, okay, drop the gun.\You there, the timid-looking one, drop your gun, too.\Damn it!\Well, well, he ran away.\I can't say that he's a coward, though.\It is, I have to admit, a normal response to run away after seeing me.\Chane would be that woman, response:	and the white suit she's fighting would be me, right?
context: Okay, okay, drop the gun.\You there, the timid-looking one, drop your gun, too.\Damn it!\Well, well, he ran away.\I can't say that he's a coward, though.\It is, I have to admit, a normal response to run away after seeing me.\Chane would be that woman,\and the white suit she's fighting would be me, right? response:	That woman is amazing. It's the first time I've ever run away.
context: You there, the timid-looking one, drop your gun, too.\Damn it!\Well, well, he ran away.\I can't say that he's a coward, though.\It is, I have to admit, a normal response to run away after seeing me.\Chane would be that woman,\and the white suit she's fighting would be me, right?\That woman is amazing. It's the first time I've ever run away. response:	How about you tell me something?
context: Damn it!\Well, well, he ran away.\I can't say that he's a coward, though.\It is, I have to admit, a normal response to run away after seeing me.\Chane would be that woman,\and the white suit she's fighting would be me, right?\That woman is amazing. It's the first time I've ever run away.\How about you tell me something? response:	Why are you going to kill her, when she's one of your own?
context: Well, well, he ran away.\I can't say that he's a coward, though.\It is, I have to admit, a normal response to run away after seeing me.\Chane would be that woman,\and the white suit she's fighting would be me, right?\That woman is amazing. It's the first time I've ever run away.\How about you tell me something?\Why are you going to kill her, when she's one of your own? response:	What do I do?
context: I can't say that he's a coward, though.\It is, I have to admit, a normal response to run away after seeing me.\Chane would be that woman,\and the white suit she's fighting would be me, right?\That woman is amazing. It's the first time I've ever run away.\How about you tell me something?\Why are you going to kill her, when she's one of your own?\What do I do? response:	Just toss it all in like this, and run away?
context: It is, I have to admit, a normal response to run away after seeing me.\Chane would be that woman,\and the white suit she's fighting would be me, right?\That woman is amazing. It's the first time I've ever run away.\How about you tell me something?\Why are you going to kill her, when she's one of your own?\What do I do?\Just toss it all in like this, and run away? response:	I can't very well do that.
context: Chane would be that woman,\and the white suit she's fighting would be me, right?\That woman is amazing. It's the first time I've ever run away.\How about you tell me something?\Why are you going to kill her, when she's one of your own?\What do I do?\Just toss it all in like this, and run away?\I can't very well do that. response:	I have to at least get a look at the face of the immortal here, first.
context: and the white suit she's fighting would be me, right?\That woman is amazing. It's the first time I've ever run away.\How about you tell me something?\Why are you going to kill her, when she's one of your own?\What do I do?\Just toss it all in like this, and run away?\I can't very well do that.\I have to at least get a look at the face of the immortal here, first. response:	Mister, who are you?
context: That woman is amazing. It's the first time I've ever run away.\How about you tell me something?\Why are you going to kill her, when she's one of your own?\What do I do?\Just toss it all in like this, and run away?\I can't very well do that.\I have to at least get a look at the face of the immortal here, first.\Mister, who are you? response:	Mister,
context: How about you tell me something?\Why are you going to kill her, when she's one of your own?\What do I do?\Just toss it all in like this, and run away?\I can't very well do that.\I have to at least get a look at the face of the immortal here, first.\Mister, who are you?\Mister, response:	who are you?
context: Why are you going to kill her, when she's one of your own?\What do I do?\Just toss it all in like this, and run away?\I can't very well do that.\I have to at least get a look at the face of the immortal here, first.\Mister, who are you?\Mister,\who are you? response:	Come on, answer. I'm...
context: What do I do?\Just toss it all in like this, and run away?\I can't very well do that.\I have to at least get a look at the face of the immortal here, first.\Mister, who are you?\Mister,\who are you?\Come on, answer. I'm... response:	Why are you lying, Czes- kun?
context: Just toss it all in like this, and run away?\I can't very well do that.\I have to at least get a look at the face of the immortal here, first.\Mister, who are you?\Mister,\who are you?\Come on, answer. I'm...\Why are you lying, Czes- kun? response:	Czeslaw Meyer.
context: I can't very well do that.\I have to at least get a look at the face of the immortal here, first.\Mister, who are you?\Mister,\who are you?\Come on, answer. I'm...\Why are you lying, Czes- kun?\Czeslaw Meyer. response:	How do you know my name?
context: I have to at least get a look at the face of the immortal here, first.\Mister, who are you?\Mister,\who are you?\Come on, answer. I'm...\Why are you lying, Czes- kun?\Czeslaw Meyer.\How do you know my name? response:	A-are you the Rail Tracer?
context: Mister, who are you?\Mister,\who are you?\Come on, answer. I'm...\Why are you lying, Czes- kun?\Czeslaw Meyer.\How do you know my name?\A-are you the Rail Tracer? response:	Oh, good guess.
context: Mister,\who are you?\Come on, answer. I'm...\Why are you lying, Czes- kun?\Czeslaw Meyer.\How do you know my name?\A-are you the Rail Tracer?\Oh, good guess. response:	I am the Rail Tracer.
