context: OP response:	The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished.
context: OP\The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished. response:	- Director of the Brazilian Men's Volleyball Team, ranked number-1 in the world, Bernardo Rezende From Brazil Volleyball wo saikyo ni shita'hito' to'system' by Yonemushi Noriko (Toho Publishing)
context: OP\The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished.\- Director of the Brazilian Men's Volleyball Team, ranked number-1 in the world, Bernardo Rezende From Brazil Volleyball wo saikyo ni shita'hito' to'system' by Yonemushi Noriko (Toho Publishing) response:	Move faster!
context: OP\The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished.\- Director of the Brazilian Men's Volleyball Team, ranked number-1 in the world, Bernardo Rezende From Brazil Volleyball wo saikyo ni shita'hito' to'system' by Yonemushi Noriko (Toho Publishing)\Move faster! response:	Jump higher!
context: OP\The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished.\- Director of the Brazilian Men's Volleyball Team, ranked number-1 in the world, Bernardo Rezende From Brazil Volleyball wo saikyo ni shita'hito' to'system' by Yonemushi Noriko (Toho Publishing)\Move faster!\Jump higher! response:	More! More! More!
context: OP\The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished.\- Director of the Brazilian Men's Volleyball Team, ranked number-1 in the world, Bernardo Rezende From Brazil Volleyball wo saikyo ni shita'hito' to'system' by Yonemushi Noriko (Toho Publishing)\Move faster!\Jump higher!\More! More! More! response:	Why?
context: OP\The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished.\- Director of the Brazilian Men's Volleyball Team, ranked number-1 in the world, Bernardo Rezende From Brazil Volleyball wo saikyo ni shita'hito' to'system' by Yonemushi Noriko (Toho Publishing)\Move faster!\Jump higher!\More! More! More!\Why? response:	Why don't they jump?
context: OP\The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished.\- Director of the Brazilian Men's Volleyball Team, ranked number-1 in the world, Bernardo Rezende From Brazil Volleyball wo saikyo ni shita'hito' to'system' by Yonemushi Noriko (Toho Publishing)\Move faster!\Jump higher!\More! More! More!\Why?\Why don't they jump? response:	We're fed up with you.
context: The player is not a soloist, but a member of an orchestra. When the player begins to think,'I'm special,' is finished.\- Director of the Brazilian Men's Volleyball Team, ranked number-1 in the world, Bernardo Rezende From Brazil Volleyball wo saikyo ni shita'hito' to'system' by Yonemushi Noriko (Toho Publishing)\Move faster!\Jump higher!\More! More! More!\Why?\Why don't they jump?\We're fed up with you. response:	You egocentric king.
context: - Director of the Brazilian Men's Volleyball Team, ranked number-1 in the world, Bernardo Rezende From Brazil Volleyball wo saikyo ni shita'hito' to'system' by Yonemushi Noriko (Toho Publishing)\Move faster!\Jump higher!\More! More! More!\Why?\Why don't they jump?\We're fed up with you.\You egocentric king. response:	Good morning.
context: Move faster!\Jump higher!\More! More! More!\Why?\Why don't they jump?\We're fed up with you.\You egocentric king.\Good morning. response:	The beautiful girl. The beautiful girl is here.
