context: It won't take long. response:	Be patient.
context: It won't take long.\Be patient. response:	How did I get here?
context: It won't take long.\Be patient.\How did I get here? response:	Elias was telling me about the dragons, and...
context: It won't take long.\Be patient.\How did I get here?\Elias was telling me about the dragons, and... response:	Dragons?
context: It won't take long.\Be patient.\How did I get here?\Elias was telling me about the dragons, and...\Dragons? response:	Yes, dragons.
context: It won't take long.\Be patient.\How did I get here?\Elias was telling me about the dragons, and...\Dragons?\Yes, dragons. response:	They've been on the move lately.
context: It won't take long.\Be patient.\How did I get here?\Elias was telling me about the dragons, and...\Dragons?\Yes, dragons.\They've been on the move lately. response:	I've been asked to check it out.
context: It won't take long.\Be patient.\How did I get here?\Elias was telling me about the dragons, and...\Dragons?\Yes, dragons.\They've been on the move lately.\I've been asked to check it out. response:	Here, in Iceland, is the dragons' nest.
context: Be patient.\How did I get here?\Elias was telling me about the dragons, and...\Dragons?\Yes, dragons.\They've been on the move lately.\I've been asked to check it out.\Here, in Iceland, is the dragons' nest. response:	They're on the verge of extinction, just like us mages.
context: How did I get here?\Elias was telling me about the dragons, and...\Dragons?\Yes, dragons.\They've been on the move lately.\I've been asked to check it out.\Here, in Iceland, is the dragons' nest.\They're on the verge of extinction, just like us mages. response:	The handful of surviving breeds have been rounded up here to be taken care of.
context: Elias was telling me about the dragons, and...\Dragons?\Yes, dragons.\They've been on the move lately.\I've been asked to check it out.\Here, in Iceland, is the dragons' nest.\They're on the verge of extinction, just like us mages.\The handful of surviving breeds have been rounded up here to be taken care of. response:	It's remote and scarcely inhabited here, which makes it a perfect hiding space.
context: Dragons?\Yes, dragons.\They've been on the move lately.\I've been asked to check it out.\Here, in Iceland, is the dragons' nest.\They're on the verge of extinction, just like us mages.\The handful of surviving breeds have been rounded up here to be taken care of.\It's remote and scarcely inhabited here, which makes it a perfect hiding space. response:	Are they vicious?
context: Yes, dragons.\They've been on the move lately.\I've been asked to check it out.\Here, in Iceland, is the dragons' nest.\They're on the verge of extinction, just like us mages.\The handful of surviving breeds have been rounded up here to be taken care of.\It's remote and scarcely inhabited here, which makes it a perfect hiding space.\Are they vicious? response:	The majority of them were weeded out long ago.
context: They've been on the move lately.\I've been asked to check it out.\Here, in Iceland, is the dragons' nest.\They're on the verge of extinction, just like us mages.\The handful of surviving breeds have been rounded up here to be taken care of.\It's remote and scarcely inhabited here, which makes it a perfect hiding space.\Are they vicious?\The majority of them were weeded out long ago. response:	There are more docile ones now.
context: I've been asked to check it out.\Here, in Iceland, is the dragons' nest.\They're on the verge of extinction, just like us mages.\The handful of surviving breeds have been rounded up here to be taken care of.\It's remote and scarcely inhabited here, which makes it a perfect hiding space.\Are they vicious?\The majority of them were weeded out long ago.\There are more docile ones now. response:	I see.
