context: Can't sleep, Master? response:	I just came to check on you two.
context: Can't sleep, Master?\I just came to check on you two. response:	Go back to sleep.
context: Can't sleep, Master?\I just came to check on you two.\Go back to sleep. response:	'Kay.
context: Can't sleep, Master?\I just came to check on you two.\Go back to sleep.\'Kay. response:	Good night, Master.
context: Can't sleep, Master?\I just came to check on you two.\Go back to sleep.\'Kay.\Good night, Master. response:	See you tomorrow.
context: Can't sleep, Master?\I just came to check on you two.\Go back to sleep.\'Kay.\Good night, Master.\See you tomorrow. response:	Yeah, night.
context: Can't sleep, Master?\I just came to check on you two.\Go back to sleep.\'Kay.\Good night, Master.\See you tomorrow.\Yeah, night. response:	The Rising of the Shield Hero
context: Can't sleep, Master?\I just came to check on you two.\Go back to sleep.\'Kay.\Good night, Master.\See you tomorrow.\Yeah, night.\The Rising of the Shield Hero response:	Curse Shield
context: I just came to check on you two.\Go back to sleep.\'Kay.\Good night, Master.\See you tomorrow.\Yeah, night.\The Rising of the Shield Hero\Curse Shield response:	You folks had better turn back.
context: Go back to sleep.\'Kay.\Good night, Master.\See you tomorrow.\Yeah, night.\The Rising of the Shield Hero\Curse Shield\You folks had better turn back. response:	If you keep going, you'll die.
context: 'Kay.\Good night, Master.\See you tomorrow.\Yeah, night.\The Rising of the Shield Hero\Curse Shield\You folks had better turn back.\If you keep going, you'll die. response:	We heard there's a village down this path.
context: Good night, Master.\See you tomorrow.\Yeah, night.\The Rising of the Shield Hero\Curse Shield\You folks had better turn back.\If you keep going, you'll die.\We heard there's a village down this path. response:	The village is done for.
context: See you tomorrow.\Yeah, night.\The Rising of the Shield Hero\Curse Shield\You folks had better turn back.\If you keep going, you'll die.\We heard there's a village down this path.\The village is done for. response:	The plague even got the village elder.
context: Yeah, night.\The Rising of the Shield Hero\Curse Shield\You folks had better turn back.\If you keep going, you'll die.\We heard there's a village down this path.\The village is done for.\The plague even got the village elder. response:	What could be happening there?
context: The Rising of the Shield Hero\Curse Shield\You folks had better turn back.\If you keep going, you'll die.\We heard there's a village down this path.\The village is done for.\The plague even got the village elder.\What could be happening there? response:	We'll see when we get there.
context: Curse Shield\You folks had better turn back.\If you keep going, you'll die.\We heard there's a village down this path.\The village is done for.\The plague even got the village elder.\What could be happening there?\We'll see when we get there. response:	What brings you to a place like this?
context: You folks had better turn back.\If you keep going, you'll die.\We heard there's a village down this path.\The village is done for.\The plague even got the village elder.\What could be happening there?\We'll see when we get there.\What brings you to a place like this? response:	I'm a traveling merchant. I'm here to sell you medicine.
context: If you keep going, you'll die.\We heard there's a village down this path.\The village is done for.\The plague even got the village elder.\What could be happening there?\We'll see when we get there.\What brings you to a place like this?\I'm a traveling merchant. I'm here to sell you medicine. response:	A traveling merchant?
context: We heard there's a village down this path.\The village is done for.\The plague even got the village elder.\What could be happening there?\We'll see when we get there.\What brings you to a place like this?\I'm a traveling merchant. I'm here to sell you medicine.\A traveling merchant? response:	Wait, that filolial...
context: The village is done for.\The plague even got the village elder.\What could be happening there?\We'll see when we get there.\What brings you to a place like this?\I'm a traveling merchant. I'm here to sell you medicine.\A traveling merchant?\Wait, that filolial... response:	Could it be the Heavenly Fowl?
context: The plague even got the village elder.\What could be happening there?\We'll see when we get there.\What brings you to a place like this?\I'm a traveling merchant. I'm here to sell you medicine.\A traveling merchant?\Wait, that filolial...\Could it be the Heavenly Fowl? response:	Doctor!
context: What could be happening there?\We'll see when we get there.\What brings you to a place like this?\I'm a traveling merchant. I'm here to sell you medicine.\A traveling merchant?\Wait, that filolial...\Could it be the Heavenly Fowl?\Doctor! response:	What's the matter?
context: We'll see when we get there.\What brings you to a place like this?\I'm a traveling merchant. I'm here to sell you medicine.\A traveling merchant?\Wait, that filolial...\Could it be the Heavenly Fowl?\Doctor!\What's the matter? response:	Our Savior of the Heavenly Fowl has come for us!
context: What brings you to a place like this?\I'm a traveling merchant. I'm here to sell you medicine.\A traveling merchant?\Wait, that filolial...\Could it be the Heavenly Fowl?\Doctor!\What's the matter?\Our Savior of the Heavenly Fowl has come for us! response:	Doctor?
context: I'm a traveling merchant. I'm here to sell you medicine.\A traveling merchant?\Wait, that filolial...\Could it be the Heavenly Fowl?\Doctor!\What's the matter?\Our Savior of the Heavenly Fowl has come for us!\Doctor? response:	I run the village clinic.
context: A traveling merchant?\Wait, that filolial...\Could it be the Heavenly Fowl?\Doctor!\What's the matter?\Our Savior of the Heavenly Fowl has come for us!\Doctor?\I run the village clinic. response:	If I may ask, are you really...
context: Wait, that filolial...\Could it be the Heavenly Fowl?\Doctor!\What's the matter?\Our Savior of the Heavenly Fowl has come for us!\Doctor?\I run the village clinic.\If I may ask, are you really... response:	I'm only here to sell you medicine.
context: Could it be the Heavenly Fowl?\Doctor!\What's the matter?\Our Savior of the Heavenly Fowl has come for us!\Doctor?\I run the village clinic.\If I may ask, are you really...\I'm only here to sell you medicine. response:	Even that would be a great help!
context: Doctor!\What's the matter?\Our Savior of the Heavenly Fowl has come for us!\Doctor?\I run the village clinic.\If I may ask, are you really...\I'm only here to sell you medicine.\Even that would be a great help! response:	I cannot make nearly enough for everyone!
context: What's the matter?\Our Savior of the Heavenly Fowl has come for us!\Doctor?\I run the village clinic.\If I may ask, are you really...\I'm only here to sell you medicine.\Even that would be a great help!\I cannot make nearly enough for everyone! response:	Doctor, who are these people?
context: Our Savior of the Heavenly Fowl has come for us!\Doctor?\I run the village clinic.\If I may ask, are you really...\I'm only here to sell you medicine.\Even that would be a great help!\I cannot make nearly enough for everyone!\Doctor, who are these people? response:	Oh, they say they'll sell us medicine.
context: Doctor?\I run the village clinic.\If I may ask, are you really...\I'm only here to sell you medicine.\Even that would be a great help!\I cannot make nearly enough for everyone!\Doctor, who are these people?\Oh, they say they'll sell us medicine. response:	Looking at this, I should probably give it to them myself.
context: I run the village clinic.\If I may ask, are you really...\I'm only here to sell you medicine.\Even that would be a great help!\I cannot make nearly enough for everyone!\Doctor, who are these people?\Oh, they say they'll sell us medicine.\Looking at this, I should probably give it to them myself. response:	Here.
context: If I may ask, are you really...\I'm only here to sell you medicine.\Even that would be a great help!\I cannot make nearly enough for everyone!\Doctor, who are these people?\Oh, they say they'll sell us medicine.\Looking at this, I should probably give it to them myself.\Here. response:	Fifty silvers, huh?
context: I'm only here to sell you medicine.\Even that would be a great help!\I cannot make nearly enough for everyone!\Doctor, who are these people?\Oh, they say they'll sell us medicine.\Looking at this, I should probably give it to them myself.\Here.\Fifty silvers, huh? response:	Will it do?
context: Even that would be a great help!\I cannot make nearly enough for everyone!\Doctor, who are these people?\Oh, they say they'll sell us medicine.\Looking at this, I should probably give it to them myself.\Here.\Fifty silvers, huh?\Will it do? response:	You're a bit short, but I'll take it.
context: I cannot make nearly enough for everyone!\Doctor, who are these people?\Oh, they say they'll sell us medicine.\Looking at this, I should probably give it to them myself.\Here.\Fifty silvers, huh?\Will it do?\You're a bit short, but I'll take it. response:	You were truly a great help.
context: Doctor, who are these people?\Oh, they say they'll sell us medicine.\Looking at this, I should probably give it to them myself.\Here.\Fifty silvers, huh?\Will it do?\You're a bit short, but I'll take it.\You were truly a great help. response:	Now we've staved off the immediate crisis.
context: Oh, they say they'll sell us medicine.\Looking at this, I should probably give it to them myself.\Here.\Fifty silvers, huh?\Will it do?\You're a bit short, but I'll take it.\You were truly a great help.\Now we've staved off the immediate crisis. response:	Are you satisfied with that?
context: Looking at this, I should probably give it to them myself.\Here.\Fifty silvers, huh?\Will it do?\You're a bit short, but I'll take it.\You were truly a great help.\Now we've staved off the immediate crisis.\Are you satisfied with that? response:	All I did was treat their symptoms. I didn't cure them.
context: Here.\Fifty silvers, huh?\Will it do?\You're a bit short, but I'll take it.\You were truly a great help.\Now we've staved off the immediate crisis.\Are you satisfied with that?\All I did was treat their symptoms. I didn't cure them. response:	They'll eventually go back to square one.
context: Fifty silvers, huh?\Will it do?\You're a bit short, but I'll take it.\You were truly a great help.\Now we've staved off the immediate crisis.\Are you satisfied with that?\All I did was treat their symptoms. I didn't cure them.\They'll eventually go back to square one. response:	You're indeed right.
context: Will it do?\You're a bit short, but I'll take it.\You were truly a great help.\Now we've staved off the immediate crisis.\Are you satisfied with that?\All I did was treat their symptoms. I didn't cure them.\They'll eventually go back to square one.\You're indeed right. response:	Not that I mind, since I'll make good money anyway.
context: You're a bit short, but I'll take it.\You were truly a great help.\Now we've staved off the immediate crisis.\Are you satisfied with that?\All I did was treat their symptoms. I didn't cure them.\They'll eventually go back to square one.\You're indeed right.\Not that I mind, since I'll make good money anyway. response:	Let's see what dies out first, you or your coffers.
context: You were truly a great help.\Now we've staved off the immediate crisis.\Are you satisfied with that?\All I did was treat their symptoms. I didn't cure them.\They'll eventually go back to square one.\You're indeed right.\Not that I mind, since I'll make good money anyway.\Let's see what dies out first, you or your coffers. response:	We know that we can't let this go on!
