context: The bath feels great! response:	It feels great to travel by ship once in a while.
context: The bath feels great!\It feels great to travel by ship once in a while. response:	It would have been amazing if it wasn't a trip for work, though...
context: The bath feels great!\It feels great to travel by ship once in a while.\It would have been amazing if it wasn't a trip for work, though... response:	No!
context: The bath feels great!\It feels great to travel by ship once in a while.\It would have been amazing if it wasn't a trip for work, though...\No! response:	Wait, Grenda! You need rinse off the shampoo properly!
context: The bath feels great!\It feels great to travel by ship once in a while.\It would have been amazing if it wasn't a trip for work, though...\No!\Wait, Grenda! You need rinse off the shampoo properly! response:	Stop!
context: The bath feels great!\It feels great to travel by ship once in a while.\It would have been amazing if it wasn't a trip for work, though...\No!\Wait, Grenda! You need rinse off the shampoo properly!\Stop! response:	I'm so sorry! Are you okay!?
context: The bath feels great!\It feels great to travel by ship once in a while.\It would have been amazing if it wasn't a trip for work, though...\No!\Wait, Grenda! You need rinse off the shampoo properly!\Stop!\I'm so sorry! Are you okay!? response:	Come on, do you really think I'd be fine after something like that...
context: The bath feels great!\It feels great to travel by ship once in a while.\It would have been amazing if it wasn't a trip for work, though...\No!\Wait, Grenda! You need rinse off the shampoo properly!\Stop!\I'm so sorry! Are you okay!?\Come on, do you really think I'd be fine after something like that... response:	Hang on, you are...
context: It feels great to travel by ship once in a while.\It would have been amazing if it wasn't a trip for work, though...\No!\Wait, Grenda! You need rinse off the shampoo properly!\Stop!\I'm so sorry! Are you okay!?\Come on, do you really think I'd be fine after something like that...\Hang on, you are... response:	Kirasaka-san?
context: It would have been amazing if it wasn't a trip for work, though...\No!\Wait, Grenda! You need rinse off the shampoo properly!\Stop!\I'm so sorry! Are you okay!?\Come on, do you really think I'd be fine after something like that...\Hang on, you are...\Kirasaka-san? response:	Yuiri, what's wrong!?
context: No!\Wait, Grenda! You need rinse off the shampoo properly!\Stop!\I'm so sorry! Are you okay!?\Come on, do you really think I'd be fine after something like that...\Hang on, you are...\Kirasaka-san?\Yuiri, what's wrong!? response:	Is Grenda
context: Wait, Grenda! You need rinse off the shampoo properly!\Stop!\I'm so sorry! Are you okay!?\Come on, do you really think I'd be fine after something like that...\Hang on, you are...\Kirasaka-san?\Yuiri, what's wrong!?\Is Grenda response:	Ah!
context: Stop!\I'm so sorry! Are you okay!?\Come on, do you really think I'd be fine after something like that...\Hang on, you are...\Kirasaka-san?\Yuiri, what's wrong!?\Is Grenda\Ah! response:	Why are you here, Kirasaka!?
context: I'm so sorry! Are you okay!?\Come on, do you really think I'd be fine after something like that...\Hang on, you are...\Kirasaka-san?\Yuiri, what's wrong!?\Is Grenda\Ah!\Why are you here, Kirasaka!? response:	I should be asking you the same thing!!
context: Come on, do you really think I'd be fine after something like that...\Hang on, you are...\Kirasaka-san?\Yuiri, what's wrong!?\Is Grenda\Ah!\Why are you here, Kirasaka!?\I should be asking you the same thing!! response:	The two of us are on a mission, of course.
context: Hang on, you are...\Kirasaka-san?\Yuiri, what's wrong!?\Is Grenda\Ah!\Why are you here, Kirasaka!?\I should be asking you the same thing!!\The two of us are on a mission, of course. response:	We're here to guard that girl until she reaches Itogami Island.
context: Kirasaka-san?\Yuiri, what's wrong!?\Is Grenda\Ah!\Why are you here, Kirasaka!?\I should be asking you the same thing!!\The two of us are on a mission, of course.\We're here to guard that girl until she reaches Itogami Island. response:	What about you?
context: Yuiri, what's wrong!?\Is Grenda\Ah!\Why are you here, Kirasaka!?\I should be asking you the same thing!!\The two of us are on a mission, of course.\We're here to guard that girl until she reaches Itogami Island.\What about you? response:	I'm on a scouting mission for the MAR.
context: Is Grenda\Ah!\Why are you here, Kirasaka!?\I should be asking you the same thing!!\The two of us are on a mission, of course.\We're here to guard that girl until she reaches Itogami Island.\What about you?\I'm on a scouting mission for the MAR. response:	MAR? The multinational sorcery corporation?
context: Ah!\Why are you here, Kirasaka!?\I should be asking you the same thing!!\The two of us are on a mission, of course.\We're here to guard that girl until she reaches Itogami Island.\What about you?\I'm on a scouting mission for the MAR.\MAR? The multinational sorcery corporation? response:	What was that impact just now?
context: Why are you here, Kirasaka!?\I should be asking you the same thing!!\The two of us are on a mission, of course.\We're here to guard that girl until she reaches Itogami Island.\What about you?\I'm on a scouting mission for the MAR.\MAR? The multinational sorcery corporation?\What was that impact just now? response:	Hang on, did we run aground?
context: I should be asking you the same thing!!\The two of us are on a mission, of course.\We're here to guard that girl until she reaches Itogami Island.\What about you?\I'm on a scouting mission for the MAR.\MAR? The multinational sorcery corporation?\What was that impact just now?\Hang on, did we run aground? response:	Yuiri, look!
context: The two of us are on a mission, of course.\We're here to guard that girl until she reaches Itogami Island.\What about you?\I'm on a scouting mission for the MAR.\MAR? The multinational sorcery corporation?\What was that impact just now?\Hang on, did we run aground?\Yuiri, look! response:	Many ships!
context: We're here to guard that girl until she reaches Itogami Island.\What about you?\I'm on a scouting mission for the MAR.\MAR? The multinational sorcery corporation?\What was that impact just now?\Hang on, did we run aground?\Yuiri, look!\Many ships! response:	What on earth...!
context: What about you?\I'm on a scouting mission for the MAR.\MAR? The multinational sorcery corporation?\What was that impact just now?\Hang on, did we run aground?\Yuiri, look!\Many ships!\What on earth...! response:	The name of that city was Itogami Island.
context: I'm on a scouting mission for the MAR.\MAR? The multinational sorcery corporation?\What was that impact just now?\Hang on, did we run aground?\Yuiri, look!\Many ships!\What on earth...!\The name of that city was Itogami Island. response:	An artificial island floating on the Pacific Ocean, made from carbon fiber, resin, metal, and magic.
context: MAR? The multinational sorcery corporation?\What was that impact just now?\Hang on, did we run aground?\Yuiri, look!\Many ships!\What on earth...!\The name of that city was Itogami Island.\An artificial island floating on the Pacific Ocean, made from carbon fiber, resin, metal, and magic. response:	The Special Magical District. A certain boy lived in that city that was built to shelter demons.
context: What was that impact just now?\Hang on, did we run aground?\Yuiri, look!\Many ships!\What on earth...!\The name of that city was Itogami Island.\An artificial island floating on the Pacific Ocean, made from carbon fiber, resin, metal, and magic.\The Special Magical District. A certain boy lived in that city that was built to shelter demons. response:	The Fourth Progenitor. A fourth progenitor who was never supposed to exist.
context: Hang on, did we run aground?\Yuiri, look!\Many ships!\What on earth...!\The name of that city was Itogami Island.\An artificial island floating on the Pacific Ocean, made from carbon fiber, resin, metal, and magic.\The Special Magical District. A certain boy lived in that city that was built to shelter demons.\The Fourth Progenitor. A fourth progenitor who was never supposed to exist. response:	A future emperor, who would someday carve out his own empire and reign over the world.
context: Yuiri, look!\Many ships!\What on earth...!\The name of that city was Itogami Island.\An artificial island floating on the Pacific Ocean, made from carbon fiber, resin, metal, and magic.\The Special Magical District. A certain boy lived in that city that was built to shelter demons.\The Fourth Progenitor. A fourth progenitor who was never supposed to exist.\A future emperor, who would someday carve out his own empire and reign over the world. response:	His name is Akatsuki Kojou!
context: Many ships!\What on earth...!\The name of that city was Itogami Island.\An artificial island floating on the Pacific Ocean, made from carbon fiber, resin, metal, and magic.\The Special Magical District. A certain boy lived in that city that was built to shelter demons.\The Fourth Progenitor. A fourth progenitor who was never supposed to exist.\A future emperor, who would someday carve out his own empire and reign over the world.\His name is Akatsuki Kojou! response:	Ugh, I feel like shit.
context: What on earth...!\The name of that city was Itogami Island.\An artificial island floating on the Pacific Ocean, made from carbon fiber, resin, metal, and magic.\The Special Magical District. A certain boy lived in that city that was built to shelter demons.\The Fourth Progenitor. A fourth progenitor who was never supposed to exist.\A future emperor, who would someday carve out his own empire and reign over the world.\His name is Akatsuki Kojou!\Ugh, I feel like shit. response:	I just got back from the mainland, and I already have school.
context: The name of that city was Itogami Island.\An artificial island floating on the Pacific Ocean, made from carbon fiber, resin, metal, and magic.\The Special Magical District. A certain boy lived in that city that was built to shelter demons.\The Fourth Progenitor. A fourth progenitor who was never supposed to exist.\A future emperor, who would someday carve out his own empire and reign over the world.\His name is Akatsuki Kojou!\Ugh, I feel like shit.\I just got back from the mainland, and I already have school. response:	Oh, Kojou-kun. Good morning.
context: An artificial island floating on the Pacific Ocean, made from carbon fiber, resin, metal, and magic.\The Special Magical District. A certain boy lived in that city that was built to shelter demons.\The Fourth Progenitor. A fourth progenitor who was never supposed to exist.\A future emperor, who would someday carve out his own empire and reign over the world.\His name is Akatsuki Kojou!\Ugh, I feel like shit.\I just got back from the mainland, and I already have school.\Oh, Kojou-kun. Good morning. response:	Actually, put on some clothes already.
context: The Special Magical District. A certain boy lived in that city that was built to shelter demons.\The Fourth Progenitor. A fourth progenitor who was never supposed to exist.\A future emperor, who would someday carve out his own empire and reign over the world.\His name is Akatsuki Kojou!\Ugh, I feel like shit.\I just got back from the mainland, and I already have school.\Oh, Kojou-kun. Good morning.\Actually, put on some clothes already. response:	Walking around naked in front of a teenage girl is a crime, you know?
context: The Fourth Progenitor. A fourth progenitor who was never supposed to exist.\A future emperor, who would someday carve out his own empire and reign over the world.\His name is Akatsuki Kojou!\Ugh, I feel like shit.\I just got back from the mainland, and I already have school.\Oh, Kojou-kun. Good morning.\Actually, put on some clothes already.\Walking around naked in front of a teenage girl is a crime, you know? response:	My bad.
