context: Sakimitama, Kushimitama... protect her. response:	The Fateful Two
context: Sakimitama, Kushimitama... protect her.\The Fateful Two response:	Who's this, Mom?
context: Sakimitama, Kushimitama... protect her.\The Fateful Two\Who's this, Mom? response:	Is he dead?
context: Sakimitama, Kushimitama... protect her.\The Fateful Two\Who's this, Mom?\Is he dead? response:	Don't worry about him.
context: Sakimitama, Kushimitama... protect her.\The Fateful Two\Who's this, Mom?\Is he dead?\Don't worry about him. response:	Are you being pursued?
context: Sakimitama, Kushimitama... protect her.\The Fateful Two\Who's this, Mom?\Is he dead?\Don't worry about him.\Are you being pursued? response:	Yes.
context: Sakimitama, Kushimitama... protect her.\The Fateful Two\Who's this, Mom?\Is he dead?\Don't worry about him.\Are you being pursued?\Yes. response:	Huh? W-Wait!
context: Sakimitama, Kushimitama... protect her.\The Fateful Two\Who's this, Mom?\Is he dead?\Don't worry about him.\Are you being pursued?\Yes.\Huh? W-Wait! response:	You're not going to save me?
context: The Fateful Two\Who's this, Mom?\Is he dead?\Don't worry about him.\Are you being pursued?\Yes.\Huh? W-Wait!\You're not going to save me? response:	Why would I?
context: Who's this, Mom?\Is he dead?\Don't worry about him.\Are you being pursued?\Yes.\Huh? W-Wait!\You're not going to save me?\Why would I? response:	We have no quarrel with you, but since you've seen the girl...
context: Is he dead?\Don't worry about him.\Are you being pursued?\Yes.\Huh? W-Wait!\You're not going to save me?\Why would I?\We have no quarrel with you, but since you've seen the girl... response:	You must die.
context: Don't worry about him.\Are you being pursued?\Yes.\Huh? W-Wait!\You're not going to save me?\Why would I?\We have no quarrel with you, but since you've seen the girl...\You must die. response:	Eliminating witnesses?
context: Are you being pursued?\Yes.\Huh? W-Wait!\You're not going to save me?\Why would I?\We have no quarrel with you, but since you've seen the girl...\You must die.\Eliminating witnesses? response:	How vicious.
context: Yes.\Huh? W-Wait!\You're not going to save me?\Why would I?\We have no quarrel with you, but since you've seen the girl...\You must die.\Eliminating witnesses?\How vicious. response:	Wh-What?
context: Huh? W-Wait!\You're not going to save me?\Why would I?\We have no quarrel with you, but since you've seen the girl...\You must die.\Eliminating witnesses?\How vicious.\Wh-What? response:	Stop screaming. You'll bite your tongue.
context: You're not going to save me?\Why would I?\We have no quarrel with you, but since you've seen the girl...\You must die.\Eliminating witnesses?\How vicious.\Wh-What?\Stop screaming. You'll bite your tongue. response:	Om Marici Yeh Svaha!
context: Why would I?\We have no quarrel with you, but since you've seen the girl...\You must die.\Eliminating witnesses?\How vicious.\Wh-What?\Stop screaming. You'll bite your tongue.\Om Marici Yeh Svaha! response:	Marici? You're...
context: We have no quarrel with you, but since you've seen the girl...\You must die.\Eliminating witnesses?\How vicious.\Wh-What?\Stop screaming. You'll bite your tongue.\Om Marici Yeh Svaha!\Marici? You're... response:	He's thought to be invincible because of his immense strength.
context: You must die.\Eliminating witnesses?\How vicious.\Wh-What?\Stop screaming. You'll bite your tongue.\Om Marici Yeh Svaha!\Marici? You're...\He's thought to be invincible because of his immense strength. response:	Do not falter!
context: Eliminating witnesses?\How vicious.\Wh-What?\Stop screaming. You'll bite your tongue.\Om Marici Yeh Svaha!\Marici? You're...\He's thought to be invincible because of his immense strength.\Do not falter! response:	Ougi Tendagaeshi!
context: How vicious.\Wh-What?\Stop screaming. You'll bite your tongue.\Om Marici Yeh Svaha!\Marici? You're...\He's thought to be invincible because of his immense strength.\Do not falter!\Ougi Tendagaeshi! response:	I couldn't let you go and become their target.
context: Wh-What?\Stop screaming. You'll bite your tongue.\Om Marici Yeh Svaha!\Marici? You're...\He's thought to be invincible because of his immense strength.\Do not falter!\Ougi Tendagaeshi!\I couldn't let you go and become their target. response:	Excuse me...
context: Stop screaming. You'll bite your tongue.\Om Marici Yeh Svaha!\Marici? You're...\He's thought to be invincible because of his immense strength.\Do not falter!\Ougi Tendagaeshi!\I couldn't let you go and become their target.\Excuse me... response:	Sheesh. I'm already hungry and now I used all that energy.
context: Om Marici Yeh Svaha!\Marici? You're...\He's thought to be invincible because of his immense strength.\Do not falter!\Ougi Tendagaeshi!\I couldn't let you go and become their target.\Excuse me...\Sheesh. I'm already hungry and now I used all that energy. response:	Wait!
context: Marici? You're...\He's thought to be invincible because of his immense strength.\Do not falter!\Ougi Tendagaeshi!\I couldn't let you go and become their target.\Excuse me...\Sheesh. I'm already hungry and now I used all that energy.\Wait! response:	What?
context: He's thought to be invincible because of his immense strength.\Do not falter!\Ougi Tendagaeshi!\I couldn't let you go and become their target.\Excuse me...\Sheesh. I'm already hungry and now I used all that energy.\Wait!\What? response:	If you're that strong,
context: Do not falter!\Ougi Tendagaeshi!\I couldn't let you go and become their target.\Excuse me...\Sheesh. I'm already hungry and now I used all that energy.\Wait!\What?\If you're that strong, response:	it should be no problem for you to protect one girl.
context: Ougi Tendagaeshi!\I couldn't let you go and become their target.\Excuse me...\Sheesh. I'm already hungry and now I used all that energy.\Wait!\What?\If you're that strong,\it should be no problem for you to protect one girl. response:	I might be assaulted again by more men like them.
context: I couldn't let you go and become their target.\Excuse me...\Sheesh. I'm already hungry and now I used all that energy.\Wait!\What?\If you're that strong,\it should be no problem for you to protect one girl.\I might be assaulted again by more men like them. response:	Please come with me!
context: Excuse me...\Sheesh. I'm already hungry and now I used all that energy.\Wait!\What?\If you're that strong,\it should be no problem for you to protect one girl.\I might be assaulted again by more men like them.\Please come with me! response:	Not my problem.
context: Sheesh. I'm already hungry and now I used all that energy.\Wait!\What?\If you're that strong,\it should be no problem for you to protect one girl.\I might be assaulted again by more men like them.\Please come with me!\Not my problem. response:	What's wrong with you?!
context: Wait!\What?\If you're that strong,\it should be no problem for you to protect one girl.\I might be assaulted again by more men like them.\Please come with me!\Not my problem.\What's wrong with you?! response:	A real man would want to protect a lady!
