context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	Happy, where are you?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Happy, where are you? response:	Happy!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Happy, where are you?\Happy! response:	They left me behind!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Happy, where are you?\Happy!\They left me behind! response:	I have to head to where Natsu is while I have the chance!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Happy, where are you?\Happy!\They left me behind!\I have to head to where Natsu is while I have the chance! response:	It'll be all right! I'll yell it out countless times.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Happy, where are you?\Happy!\They left me behind!\I have to head to where Natsu is while I have the chance!\It'll be all right! I'll yell it out countless times. response:	I believe your every tomorrow will be shining.
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\Happy, where are you?\Happy!\They left me behind!\I have to head to where Natsu is while I have the chance!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining. response:	The intersection of all people
context: and sit back from the screen,'kay?\Happy, where are you?\Happy!\They left me behind!\I have to head to where Natsu is while I have the chance!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining.\The intersection of all people response:	Never giving up. And that's why we're not gonna lose!
context: Happy, where are you?\Happy!\They left me behind!\I have to head to where Natsu is while I have the chance!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining.\The intersection of all people\Never giving up. And that's why we're not gonna lose! response:	When it seems like you'll be blown away by the headwinds,
context: Happy!\They left me behind!\I have to head to where Natsu is while I have the chance!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining.\The intersection of all people\Never giving up. And that's why we're not gonna lose!\When it seems like you'll be blown away by the headwinds, response:	grasp this hand, try to take a chance.
context: They left me behind!\I have to head to where Natsu is while I have the chance!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining.\The intersection of all people\Never giving up. And that's why we're not gonna lose!\When it seems like you'll be blown away by the headwinds,\grasp this hand, try to take a chance. response:	Because you're not alone anymore, got it?
context: I have to head to where Natsu is while I have the chance!\It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining.\The intersection of all people\Never giving up. And that's why we're not gonna lose!\When it seems like you'll be blown away by the headwinds,\grasp this hand, try to take a chance.\Because you're not alone anymore, got it? response:	Go forward, more and more!
context: It'll be all right! I'll yell it out countless times.\I believe your every tomorrow will be shining.\The intersection of all people\Never giving up. And that's why we're not gonna lose!\When it seems like you'll be blown away by the headwinds,\grasp this hand, try to take a chance.\Because you're not alone anymore, got it?\Go forward, more and more! response:	Don't give up on your awesome dream!
context: I believe your every tomorrow will be shining.\The intersection of all people\Never giving up. And that's why we're not gonna lose!\When it seems like you'll be blown away by the headwinds,\grasp this hand, try to take a chance.\Because you're not alone anymore, got it?\Go forward, more and more!\Don't give up on your awesome dream! response:	That's right, don't cry!
