context: A month after I moved to Tokyo, response:	my incredible luck...
context: A month after I moved to Tokyo,\my incredible luck... response:	came to an end.
context: A month after I moved to Tokyo,\my incredible luck...\came to an end. response:	When I was darkness at that time
context: A month after I moved to Tokyo,\my incredible luck...\came to an end.\When I was darkness at that time response:	With trembling lips
context: A month after I moved to Tokyo,\my incredible luck...\came to an end.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: A month after I moved to Tokyo,\my incredible luck...\came to an end.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: A month after I moved to Tokyo,\my incredible luck...\came to an end.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: A month after I moved to Tokyo,\my incredible luck...\came to an end.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: my incredible luck...\came to an end.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: came to an end.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
