context: We're going to change the location of our battle. response:	Suit yourself. It will all end up the same.
context: We're going to change the location of our battle.\Suit yourself. It will all end up the same. response:	l should have guessed.
context: We're going to change the location of our battle.\Suit yourself. It will all end up the same.\l should have guessed. response:	He's following with confidence to spare.
context: We're going to change the location of our battle.\Suit yourself. It will all end up the same.\l should have guessed.\He's following with confidence to spare. response:	Gohan...
context: We're going to change the location of our battle.\Suit yourself. It will all end up the same.\l should have guessed.\He's following with confidence to spare.\Gohan... response:	Hey, Gohan!
context: We're going to change the location of our battle.\Suit yourself. It will all end up the same.\l should have guessed.\He's following with confidence to spare.\Gohan...\Hey, Gohan! response:	-Yes? -Let's hurry back to Kame House.
context: We're going to change the location of our battle.\Suit yourself. It will all end up the same.\l should have guessed.\He's following with confidence to spare.\Gohan...\Hey, Gohan!\-Yes? -Let's hurry back to Kame House. response:	Let's stop worrying about him already. We've left the fate of the earth up to him.
context: We're going to change the location of our battle.\Suit yourself. It will all end up the same.\l should have guessed.\He's following with confidence to spare.\Gohan...\Hey, Gohan!\-Yes? -Let's hurry back to Kame House.\Let's stop worrying about him already. We've left the fate of the earth up to him. response:	It's okay, Gohan! I'm sure Goku will come through for us!
context: Suit yourself. It will all end up the same.\l should have guessed.\He's following with confidence to spare.\Gohan...\Hey, Gohan!\-Yes? -Let's hurry back to Kame House.\Let's stop worrying about him already. We've left the fate of the earth up to him.\It's okay, Gohan! I'm sure Goku will come through for us! response:	Come on, let's go. Show your mom that you're all right.
context: l should have guessed.\He's following with confidence to spare.\Gohan...\Hey, Gohan!\-Yes? -Let's hurry back to Kame House.\Let's stop worrying about him already. We've left the fate of the earth up to him.\It's okay, Gohan! I'm sure Goku will come through for us!\Come on, let's go. Show your mom that you're all right. response:	Right.
context: He's following with confidence to spare.\Gohan...\Hey, Gohan!\-Yes? -Let's hurry back to Kame House.\Let's stop worrying about him already. We've left the fate of the earth up to him.\It's okay, Gohan! I'm sure Goku will come through for us!\Come on, let's go. Show your mom that you're all right.\Right. response:	All right, there won't be any people or animals around here.
context: Gohan...\Hey, Gohan!\-Yes? -Let's hurry back to Kame House.\Let's stop worrying about him already. We've left the fate of the earth up to him.\It's okay, Gohan! I'm sure Goku will come through for us!\Come on, let's go. Show your mom that you're all right.\Right.\All right, there won't be any people or animals around here. response:	I see...
context: Hey, Gohan!\-Yes? -Let's hurry back to Kame House.\Let's stop worrying about him already. We've left the fate of the earth up to him.\It's okay, Gohan! I'm sure Goku will come through for us!\Come on, let's go. Show your mom that you're all right.\Right.\All right, there won't be any people or animals around here.\I see... response:	You've chosen here to be your gravesite, have you?
context: -Yes? -Let's hurry back to Kame House.\Let's stop worrying about him already. We've left the fate of the earth up to him.\It's okay, Gohan! I'm sure Goku will come through for us!\Come on, let's go. Show your mom that you're all right.\Right.\All right, there won't be any people or animals around here.\I see...\You've chosen here to be your gravesite, have you? response:	You should be thrilled.
context: Let's stop worrying about him already. We've left the fate of the earth up to him.\It's okay, Gohan! I'm sure Goku will come through for us!\Come on, let's go. Show your mom that you're all right.\Right.\All right, there won't be any people or animals around here.\I see...\You've chosen here to be your gravesite, have you?\You should be thrilled. response:	A lower-class warrior such as yourself
context: It's okay, Gohan! I'm sure Goku will come through for us!\Come on, let's go. Show your mom that you're all right.\Right.\All right, there won't be any people or animals around here.\I see...\You've chosen here to be your gravesite, have you?\You should be thrilled.\A lower-class warrior such as yourself response:	is about to be toyed around with by a super-elite, after all.
context: Come on, let's go. Show your mom that you're all right.\Right.\All right, there won't be any people or animals around here.\I see...\You've chosen here to be your gravesite, have you?\You should be thrilled.\A lower-class warrior such as yourself\is about to be toyed around with by a super-elite, after all. response:	Saiyans have their warrior ratings examined right after they are born.
context: Right.\All right, there won't be any people or animals around here.\I see...\You've chosen here to be your gravesite, have you?\You should be thrilled.\A lower-class warrior such as yourself\is about to be toyed around with by a super-elite, after all.\Saiyans have their warrior ratings examined right after they are born. response:	When they do, the scum that have lower ratings, such as yourself,
context: All right, there won't be any people or animals around here.\I see...\You've chosen here to be your gravesite, have you?\You should be thrilled.\A lower-class warrior such as yourself\is about to be toyed around with by a super-elite, after all.\Saiyans have their warrior ratings examined right after they are born.\When they do, the scum that have lower ratings, such as yourself, response:	are sent off to planets that do not have terribly formidable opponents.
context: I see...\You've chosen here to be your gravesite, have you?\You should be thrilled.\A lower-class warrior such as yourself\is about to be toyed around with by a super-elite, after all.\Saiyans have their warrior ratings examined right after they are born.\When they do, the scum that have lower ratings, such as yourself,\are sent off to planets that do not have terribly formidable opponents. response:	In other words...
context: You've chosen here to be your gravesite, have you?\You should be thrilled.\A lower-class warrior such as yourself\is about to be toyed around with by a super-elite, after all.\Saiyans have their warrior ratings examined right after they are born.\When they do, the scum that have lower ratings, such as yourself,\are sent off to planets that do not have terribly formidable opponents.\In other words... response:	You were a left-behind!
context: You should be thrilled.\A lower-class warrior such as yourself\is about to be toyed around with by a super-elite, after all.\Saiyans have their warrior ratings examined right after they are born.\When they do, the scum that have lower ratings, such as yourself,\are sent off to planets that do not have terribly formidable opponents.\In other words...\You were a left-behind! response:	And as a result, I was sent to Earth here?
context: A lower-class warrior such as yourself\is about to be toyed around with by a super-elite, after all.\Saiyans have their warrior ratings examined right after they are born.\When they do, the scum that have lower ratings, such as yourself,\are sent off to planets that do not have terribly formidable opponents.\In other words...\You were a left-behind!\And as a result, I was sent to Earth here? response:	I should be thankful. But what's more...
context: is about to be toyed around with by a super-elite, after all.\Saiyans have their warrior ratings examined right after they are born.\When they do, the scum that have lower ratings, such as yourself,\are sent off to planets that do not have terribly formidable opponents.\In other words...\You were a left-behind!\And as a result, I was sent to Earth here?\I should be thankful. But what's more... response:	Even a left-behind might be able to overcome an elite, if he tries desperately enough.
context: Saiyans have their warrior ratings examined right after they are born.\When they do, the scum that have lower ratings, such as yourself,\are sent off to planets that do not have terribly formidable opponents.\In other words...\You were a left-behind!\And as a result, I was sent to Earth here?\I should be thankful. But what's more...\Even a left-behind might be able to overcome an elite, if he tries desperately enough. response:	An amusing joke.
context: When they do, the scum that have lower ratings, such as yourself,\are sent off to planets that do not have terribly formidable opponents.\In other words...\You were a left-behind!\And as a result, I was sent to Earth here?\I should be thankful. But what's more...\Even a left-behind might be able to overcome an elite, if he tries desperately enough.\An amusing joke. response:	Now then, allow me to show you a barrier that you cannot overcome,
context: are sent off to planets that do not have terribly formidable opponents.\In other words...\You were a left-behind!\And as a result, I was sent to Earth here?\I should be thankful. But what's more...\Even a left-behind might be able to overcome an elite, if he tries desperately enough.\An amusing joke.\Now then, allow me to show you a barrier that you cannot overcome, response:	no matter how hard you try!
context: In other words...\You were a left-behind!\And as a result, I was sent to Earth here?\I should be thankful. But what's more...\Even a left-behind might be able to overcome an elite, if he tries desperately enough.\An amusing joke.\Now then, allow me to show you a barrier that you cannot overcome,\no matter how hard you try! response:	What's the matter, Kakarrot!? You can do better than this, can't you!?
context: You were a left-behind!\And as a result, I was sent to Earth here?\I should be thankful. But what's more...\Even a left-behind might be able to overcome an elite, if he tries desperately enough.\An amusing joke.\Now then, allow me to show you a barrier that you cannot overcome,\no matter how hard you try!\What's the matter, Kakarrot!? You can do better than this, can't you!? response:	When you defeated Nappa, you had to have been doing better than this!
context: And as a result, I was sent to Earth here?\I should be thankful. But what's more...\Even a left-behind might be able to overcome an elite, if he tries desperately enough.\An amusing joke.\Now then, allow me to show you a barrier that you cannot overcome,\no matter how hard you try!\What's the matter, Kakarrot!? You can do better than this, can't you!?\When you defeated Nappa, you had to have been doing better than this! response:	Let me see it!
