context: In this world, in addition to adventurers response:	and People of the Land, there are also groups called demi-humans.
context: In this world, in addition to adventurers\and People of the Land, there are also groups called demi-humans. response:	For example, the goblins.
context: In this world, in addition to adventurers\and People of the Land, there are also groups called demi-humans.\For example, the goblins. response:	They have limited intelligence, but are hardy and breed quickly.
context: In this world, in addition to adventurers\and People of the Land, there are also groups called demi-humans.\For example, the goblins.\They have limited intelligence, but are hardy and breed quickly. response:	And above all, they're cruel and wicked.
context: In this world, in addition to adventurers\and People of the Land, there are also groups called demi-humans.\For example, the goblins.\They have limited intelligence, but are hardy and breed quickly.\And above all, they're cruel and wicked. response:	An individual goblin is no match for an adventurer of intermediate strength or higher,
context: In this world, in addition to adventurers\and People of the Land, there are also groups called demi-humans.\For example, the goblins.\They have limited intelligence, but are hardy and breed quickly.\And above all, they're cruel and wicked.\An individual goblin is no match for an adventurer of intermediate strength or higher, response:	but their numbers and variety are not to be underestimated.
context: In this world, in addition to adventurers\and People of the Land, there are also groups called demi-humans.\For example, the goblins.\They have limited intelligence, but are hardy and breed quickly.\And above all, they're cruel and wicked.\An individual goblin is no match for an adventurer of intermediate strength or higher,\but their numbers and variety are not to be underestimated. response:	Most of their territory is in the northeast of the island chain.
context: In this world, in addition to adventurers\and People of the Land, there are also groups called demi-humans.\For example, the goblins.\They have limited intelligence, but are hardy and breed quickly.\And above all, they're cruel and wicked.\An individual goblin is no match for an adventurer of intermediate strength or higher,\but their numbers and variety are not to be underestimated.\Most of their territory is in the northeast of the island chain. response:	Then, what should we do?
context: and People of the Land, there are also groups called demi-humans.\For example, the goblins.\They have limited intelligence, but are hardy and breed quickly.\And above all, they're cruel and wicked.\An individual goblin is no match for an adventurer of intermediate strength or higher,\but their numbers and variety are not to be underestimated.\Most of their territory is in the northeast of the island chain.\Then, what should we do? response:	I think it's a bad idea for us to attend only one.
context: For example, the goblins.\They have limited intelligence, but are hardy and breed quickly.\And above all, they're cruel and wicked.\An individual goblin is no match for an adventurer of intermediate strength or higher,\but their numbers and variety are not to be underestimated.\Most of their territory is in the northeast of the island chain.\Then, what should we do?\I think it's a bad idea for us to attend only one. response:	A banquet with Lord Darte,
context: They have limited intelligence, but are hardy and breed quickly.\And above all, they're cruel and wicked.\An individual goblin is no match for an adventurer of intermediate strength or higher,\but their numbers and variety are not to be underestimated.\Most of their territory is in the northeast of the island chain.\Then, what should we do?\I think it's a bad idea for us to attend only one.\A banquet with Lord Darte, response:	an evening party comprised primarily of young knights,
context: And above all, they're cruel and wicked.\An individual goblin is no match for an adventurer of intermediate strength or higher,\but their numbers and variety are not to be underestimated.\Most of their territory is in the northeast of the island chain.\Then, what should we do?\I think it's a bad idea for us to attend only one.\A banquet with Lord Darte,\an evening party comprised primarily of young knights, response:	and a dinner meeting with Count Kirino of Tsukuba and the Academic's Guild...
context: An individual goblin is no match for an adventurer of intermediate strength or higher,\but their numbers and variety are not to be underestimated.\Most of their territory is in the northeast of the island chain.\Then, what should we do?\I think it's a bad idea for us to attend only one.\A banquet with Lord Darte,\an evening party comprised primarily of young knights,\and a dinner meeting with Count Kirino of Tsukuba and the Academic's Guild... response:	The Academic's Guild is a little much for me.
context: but their numbers and variety are not to be underestimated.\Most of their territory is in the northeast of the island chain.\Then, what should we do?\I think it's a bad idea for us to attend only one.\A banquet with Lord Darte,\an evening party comprised primarily of young knights,\and a dinner meeting with Count Kirino of Tsukuba and the Academic's Guild...\The Academic's Guild is a little much for me. response:	Same here.
context: Most of their territory is in the northeast of the island chain.\Then, what should we do?\I think it's a bad idea for us to attend only one.\A banquet with Lord Darte,\an evening party comprised primarily of young knights,\and a dinner meeting with Count Kirino of Tsukuba and the Academic's Guild...\The Academic's Guild is a little much for me.\Same here. response:	I'll handle that one.
context: Then, what should we do?\I think it's a bad idea for us to attend only one.\A banquet with Lord Darte,\an evening party comprised primarily of young knights,\and a dinner meeting with Count Kirino of Tsukuba and the Academic's Guild...\The Academic's Guild is a little much for me.\Same here.\I'll handle that one. response:	Crusty, why don't you take the party with the young knights?
context: I think it's a bad idea for us to attend only one.\A banquet with Lord Darte,\an evening party comprised primarily of young knights,\and a dinner meeting with Count Kirino of Tsukuba and the Academic's Guild...\The Academic's Guild is a little much for me.\Same here.\I'll handle that one.\Crusty, why don't you take the party with the young knights? response:	I'm sure you'll enjoy the dance.
context: A banquet with Lord Darte,\an evening party comprised primarily of young knights,\and a dinner meeting with Count Kirino of Tsukuba and the Academic's Guild...\The Academic's Guild is a little much for me.\Same here.\I'll handle that one.\Crusty, why don't you take the party with the young knights?\I'm sure you'll enjoy the dance. response:	That isn't a bad idea.
context: an evening party comprised primarily of young knights,\and a dinner meeting with Count Kirino of Tsukuba and the Academic's Guild...\The Academic's Guild is a little much for me.\Same here.\I'll handle that one.\Crusty, why don't you take the party with the young knights?\I'm sure you'll enjoy the dance.\That isn't a bad idea. response:	Then I'll take the banquet with Lord Darte.
context: and a dinner meeting with Count Kirino of Tsukuba and the Academic's Guild...\The Academic's Guild is a little much for me.\Same here.\I'll handle that one.\Crusty, why don't you take the party with the young knights?\I'm sure you'll enjoy the dance.\That isn't a bad idea.\Then I'll take the banquet with Lord Darte. response:	Will you be okay, Crusty?
context: The Academic's Guild is a little much for me.\Same here.\I'll handle that one.\Crusty, why don't you take the party with the young knights?\I'm sure you'll enjoy the dance.\That isn't a bad idea.\Then I'll take the banquet with Lord Darte.\Will you be okay, Crusty? response:	You'll have to deal with flattering lords and noble ladies.
context: Same here.\I'll handle that one.\Crusty, why don't you take the party with the young knights?\I'm sure you'll enjoy the dance.\That isn't a bad idea.\Then I'll take the banquet with Lord Darte.\Will you be okay, Crusty?\You'll have to deal with flattering lords and noble ladies. response:	Lately, I've found a shield that's so durable, it's nigh-unbreakable.
context: I'll handle that one.\Crusty, why don't you take the party with the young knights?\I'm sure you'll enjoy the dance.\That isn't a bad idea.\Then I'll take the banquet with Lord Darte.\Will you be okay, Crusty?\You'll have to deal with flattering lords and noble ladies.\Lately, I've found a shield that's so durable, it's nigh-unbreakable. response:	I'll be fine.
context: Crusty, why don't you take the party with the young knights?\I'm sure you'll enjoy the dance.\That isn't a bad idea.\Then I'll take the banquet with Lord Darte.\Will you be okay, Crusty?\You'll have to deal with flattering lords and noble ladies.\Lately, I've found a shield that's so durable, it's nigh-unbreakable.\I'll be fine. response:	A shield?
context: I'm sure you'll enjoy the dance.\That isn't a bad idea.\Then I'll take the banquet with Lord Darte.\Will you be okay, Crusty?\You'll have to deal with flattering lords and noble ladies.\Lately, I've found a shield that's so durable, it's nigh-unbreakable.\I'll be fine.\A shield? response:	Shield and Freedom
context: That isn't a bad idea.\Then I'll take the banquet with Lord Darte.\Will you be okay, Crusty?\You'll have to deal with flattering lords and noble ladies.\Lately, I've found a shield that's so durable, it's nigh-unbreakable.\I'll be fine.\A shield?\Shield and Freedom response:	Shield and Freedom.
context: Then I'll take the banquet with Lord Darte.\Will you be okay, Crusty?\You'll have to deal with flattering lords and noble ladies.\Lately, I've found a shield that's so durable, it's nigh-unbreakable.\I'll be fine.\A shield?\Shield and Freedom\Shield and Freedom. response:	Lady Lenessia, it's almost bedtime.
context: Will you be okay, Crusty?\You'll have to deal with flattering lords and noble ladies.\Lately, I've found a shield that's so durable, it's nigh-unbreakable.\I'll be fine.\A shield?\Shield and Freedom\Shield and Freedom.\Lady Lenessia, it's almost bedtime. response:	No, Elyssa...
context: You'll have to deal with flattering lords and noble ladies.\Lately, I've found a shield that's so durable, it's nigh-unbreakable.\I'll be fine.\A shield?\Shield and Freedom\Shield and Freedom.\Lady Lenessia, it's almost bedtime.\No, Elyssa... response:	I'm not wearing the silk pajamas.
context: Lately, I've found a shield that's so durable, it's nigh-unbreakable.\I'll be fine.\A shield?\Shield and Freedom\Shield and Freedom.\Lady Lenessia, it's almost bedtime.\No, Elyssa...\I'm not wearing the silk pajamas. response:	Those are evil pajamas.
context: I'll be fine.\A shield?\Shield and Freedom\Shield and Freedom.\Lady Lenessia, it's almost bedtime.\No, Elyssa...\I'm not wearing the silk pajamas.\Those are evil pajamas. response:	Not this again.
context: A shield?\Shield and Freedom\Shield and Freedom.\Lady Lenessia, it's almost bedtime.\No, Elyssa...\I'm not wearing the silk pajamas.\Those are evil pajamas.\Not this again. response:	Then you'd prefer these?
context: Shield and Freedom\Shield and Freedom.\Lady Lenessia, it's almost bedtime.\No, Elyssa...\I'm not wearing the silk pajamas.\Those are evil pajamas.\Not this again.\Then you'd prefer these? response:	These are perfect!
context: Shield and Freedom.\Lady Lenessia, it's almost bedtime.\No, Elyssa...\I'm not wearing the silk pajamas.\Those are evil pajamas.\Not this again.\Then you'd prefer these?\These are perfect! response:	Flannel pajamas...
context: Lady Lenessia, it's almost bedtime.\No, Elyssa...\I'm not wearing the silk pajamas.\Those are evil pajamas.\Not this again.\Then you'd prefer these?\These are perfect!\Flannel pajamas... response:	Wear the silk ones once in a while.
context: No, Elyssa...\I'm not wearing the silk pajamas.\Those are evil pajamas.\Not this again.\Then you'd prefer these?\These are perfect!\Flannel pajamas...\Wear the silk ones once in a while. response:	I'm the one who gets scolded.
context: I'm not wearing the silk pajamas.\Those are evil pajamas.\Not this again.\Then you'd prefer these?\These are perfect!\Flannel pajamas...\Wear the silk ones once in a while.\I'm the one who gets scolded. response:	Sure, eventually.
context: Those are evil pajamas.\Not this again.\Then you'd prefer these?\These are perfect!\Flannel pajamas...\Wear the silk ones once in a while.\I'm the one who gets scolded.\Sure, eventually. response:	All the gentlemen call you the melancholy twilight princess, you know.
context: Not this again.\Then you'd prefer these?\These are perfect!\Flannel pajamas...\Wear the silk ones once in a while.\I'm the one who gets scolded.\Sure, eventually.\All the gentlemen call you the melancholy twilight princess, you know. response:	I'm not melancholy. Merely gloomy.
context: Then you'd prefer these?\These are perfect!\Flannel pajamas...\Wear the silk ones once in a while.\I'm the one who gets scolded.\Sure, eventually.\All the gentlemen call you the melancholy twilight princess, you know.\I'm not melancholy. Merely gloomy. response:	And it isn't twilight. I'm just unmotivated.
context: These are perfect!\Flannel pajamas...\Wear the silk ones once in a while.\I'm the one who gets scolded.\Sure, eventually.\All the gentlemen call you the melancholy twilight princess, you know.\I'm not melancholy. Merely gloomy.\And it isn't twilight. I'm just unmotivated. response:	You won't find a gentleman who will allow you
context: Flannel pajamas...\Wear the silk ones once in a while.\I'm the one who gets scolded.\Sure, eventually.\All the gentlemen call you the melancholy twilight princess, you know.\I'm not melancholy. Merely gloomy.\And it isn't twilight. I'm just unmotivated.\You won't find a gentleman who will allow you response:	to lie around all day and do nothing.
context: Wear the silk ones once in a while.\I'm the one who gets scolded.\Sure, eventually.\All the gentlemen call you the melancholy twilight princess, you know.\I'm not melancholy. Merely gloomy.\And it isn't twilight. I'm just unmotivated.\You won't find a gentleman who will allow you\to lie around all day and do nothing. response:	Yes, but...
context: I'm the one who gets scolded.\Sure, eventually.\All the gentlemen call you the melancholy twilight princess, you know.\I'm not melancholy. Merely gloomy.\And it isn't twilight. I'm just unmotivated.\You won't find a gentleman who will allow you\to lie around all day and do nothing.\Yes, but... response:	I'm sorry, Lord Kiliva...
context: Sure, eventually.\All the gentlemen call you the melancholy twilight princess, you know.\I'm not melancholy. Merely gloomy.\And it isn't twilight. I'm just unmotivated.\You won't find a gentleman who will allow you\to lie around all day and do nothing.\Yes, but...\I'm sorry, Lord Kiliva... response:	But I have another engagement.
context: All the gentlemen call you the melancholy twilight princess, you know.\I'm not melancholy. Merely gloomy.\And it isn't twilight. I'm just unmotivated.\You won't find a gentleman who will allow you\to lie around all day and do nothing.\Yes, but...\I'm sorry, Lord Kiliva...\But I have another engagement. response:	Another engagement?
context: I'm not melancholy. Merely gloomy.\And it isn't twilight. I'm just unmotivated.\You won't find a gentleman who will allow you\to lie around all day and do nothing.\Yes, but...\I'm sorry, Lord Kiliva...\But I have another engagement.\Another engagement? response:	Oh, with Princess Lenessia?
