context: Jeez, who's here this late? response:	What do you want?
context: Jeez, who's here this late?\What do you want? response:	Did you get dumped again?
context: Jeez, who's here this late?\What do you want?\Did you get dumped again? response:	What do I do?
context: Jeez, who's here this late?\What do you want?\Did you get dumped again?\What do I do? response:	If we don't do something, we'll all...
context: Jeez, who's here this late?\What do you want?\Did you get dumped again?\What do I do?\If we don't do something, we'll all... response:	Please help,
context: Jeez, who's here this late?\What do you want?\Did you get dumped again?\What do I do?\If we don't do something, we'll all...\Please help, response:	Meika.
context: Jeez, who's here this late?\What do you want?\Did you get dumped again?\What do I do?\If we don't do something, we'll all...\Please help,\Meika. response:	Punch Line
context: Jeez, who's here this late?\What do you want?\Did you get dumped again?\What do I do?\If we don't do something, we'll all...\Please help,\Meika.\Punch Line response:	Meika, I've gotta ask you...
context: What do you want?\Did you get dumped again?\What do I do?\If we don't do something, we'll all...\Please help,\Meika.\Punch Line\Meika, I've gotta ask you... response:	What were you doing around four this morning?
context: Did you get dumped again?\What do I do?\If we don't do something, we'll all...\Please help,\Meika.\Punch Line\Meika, I've gotta ask you...\What were you doing around four this morning? response:	Where's this coming from?
context: What do I do?\If we don't do something, we'll all...\Please help,\Meika.\Punch Line\Meika, I've gotta ask you...\What were you doing around four this morning?\Where's this coming from? response:	Just answer me!
context: If we don't do something, we'll all...\Please help,\Meika.\Punch Line\Meika, I've gotta ask you...\What were you doing around four this morning?\Where's this coming from?\Just answer me! response:	I think it was around 3:30.
context: Please help,\Meika.\Punch Line\Meika, I've gotta ask you...\What were you doing around four this morning?\Where's this coming from?\Just answer me!\I think it was around 3:30. response:	Rabura showed up all of a sudden and started babbling nonsense.
context: Meika.\Punch Line\Meika, I've gotta ask you...\What were you doing around four this morning?\Where's this coming from?\Just answer me!\I think it was around 3:30.\Rabura showed up all of a sudden and started babbling nonsense. response:	Of course, I didn't believe her at first,
context: Punch Line\Meika, I've gotta ask you...\What were you doing around four this morning?\Where's this coming from?\Just answer me!\I think it was around 3:30.\Rabura showed up all of a sudden and started babbling nonsense.\Of course, I didn't believe her at first, response:	but I figured I could at least look into it for her.
