context: In life, you need vacations where you can be yourself, response:	away from your hectic everyday life.
context: In life, you need vacations where you can be yourself,\away from your hectic everyday life. response:	life and love.
context: In life, you need vacations where you can be yourself,\away from your hectic everyday life.\life and love. response:	I've been neglecting both for over twenty years.
context: In life, you need vacations where you can be yourself,\away from your hectic everyday life.\life and love.\I've been neglecting both for over twenty years. response:	Tenth Skate Gotta Supercharge It!! Pre-Grand Prix Final Special!
context: In life, you need vacations where you can be yourself,\away from your hectic everyday life.\life and love.\I've been neglecting both for over twenty years.\Tenth Skate Gotta Supercharge It!! Pre-Grand Prix Final Special! response:	Gotta Supercharge It!!
context: In life, you need vacations where you can be yourself,\away from your hectic everyday life.\life and love.\I've been neglecting both for over twenty years.\Tenth Skate Gotta Supercharge It!! Pre-Grand Prix Final Special!\Gotta Supercharge It!! response:	Pre-Grand Prix Final Special!
context: In life, you need vacations where you can be yourself,\away from your hectic everyday life.\life and love.\I've been neglecting both for over twenty years.\Tenth Skate Gotta Supercharge It!! Pre-Grand Prix Final Special!\Gotta Supercharge It!!\Pre-Grand Prix Final Special! response:	Even Barcelona's cold in December.
context: In life, you need vacations where you can be yourself,\away from your hectic everyday life.\life and love.\I've been neglecting both for over twenty years.\Tenth Skate Gotta Supercharge It!! Pre-Grand Prix Final Special!\Gotta Supercharge It!!\Pre-Grand Prix Final Special!\Even Barcelona's cold in December. response:	I thought, other than me, only a Russian
context: away from your hectic everyday life.\life and love.\I've been neglecting both for over twenty years.\Tenth Skate Gotta Supercharge It!! Pre-Grand Prix Final Special!\Gotta Supercharge It!!\Pre-Grand Prix Final Special!\Even Barcelona's cold in December.\I thought, other than me, only a Russian response:	would be stupid enough to get in the pool this time of year.
context: life and love.\I've been neglecting both for over twenty years.\Tenth Skate Gotta Supercharge It!! Pre-Grand Prix Final Special!\Gotta Supercharge It!!\Pre-Grand Prix Final Special!\Even Barcelona's cold in December.\I thought, other than me, only a Russian\would be stupid enough to get in the pool this time of year. response:	I guess I was right.
context: I've been neglecting both for over twenty years.\Tenth Skate Gotta Supercharge It!! Pre-Grand Prix Final Special!\Gotta Supercharge It!!\Pre-Grand Prix Final Special!\Even Barcelona's cold in December.\I thought, other than me, only a Russian\would be stupid enough to get in the pool this time of year.\I guess I was right. response:	Chris!
context: Tenth Skate Gotta Supercharge It!! Pre-Grand Prix Final Special!\Gotta Supercharge It!!\Pre-Grand Prix Final Special!\Even Barcelona's cold in December.\I thought, other than me, only a Russian\would be stupid enough to get in the pool this time of year.\I guess I was right.\Chris! response:	Hi, Coach Victor!
context: Gotta Supercharge It!!\Pre-Grand Prix Final Special!\Even Barcelona's cold in December.\I thought, other than me, only a Russian\would be stupid enough to get in the pool this time of year.\I guess I was right.\Chris!\Hi, Coach Victor! response:	And here I was hoping to go skinny dipping.
context: Pre-Grand Prix Final Special!\Even Barcelona's cold in December.\I thought, other than me, only a Russian\would be stupid enough to get in the pool this time of year.\I guess I was right.\Chris!\Hi, Coach Victor!\And here I was hoping to go skinny dipping. response:	Don't let me stop you.
context: Even Barcelona's cold in December.\I thought, other than me, only a Russian\would be stupid enough to get in the pool this time of year.\I guess I was right.\Chris!\Hi, Coach Victor!\And here I was hoping to go skinny dipping.\Don't let me stop you. response:	I'll even take photos for you.
context: I thought, other than me, only a Russian\would be stupid enough to get in the pool this time of year.\I guess I was right.\Chris!\Hi, Coach Victor!\And here I was hoping to go skinny dipping.\Don't let me stop you.\I'll even take photos for you. response:	My name is Victor Nikiforov.
context: would be stupid enough to get in the pool this time of year.\I guess I was right.\Chris!\Hi, Coach Victor!\And here I was hoping to go skinny dipping.\Don't let me stop you.\I'll even take photos for you.\My name is Victor Nikiforov. response:	I was kidding about being on vacation.
context: I guess I was right.\Chris!\Hi, Coach Victor!\And here I was hoping to go skinny dipping.\Don't let me stop you.\I'll even take photos for you.\My name is Victor Nikiforov.\I was kidding about being on vacation. response:	I just arrived in Barcelona, Spain, for the Grand Prix Figure Skating Final.
context: Chris!\Hi, Coach Victor!\And here I was hoping to go skinny dipping.\Don't let me stop you.\I'll even take photos for you.\My name is Victor Nikiforov.\I was kidding about being on vacation.\I just arrived in Barcelona, Spain, for the Grand Prix Figure Skating Final. response:	He's Christophe Giacometti from Switzerland.
context: Hi, Coach Victor!\And here I was hoping to go skinny dipping.\Don't let me stop you.\I'll even take photos for you.\My name is Victor Nikiforov.\I was kidding about being on vacation.\I just arrived in Barcelona, Spain, for the Grand Prix Figure Skating Final.\He's Christophe Giacometti from Switzerland. response:	Since you left, I'm one of the oldest...
context: And here I was hoping to go skinny dipping.\Don't let me stop you.\I'll even take photos for you.\My name is Victor Nikiforov.\I was kidding about being on vacation.\I just arrived in Barcelona, Spain, for the Grand Prix Figure Skating Final.\He's Christophe Giacometti from Switzerland.\Since you left, I'm one of the oldest... response:	And I'm only 25.
context: Don't let me stop you.\I'll even take photos for you.\My name is Victor Nikiforov.\I was kidding about being on vacation.\I just arrived in Barcelona, Spain, for the Grand Prix Figure Skating Final.\He's Christophe Giacometti from Switzerland.\Since you left, I'm one of the oldest...\And I'm only 25. response:	Nowadays, Chris is sexy both on and off the ice,
context: I'll even take photos for you.\My name is Victor Nikiforov.\I was kidding about being on vacation.\I just arrived in Barcelona, Spain, for the Grand Prix Figure Skating Final.\He's Christophe Giacometti from Switzerland.\Since you left, I'm one of the oldest...\And I'm only 25.\Nowadays, Chris is sexy both on and off the ice, response:	but when I first met him at the European Championships,
context: My name is Victor Nikiforov.\I was kidding about being on vacation.\I just arrived in Barcelona, Spain, for the Grand Prix Figure Skating Final.\He's Christophe Giacometti from Switzerland.\Since you left, I'm one of the oldest...\And I'm only 25.\Nowadays, Chris is sexy both on and off the ice,\but when I first met him at the European Championships, response:	he was like a little boy running through the Swiss meadows.
context: I was kidding about being on vacation.\I just arrived in Barcelona, Spain, for the Grand Prix Figure Skating Final.\He's Christophe Giacometti from Switzerland.\Since you left, I'm one of the oldest...\And I'm only 25.\Nowadays, Chris is sexy both on and off the ice,\but when I first met him at the European Championships,\he was like a little boy running through the Swiss meadows. response:	I've shared the podium with Chris at many a Grand Prix Final,
context: I just arrived in Barcelona, Spain, for the Grand Prix Figure Skating Final.\He's Christophe Giacometti from Switzerland.\Since you left, I'm one of the oldest...\And I'm only 25.\Nowadays, Chris is sexy both on and off the ice,\but when I first met him at the European Championships,\he was like a little boy running through the Swiss meadows.\I've shared the podium with Chris at many a Grand Prix Final, response:	European Championship, and World Championship.
