context: E-Excuse me. response:	Club Application
context: E-Excuse me.\Club Application response:	We saw your article in the paper and your website!
context: E-Excuse me.\Club Application\We saw your article in the paper and your website! response:	You guys are the best! Please let us join you!
context: E-Excuse me.\Club Application\We saw your article in the paper and your website!\You guys are the best! Please let us join you! response:	Oh, uh... You want to join the team?
context: E-Excuse me.\Club Application\We saw your article in the paper and your website!\You guys are the best! Please let us join you!\Oh, uh... You want to join the team? response:	Wait. Why are you asking me?
context: E-Excuse me.\Club Application\We saw your article in the paper and your website!\You guys are the best! Please let us join you!\Oh, uh... You want to join the team?\Wait. Why are you asking me? response:	Aren't you the coach?
context: E-Excuse me.\Club Application\We saw your article in the paper and your website!\You guys are the best! Please let us join you!\Oh, uh... You want to join the team?\Wait. Why are you asking me?\Aren't you the coach? response:	What?
context: E-Excuse me.\Club Application\We saw your article in the paper and your website!\You guys are the best! Please let us join you!\Oh, uh... You want to join the team?\Wait. Why are you asking me?\Aren't you the coach?\What? response:	Run with the Wind
context: Club Application\We saw your article in the paper and your website!\You guys are the best! Please let us join you!\Oh, uh... You want to join the team?\Wait. Why are you asking me?\Aren't you the coach?\What?\Run with the Wind response:	You can clear away all the ash you want,
context: We saw your article in the paper and your website!\You guys are the best! Please let us join you!\Oh, uh... You want to join the team?\Wait. Why are you asking me?\Aren't you the coach?\What?\Run with the Wind\You can clear away all the ash you want, response:	but the road to anti-aging is long. Right?
context: You guys are the best! Please let us join you!\Oh, uh... You want to join the team?\Wait. Why are you asking me?\Aren't you the coach?\What?\Run with the Wind\You can clear away all the ash you want,\but the road to anti-aging is long. Right? response:	Shut up.
context: Oh, uh... You want to join the team?\Wait. Why are you asking me?\Aren't you the coach?\What?\Run with the Wind\You can clear away all the ash you want,\but the road to anti-aging is long. Right?\Shut up. response:	I appreciate their enthusiasm, though.
context: Wait. Why are you asking me?\Aren't you the coach?\What?\Run with the Wind\You can clear away all the ash you want,\but the road to anti-aging is long. Right?\Shut up.\I appreciate their enthusiasm, though. response:	I put up a note.
context: Aren't you the coach?\What?\Run with the Wind\You can clear away all the ash you want,\but the road to anti-aging is long. Right?\Shut up.\I appreciate their enthusiasm, though.\I put up a note. response:	To individuals wishing to join the Kansei University Long Distance Track and Field Team The Kansei University Long Distance Track and Field Team is not currently recruiting new members. Please accept our apologies. We appreciate your understanding.
context: What?\Run with the Wind\You can clear away all the ash you want,\but the road to anti-aging is long. Right?\Shut up.\I appreciate their enthusiasm, though.\I put up a note.\To individuals wishing to join the Kansei University Long Distance Track and Field Team The Kansei University Long Distance Track and Field Team is not currently recruiting new members. Please accept our apologies. We appreciate your understanding. response:	We'll continue rejecting applicants.
context: Run with the Wind\You can clear away all the ash you want,\but the road to anti-aging is long. Right?\Shut up.\I appreciate their enthusiasm, though.\I put up a note.\To individuals wishing to join the Kansei University Long Distance Track and Field Team The Kansei University Long Distance Track and Field Team is not currently recruiting new members. Please accept our apologies. We appreciate your understanding.\We'll continue rejecting applicants. response:	Aotake is full right now,
context: You can clear away all the ash you want,\but the road to anti-aging is long. Right?\Shut up.\I appreciate their enthusiasm, though.\I put up a note.\To individuals wishing to join the Kansei University Long Distance Track and Field Team The Kansei University Long Distance Track and Field Team is not currently recruiting new members. Please accept our apologies. We appreciate your understanding.\We'll continue rejecting applicants.\Aotake is full right now, response:	and I don't want to be influenced by any passing fads.
