context: What are you doing? response:	Gulp.
context: What are you doing?\Gulp. response:	Interviews with Monster Girls
context: What are you doing?\Gulp.\Interviews with Monster Girls response:	Takahashi Tetsuo Wants an Interview
context: What are you doing?\Gulp.\Interviews with Monster Girls\Takahashi Tetsuo Wants an Interview response:	Good morning.
context: What are you doing?\Gulp.\Interviews with Monster Girls\Takahashi Tetsuo Wants an Interview\Good morning. response:	We have a new teacher joining us today.
context: What are you doing?\Gulp.\Interviews with Monster Girls\Takahashi Tetsuo Wants an Interview\Good morning.\We have a new teacher joining us today. response:	Faculty Office
context: What are you doing?\Gulp.\Interviews with Monster Girls\Takahashi Tetsuo Wants an Interview\Good morning.\We have a new teacher joining us today.\Faculty Office response:	But she doesn't seem to be here yet, so I'll introduce her later.
context: What are you doing?\Gulp.\Interviews with Monster Girls\Takahashi Tetsuo Wants an Interview\Good morning.\We have a new teacher joining us today.\Faculty Office\But she doesn't seem to be here yet, so I'll introduce her later. response:	She must be awfully impressive to arrive late on her first day.
context: Gulp.\Interviews with Monster Girls\Takahashi Tetsuo Wants an Interview\Good morning.\We have a new teacher joining us today.\Faculty Office\But she doesn't seem to be here yet, so I'll introduce her later.\She must be awfully impressive to arrive late on her first day. response:	By the way, Takahashi-sensei...
context: Interviews with Monster Girls\Takahashi Tetsuo Wants an Interview\Good morning.\We have a new teacher joining us today.\Faculty Office\But she doesn't seem to be here yet, so I'll introduce her later.\She must be awfully impressive to arrive late on her first day.\By the way, Takahashi-sensei... response:	Yeah?
context: Takahashi Tetsuo Wants an Interview\Good morning.\We have a new teacher joining us today.\Faculty Office\But she doesn't seem to be here yet, so I'll introduce her later.\She must be awfully impressive to arrive late on her first day.\By the way, Takahashi-sensei...\Yeah? response:	Well, that's enough joking around.
context: Good morning.\We have a new teacher joining us today.\Faculty Office\But she doesn't seem to be here yet, so I'll introduce her later.\She must be awfully impressive to arrive late on her first day.\By the way, Takahashi-sensei...\Yeah?\Well, that's enough joking around. response:	Earlier, you said you're researching demi-humans, didn't you?
context: We have a new teacher joining us today.\Faculty Office\But she doesn't seem to be here yet, so I'll introduce her later.\She must be awfully impressive to arrive late on her first day.\By the way, Takahashi-sensei...\Yeah?\Well, that's enough joking around.\Earlier, you said you're researching demi-humans, didn't you? response:	I was thinking of making them the topic of my college thesis.
context: Faculty Office\But she doesn't seem to be here yet, so I'll introduce her later.\She must be awfully impressive to arrive late on her first day.\By the way, Takahashi-sensei...\Yeah?\Well, that's enough joking around.\Earlier, you said you're researching demi-humans, didn't you?\I was thinking of making them the topic of my college thesis. response:	But dealing with demi-humans is always delicate,
context: But she doesn't seem to be here yet, so I'll introduce her later.\She must be awfully impressive to arrive late on her first day.\By the way, Takahashi-sensei...\Yeah?\Well, that's enough joking around.\Earlier, you said you're researching demi-humans, didn't you?\I was thinking of making them the topic of my college thesis.\But dealing with demi-humans is always delicate, response:	so a simple teacher can't get permission.
context: She must be awfully impressive to arrive late on her first day.\By the way, Takahashi-sensei...\Yeah?\Well, that's enough joking around.\Earlier, you said you're researching demi-humans, didn't you?\I was thinking of making them the topic of my college thesis.\But dealing with demi-humans is always delicate,\so a simple teacher can't get permission. response:	To this day, I've still never even seen a demi-human.
context: By the way, Takahashi-sensei...\Yeah?\Well, that's enough joking around.\Earlier, you said you're researching demi-humans, didn't you?\I was thinking of making them the topic of my college thesis.\But dealing with demi-humans is always delicate,\so a simple teacher can't get permission.\To this day, I've still never even seen a demi-human. response:	Well, the number of demi-humans is really quite low...
context: Yeah?\Well, that's enough joking around.\Earlier, you said you're researching demi-humans, didn't you?\I was thinking of making them the topic of my college thesis.\But dealing with demi-humans is always delicate,\so a simple teacher can't get permission.\To this day, I've still never even seen a demi-human.\Well, the number of demi-humans is really quite low... response:	Why choose them as your topic?
context: Well, that's enough joking around.\Earlier, you said you're researching demi-humans, didn't you?\I was thinking of making them the topic of my college thesis.\But dealing with demi-humans is always delicate,\so a simple teacher can't get permission.\To this day, I've still never even seen a demi-human.\Well, the number of demi-humans is really quite low...\Why choose them as your topic? response:	I want to interview demi-humans!
context: Earlier, you said you're researching demi-humans, didn't you?\I was thinking of making them the topic of my college thesis.\But dealing with demi-humans is always delicate,\so a simple teacher can't get permission.\To this day, I've still never even seen a demi-human.\Well, the number of demi-humans is really quite low...\Why choose them as your topic?\I want to interview demi-humans! response:	Why do you bring this up?
context: I was thinking of making them the topic of my college thesis.\But dealing with demi-humans is always delicate,\so a simple teacher can't get permission.\To this day, I've still never even seen a demi-human.\Well, the number of demi-humans is really quite low...\Why choose them as your topic?\I want to interview demi-humans!\Why do you bring this up? response:	Oh, well, actually
context: But dealing with demi-humans is always delicate,\so a simple teacher can't get permission.\To this day, I've still never even seen a demi-human.\Well, the number of demi-humans is really quite low...\Why choose them as your topic?\I want to interview demi-humans!\Why do you bring this up?\Oh, well, actually response:	I'm sorry I'm late!
context: so a simple teacher can't get permission.\To this day, I've still never even seen a demi-human.\Well, the number of demi-humans is really quite low...\Why choose them as your topic?\I want to interview demi-humans!\Why do you bring this up?\Oh, well, actually\I'm sorry I'm late! response:	Ah, you're here.
context: To this day, I've still never even seen a demi-human.\Well, the number of demi-humans is really quite low...\Why choose them as your topic?\I want to interview demi-humans!\Why do you bring this up?\Oh, well, actually\I'm sorry I'm late!\Ah, you're here. response:	Come up to the front and introduce yourself.
context: Well, the number of demi-humans is really quite low...\Why choose them as your topic?\I want to interview demi-humans!\Why do you bring this up?\Oh, well, actually\I'm sorry I'm late!\Ah, you're here.\Come up to the front and introduce yourself. response:	I really am sorry!
context: Why choose them as your topic?\I want to interview demi-humans!\Why do you bring this up?\Oh, well, actually\I'm sorry I'm late!\Ah, you're here.\Come up to the front and introduce yourself.\I really am sorry! response:	Um... My train was delayed due to a car inspection, and...
context: I want to interview demi-humans!\Why do you bring this up?\Oh, well, actually\I'm sorry I'm late!\Ah, you're here.\Come up to the front and introduce yourself.\I really am sorry!\Um... My train was delayed due to a car inspection, and... response:	The train I tried to take was very crowded!
context: Why do you bring this up?\Oh, well, actually\I'm sorry I'm late!\Ah, you're here.\Come up to the front and introduce yourself.\I really am sorry!\Um... My train was delayed due to a car inspection, and...\The train I tried to take was very crowded! response:	Ah, yes, of course. I understand.
context: Oh, well, actually\I'm sorry I'm late!\Ah, you're here.\Come up to the front and introduce yourself.\I really am sorry!\Um... My train was delayed due to a car inspection, and...\The train I tried to take was very crowded!\Ah, yes, of course. I understand. response:	Would you mind introducing yourself?
context: I'm sorry I'm late!\Ah, you're here.\Come up to the front and introduce yourself.\I really am sorry!\Um... My train was delayed due to a car inspection, and...\The train I tried to take was very crowded!\Ah, yes, of course. I understand.\Would you mind introducing yourself? response:	Yes, sir!
