context: As vile a special ability as ever. response:	As vile
context: As vile a special ability as ever.\As vile response:	a special
context: As vile a special ability as ever.\As vile\a special response:	ability as ever.
context: As vile a special ability as ever.\As vile\a special\ability as ever. response:	Now, Eriusu-chan, give him a gentle pat.
context: As vile a special ability as ever.\As vile\a special\ability as ever.\Now, Eriusu-chan, give him a gentle pat. response:	He draws the sword so elegantly that you don't even see it.
context: As vile a special ability as ever.\As vile\a special\ability as ever.\Now, Eriusu-chan, give him a gentle pat.\He draws the sword so elegantly that you don't even see it. response:	I'd expect no less of the Silver Fox,
context: As vile a special ability as ever.\As vile\a special\ability as ever.\Now, Eriusu-chan, give him a gentle pat.\He draws the sword so elegantly that you don't even see it.\I'd expect no less of the Silver Fox, response:	formerly the best assassin swordsman in the government.
context: As vile a special ability as ever.\As vile\a special\ability as ever.\Now, Eriusu-chan, give him a gentle pat.\He draws the sword so elegantly that you don't even see it.\I'd expect no less of the Silver Fox,\formerly the best assassin swordsman in the government. response:	Twelve Years Ago
context: As vile\a special\ability as ever.\Now, Eriusu-chan, give him a gentle pat.\He draws the sword so elegantly that you don't even see it.\I'd expect no less of the Silver Fox,\formerly the best assassin swordsman in the government.\Twelve Years Ago response:	Guard duty?
context: a special\ability as ever.\Now, Eriusu-chan, give him a gentle pat.\He draws the sword so elegantly that you don't even see it.\I'd expect no less of the Silver Fox,\formerly the best assassin swordsman in the government.\Twelve Years Ago\Guard duty? response:	Yes.
context: ability as ever.\Now, Eriusu-chan, give him a gentle pat.\He draws the sword so elegantly that you don't even see it.\I'd expect no less of the Silver Fox,\formerly the best assassin swordsman in the government.\Twelve Years Ago\Guard duty?\Yes. response:	I'm told that you're an exceptional bodyguard.
context: Now, Eriusu-chan, give him a gentle pat.\He draws the sword so elegantly that you don't even see it.\I'd expect no less of the Silver Fox,\formerly the best assassin swordsman in the government.\Twelve Years Ago\Guard duty?\Yes.\I'm told that you're an exceptional bodyguard. response:	I'm taking a break from bodyguard work for the foreseeable future.
context: He draws the sword so elegantly that you don't even see it.\I'd expect no less of the Silver Fox,\formerly the best assassin swordsman in the government.\Twelve Years Ago\Guard duty?\Yes.\I'm told that you're an exceptional bodyguard.\I'm taking a break from bodyguard work for the foreseeable future. response:	Right now, I'm busy preparing to open a Detective Agency.
context: I'd expect no less of the Silver Fox,\formerly the best assassin swordsman in the government.\Twelve Years Ago\Guard duty?\Yes.\I'm told that you're an exceptional bodyguard.\I'm taking a break from bodyguard work for the foreseeable future.\Right now, I'm busy preparing to open a Detective Agency. response:	I'm here by order of Natsume-sensei.
context: formerly the best assassin swordsman in the government.\Twelve Years Ago\Guard duty?\Yes.\I'm told that you're an exceptional bodyguard.\I'm taking a break from bodyguard work for the foreseeable future.\Right now, I'm busy preparing to open a Detective Agency.\I'm here by order of Natsume-sensei. response:	You're taking a break?
context: Twelve Years Ago\Guard duty?\Yes.\I'm told that you're an exceptional bodyguard.\I'm taking a break from bodyguard work for the foreseeable future.\Right now, I'm busy preparing to open a Detective Agency.\I'm here by order of Natsume-sensei.\You're taking a break? response:	It would be such a shame if you become rusty.
context: Guard duty?\Yes.\I'm told that you're an exceptional bodyguard.\I'm taking a break from bodyguard work for the foreseeable future.\Right now, I'm busy preparing to open a Detective Agency.\I'm here by order of Natsume-sensei.\You're taking a break?\It would be such a shame if you become rusty. response:	Sensei! Our man's been shot!
context: Yes.\I'm told that you're an exceptional bodyguard.\I'm taking a break from bodyguard work for the foreseeable future.\Right now, I'm busy preparing to open a Detective Agency.\I'm here by order of Natsume-sensei.\You're taking a break?\It would be such a shame if you become rusty.\Sensei! Our man's been shot! response:	Help us!
context: I'm told that you're an exceptional bodyguard.\I'm taking a break from bodyguard work for the foreseeable future.\Right now, I'm busy preparing to open a Detective Agency.\I'm here by order of Natsume-sensei.\You're taking a break?\It would be such a shame if you become rusty.\Sensei! Our man's been shot!\Help us! response:	Fine, but don't start a fight inside.
context: I'm taking a break from bodyguard work for the foreseeable future.\Right now, I'm busy preparing to open a Detective Agency.\I'm here by order of Natsume-sensei.\You're taking a break?\It would be such a shame if you become rusty.\Sensei! Our man's been shot!\Help us!\Fine, but don't start a fight inside. response:	The one who shot him is being treated, as well.
