context: Apology by Armed Detective Agency Member response:	Tanizaki Junichirou
context: Apology by Armed Detective Agency Member\Tanizaki Junichirou response:	I'm so sorry!
context: Apology by Armed Detective Agency Member\Tanizaki Junichirou\I'm so sorry! response:	Huh?
context: Apology by Armed Detective Agency Member\Tanizaki Junichirou\I'm so sorry!\Huh? response:	Though it was for your exam,
context: Apology by Armed Detective Agency Member\Tanizaki Junichirou\I'm so sorry!\Huh?\Though it was for your exam, response:	I was so rude to you.
context: Apology by Armed Detective Agency Member\Tanizaki Junichirou\I'm so sorry!\Huh?\Though it was for your exam,\I was so rude to you. response:	My name is Tanizaki Junichirou.
context: Apology by Armed Detective Agency Member\Tanizaki Junichirou\I'm so sorry!\Huh?\Though it was for your exam,\I was so rude to you.\My name is Tanizaki Junichirou. response:	I work as an assistant of sorts at the agency.
context: Apology by Armed Detective Agency Member\Tanizaki Junichirou\I'm so sorry!\Huh?\Though it was for your exam,\I was so rude to you.\My name is Tanizaki Junichirou.\I work as an assistant of sorts at the agency. response:	Please, it's all right.
context: Tanizaki Junichirou\I'm so sorry!\Huh?\Though it was for your exam,\I was so rude to you.\My name is Tanizaki Junichirou.\I work as an assistant of sorts at the agency.\Please, it's all right. response:	He's not a bad person, really.
context: I'm so sorry!\Huh?\Though it was for your exam,\I was so rude to you.\My name is Tanizaki Junichirou.\I work as an assistant of sorts at the agency.\Please, it's all right.\He's not a bad person, really. response:	And this is
context: Huh?\Though it was for your exam,\I was so rude to you.\My name is Tanizaki Junichirou.\I work as an assistant of sorts at the agency.\Please, it's all right.\He's not a bad person, really.\And this is response:	His little sister, Naomi.
context: Though it was for your exam,\I was so rude to you.\My name is Tanizaki Junichirou.\I work as an assistant of sorts at the agency.\Please, it's all right.\He's not a bad person, really.\And this is\His little sister, Naomi. response:	Y-You're siblings?!
context: I was so rude to you.\My name is Tanizaki Junichirou.\I work as an assistant of sorts at the agency.\Please, it's all right.\He's not a bad person, really.\And this is\His little sister, Naomi.\Y-You're siblings?! response:	I'm not sure I see a family resemblance.
context: My name is Tanizaki Junichirou.\I work as an assistant of sorts at the agency.\Please, it's all right.\He's not a bad person, really.\And this is\His little sister, Naomi.\Y-You're siblings?!\I'm not sure I see a family resemblance. response:	Oh?
context: I work as an assistant of sorts at the agency.\Please, it's all right.\He's not a bad person, really.\And this is\His little sister, Naomi.\Y-You're siblings?!\I'm not sure I see a family resemblance.\Oh? response:	You doubt us?
context: Please, it's all right.\He's not a bad person, really.\And this is\His little sister, Naomi.\Y-You're siblings?!\I'm not sure I see a family resemblance.\Oh?\You doubt us? response:	Of course we're siblings by blood.
context: He's not a bad person, really.\And this is\His little sister, Naomi.\Y-You're siblings?!\I'm not sure I see a family resemblance.\Oh?\You doubt us?\Of course we're siblings by blood. response:	We're quite similar, especially this part.
context: And this is\His little sister, Naomi.\Y-You're siblings?!\I'm not sure I see a family resemblance.\Oh?\You doubt us?\Of course we're siblings by blood.\We're quite similar, especially this part. response:	Right, brother?
context: His little sister, Naomi.\Y-You're siblings?!\I'm not sure I see a family resemblance.\Oh?\You doubt us?\Of course we're siblings by blood.\We're quite similar, especially this part.\Right, brother? response:	Oh, but...
