context: Once upon a time, there was a young man with a beautiful face. response:	The people loved the handsome young man, but he never showed interest in loving anyone.
context: Once upon a time, there was a young man with a beautiful face.\The people loved the handsome young man, but he never showed interest in loving anyone. response:	This was because all he loved was himself.
context: Once upon a time, there was a young man with a beautiful face.\The people loved the handsome young man, but he never showed interest in loving anyone.\This was because all he loved was himself. response:	When the young man, who neglected to love and sought only to be loved, found someone he truly cared for,
context: Once upon a time, there was a young man with a beautiful face.\The people loved the handsome young man, but he never showed interest in loving anyone.\This was because all he loved was himself.\When the young man, who neglected to love and sought only to be loved, found someone he truly cared for, response:	he realized that he had lost even the words to express those feelings.
context: Once upon a time, there was a young man with a beautiful face.\The people loved the handsome young man, but he never showed interest in loving anyone.\This was because all he loved was himself.\When the young man, who neglected to love and sought only to be loved, found someone he truly cared for,\he realized that he had lost even the words to express those feelings. response:	Calm down, Father.
context: Once upon a time, there was a young man with a beautiful face.\The people loved the handsome young man, but he never showed interest in loving anyone.\This was because all he loved was himself.\When the young man, who neglected to love and sought only to be loved, found someone he truly cared for,\he realized that he had lost even the words to express those feelings.\Calm down, Father. response:	If you get excited, it will affect your health.
context: Once upon a time, there was a young man with a beautiful face.\The people loved the handsome young man, but he never showed interest in loving anyone.\This was because all he loved was himself.\When the young man, who neglected to love and sought only to be loved, found someone he truly cared for,\he realized that he had lost even the words to express those feelings.\Calm down, Father.\If you get excited, it will affect your health. response:	You still do not have the heart? What of the young and beautiful heart?
context: Once upon a time, there was a young man with a beautiful face.\The people loved the handsome young man, but he never showed interest in loving anyone.\This was because all he loved was himself.\When the young man, who neglected to love and sought only to be loved, found someone he truly cared for,\he realized that he had lost even the words to express those feelings.\Calm down, Father.\If you get excited, it will affect your health.\You still do not have the heart? What of the young and beautiful heart? response:	You see, Princess Tutu interferes every time...
context: The people loved the handsome young man, but he never showed interest in loving anyone.\This was because all he loved was himself.\When the young man, who neglected to love and sought only to be loved, found someone he truly cared for,\he realized that he had lost even the words to express those feelings.\Calm down, Father.\If you get excited, it will affect your health.\You still do not have the heart? What of the young and beautiful heart?\You see, Princess Tutu interferes every time... response:	Do not give me excuses!
context: This was because all he loved was himself.\When the young man, who neglected to love and sought only to be loved, found someone he truly cared for,\he realized that he had lost even the words to express those feelings.\Calm down, Father.\If you get excited, it will affect your health.\You still do not have the heart? What of the young and beautiful heart?\You see, Princess Tutu interferes every time...\Do not give me excuses! response:	But Father, when he sees Princess Tutu, the old prince starts to awaken.
context: When the young man, who neglected to love and sought only to be loved, found someone he truly cared for,\he realized that he had lost even the words to express those feelings.\Calm down, Father.\If you get excited, it will affect your health.\You still do not have the heart? What of the young and beautiful heart?\You see, Princess Tutu interferes every time...\Do not give me excuses!\But Father, when he sees Princess Tutu, the old prince starts to awaken. response:	So...
