context: Qing Cang is so ridiculous. response:	He hasn't even won the war yet and he's already started to celebrate.
context: Qing Cang is so ridiculous.\He hasn't even won the war yet and he's already started to celebrate. response:	- Master. - Master.
context: Qing Cang is so ridiculous.\He hasn't even won the war yet and he's already started to celebrate.\- Master. - Master. response:	These two are my disciples, Si Yin and Ling Yu.
context: Qing Cang is so ridiculous.\He hasn't even won the war yet and he's already started to celebrate.\- Master. - Master.\These two are my disciples, Si Yin and Ling Yu. response:	Greet the Heavenly Lord's three princes and Yao Guang.
context: Qing Cang is so ridiculous.\He hasn't even won the war yet and he's already started to celebrate.\- Master. - Master.\These two are my disciples, Si Yin and Ling Yu.\Greet the Heavenly Lord's three princes and Yao Guang. response:	Kunlun Mountain's 17th disciple, Si Yin
context: Qing Cang is so ridiculous.\He hasn't even won the war yet and he's already started to celebrate.\- Master. - Master.\These two are my disciples, Si Yin and Ling Yu.\Greet the Heavenly Lord's three princes and Yao Guang.\Kunlun Mountain's 17th disciple, Si Yin response:	Kunlun Mountain's 9th disciple, Ling Yu
context: Qing Cang is so ridiculous.\He hasn't even won the war yet and he's already started to celebrate.\- Master. - Master.\These two are my disciples, Si Yin and Ling Yu.\Greet the Heavenly Lord's three princes and Yao Guang.\Kunlun Mountain's 17th disciple, Si Yin\Kunlun Mountain's 9th disciple, Ling Yu response:	greet Yao Guang and the three Highnesses.
context: Qing Cang is so ridiculous.\He hasn't even won the war yet and he's already started to celebrate.\- Master. - Master.\These two are my disciples, Si Yin and Ling Yu.\Greet the Heavenly Lord's three princes and Yao Guang.\Kunlun Mountain's 17th disciple, Si Yin\Kunlun Mountain's 9th disciple, Ling Yu\greet Yao Guang and the three Highnesses. response:	Let's end here for tonight.
context: He hasn't even won the war yet and he's already started to celebrate.\- Master. - Master.\These two are my disciples, Si Yin and Ling Yu.\Greet the Heavenly Lord's three princes and Yao Guang.\Kunlun Mountain's 17th disciple, Si Yin\Kunlun Mountain's 9th disciple, Ling Yu\greet Yao Guang and the three Highnesses.\Let's end here for tonight. response:	Master, why have the people of Celestial Palace come as well?
context: - Master. - Master.\These two are my disciples, Si Yin and Ling Yu.\Greet the Heavenly Lord's three princes and Yao Guang.\Kunlun Mountain's 17th disciple, Si Yin\Kunlun Mountain's 9th disciple, Ling Yu\greet Yao Guang and the three Highnesses.\Let's end here for tonight.\Master, why have the people of Celestial Palace come as well? response:	Master, did the Celestial Palace receive bad news?
context: These two are my disciples, Si Yin and Ling Yu.\Greet the Heavenly Lord's three princes and Yao Guang.\Kunlun Mountain's 17th disciple, Si Yin\Kunlun Mountain's 9th disciple, Ling Yu\greet Yao Guang and the three Highnesses.\Let's end here for tonight.\Master, why have the people of Celestial Palace come as well?\Master, did the Celestial Palace receive bad news? response:	Even the Heavenly Lord's three princes have come.
context: Greet the Heavenly Lord's three princes and Yao Guang.\Kunlun Mountain's 17th disciple, Si Yin\Kunlun Mountain's 9th disciple, Ling Yu\greet Yao Guang and the three Highnesses.\Let's end here for tonight.\Master, why have the people of Celestial Palace come as well?\Master, did the Celestial Palace receive bad news?\Even the Heavenly Lord's three princes have come. response:	No.
context: Kunlun Mountain's 17th disciple, Si Yin\Kunlun Mountain's 9th disciple, Ling Yu\greet Yao Guang and the three Highnesses.\Let's end here for tonight.\Master, why have the people of Celestial Palace come as well?\Master, did the Celestial Palace receive bad news?\Even the Heavenly Lord's three princes have come.\No. response:	The three princes have never been in a war before.
context: Kunlun Mountain's 9th disciple, Ling Yu\greet Yao Guang and the three Highnesses.\Let's end here for tonight.\Master, why have the people of Celestial Palace come as well?\Master, did the Celestial Palace receive bad news?\Even the Heavenly Lord's three princes have come.\No.\The three princes have never been in a war before. response:	They have come for the experience.
context: greet Yao Guang and the three Highnesses.\Let's end here for tonight.\Master, why have the people of Celestial Palace come as well?\Master, did the Celestial Palace receive bad news?\Even the Heavenly Lord's three princes have come.\No.\The three princes have never been in a war before.\They have come for the experience. response:	I also happen to need someone with tremendous magic power to lead the army.
context: Let's end here for tonight.\Master, why have the people of Celestial Palace come as well?\Master, did the Celestial Palace receive bad news?\Even the Heavenly Lord's three princes have come.\No.\The three princes have never been in a war before.\They have come for the experience.\I also happen to need someone with tremendous magic power to lead the army. response:	This time, I have arranged seven formations.
context: Master, why have the people of Celestial Palace come as well?\Master, did the Celestial Palace receive bad news?\Even the Heavenly Lord's three princes have come.\No.\The three princes have never been in a war before.\They have come for the experience.\I also happen to need someone with tremendous magic power to lead the army.\This time, I have arranged seven formations. response:	Each formation has seven variations, for a total of 49 variations.
