context: Go, go! response:	Wow!
context: Go, go!\Wow! response:	Motoba is fast!
context: Go, go!\Wow!\Motoba is fast! response:	Aah, so close!
context: Go, go!\Wow!\Motoba is fast!\Aah, so close! response:	In third place, from Arayada High School: Motoba!
context: Go, go!\Wow!\Motoba is fast!\Aah, so close!\In third place, from Arayada High School: Motoba! response:	And so...
context: Go, go!\Wow!\Motoba is fast!\Aah, so close!\In third place, from Arayada High School: Motoba!\And so... response:	Motoba has just placed third in the Prefectural Tournament!
context: Go, go!\Wow!\Motoba is fast!\Aah, so close!\In third place, from Arayada High School: Motoba!\And so...\Motoba has just placed third in the Prefectural Tournament! response:	Kirie is great, huh?
context: Go, go!\Wow!\Motoba is fast!\Aah, so close!\In third place, from Arayada High School: Motoba!\And so...\Motoba has just placed third in the Prefectural Tournament!\Kirie is great, huh? response:	She's the fastest swimmer in our school!
context: Wow!\Motoba is fast!\Aah, so close!\In third place, from Arayada High School: Motoba!\And so...\Motoba has just placed third in the Prefectural Tournament!\Kirie is great, huh?\She's the fastest swimmer in our school! response:	This is impressive indeed, Kirie!
context: Motoba is fast!\Aah, so close!\In third place, from Arayada High School: Motoba!\And so...\Motoba has just placed third in the Prefectural Tournament!\Kirie is great, huh?\She's the fastest swimmer in our school!\This is impressive indeed, Kirie! response:	Okay, both of you take your seats.
context: Aah, so close!\In third place, from Arayada High School: Motoba!\And so...\Motoba has just placed third in the Prefectural Tournament!\Kirie is great, huh?\She's the fastest swimmer in our school!\This is impressive indeed, Kirie!\Okay, both of you take your seats. response:	Great job, Motoba!
context: In third place, from Arayada High School: Motoba!\And so...\Motoba has just placed third in the Prefectural Tournament!\Kirie is great, huh?\She's the fastest swimmer in our school!\This is impressive indeed, Kirie!\Okay, both of you take your seats.\Great job, Motoba! response:	You were faster than the third-years!
context: And so...\Motoba has just placed third in the Prefectural Tournament!\Kirie is great, huh?\She's the fastest swimmer in our school!\This is impressive indeed, Kirie!\Okay, both of you take your seats.\Great job, Motoba!\You were faster than the third-years! response:	Sure enough, you have a future as a pro swimmer!
context: Motoba has just placed third in the Prefectural Tournament!\Kirie is great, huh?\She's the fastest swimmer in our school!\This is impressive indeed, Kirie!\Okay, both of you take your seats.\Great job, Motoba!\You were faster than the third-years!\Sure enough, you have a future as a pro swimmer! response:	I don't get it, but maybe talking about being a pro swimmer is...
context: Kirie is great, huh?\She's the fastest swimmer in our school!\This is impressive indeed, Kirie!\Okay, both of you take your seats.\Great job, Motoba!\You were faster than the third-years!\Sure enough, you have a future as a pro swimmer!\I don't get it, but maybe talking about being a pro swimmer is... response:	Huh? It's a BAD thing?
context: She's the fastest swimmer in our school!\This is impressive indeed, Kirie!\Okay, both of you take your seats.\Great job, Motoba!\You were faster than the third-years!\Sure enough, you have a future as a pro swimmer!\I don't get it, but maybe talking about being a pro swimmer is...\Huh? It's a BAD thing? response:	Maybe it's all the pressure.
context: This is impressive indeed, Kirie!\Okay, both of you take your seats.\Great job, Motoba!\You were faster than the third-years!\Sure enough, you have a future as a pro swimmer!\I don't get it, but maybe talking about being a pro swimmer is...\Huh? It's a BAD thing?\Maybe it's all the pressure. response:	As in, using the restroom?
context: Okay, both of you take your seats.\Great job, Motoba!\You were faster than the third-years!\Sure enough, you have a future as a pro swimmer!\I don't get it, but maybe talking about being a pro swimmer is...\Huh? It's a BAD thing?\Maybe it's all the pressure.\As in, using the restroom? response:	Master!
context: Great job, Motoba!\You were faster than the third-years!\Sure enough, you have a future as a pro swimmer!\I don't get it, but maybe talking about being a pro swimmer is...\Huh? It's a BAD thing?\Maybe it's all the pressure.\As in, using the restroom?\Master! response:	Please, look! I placed third in a swimming competition!
context: You were faster than the third-years!\Sure enough, you have a future as a pro swimmer!\I don't get it, but maybe talking about being a pro swimmer is...\Huh? It's a BAD thing?\Maybe it's all the pressure.\As in, using the restroom?\Master!\Please, look! I placed third in a swimming competition! response:	Great job, Kirie!
context: Sure enough, you have a future as a pro swimmer!\I don't get it, but maybe talking about being a pro swimmer is...\Huh? It's a BAD thing?\Maybe it's all the pressure.\As in, using the restroom?\Master!\Please, look! I placed third in a swimming competition!\Great job, Kirie! response:	It's because you helped hone my skills through Wii Wii Sports!
context: I don't get it, but maybe talking about being a pro swimmer is...\Huh? It's a BAD thing?\Maybe it's all the pressure.\As in, using the restroom?\Master!\Please, look! I placed third in a swimming competition!\Great job, Kirie!\It's because you helped hone my skills through Wii Wii Sports! response:	I wonder if you can use that in real life...
context: Huh? It's a BAD thing?\Maybe it's all the pressure.\As in, using the restroom?\Master!\Please, look! I placed third in a swimming competition!\Great job, Kirie!\It's because you helped hone my skills through Wii Wii Sports!\I wonder if you can use that in real life... response:	Oh, that's right!
context: Maybe it's all the pressure.\As in, using the restroom?\Master!\Please, look! I placed third in a swimming competition!\Great job, Kirie!\It's because you helped hone my skills through Wii Wii Sports!\I wonder if you can use that in real life...\Oh, that's right! response:	You like the beach and stuff, and now you're a swimmer in The Game of Life, huh?
context: As in, using the restroom?\Master!\Please, look! I placed third in a swimming competition!\Great job, Kirie!\It's because you helped hone my skills through Wii Wii Sports!\I wonder if you can use that in real life...\Oh, that's right!\You like the beach and stuff, and now you're a swimmer in The Game of Life, huh? response:	Ah! You're right.
context: Master!\Please, look! I placed third in a swimming competition!\Great job, Kirie!\It's because you helped hone my skills through Wii Wii Sports!\I wonder if you can use that in real life...\Oh, that's right!\You like the beach and stuff, and now you're a swimmer in The Game of Life, huh?\Ah! You're right. response:	Maybe you'll be a pro swimmer and capture the gold!
context: Please, look! I placed third in a swimming competition!\Great job, Kirie!\It's because you helped hone my skills through Wii Wii Sports!\I wonder if you can use that in real life...\Oh, that's right!\You like the beach and stuff, and now you're a swimmer in The Game of Life, huh?\Ah! You're right.\Maybe you'll be a pro swimmer and capture the gold! response:	No...!
context: Great job, Kirie!\It's because you helped hone my skills through Wii Wii Sports!\I wonder if you can use that in real life...\Oh, that's right!\You like the beach and stuff, and now you're a swimmer in The Game of Life, huh?\Ah! You're right.\Maybe you'll be a pro swimmer and capture the gold!\No...! response:	I don't get it, but maybe talking about being a pro swimmer is...
context: It's because you helped hone my skills through Wii Wii Sports!\I wonder if you can use that in real life...\Oh, that's right!\You like the beach and stuff, and now you're a swimmer in The Game of Life, huh?\Ah! You're right.\Maybe you'll be a pro swimmer and capture the gold!\No...!\I don't get it, but maybe talking about being a pro swimmer is... response:	Oh, no! Kirie might not like being told stuff like that!
context: I wonder if you can use that in real life...\Oh, that's right!\You like the beach and stuff, and now you're a swimmer in The Game of Life, huh?\Ah! You're right.\Maybe you'll be a pro swimmer and capture the gold!\No...!\I don't get it, but maybe talking about being a pro swimmer is...\Oh, no! Kirie might not like being told stuff like that! response:	Oh, no! I've displeased my Master!
context: Oh, that's right!\You like the beach and stuff, and now you're a swimmer in The Game of Life, huh?\Ah! You're right.\Maybe you'll be a pro swimmer and capture the gold!\No...!\I don't get it, but maybe talking about being a pro swimmer is...\Oh, no! Kirie might not like being told stuff like that!\Oh, no! I've displeased my Master! response:	I, um, I'm sorry, Master.
context: You like the beach and stuff, and now you're a swimmer in The Game of Life, huh?\Ah! You're right.\Maybe you'll be a pro swimmer and capture the gold!\No...!\I don't get it, but maybe talking about being a pro swimmer is...\Oh, no! Kirie might not like being told stuff like that!\Oh, no! I've displeased my Master!\I, um, I'm sorry, Master. response:	Huh?
