context: Count Sebring. Count Raffia. Count Orga. response:	Thank you all for allowing me to intrude on your valuable time.
context: Count Sebring. Count Raffia. Count Orga.\Thank you all for allowing me to intrude on your valuable time. response:	I am sorry for your loss, Count Troyard.
context: Count Sebring. Count Raffia. Count Orga.\Thank you all for allowing me to intrude on your valuable time.\I am sorry for your loss, Count Troyard. response:	What happened to Count Saazbaum is most regrettable.
context: Count Sebring. Count Raffia. Count Orga.\Thank you all for allowing me to intrude on your valuable time.\I am sorry for your loss, Count Troyard.\What happened to Count Saazbaum is most regrettable. response:	When he was alive, my father was greatly indebted to him.
context: Count Sebring. Count Raffia. Count Orga.\Thank you all for allowing me to intrude on your valuable time.\I am sorry for your loss, Count Troyard.\What happened to Count Saazbaum is most regrettable.\When he was alive, my father was greatly indebted to him. response:	If it is in my power, whatever assistance you may request is yours.
context: Count Sebring. Count Raffia. Count Orga.\Thank you all for allowing me to intrude on your valuable time.\I am sorry for your loss, Count Troyard.\What happened to Count Saazbaum is most regrettable.\When he was alive, my father was greatly indebted to him.\If it is in my power, whatever assistance you may request is yours. response:	Thank you, that is most kind.
context: Count Sebring. Count Raffia. Count Orga.\Thank you all for allowing me to intrude on your valuable time.\I am sorry for your loss, Count Troyard.\What happened to Count Saazbaum is most regrettable.\When he was alive, my father was greatly indebted to him.\If it is in my power, whatever assistance you may request is yours.\Thank you, that is most kind. response:	However, now is not the time to wallow in individual sentimentality.
context: Count Sebring. Count Raffia. Count Orga.\Thank you all for allowing me to intrude on your valuable time.\I am sorry for your loss, Count Troyard.\What happened to Count Saazbaum is most regrettable.\When he was alive, my father was greatly indebted to him.\If it is in my power, whatever assistance you may request is yours.\Thank you, that is most kind.\However, now is not the time to wallow in individual sentimentality. response:	Most commendable.
context: Thank you all for allowing me to intrude on your valuable time.\I am sorry for your loss, Count Troyard.\What happened to Count Saazbaum is most regrettable.\When he was alive, my father was greatly indebted to him.\If it is in my power, whatever assistance you may request is yours.\Thank you, that is most kind.\However, now is not the time to wallow in individual sentimentality.\Most commendable. response:	This is the time for the Orbital Knights to band together
context: I am sorry for your loss, Count Troyard.\What happened to Count Saazbaum is most regrettable.\When he was alive, my father was greatly indebted to him.\If it is in my power, whatever assistance you may request is yours.\Thank you, that is most kind.\However, now is not the time to wallow in individual sentimentality.\Most commendable.\This is the time for the Orbital Knights to band together response:	and press forward with the invasion of Earth.
context: What happened to Count Saazbaum is most regrettable.\When he was alive, my father was greatly indebted to him.\If it is in my power, whatever assistance you may request is yours.\Thank you, that is most kind.\However, now is not the time to wallow in individual sentimentality.\Most commendable.\This is the time for the Orbital Knights to band together\and press forward with the invasion of Earth. response:	That is the best way to honor Count Saazbaum.
context: When he was alive, my father was greatly indebted to him.\If it is in my power, whatever assistance you may request is yours.\Thank you, that is most kind.\However, now is not the time to wallow in individual sentimentality.\Most commendable.\This is the time for the Orbital Knights to band together\and press forward with the invasion of Earth.\That is the best way to honor Count Saazbaum. response:	Indeed. Our ships must sail forward together towards the same goal.
context: If it is in my power, whatever assistance you may request is yours.\Thank you, that is most kind.\However, now is not the time to wallow in individual sentimentality.\Most commendable.\This is the time for the Orbital Knights to band together\and press forward with the invasion of Earth.\That is the best way to honor Count Saazbaum.\Indeed. Our ships must sail forward together towards the same goal. response:	Ah, now I see.
context: Thank you, that is most kind.\However, now is not the time to wallow in individual sentimentality.\Most commendable.\This is the time for the Orbital Knights to band together\and press forward with the invasion of Earth.\That is the best way to honor Count Saazbaum.\Indeed. Our ships must sail forward together towards the same goal.\Ah, now I see. response:	You intend to take the helm, then?
context: However, now is not the time to wallow in individual sentimentality.\Most commendable.\This is the time for the Orbital Knights to band together\and press forward with the invasion of Earth.\That is the best way to honor Count Saazbaum.\Indeed. Our ships must sail forward together towards the same goal.\Ah, now I see.\You intend to take the helm, then? response:	If I may be so presumptuous.
context: Most commendable.\This is the time for the Orbital Knights to band together\and press forward with the invasion of Earth.\That is the best way to honor Count Saazbaum.\Indeed. Our ships must sail forward together towards the same goal.\Ah, now I see.\You intend to take the helm, then?\If I may be so presumptuous. response:	By the way... I understand that you are to duel Count Marylcian?
context: This is the time for the Orbital Knights to band together\and press forward with the invasion of Earth.\That is the best way to honor Count Saazbaum.\Indeed. Our ships must sail forward together towards the same goal.\Ah, now I see.\You intend to take the helm, then?\If I may be so presumptuous.\By the way... I understand that you are to duel Count Marylcian? response:	I find it odd to be fighting when we must band together.
context: and press forward with the invasion of Earth.\That is the best way to honor Count Saazbaum.\Indeed. Our ships must sail forward together towards the same goal.\Ah, now I see.\You intend to take the helm, then?\If I may be so presumptuous.\By the way... I understand that you are to duel Count Marylcian?\I find it odd to be fighting when we must band together. response:	Don't you agree, Count Troyard?
context: That is the best way to honor Count Saazbaum.\Indeed. Our ships must sail forward together towards the same goal.\Ah, now I see.\You intend to take the helm, then?\If I may be so presumptuous.\By the way... I understand that you are to duel Count Marylcian?\I find it odd to be fighting when we must band together.\Don't you agree, Count Troyard? response:	No lowly Terran...
context: Indeed. Our ships must sail forward together towards the same goal.\Ah, now I see.\You intend to take the helm, then?\If I may be so presumptuous.\By the way... I understand that you are to duel Count Marylcian?\I find it odd to be fighting when we must band together.\Don't you agree, Count Troyard?\No lowly Terran... response:	No lowly Terran could possibly be a match for mighty Vers.
context: Ah, now I see.\You intend to take the helm, then?\If I may be so presumptuous.\By the way... I understand that you are to duel Count Marylcian?\I find it odd to be fighting when we must band together.\Don't you agree, Count Troyard?\No lowly Terran...\No lowly Terran could possibly be a match for mighty Vers. response:	Such an assumption creates an opening.
context: You intend to take the helm, then?\If I may be so presumptuous.\By the way... I understand that you are to duel Count Marylcian?\I find it odd to be fighting when we must band together.\Don't you agree, Count Troyard?\No lowly Terran...\No lowly Terran could possibly be a match for mighty Vers.\Such an assumption creates an opening. response:	Which becomes a tear. And then an enormous hole.
context: If I may be so presumptuous.\By the way... I understand that you are to duel Count Marylcian?\I find it odd to be fighting when we must band together.\Don't you agree, Count Troyard?\No lowly Terran...\No lowly Terran could possibly be a match for mighty Vers.\Such an assumption creates an opening.\Which becomes a tear. And then an enormous hole. response:	And then it disintegrates completely.
context: By the way... I understand that you are to duel Count Marylcian?\I find it odd to be fighting when we must band together.\Don't you agree, Count Troyard?\No lowly Terran...\No lowly Terran could possibly be a match for mighty Vers.\Such an assumption creates an opening.\Which becomes a tear. And then an enormous hole.\And then it disintegrates completely. response:	That is the current state of the Orbital Knights.
context: I find it odd to be fighting when we must band together.\Don't you agree, Count Troyard?\No lowly Terran...\No lowly Terran could possibly be a match for mighty Vers.\Such an assumption creates an opening.\Which becomes a tear. And then an enormous hole.\And then it disintegrates completely.\That is the current state of the Orbital Knights. response:	You go too far, Count Troyard!
context: Don't you agree, Count Troyard?\No lowly Terran...\No lowly Terran could possibly be a match for mighty Vers.\Such an assumption creates an opening.\Which becomes a tear. And then an enormous hole.\And then it disintegrates completely.\That is the current state of the Orbital Knights.\You go too far, Count Troyard! response:	As you are aware, I am not Vers-born.
context: No lowly Terran...\No lowly Terran could possibly be a match for mighty Vers.\Such an assumption creates an opening.\Which becomes a tear. And then an enormous hole.\And then it disintegrates completely.\That is the current state of the Orbital Knights.\You go too far, Count Troyard!\As you are aware, I am not Vers-born. response:	However, being an outsider affords me a certain perspective.
context: No lowly Terran could possibly be a match for mighty Vers.\Such an assumption creates an opening.\Which becomes a tear. And then an enormous hole.\And then it disintegrates completely.\That is the current state of the Orbital Knights.\You go too far, Count Troyard!\As you are aware, I am not Vers-born.\However, being an outsider affords me a certain perspective. response:	This upcoming duel is also the result of an Orbital Knight's hubris.
context: Such an assumption creates an opening.\Which becomes a tear. And then an enormous hole.\And then it disintegrates completely.\That is the current state of the Orbital Knights.\You go too far, Count Troyard!\As you are aware, I am not Vers-born.\However, being an outsider affords me a certain perspective.\This upcoming duel is also the result of an Orbital Knight's hubris. response:	I believe it to be my responsibility to teach him the error of his ways.
context: Which becomes a tear. And then an enormous hole.\And then it disintegrates completely.\That is the current state of the Orbital Knights.\You go too far, Count Troyard!\As you are aware, I am not Vers-born.\However, being an outsider affords me a certain perspective.\This upcoming duel is also the result of an Orbital Knight's hubris.\I believe it to be my responsibility to teach him the error of his ways. response:	I see. You have a point.
context: And then it disintegrates completely.\That is the current state of the Orbital Knights.\You go too far, Count Troyard!\As you are aware, I am not Vers-born.\However, being an outsider affords me a certain perspective.\This upcoming duel is also the result of an Orbital Knight's hubris.\I believe it to be my responsibility to teach him the error of his ways.\I see. You have a point. response:	Count Orga!
context: That is the current state of the Orbital Knights.\You go too far, Count Troyard!\As you are aware, I am not Vers-born.\However, being an outsider affords me a certain perspective.\This upcoming duel is also the result of an Orbital Knight's hubris.\I believe it to be my responsibility to teach him the error of his ways.\I see. You have a point.\Count Orga! response:	I am loathe to admit it. Nevertheless, it is the truth.
context: You go too far, Count Troyard!\As you are aware, I am not Vers-born.\However, being an outsider affords me a certain perspective.\This upcoming duel is also the result of an Orbital Knight's hubris.\I believe it to be my responsibility to teach him the error of his ways.\I see. You have a point.\Count Orga!\I am loathe to admit it. Nevertheless, it is the truth. response:	Some portion of it, at least.
context: As you are aware, I am not Vers-born.\However, being an outsider affords me a certain perspective.\This upcoming duel is also the result of an Orbital Knight's hubris.\I believe it to be my responsibility to teach him the error of his ways.\I see. You have a point.\Count Orga!\I am loathe to admit it. Nevertheless, it is the truth.\Some portion of it, at least. response:	I shall leave the matter to your discretion, Count Troyard.
context: However, being an outsider affords me a certain perspective.\This upcoming duel is also the result of an Orbital Knight's hubris.\I believe it to be my responsibility to teach him the error of his ways.\I see. You have a point.\Count Orga!\I am loathe to admit it. Nevertheless, it is the truth.\Some portion of it, at least.\I shall leave the matter to your discretion, Count Troyard. response:	Your attack on Trident Base was magnificent.
context: This upcoming duel is also the result of an Orbital Knight's hubris.\I believe it to be my responsibility to teach him the error of his ways.\I see. You have a point.\Count Orga!\I am loathe to admit it. Nevertheless, it is the truth.\Some portion of it, at least.\I shall leave the matter to your discretion, Count Troyard.\Your attack on Trident Base was magnificent. response:	Count Sebring, Count Raffia.
context: I believe it to be my responsibility to teach him the error of his ways.\I see. You have a point.\Count Orga!\I am loathe to admit it. Nevertheless, it is the truth.\Some portion of it, at least.\I shall leave the matter to your discretion, Count Troyard.\Your attack on Trident Base was magnificent.\Count Sebring, Count Raffia. response:	Thank you for doing me the honor of listening to my many rude remarks.
context: I see. You have a point.\Count Orga!\I am loathe to admit it. Nevertheless, it is the truth.\Some portion of it, at least.\I shall leave the matter to your discretion, Count Troyard.\Your attack on Trident Base was magnificent.\Count Sebring, Count Raffia.\Thank you for doing me the honor of listening to my many rude remarks. response:	All cruise missiles appear to have been intercepted.
context: Count Orga!\I am loathe to admit it. Nevertheless, it is the truth.\Some portion of it, at least.\I shall leave the matter to your discretion, Count Troyard.\Your attack on Trident Base was magnificent.\Count Sebring, Count Raffia.\Thank you for doing me the honor of listening to my many rude remarks.\All cruise missiles appear to have been intercepted. response:	Looks like a saturation attack isn't gonna work.
context: I am loathe to admit it. Nevertheless, it is the truth.\Some portion of it, at least.\I shall leave the matter to your discretion, Count Troyard.\Your attack on Trident Base was magnificent.\Count Sebring, Count Raffia.\Thank you for doing me the honor of listening to my many rude remarks.\All cruise missiles appear to have been intercepted.\Looks like a saturation attack isn't gonna work. response:	Count Selnakis' Kataphrakt, Scorching Solis.
context: Some portion of it, at least.\I shall leave the matter to your discretion, Count Troyard.\Your attack on Trident Base was magnificent.\Count Sebring, Count Raffia.\Thank you for doing me the honor of listening to my many rude remarks.\All cruise missiles appear to have been intercepted.\Looks like a saturation attack isn't gonna work.\Count Selnakis' Kataphrakt, Scorching Solis. response:	The firing range of its onboard beam weapon extends out to the Satellite Belt,
context: I shall leave the matter to your discretion, Count Troyard.\Your attack on Trident Base was magnificent.\Count Sebring, Count Raffia.\Thank you for doing me the honor of listening to my many rude remarks.\All cruise missiles appear to have been intercepted.\Looks like a saturation attack isn't gonna work.\Count Selnakis' Kataphrakt, Scorching Solis.\The firing range of its onboard beam weapon extends out to the Satellite Belt, response:	making air support impossible, as well.
context: Your attack on Trident Base was magnificent.\Count Sebring, Count Raffia.\Thank you for doing me the honor of listening to my many rude remarks.\All cruise missiles appear to have been intercepted.\Looks like a saturation attack isn't gonna work.\Count Selnakis' Kataphrakt, Scorching Solis.\The firing range of its onboard beam weapon extends out to the Satellite Belt,\making air support impossible, as well. response:	It's quite the monster...
context: Count Sebring, Count Raffia.\Thank you for doing me the honor of listening to my many rude remarks.\All cruise missiles appear to have been intercepted.\Looks like a saturation attack isn't gonna work.\Count Selnakis' Kataphrakt, Scorching Solis.\The firing range of its onboard beam weapon extends out to the Satellite Belt,\making air support impossible, as well.\It's quite the monster... response:	Message from assault team. They're about to make landfall.
context: Thank you for doing me the honor of listening to my many rude remarks.\All cruise missiles appear to have been intercepted.\Looks like a saturation attack isn't gonna work.\Count Selnakis' Kataphrakt, Scorching Solis.\The firing range of its onboard beam weapon extends out to the Satellite Belt,\making air support impossible, as well.\It's quite the monster...\Message from assault team. They're about to make landfall. response:	Launch cruise missiles. Keep his attention on us.
