context: So, Lucy... You're actually a daughter of a really rich family. response:	And you ran away from home, right?
context: So, Lucy... You're actually a daughter of a really rich family.\And you ran away from home, right? response:	What's with you all of a sudden?
context: So, Lucy... You're actually a daughter of a really rich family.\And you ran away from home, right?\What's with you all of a sudden? response:	I bet you ate some super fancy food, didn't you?
context: So, Lucy... You're actually a daughter of a really rich family.\And you ran away from home, right?\What's with you all of a sudden?\I bet you ate some super fancy food, didn't you? response:	Man, you're makin' me hungry!
context: So, Lucy... You're actually a daughter of a really rich family.\And you ran away from home, right?\What's with you all of a sudden?\I bet you ate some super fancy food, didn't you?\Man, you're makin' me hungry! response:	Like fish from around the world!
context: So, Lucy... You're actually a daughter of a really rich family.\And you ran away from home, right?\What's with you all of a sudden?\I bet you ate some super fancy food, didn't you?\Man, you're makin' me hungry!\Like fish from around the world! response:	I knew that's where you were going.
context: So, Lucy... You're actually a daughter of a really rich family.\And you ran away from home, right?\What's with you all of a sudden?\I bet you ate some super fancy food, didn't you?\Man, you're makin' me hungry!\Like fish from around the world!\I knew that's where you were going. response:	If it's love and dreams and you it'll become magical.
context: So, Lucy... You're actually a daughter of a really rich family.\And you ran away from home, right?\What's with you all of a sudden?\I bet you ate some super fancy food, didn't you?\Man, you're makin' me hungry!\Like fish from around the world!\I knew that's where you were going.\If it's love and dreams and you it'll become magical. response:	Now, let's cast a smile spell!
context: And you ran away from home, right?\What's with you all of a sudden?\I bet you ate some super fancy food, didn't you?\Man, you're makin' me hungry!\Like fish from around the world!\I knew that's where you were going.\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell! response:	I kind of admired this powerful world,
context: What's with you all of a sudden?\I bet you ate some super fancy food, didn't you?\Man, you're makin' me hungry!\Like fish from around the world!\I knew that's where you were going.\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world, response:	chock-full of problems.
context: I bet you ate some super fancy food, didn't you?\Man, you're makin' me hungry!\Like fish from around the world!\I knew that's where you were going.\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems. response:	Frozen time has started to move again
context: Man, you're makin' me hungry!\Like fish from around the world!\I knew that's where you were going.\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again response:	ever since I met you.
context: Like fish from around the world!\I knew that's where you were going.\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you. response:	Why were we born? Why do we live?
context: I knew that's where you were going.\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live? response:	I don't need any complicated answers.
context: If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers. response:	Laugh! Cry! Be honest with yourself.
context: Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself. response:	Simple feelings are the most important.
context: I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important. response:	You can change those tears shed on sad nights into strength.
context: chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength. response:	Now, let's cast a smile spell!
context: Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell! response:	Magnolia in twilight...
context: ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Magnolia in twilight... response:	It is then that a single man arrives.
context: Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Magnolia in twilight...\It is then that a single man arrives. response:	Things are oddly quiet today.
context: I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Magnolia in twilight...\It is then that a single man arrives.\Things are oddly quiet today. response:	It's nice to have days like this once in a while.
context: Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Magnolia in twilight...\It is then that a single man arrives.\Things are oddly quiet today.\It's nice to have days like this once in a while. response:	It's kind of lonely, though.
context: Simple feelings are the most important.\You can change those tears shed on sad nights into strength.\Now, let's cast a smile spell!\Magnolia in twilight...\It is then that a single man arrives.\Things are oddly quiet today.\It's nice to have days like this once in a while.\It's kind of lonely, though. response:	Damn it... If only I had Virgo...
