context: That night, I became worried about Nana response:	since she hadn't replied to the email I sent her.
context: That night, I became worried about Nana\since she hadn't replied to the email I sent her. response:	That worry soon turned to anxiety.
context: That night, I became worried about Nana\since she hadn't replied to the email I sent her.\That worry soon turned to anxiety. response:	As it passed midnight, unable to bear it,
context: That night, I became worried about Nana\since she hadn't replied to the email I sent her.\That worry soon turned to anxiety.\As it passed midnight, unable to bear it, response:	I reached for my cell phone.
context: That night, I became worried about Nana\since she hadn't replied to the email I sent her.\That worry soon turned to anxiety.\As it passed midnight, unable to bear it,\I reached for my cell phone. response:	That's when it rang to indicate
context: That night, I became worried about Nana\since she hadn't replied to the email I sent her.\That worry soon turned to anxiety.\As it passed midnight, unable to bear it,\I reached for my cell phone.\That's when it rang to indicate response:	that I had just received an email.
context: That night, I became worried about Nana\since she hadn't replied to the email I sent her.\That worry soon turned to anxiety.\As it passed midnight, unable to bear it,\I reached for my cell phone.\That's when it rang to indicate\that I had just received an email. response:	I'LL BE STAYING AT REN'S PLACE TONIGHT. I'LL LISTEN TO YOUR STORIES TOMORROW, SO DON'T WORRY AND GO TO SLEEP, HACHIKO.
context: That night, I became worried about Nana\since she hadn't replied to the email I sent her.\That worry soon turned to anxiety.\As it passed midnight, unable to bear it,\I reached for my cell phone.\That's when it rang to indicate\that I had just received an email.\I'LL BE STAYING AT REN'S PLACE TONIGHT. I'LL LISTEN TO YOUR STORIES TOMORROW, SO DON'T WORRY AND GO TO SLEEP, HACHIKO. response:	Blinking eyes call the wind
context: since she hadn't replied to the email I sent her.\That worry soon turned to anxiety.\As it passed midnight, unable to bear it,\I reached for my cell phone.\That's when it rang to indicate\that I had just received an email.\I'LL BE STAYING AT REN'S PLACE TONIGHT. I'LL LISTEN TO YOUR STORIES TOMORROW, SO DON'T WORRY AND GO TO SLEEP, HACHIKO.\Blinking eyes call the wind response:	A smile clears all the noise away
context: That worry soon turned to anxiety.\As it passed midnight, unable to bear it,\I reached for my cell phone.\That's when it rang to indicate\that I had just received an email.\I'LL BE STAYING AT REN'S PLACE TONIGHT. I'LL LISTEN TO YOUR STORIES TOMORROW, SO DON'T WORRY AND GO TO SLEEP, HACHIKO.\Blinking eyes call the wind\A smile clears all the noise away response:	The angel in your eyes whispers
context: As it passed midnight, unable to bear it,\I reached for my cell phone.\That's when it rang to indicate\that I had just received an email.\I'LL BE STAYING AT REN'S PLACE TONIGHT. I'LL LISTEN TO YOUR STORIES TOMORROW, SO DON'T WORRY AND GO TO SLEEP, HACHIKO.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers response:	Everything begins now
context: I reached for my cell phone.\That's when it rang to indicate\that I had just received an email.\I'LL BE STAYING AT REN'S PLACE TONIGHT. I'LL LISTEN TO YOUR STORIES TOMORROW, SO DON'T WORRY AND GO TO SLEEP, HACHIKO.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now response:	Can you feel it now Can you feel it now
context: That's when it rang to indicate\that I had just received an email.\I'LL BE STAYING AT REN'S PLACE TONIGHT. I'LL LISTEN TO YOUR STORIES TOMORROW, SO DON'T WORRY AND GO TO SLEEP, HACHIKO.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now response:	It's like being caught in a wave
context: that I had just received an email.\I'LL BE STAYING AT REN'S PLACE TONIGHT. I'LL LISTEN TO YOUR STORIES TOMORROW, SO DON'T WORRY AND GO TO SLEEP, HACHIKO.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave response:	Pulling on my heart Pulling on my heart
context: I'LL BE STAYING AT REN'S PLACE TONIGHT. I'LL LISTEN TO YOUR STORIES TOMORROW, SO DON'T WORRY AND GO TO SLEEP, HACHIKO.\Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart response:	Breath held, arms reaching out
context: Blinking eyes call the wind\A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out response:	Baby this world is different from yesterday's
context: A smile clears all the noise away\The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's response:	You're the only one I can see
context: The angel in your eyes whispers\Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see response:	Baby my wish on a wing
context: Everything begins now\Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing response:	This sky is torn
context: Can you feel it now Can you feel it now\It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn response:	By a single overflowing word
context: It's like being caught in a wave\Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word response:	You know, I'm actually only half Japanese.
context: Pulling on my heart Pulling on my heart\Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\You know, I'm actually only half Japanese. response:	My dad is American.
context: Breath held, arms reaching out\Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\You know, I'm actually only half Japanese.\My dad is American. response:	He got sick and died when I was six.
context: Baby this world is different from yesterday's\You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\You know, I'm actually only half Japanese.\My dad is American.\He got sick and died when I was six. response:	But when Japanese people hear that I'm half American,
context: You're the only one I can see\Baby my wish on a wing\This sky is torn\By a single overflowing word\You know, I'm actually only half Japanese.\My dad is American.\He got sick and died when I was six.\But when Japanese people hear that I'm half American, response:	they're quick to conclude I'm pretty because of that,
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\You know, I'm actually only half Japanese.\My dad is American.\He got sick and died when I was six.\But when Japanese people hear that I'm half American,\they're quick to conclude I'm pretty because of that, response:	and that's why I have a good voice.
context: This sky is torn\By a single overflowing word\You know, I'm actually only half Japanese.\My dad is American.\He got sick and died when I was six.\But when Japanese people hear that I'm half American,\they're quick to conclude I'm pretty because of that,\and that's why I have a good voice. response:	So our talent agency advised us to keep it a secret,
context: By a single overflowing word\You know, I'm actually only half Japanese.\My dad is American.\He got sick and died when I was six.\But when Japanese people hear that I'm half American,\they're quick to conclude I'm pretty because of that,\and that's why I have a good voice.\So our talent agency advised us to keep it a secret, response:	so people would think I'm super talented
context: You know, I'm actually only half Japanese.\My dad is American.\He got sick and died when I was six.\But when Japanese people hear that I'm half American,\they're quick to conclude I'm pretty because of that,\and that's why I have a good voice.\So our talent agency advised us to keep it a secret,\so people would think I'm super talented response:	in spite of me being Japanese just like everyone else.
context: My dad is American.\He got sick and died when I was six.\But when Japanese people hear that I'm half American,\they're quick to conclude I'm pretty because of that,\and that's why I have a good voice.\So our talent agency advised us to keep it a secret,\so people would think I'm super talented\in spite of me being Japanese just like everyone else. response:	I don't care either way, as long as I can sing.
context: He got sick and died when I was six.\But when Japanese people hear that I'm half American,\they're quick to conclude I'm pretty because of that,\and that's why I have a good voice.\So our talent agency advised us to keep it a secret,\so people would think I'm super talented\in spite of me being Japanese just like everyone else.\I don't care either way, as long as I can sing. response:	The people around me can be pests in other ways, too.
context: But when Japanese people hear that I'm half American,\they're quick to conclude I'm pretty because of that,\and that's why I have a good voice.\So our talent agency advised us to keep it a secret,\so people would think I'm super talented\in spite of me being Japanese just like everyone else.\I don't care either way, as long as I can sing.\The people around me can be pests in other ways, too. response:	Like, they tell me not to do or say anything that'll hurt my image.
context: they're quick to conclude I'm pretty because of that,\and that's why I have a good voice.\So our talent agency advised us to keep it a secret,\so people would think I'm super talented\in spite of me being Japanese just like everyone else.\I don't care either way, as long as I can sing.\The people around me can be pests in other ways, too.\Like, they tell me not to do or say anything that'll hurt my image. response:	Hurt my image or not, this is who I am.
