context: The brilliant glow of this sky, does it carry right into your heart? response:	The melody you heard in your dream, it plays like the silence
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence response:	Even if your hands are still far from that dream,
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream, response:	Come now and remember that kindly voice,
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice, response:	Someone was there singing for you, the happiness they sang about
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about response:	Sound of the sky, echo on high, break through that overwhelming sadness
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness response:	Everything that shines in your eyes
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes response:	Is part of the real world
context: The brilliant glow of this sky, does it carry right into your heart?\The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world response:	Even your tears can't leave you here to stay forever
context: The melody you heard in your dream, it plays like the silence\Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever response:	In this light pouring down onto you, play tomorrow's song
context: Even if your hands are still far from that dream,\Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song response:	For the time being,
context: Come now and remember that kindly voice,\Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\For the time being, response:	you'll be practicing with only the mouthpiece.
context: Someone was there singing for you, the happiness they sang about\Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\For the time being,\you'll be practicing with only the mouthpiece. response:	Is there a problem?
context: Sound of the sky, echo on high, break through that overwhelming sadness\Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\For the time being,\you'll be practicing with only the mouthpiece.\Is there a problem? response:	No, um...
context: Everything that shines in your eyes\Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\For the time being,\you'll be practicing with only the mouthpiece.\Is there a problem?\No, um... response:	But I would love to play tunes like you, Rio...
context: Is part of the real world\Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\For the time being,\you'll be practicing with only the mouthpiece.\Is there a problem?\No, um...\But I would love to play tunes like you, Rio... response:	My way is Spartan.
context: Even your tears can't leave you here to stay forever\In this light pouring down onto you, play tomorrow's song\For the time being,\you'll be practicing with only the mouthpiece.\Is there a problem?\No, um...\But I would love to play tunes like you, Rio...\My way is Spartan. response:	Yes! Thank you, sir!
context: In this light pouring down onto you, play tomorrow's song\For the time being,\you'll be practicing with only the mouthpiece.\Is there a problem?\No, um...\But I would love to play tunes like you, Rio...\My way is Spartan.\Yes! Thank you, sir! response:	Next is breakfast.
context: For the time being,\you'll be practicing with only the mouthpiece.\Is there a problem?\No, um...\But I would love to play tunes like you, Rio...\My way is Spartan.\Yes! Thank you, sir!\Next is breakfast. response:	That's the mess hall.
context: you'll be practicing with only the mouthpiece.\Is there a problem?\No, um...\But I would love to play tunes like you, Rio...\My way is Spartan.\Yes! Thank you, sir!\Next is breakfast.\That's the mess hall. response:	You go on ahead.
context: Is there a problem?\No, um...\But I would love to play tunes like you, Rio...\My way is Spartan.\Yes! Thank you, sir!\Next is breakfast.\That's the mess hall.\You go on ahead. response:	Yes!
context: No, um...\But I would love to play tunes like you, Rio...\My way is Spartan.\Yes! Thank you, sir!\Next is breakfast.\That's the mess hall.\You go on ahead.\Yes! response:	Craggy, and rough.
context: But I would love to play tunes like you, Rio...\My way is Spartan.\Yes! Thank you, sir!\Next is breakfast.\That's the mess hall.\You go on ahead.\Yes!\Craggy, and rough. response:	I hope we can get along.
context: My way is Spartan.\Yes! Thank you, sir!\Next is breakfast.\That's the mess hall.\You go on ahead.\Yes!\Craggy, and rough.\I hope we can get along. response:	Good morning!
context: Yes! Thank you, sir!\Next is breakfast.\That's the mess hall.\You go on ahead.\Yes!\Craggy, and rough.\I hope we can get along.\Good morning! response:	You really suck!
context: Next is breakfast.\That's the mess hall.\You go on ahead.\Yes!\Craggy, and rough.\I hope we can get along.\Good morning!\You really suck! response:	First Battle - Talk of a Chair
context: That's the mess hall.\You go on ahead.\Yes!\Craggy, and rough.\I hope we can get along.\Good morning!\You really suck!\First Battle - Talk of a Chair response:	Actually, we prepared all this for your arrival last night.
context: You go on ahead.\Yes!\Craggy, and rough.\I hope we can get along.\Good morning!\You really suck!\First Battle - Talk of a Chair\Actually, we prepared all this for your arrival last night. response:	Thank you very much!
context: Yes!\Craggy, and rough.\I hope we can get along.\Good morning!\You really suck!\First Battle - Talk of a Chair\Actually, we prepared all this for your arrival last night.\Thank you very much! response:	Oh, right, Rio.
context: Craggy, and rough.\I hope we can get along.\Good morning!\You really suck!\First Battle - Talk of a Chair\Actually, we prepared all this for your arrival last night.\Thank you very much!\Oh, right, Rio. response:	Did you bring in the fish I was drying upstairs?
context: I hope we can get along.\Good morning!\You really suck!\First Battle - Talk of a Chair\Actually, we prepared all this for your arrival last night.\Thank you very much!\Oh, right, Rio.\Did you bring in the fish I was drying upstairs? response:	No, I didn't.
context: Good morning!\You really suck!\First Battle - Talk of a Chair\Actually, we prepared all this for your arrival last night.\Thank you very much!\Oh, right, Rio.\Did you bring in the fish I was drying upstairs?\No, I didn't. response:	That's odd.
context: You really suck!\First Battle - Talk of a Chair\Actually, we prepared all this for your arrival last night.\Thank you very much!\Oh, right, Rio.\Did you bring in the fish I was drying upstairs?\No, I didn't.\That's odd. response:	Come on, Noel!
context: First Battle - Talk of a Chair\Actually, we prepared all this for your arrival last night.\Thank you very much!\Oh, right, Rio.\Did you bring in the fish I was drying upstairs?\No, I didn't.\That's odd.\Come on, Noel! response:	At least eat breakfast before you sleep!
context: Actually, we prepared all this for your arrival last night.\Thank you very much!\Oh, right, Rio.\Did you bring in the fish I was drying upstairs?\No, I didn't.\That's odd.\Come on, Noel!\At least eat breakfast before you sleep! response:	I'll try.
context: Thank you very much!\Oh, right, Rio.\Did you bring in the fish I was drying upstairs?\No, I didn't.\That's odd.\Come on, Noel!\At least eat breakfast before you sleep!\I'll try. response:	What happened to trying?
context: Oh, right, Rio.\Did you bring in the fish I was drying upstairs?\No, I didn't.\That's odd.\Come on, Noel!\At least eat breakfast before you sleep!\I'll try.\What happened to trying? response:	I'm trying.
context: Did you bring in the fish I was drying upstairs?\No, I didn't.\That's odd.\Come on, Noel!\At least eat breakfast before you sleep!\I'll try.\What happened to trying?\I'm trying. response:	That's Rio's...
context: No, I didn't.\That's odd.\Come on, Noel!\At least eat breakfast before you sleep!\I'll try.\What happened to trying?\I'm trying.\That's Rio's... response:	Hurry and sit down.
context: That's odd.\Come on, Noel!\At least eat breakfast before you sleep!\I'll try.\What happened to trying?\I'm trying.\That's Rio's...\Hurry and sit down. response:	The food's going to get cold.
context: Come on, Noel!\At least eat breakfast before you sleep!\I'll try.\What happened to trying?\I'm trying.\That's Rio's...\Hurry and sit down.\The food's going to get cold. response:	Now then.
context: At least eat breakfast before you sleep!\I'll try.\What happened to trying?\I'm trying.\That's Rio's...\Hurry and sit down.\The food's going to get cold.\Now then. response:	Let me reintroduce you to the members of Platoon 1121.
context: I'll try.\What happened to trying?\I'm trying.\That's Rio's...\Hurry and sit down.\The food's going to get cold.\Now then.\Let me reintroduce you to the members of Platoon 1121. response:	First, our commander.
