context: Senpai? response:	Senpai, are you awake?
context: Senpai?\Senpai, are you awake? response:	Good morning, Sakura.
context: Senpai?\Senpai, are you awake?\Good morning, Sakura. response:	Right, same to you, Senpai.
context: Senpai?\Senpai, are you awake?\Good morning, Sakura.\Right, same to you, Senpai. response:	Sorry, Sakura... I should be helping with the morning chores.
context: Senpai?\Senpai, are you awake?\Good morning, Sakura.\Right, same to you, Senpai.\Sorry, Sakura... I should be helping with the morning chores. response:	Don't worry about that, Senpai.
context: Senpai?\Senpai, are you awake?\Good morning, Sakura.\Right, same to you, Senpai.\Sorry, Sakura... I should be helping with the morning chores.\Don't worry about that, Senpai. response:	You were up late again last night, weren't you?
context: Senpai?\Senpai, are you awake?\Good morning, Sakura.\Right, same to you, Senpai.\Sorry, Sakura... I should be helping with the morning chores.\Don't worry about that, Senpai.\You were up late again last night, weren't you? response:	Dummy, that's no excuse.
context: Senpai?\Senpai, are you awake?\Good morning, Sakura.\Right, same to you, Senpai.\Sorry, Sakura... I should be helping with the morning chores.\Don't worry about that, Senpai.\You were up late again last night, weren't you?\Dummy, that's no excuse. response:	Senpai, let me handle the morning chores.
context: Senpai, are you awake?\Good morning, Sakura.\Right, same to you, Senpai.\Sorry, Sakura... I should be helping with the morning chores.\Don't worry about that, Senpai.\You were up late again last night, weren't you?\Dummy, that's no excuse.\Senpai, let me handle the morning chores. response:	If you leave the storehouse this messy, Fujimura-sensei will scold you.
context: Good morning, Sakura.\Right, same to you, Senpai.\Sorry, Sakura... I should be helping with the morning chores.\Don't worry about that, Senpai.\You were up late again last night, weren't you?\Dummy, that's no excuse.\Senpai, let me handle the morning chores.\If you leave the storehouse this messy, Fujimura-sensei will scold you. response:	Good point...
context: Right, same to you, Senpai.\Sorry, Sakura... I should be helping with the morning chores.\Don't worry about that, Senpai.\You were up late again last night, weren't you?\Dummy, that's no excuse.\Senpai, let me handle the morning chores.\If you leave the storehouse this messy, Fujimura-sensei will scold you.\Good point... response:	I guess I'll have you do that, then.
context: Sorry, Sakura... I should be helping with the morning chores.\Don't worry about that, Senpai.\You were up late again last night, weren't you?\Dummy, that's no excuse.\Senpai, let me handle the morning chores.\If you leave the storehouse this messy, Fujimura-sensei will scold you.\Good point...\I guess I'll have you do that, then. response:	Sure. I'll be waiting for you, Senpai.
context: Don't worry about that, Senpai.\You were up late again last night, weren't you?\Dummy, that's no excuse.\Senpai, let me handle the morning chores.\If you leave the storehouse this messy, Fujimura-sensei will scold you.\Good point...\I guess I'll have you do that, then.\Sure. I'll be waiting for you, Senpai. response:	Falling asleep before I finish proves I'm lacking in concentration.
context: You were up late again last night, weren't you?\Dummy, that's no excuse.\Senpai, let me handle the morning chores.\If you leave the storehouse this messy, Fujimura-sensei will scold you.\Good point...\I guess I'll have you do that, then.\Sure. I'll be waiting for you, Senpai.\Falling asleep before I finish proves I'm lacking in concentration. response:	Perfect.
context: Dummy, that's no excuse.\Senpai, let me handle the morning chores.\If you leave the storehouse this messy, Fujimura-sensei will scold you.\Good point...\I guess I'll have you do that, then.\Sure. I'll be waiting for you, Senpai.\Falling asleep before I finish proves I'm lacking in concentration.\Perfect. response:	I feel terrible, making you do all this, Sakura.
context: Senpai, let me handle the morning chores.\If you leave the storehouse this messy, Fujimura-sensei will scold you.\Good point...\I guess I'll have you do that, then.\Sure. I'll be waiting for you, Senpai.\Falling asleep before I finish proves I'm lacking in concentration.\Perfect.\I feel terrible, making you do all this, Sakura. response:	It's no trouble at all.
context: If you leave the storehouse this messy, Fujimura-sensei will scold you.\Good point...\I guess I'll have you do that, then.\Sure. I'll be waiting for you, Senpai.\Falling asleep before I finish proves I'm lacking in concentration.\Perfect.\I feel terrible, making you do all this, Sakura.\It's no trouble at all. response:	I do it because I enjoy it.
context: Good point...\I guess I'll have you do that, then.\Sure. I'll be waiting for you, Senpai.\Falling asleep before I finish proves I'm lacking in concentration.\Perfect.\I feel terrible, making you do all this, Sakura.\It's no trouble at all.\I do it because I enjoy it. response:	Morning, Fuji-nee.
context: I guess I'll have you do that, then.\Sure. I'll be waiting for you, Senpai.\Falling asleep before I finish proves I'm lacking in concentration.\Perfect.\I feel terrible, making you do all this, Sakura.\It's no trouble at all.\I do it because I enjoy it.\Morning, Fuji-nee. response:	Yep, morning!
context: Sure. I'll be waiting for you, Senpai.\Falling asleep before I finish proves I'm lacking in concentration.\Perfect.\I feel terrible, making you do all this, Sakura.\It's no trouble at all.\I do it because I enjoy it.\Morning, Fuji-nee.\Yep, morning! response:	Let's eat!
context: Falling asleep before I finish proves I'm lacking in concentration.\Perfect.\I feel terrible, making you do all this, Sakura.\It's no trouble at all.\I do it because I enjoy it.\Morning, Fuji-nee.\Yep, morning!\Let's eat! response:	Let's eat.
context: Perfect.\I feel terrible, making you do all this, Sakura.\It's no trouble at all.\I do it because I enjoy it.\Morning, Fuji-nee.\Yep, morning!\Let's eat!\Let's eat. response:	Senpai?
context: I feel terrible, making you do all this, Sakura.\It's no trouble at all.\I do it because I enjoy it.\Morning, Fuji-nee.\Yep, morning!\Let's eat!\Let's eat.\Senpai? response:	Th-This is Worcestershire sauce!
context: It's no trouble at all.\I do it because I enjoy it.\Morning, Fuji-nee.\Yep, morning!\Let's eat!\Let's eat.\Senpai?\Th-This is Worcestershire sauce! response:	Worcestershire sauce on grated yams... And it's oyster flavor, no less!
context: I do it because I enjoy it.\Morning, Fuji-nee.\Yep, morning!\Let's eat!\Let's eat.\Senpai?\Th-This is Worcestershire sauce!\Worcestershire sauce on grated yams... And it's oyster flavor, no less! response:	Yay!
context: Morning, Fuji-nee.\Yep, morning!\Let's eat!\Let's eat.\Senpai?\Th-This is Worcestershire sauce!\Worcestershire sauce on grated yams... And it's oyster flavor, no less!\Yay! response:	Who pulls a stunt like that, first thing in the morning?
context: Yep, morning!\Let's eat!\Let's eat.\Senpai?\Th-This is Worcestershire sauce!\Worcestershire sauce on grated yams... And it's oyster flavor, no less!\Yay!\Who pulls a stunt like that, first thing in the morning? response:	You'll be twenty-five this year.
context: Let's eat!\Let's eat.\Senpai?\Th-This is Worcestershire sauce!\Worcestershire sauce on grated yams... And it's oyster flavor, no less!\Yay!\Who pulls a stunt like that, first thing in the morning?\You'll be twenty-five this year. response:	But you'll always be the same Fuji-nee.
context: Let's eat.\Senpai?\Th-This is Worcestershire sauce!\Worcestershire sauce on grated yams... And it's oyster flavor, no less!\Yay!\Who pulls a stunt like that, first thing in the morning?\You'll be twenty-five this year.\But you'll always be the same Fuji-nee. response:	You deserved it!
context: Senpai?\Th-This is Worcestershire sauce!\Worcestershire sauce on grated yams... And it's oyster flavor, no less!\Yay!\Who pulls a stunt like that, first thing in the morning?\You'll be twenty-five this year.\But you'll always be the same Fuji-nee.\You deserved it! response:	It's payback for yesterday!
context: Th-This is Worcestershire sauce!\Worcestershire sauce on grated yams... And it's oyster flavor, no less!\Yay!\Who pulls a stunt like that, first thing in the morning?\You'll be twenty-five this year.\But you'll always be the same Fuji-nee.\You deserved it!\It's payback for yesterday! response:	Senpai, have some tea!
context: Worcestershire sauce on grated yams... And it's oyster flavor, no less!\Yay!\Who pulls a stunt like that, first thing in the morning?\You'll be twenty-five this year.\But you'll always be the same Fuji-nee.\You deserved it!\It's payback for yesterday!\Senpai, have some tea! response:	You seemed awfully quiet.
context: Yay!\Who pulls a stunt like that, first thing in the morning?\You'll be twenty-five this year.\But you'll always be the same Fuji-nee.\You deserved it!\It's payback for yesterday!\Senpai, have some tea!\You seemed awfully quiet. response:	So it was because you'd been plotting this since yesterday.
context: Who pulls a stunt like that, first thing in the morning?\You'll be twenty-five this year.\But you'll always be the same Fuji-nee.\You deserved it!\It's payback for yesterday!\Senpai, have some tea!\You seemed awfully quiet.\So it was because you'd been plotting this since yesterday. response:	Damn straight.
context: You'll be twenty-five this year.\But you'll always be the same Fuji-nee.\You deserved it!\It's payback for yesterday!\Senpai, have some tea!\You seemed awfully quiet.\So it was because you'd been plotting this since yesterday.\Damn straight. response:	And because of that, now I have to get going in a hurry to grade some tests.
context: But you'll always be the same Fuji-nee.\You deserved it!\It's payback for yesterday!\Senpai, have some tea!\You seemed awfully quiet.\So it was because you'd been plotting this since yesterday.\Damn straight.\And because of that, now I have to get going in a hurry to grade some tests. response:	So I've gotta run, or I'll never finish in time!
context: You deserved it!\It's payback for yesterday!\Senpai, have some tea!\You seemed awfully quiet.\So it was because you'd been plotting this since yesterday.\Damn straight.\And because of that, now I have to get going in a hurry to grade some tests.\So I've gotta run, or I'll never finish in time! response:	Thanks for breakfast!
context: It's payback for yesterday!\Senpai, have some tea!\You seemed awfully quiet.\So it was because you'd been plotting this since yesterday.\Damn straight.\And because of that, now I have to get going in a hurry to grade some tests.\So I've gotta run, or I'll never finish in time!\Thanks for breakfast! response:	See you at school!
context: Senpai, have some tea!\You seemed awfully quiet.\So it was because you'd been plotting this since yesterday.\Damn straight.\And because of that, now I have to get going in a hurry to grade some tests.\So I've gotta run, or I'll never finish in time!\Thanks for breakfast!\See you at school! response:	Make sure you aren't late.
context: You seemed awfully quiet.\So it was because you'd been plotting this since yesterday.\Damn straight.\And because of that, now I have to get going in a hurry to grade some tests.\So I've gotta run, or I'll never finish in time!\Thanks for breakfast!\See you at school!\Make sure you aren't late. response:	And don't go back to sleep, okay?
context: So it was because you'd been plotting this since yesterday.\Damn straight.\And because of that, now I have to get going in a hurry to grade some tests.\So I've gotta run, or I'll never finish in time!\Thanks for breakfast!\See you at school!\Make sure you aren't late.\And don't go back to sleep, okay? response:	Well, I'm out of here!
context: Damn straight.\And because of that, now I have to get going in a hurry to grade some tests.\So I've gotta run, or I'll never finish in time!\Thanks for breakfast!\See you at school!\Make sure you aren't late.\And don't go back to sleep, okay?\Well, I'm out of here! response:	Breakfast was as delicious as ever, Sakura-chan!
context: And because of that, now I have to get going in a hurry to grade some tests.\So I've gotta run, or I'll never finish in time!\Thanks for breakfast!\See you at school!\Make sure you aren't late.\And don't go back to sleep, okay?\Well, I'm out of here!\Breakfast was as delicious as ever, Sakura-chan! response:	It was nothing, Fujimura-sensei.
context: So I've gotta run, or I'll never finish in time!\Thanks for breakfast!\See you at school!\Make sure you aren't late.\And don't go back to sleep, okay?\Well, I'm out of here!\Breakfast was as delicious as ever, Sakura-chan!\It was nothing, Fujimura-sensei. response:	Damn that Fuji-nee.
context: Thanks for breakfast!\See you at school!\Make sure you aren't late.\And don't go back to sleep, okay?\Well, I'm out of here!\Breakfast was as delicious as ever, Sakura-chan!\It was nothing, Fujimura-sensei.\Damn that Fuji-nee. response:	Even if she's the landlord's daughter, why must she eat here every day?
context: See you at school!\Make sure you aren't late.\And don't go back to sleep, okay?\Well, I'm out of here!\Breakfast was as delicious as ever, Sakura-chan!\It was nothing, Fujimura-sensei.\Damn that Fuji-nee.\Even if she's the landlord's daughter, why must she eat here every day? response:	She's no better than a freeloader.
context: Make sure you aren't late.\And don't go back to sleep, okay?\Well, I'm out of here!\Breakfast was as delicious as ever, Sakura-chan!\It was nothing, Fujimura-sensei.\Damn that Fuji-nee.\Even if she's the landlord's daughter, why must she eat here every day?\She's no better than a freeloader. response:	Did you do something to her yesterday?
context: And don't go back to sleep, okay?\Well, I'm out of here!\Breakfast was as delicious as ever, Sakura-chan!\It was nothing, Fujimura-sensei.\Damn that Fuji-nee.\Even if she's the landlord's daughter, why must she eat here every day?\She's no better than a freeloader.\Did you do something to her yesterday? response:	I accidentally called her by her nickname.
context: Well, I'm out of here!\Breakfast was as delicious as ever, Sakura-chan!\It was nothing, Fujimura-sensei.\Damn that Fuji-nee.\Even if she's the landlord's daughter, why must she eat here every day?\She's no better than a freeloader.\Did you do something to her yesterday?\I accidentally called her by her nickname. response:	Then it was really your own fault.
context: Breakfast was as delicious as ever, Sakura-chan!\It was nothing, Fujimura-sensei.\Damn that Fuji-nee.\Even if she's the landlord's daughter, why must she eat here every day?\She's no better than a freeloader.\Did you do something to her yesterday?\I accidentally called her by her nickname.\Then it was really your own fault. response:	You can't do that.
context: It was nothing, Fujimura-sensei.\Damn that Fuji-nee.\Even if she's the landlord's daughter, why must she eat here every day?\She's no better than a freeloader.\Did you do something to her yesterday?\I accidentally called her by her nickname.\Then it was really your own fault.\You can't do that. response:	Your using that nickname is the one thing she hates.
context: Damn that Fuji-nee.\Even if she's the landlord's daughter, why must she eat here every day?\She's no better than a freeloader.\Did you do something to her yesterday?\I accidentally called her by her nickname.\Then it was really your own fault.\You can't do that.\Your using that nickname is the one thing she hates. response:	Suspect Had No License, Minivan Had Malfunctioning Brakes
context: Even if she's the landlord's daughter, why must she eat here every day?\She's no better than a freeloader.\Did you do something to her yesterday?\I accidentally called her by her nickname.\Then it was really your own fault.\You can't do that.\Your using that nickname is the one thing she hates.\Suspect Had No License, Minivan Had Malfunctioning Brakes response:	Gas Leak in New Fuyuki Business District
context: She's no better than a freeloader.\Did you do something to her yesterday?\I accidentally called her by her nickname.\Then it was really your own fault.\You can't do that.\Your using that nickname is the one thing she hates.\Suspect Had No License, Minivan Had Malfunctioning Brakes\Gas Leak in New Fuyuki Business District response:	In our next story,
context: Did you do something to her yesterday?\I accidentally called her by her nickname.\Then it was really your own fault.\You can't do that.\Your using that nickname is the one thing she hates.\Suspect Had No License, Minivan Had Malfunctioning Brakes\Gas Leak in New Fuyuki Business District\In our next story, response:	workers in a building in New Fuyuki's business district passed out
context: I accidentally called her by her nickname.\Then it was really your own fault.\You can't do that.\Your using that nickname is the one thing she hates.\Suspect Had No License, Minivan Had Malfunctioning Brakes\Gas Leak in New Fuyuki Business District\In our next story,\workers in a building in New Fuyuki's business district passed out response:	and were taken to the hospital late last night.
context: Then it was really your own fault.\You can't do that.\Your using that nickname is the one thing she hates.\Suspect Had No License, Minivan Had Malfunctioning Brakes\Gas Leak in New Fuyuki Business District\In our next story,\workers in a building in New Fuyuki's business district passed out\and were taken to the hospital late last night. response:	According to a police spokesman,
context: You can't do that.\Your using that nickname is the one thing she hates.\Suspect Had No License, Minivan Had Malfunctioning Brakes\Gas Leak in New Fuyuki Business District\In our next story,\workers in a building in New Fuyuki's business district passed out\and were taken to the hospital late last night.\According to a police spokesman, response:	Gas Leak in New Fuyuki Business District
context: Your using that nickname is the one thing she hates.\Suspect Had No License, Minivan Had Malfunctioning Brakes\Gas Leak in New Fuyuki Business District\In our next story,\workers in a building in New Fuyuki's business district passed out\and were taken to the hospital late last night.\According to a police spokesman,\Gas Leak in New Fuyuki Business District response:	since victims seemed to be suffering from hypoxia,
context: Suspect Had No License, Minivan Had Malfunctioning Brakes\Gas Leak in New Fuyuki Business District\In our next story,\workers in a building in New Fuyuki's business district passed out\and were taken to the hospital late last night.\According to a police spokesman,\Gas Leak in New Fuyuki Business District\since victims seemed to be suffering from hypoxia, response:	they believe it may have been the result of a gas leak.
context: Gas Leak in New Fuyuki Business District\In our next story,\workers in a building in New Fuyuki's business district passed out\and were taken to the hospital late last night.\According to a police spokesman,\Gas Leak in New Fuyuki Business District\since victims seemed to be suffering from hypoxia,\they believe it may have been the result of a gas leak. response:	However, given a similar incident that occurred last month,
context: In our next story,\workers in a building in New Fuyuki's business district passed out\and were taken to the hospital late last night.\According to a police spokesman,\Gas Leak in New Fuyuki Business District\since victims seemed to be suffering from hypoxia,\they believe it may have been the result of a gas leak.\However, given a similar incident that occurred last month, response:	Hear that? Another gas leak in New Fuyuki.
context: workers in a building in New Fuyuki's business district passed out\and were taken to the hospital late last night.\According to a police spokesman,\Gas Leak in New Fuyuki Business District\since victims seemed to be suffering from hypoxia,\they believe it may have been the result of a gas leak.\However, given a similar incident that occurred last month,\Hear that? Another gas leak in New Fuyuki. response:	investigating police are exercising extreme caution due to the possibility of a link.
context: and were taken to the hospital late last night.\According to a police spokesman,\Gas Leak in New Fuyuki Business District\since victims seemed to be suffering from hypoxia,\they believe it may have been the result of a gas leak.\However, given a similar incident that occurred last month,\Hear that? Another gas leak in New Fuyuki.\investigating police are exercising extreme caution due to the possibility of a link. response:	That's messed up.
context: According to a police spokesman,\Gas Leak in New Fuyuki Business District\since victims seemed to be suffering from hypoxia,\they believe it may have been the result of a gas leak.\However, given a similar incident that occurred last month,\Hear that? Another gas leak in New Fuyuki.\investigating police are exercising extreme caution due to the possibility of a link.\That's messed up. response:	We need to be careful, too.
context: Gas Leak in New Fuyuki Business District\since victims seemed to be suffering from hypoxia,\they believe it may have been the result of a gas leak.\However, given a similar incident that occurred last month,\Hear that? Another gas leak in New Fuyuki.\investigating police are exercising extreme caution due to the possibility of a link.\That's messed up.\We need to be careful, too. response:	Don't worry.
context: since victims seemed to be suffering from hypoxia,\they believe it may have been the result of a gas leak.\However, given a similar incident that occurred last month,\Hear that? Another gas leak in New Fuyuki.\investigating police are exercising extreme caution due to the possibility of a link.\That's messed up.\We need to be careful, too.\Don't worry. response:	I always double-check the gas valve, so we'll be safe.
context: they believe it may have been the result of a gas leak.\However, given a similar incident that occurred last month,\Hear that? Another gas leak in New Fuyuki.\investigating police are exercising extreme caution due to the possibility of a link.\That's messed up.\We need to be careful, too.\Don't worry.\I always double-check the gas valve, so we'll be safe. response:	No, not about that...
context: However, given a similar incident that occurred last month,\Hear that? Another gas leak in New Fuyuki.\investigating police are exercising extreme caution due to the possibility of a link.\That's messed up.\We need to be careful, too.\Don't worry.\I always double-check the gas valve, so we'll be safe.\No, not about that... response:	Well, work hard at club practice.
context: Hear that? Another gas leak in New Fuyuki.\investigating police are exercising extreme caution due to the possibility of a link.\That's messed up.\We need to be careful, too.\Don't worry.\I always double-check the gas valve, so we'll be safe.\No, not about that...\Well, work hard at club practice. response:	About that, Senpai...
context: investigating police are exercising extreme caution due to the possibility of a link.\That's messed up.\We need to be careful, too.\Don't worry.\I always double-check the gas valve, so we'll be safe.\No, not about that...\Well, work hard at club practice.\About that, Senpai... response:	Maybe you could stop by the dojo?
context: That's messed up.\We need to be careful, too.\Don't worry.\I always double-check the gas valve, so we'll be safe.\No, not about that...\Well, work hard at club practice.\About that, Senpai...\Maybe you could stop by the dojo? response:	I have to go to the student council office this morning.
context: We need to be careful, too.\Don't worry.\I always double-check the gas valve, so we'll be safe.\No, not about that...\Well, work hard at club practice.\About that, Senpai...\Maybe you could stop by the dojo?\I have to go to the student council office this morning. response:	O-Oh, of course.
context: Don't worry.\I always double-check the gas valve, so we'll be safe.\No, not about that...\Well, work hard at club practice.\About that, Senpai...\Maybe you could stop by the dojo?\I have to go to the student council office this morning.\O-Oh, of course. response:	I'm sorry. Forget I asked.
context: I always double-check the gas valve, so we'll be safe.\No, not about that...\Well, work hard at club practice.\About that, Senpai...\Maybe you could stop by the dojo?\I have to go to the student council office this morning.\O-Oh, of course.\I'm sorry. Forget I asked. response:	Well, I should get going.
context: No, not about that...\Well, work hard at club practice.\About that, Senpai...\Maybe you could stop by the dojo?\I have to go to the student council office this morning.\O-Oh, of course.\I'm sorry. Forget I asked.\Well, I should get going. response:	Look forward to dinner tonight, okay?
context: Well, work hard at club practice.\About that, Senpai...\Maybe you could stop by the dojo?\I have to go to the student council office this morning.\O-Oh, of course.\I'm sorry. Forget I asked.\Well, I should get going.\Look forward to dinner tonight, okay? response:	The school's budgeting priorities are completely out of whack.
context: About that, Senpai...\Maybe you could stop by the dojo?\I have to go to the student council office this morning.\O-Oh, of course.\I'm sorry. Forget I asked.\Well, I should get going.\Look forward to dinner tonight, okay?\The school's budgeting priorities are completely out of whack. response:	Yeah, athletic clubs get the lion's share of the budget, and the rest get crumbs.
context: Maybe you could stop by the dojo?\I have to go to the student council office this morning.\O-Oh, of course.\I'm sorry. Forget I asked.\Well, I should get going.\Look forward to dinner tonight, okay?\The school's budgeting priorities are completely out of whack.\Yeah, athletic clubs get the lion's share of the budget, and the rest get crumbs. response:	Yes.
context: I have to go to the student council office this morning.\O-Oh, of course.\I'm sorry. Forget I asked.\Well, I should get going.\Look forward to dinner tonight, okay?\The school's budgeting priorities are completely out of whack.\Yeah, athletic clubs get the lion's share of the budget, and the rest get crumbs.\Yes. response:	As a result, the non-athletic club rooms are in poor repair.
context: O-Oh, of course.\I'm sorry. Forget I asked.\Well, I should get going.\Look forward to dinner tonight, okay?\The school's budgeting priorities are completely out of whack.\Yeah, athletic clubs get the lion's share of the budget, and the rest get crumbs.\Yes.\As a result, the non-athletic club rooms are in poor repair. response:	They've given zero thought to resolving our heater issues.
context: I'm sorry. Forget I asked.\Well, I should get going.\Look forward to dinner tonight, okay?\The school's budgeting priorities are completely out of whack.\Yeah, athletic clubs get the lion's share of the budget, and the rest get crumbs.\Yes.\As a result, the non-athletic club rooms are in poor repair.\They've given zero thought to resolving our heater issues. response:	There are more broken heaters?
context: Well, I should get going.\Look forward to dinner tonight, okay?\The school's budgeting priorities are completely out of whack.\Yeah, athletic clubs get the lion's share of the budget, and the rest get crumbs.\Yes.\As a result, the non-athletic club rooms are in poor repair.\They've given zero thought to resolving our heater issues.\There are more broken heaters? response:	There are.
context: Look forward to dinner tonight, okay?\The school's budgeting priorities are completely out of whack.\Yeah, athletic clubs get the lion's share of the budget, and the rest get crumbs.\Yes.\As a result, the non-athletic club rooms are in poor repair.\They've given zero thought to resolving our heater issues.\There are more broken heaters?\There are. response:	Like I thought, this one's just showing its age.
context: The school's budgeting priorities are completely out of whack.\Yeah, athletic clubs get the lion's share of the budget, and the rest get crumbs.\Yes.\As a result, the non-athletic club rooms are in poor repair.\They've given zero thought to resolving our heater issues.\There are more broken heaters?\There are.\Like I thought, this one's just showing its age. response:	Can you fix it, Emiya?
context: Yeah, athletic clubs get the lion's share of the budget, and the rest get crumbs.\Yes.\As a result, the non-athletic club rooms are in poor repair.\They've given zero thought to resolving our heater issues.\There are more broken heaters?\There are.\Like I thought, this one's just showing its age.\Can you fix it, Emiya? response:	I can.
context: Yes.\As a result, the non-athletic club rooms are in poor repair.\They've given zero thought to resolving our heater issues.\There are more broken heaters?\There are.\Like I thought, this one's just showing its age.\Can you fix it, Emiya?\I can. response:	Really?
context: As a result, the non-athletic club rooms are in poor repair.\They've given zero thought to resolving our heater issues.\There are more broken heaters?\There are.\Like I thought, this one's just showing its age.\Can you fix it, Emiya?\I can.\Really? response:	Issei, I'll have it fixed in a jiffy, so could you wait outside?
context: They've given zero thought to resolving our heater issues.\There are more broken heaters?\There are.\Like I thought, this one's just showing its age.\Can you fix it, Emiya?\I can.\Really?\Issei, I'll have it fixed in a jiffy, so could you wait outside? response:	Of course. I'll get out of your way.
context: There are more broken heaters?\There are.\Like I thought, this one's just showing its age.\Can you fix it, Emiya?\I can.\Really?\Issei, I'll have it fixed in a jiffy, so could you wait outside?\Of course. I'll get out of your way. response:	Okay, then...
context: There are.\Like I thought, this one's just showing its age.\Can you fix it, Emiya?\I can.\Really?\Issei, I'll have it fixed in a jiffy, so could you wait outside?\Of course. I'll get out of your way.\Okay, then... response:	Two spots where the heating element is about to break...
context: Like I thought, this one's just showing its age.\Can you fix it, Emiya?\I can.\Really?\Issei, I'll have it fixed in a jiffy, so could you wait outside?\Of course. I'll get out of your way.\Okay, then...\Two spots where the heating element is about to break... response:	The heat transfer pipes are still good.
