context: You're back pretty late. response:	Were you able to see the Tomoebi?
context: You're back pretty late.\Were you able to see the Tomoebi? response:	Hey, where's the Professor?
context: You're back pretty late.\Were you able to see the Tomoebi?\Hey, where's the Professor? response:	At Akari-san's.
context: You're back pretty late.\Were you able to see the Tomoebi?\Hey, where's the Professor?\At Akari-san's. response:	Huh? But why...
context: You're back pretty late.\Were you able to see the Tomoebi?\Hey, where's the Professor?\At Akari-san's.\Huh? But why... response:	He came back.
context: You're back pretty late.\Were you able to see the Tomoebi?\Hey, where's the Professor?\At Akari-san's.\Huh? But why...\He came back. response:	Huh?
context: You're back pretty late.\Were you able to see the Tomoebi?\Hey, where's the Professor?\At Akari-san's.\Huh? But why...\He came back.\Huh? response:	Hikari came back.
context: You're back pretty late.\Were you able to see the Tomoebi?\Hey, where's the Professor?\At Akari-san's.\Huh? But why...\He came back.\Huh?\Hikari came back. response:	He hasn't changed.
context: Were you able to see the Tomoebi?\Hey, where's the Professor?\At Akari-san's.\Huh? But why...\He came back.\Huh?\Hikari came back.\He hasn't changed. response:	From five years ago...
context: Hey, where's the Professor?\At Akari-san's.\Huh? But why...\He came back.\Huh?\Hikari came back.\He hasn't changed.\From five years ago... response:	He hasn't changed at all.
context: At Akari-san's.\Huh? But why...\He came back.\Huh?\Hikari came back.\He hasn't changed.\From five years ago...\He hasn't changed at all. response:	Episode Fifteen: The Protector of Smiles
context: Huh? But why...\He came back.\Huh?\Hikari came back.\He hasn't changed.\From five years ago...\He hasn't changed at all.\Episode Fifteen: The Protector of Smiles response:	Overall, he seems to be just fine.
context: He came back.\Huh?\Hikari came back.\He hasn't changed.\From five years ago...\He hasn't changed at all.\Episode Fifteen: The Protector of Smiles\Overall, he seems to be just fine. response:	Just be mindful of keeping him hydrated.
context: Huh?\Hikari came back.\He hasn't changed.\From five years ago...\He hasn't changed at all.\Episode Fifteen: The Protector of Smiles\Overall, he seems to be just fine.\Just be mindful of keeping him hydrated. response:	Make sure he gets about 400cc of water every hour.
context: Hikari came back.\He hasn't changed.\From five years ago...\He hasn't changed at all.\Episode Fifteen: The Protector of Smiles\Overall, he seems to be just fine.\Just be mindful of keeping him hydrated.\Make sure he gets about 400cc of water every hour. response:	Right. Thank you very much.
context: He hasn't changed.\From five years ago...\He hasn't changed at all.\Episode Fifteen: The Protector of Smiles\Overall, he seems to be just fine.\Just be mindful of keeping him hydrated.\Make sure he gets about 400cc of water every hour.\Right. Thank you very much. response:	Tomorrow, the brain surgeon will be back from the city,
context: From five years ago...\He hasn't changed at all.\Episode Fifteen: The Protector of Smiles\Overall, he seems to be just fine.\Just be mindful of keeping him hydrated.\Make sure he gets about 400cc of water every hour.\Right. Thank you very much.\Tomorrow, the brain surgeon will be back from the city, response:	so have the surgeon look at him, too.
