context: You're right. response:	Now do you believe me?
context: You're right.\Now do you believe me? response:	There's no mistake.
context: You're right.\Now do you believe me?\There's no mistake. response:	VR-1's trajectory has changed.
context: You're right.\Now do you believe me?\There's no mistake.\VR-1's trajectory has changed. response:	This is my fault.
context: You're right.\Now do you believe me?\There's no mistake.\VR-1's trajectory has changed.\This is my fault. response:	No! It isn't...
context: You're right.\Now do you believe me?\There's no mistake.\VR-1's trajectory has changed.\This is my fault.\No! It isn't... response:	Yes, it is.
context: You're right.\Now do you believe me?\There's no mistake.\VR-1's trajectory has changed.\This is my fault.\No! It isn't...\Yes, it is. response:	It's because I hacked the AFSPC servers that the Qmay Group...
context: You're right.\Now do you believe me?\There's no mistake.\VR-1's trajectory has changed.\This is my fault.\No! It isn't...\Yes, it is.\It's because I hacked the AFSPC servers that the Qmay Group... response:	Buddies
context: Now do you believe me?\There's no mistake.\VR-1's trajectory has changed.\This is my fault.\No! It isn't...\Yes, it is.\It's because I hacked the AFSPC servers that the Qmay Group...\Buddies response:	Iridatsu, is it all true?
context: There's no mistake.\VR-1's trajectory has changed.\This is my fault.\No! It isn't...\Yes, it is.\It's because I hacked the AFSPC servers that the Qmay Group...\Buddies\Iridatsu, is it all true? response:	About you leaving your body,
context: VR-1's trajectory has changed.\This is my fault.\No! It isn't...\Yes, it is.\It's because I hacked the AFSPC servers that the Qmay Group...\Buddies\Iridatsu, is it all true?\About you leaving your body, response:	and having come from the future?
context: This is my fault.\No! It isn't...\Yes, it is.\It's because I hacked the AFSPC servers that the Qmay Group...\Buddies\Iridatsu, is it all true?\About you leaving your body,\and having come from the future? response:	Meika...
context: No! It isn't...\Yes, it is.\It's because I hacked the AFSPC servers that the Qmay Group...\Buddies\Iridatsu, is it all true?\About you leaving your body,\and having come from the future?\Meika... response:	I'm all right.
context: Yes, it is.\It's because I hacked the AFSPC servers that the Qmay Group...\Buddies\Iridatsu, is it all true?\About you leaving your body,\and having come from the future?\Meika...\I'm all right. response:	I don't doubt what you said.
context: It's because I hacked the AFSPC servers that the Qmay Group...\Buddies\Iridatsu, is it all true?\About you leaving your body,\and having come from the future?\Meika...\I'm all right.\I don't doubt what you said. response:	But...
context: Buddies\Iridatsu, is it all true?\About you leaving your body,\and having come from the future?\Meika...\I'm all right.\I don't doubt what you said.\But... response:	Can you give me some time?
context: Iridatsu, is it all true?\About you leaving your body,\and having come from the future?\Meika...\I'm all right.\I don't doubt what you said.\But...\Can you give me some time? response:	I need to come up with a strategy.
context: About you leaving your body,\and having come from the future?\Meika...\I'm all right.\I don't doubt what you said.\But...\Can you give me some time?\I need to come up with a strategy. response:	Punch Line
context: and having come from the future?\Meika...\I'm all right.\I don't doubt what you said.\But...\Can you give me some time?\I need to come up with a strategy.\Punch Line response:	We will hereby begin the briefing for Operation Peacemaker.
context: Meika...\I'm all right.\I don't doubt what you said.\But...\Can you give me some time?\I need to come up with a strategy.\Punch Line\We will hereby begin the briefing for Operation Peacemaker. response:	Currently, there are plenty of ICBMs and SLBMs around the world
context: I'm all right.\I don't doubt what you said.\But...\Can you give me some time?\I need to come up with a strategy.\Punch Line\We will hereby begin the briefing for Operation Peacemaker.\Currently, there are plenty of ICBMs and SLBMs around the world response:	ICBM: Intercontinental Ballistic Missile
context: I don't doubt what you said.\But...\Can you give me some time?\I need to come up with a strategy.\Punch Line\We will hereby begin the briefing for Operation Peacemaker.\Currently, there are plenty of ICBMs and SLBMs around the world\ICBM: Intercontinental Ballistic Missile response:	ICBM: Intercontinental Ballistic Missile SLBM: Submarine-launched Ballistic Missile
context: But...\Can you give me some time?\I need to come up with a strategy.\Punch Line\We will hereby begin the briefing for Operation Peacemaker.\Currently, there are plenty of ICBMs and SLBMs around the world\ICBM: Intercontinental Ballistic Missile\ICBM: Intercontinental Ballistic Missile SLBM: Submarine-launched Ballistic Missile response:	on standby for immediate launch.
context: Can you give me some time?\I need to come up with a strategy.\Punch Line\We will hereby begin the briefing for Operation Peacemaker.\Currently, there are plenty of ICBMs and SLBMs around the world\ICBM: Intercontinental Ballistic Missile\ICBM: Intercontinental Ballistic Missile SLBM: Submarine-launched Ballistic Missile\on standby for immediate launch. response:	Approximately 3,600 of them are armed with nuclear warheads.
context: I need to come up with a strategy.\Punch Line\We will hereby begin the briefing for Operation Peacemaker.\Currently, there are plenty of ICBMs and SLBMs around the world\ICBM: Intercontinental Ballistic Missile\ICBM: Intercontinental Ballistic Missile SLBM: Submarine-launched Ballistic Missile\on standby for immediate launch.\Approximately 3,600 of them are armed with nuclear warheads. response:	We'll fire all of them at Asteroid VR-1.
context: Punch Line\We will hereby begin the briefing for Operation Peacemaker.\Currently, there are plenty of ICBMs and SLBMs around the world\ICBM: Intercontinental Ballistic Missile\ICBM: Intercontinental Ballistic Missile SLBM: Submarine-launched Ballistic Missile\on standby for immediate launch.\Approximately 3,600 of them are armed with nuclear warheads.\We'll fire all of them at Asteroid VR-1. response:	Launch all 2,350!
context: We will hereby begin the briefing for Operation Peacemaker.\Currently, there are plenty of ICBMs and SLBMs around the world\ICBM: Intercontinental Ballistic Missile\ICBM: Intercontinental Ballistic Missile SLBM: Submarine-launched Ballistic Missile\on standby for immediate launch.\Approximately 3,600 of them are armed with nuclear warheads.\We'll fire all of them at Asteroid VR-1.\Launch all 2,350! response:	The operation begins tomorrow at 2200 hours.
context: Currently, there are plenty of ICBMs and SLBMs around the world\ICBM: Intercontinental Ballistic Missile\ICBM: Intercontinental Ballistic Missile SLBM: Submarine-launched Ballistic Missile\on standby for immediate launch.\Approximately 3,600 of them are armed with nuclear warheads.\We'll fire all of them at Asteroid VR-1.\Launch all 2,350!\The operation begins tomorrow at 2200 hours. response:	At that time, I will hijack several military servers around the world,
context: ICBM: Intercontinental Ballistic Missile\ICBM: Intercontinental Ballistic Missile SLBM: Submarine-launched Ballistic Missile\on standby for immediate launch.\Approximately 3,600 of them are armed with nuclear warheads.\We'll fire all of them at Asteroid VR-1.\Launch all 2,350!\The operation begins tomorrow at 2200 hours.\At that time, I will hijack several military servers around the world, response:	and launch one missile after another.
context: ICBM: Intercontinental Ballistic Missile SLBM: Submarine-launched Ballistic Missile\on standby for immediate launch.\Approximately 3,600 of them are armed with nuclear warheads.\We'll fire all of them at Asteroid VR-1.\Launch all 2,350!\The operation begins tomorrow at 2200 hours.\At that time, I will hijack several military servers around the world,\and launch one missile after another. response:	I'll finish launching the last one at 2340 hours.
context: on standby for immediate launch.\Approximately 3,600 of them are armed with nuclear warheads.\We'll fire all of them at Asteroid VR-1.\Launch all 2,350!\The operation begins tomorrow at 2200 hours.\At that time, I will hijack several military servers around the world,\and launch one missile after another.\I'll finish launching the last one at 2340 hours. response:	Ten minutes later, the launched missiles will gather at one location
context: Approximately 3,600 of them are armed with nuclear warheads.\We'll fire all of them at Asteroid VR-1.\Launch all 2,350!\The operation begins tomorrow at 2200 hours.\At that time, I will hijack several military servers around the world,\and launch one missile after another.\I'll finish launching the last one at 2340 hours.\Ten minutes later, the launched missiles will gather at one location response:	and destroy VR-1 in its approach.
context: We'll fire all of them at Asteroid VR-1.\Launch all 2,350!\The operation begins tomorrow at 2200 hours.\At that time, I will hijack several military servers around the world,\and launch one missile after another.\I'll finish launching the last one at 2340 hours.\Ten minutes later, the launched missiles will gather at one location\and destroy VR-1 in its approach. response:	Colonel! Why don't we launch the missiles right now?
context: Launch all 2,350!\The operation begins tomorrow at 2200 hours.\At that time, I will hijack several military servers around the world,\and launch one missile after another.\I'll finish launching the last one at 2340 hours.\Ten minutes later, the launched missiles will gather at one location\and destroy VR-1 in its approach.\Colonel! Why don't we launch the missiles right now? response:	Operation Peacemaker Operation Schedule
