context: I can't let Croix do as she pleases any longer. response:	I can't let Croix do as she pleases any longer.
context: I can't let Croix do as she pleases any longer.\I can't let Croix do as she pleases any longer. response:	She must be stopped...
context: I can't let Croix do as she pleases any longer.\I can't let Croix do as she pleases any longer.\She must be stopped... response:	Before it's too late.
context: I can't let Croix do as she pleases any longer.\I can't let Croix do as she pleases any longer.\She must be stopped...\Before it's too late. response:	I never imagined this could happen.
context: I can't let Croix do as she pleases any longer.\I can't let Croix do as she pleases any longer.\She must be stopped...\Before it's too late.\I never imagined this could happen. response:	A new fact has come to light about the contested goal.
context: I can't let Croix do as she pleases any longer.\I can't let Croix do as she pleases any longer.\She must be stopped...\Before it's too late.\I never imagined this could happen.\A new fact has come to light about the contested goal. response:	Protests, in the meanwhile, are continuing to escalate.
context: I can't let Croix do as she pleases any longer.\I can't let Croix do as she pleases any longer.\She must be stopped...\Before it's too late.\I never imagined this could happen.\A new fact has come to light about the contested goal.\Protests, in the meanwhile, are continuing to escalate. response:	Meanwhile, protests are continuing to escalate.
context: I can't let Croix do as she pleases any longer.\I can't let Croix do as she pleases any longer.\She must be stopped...\Before it's too late.\I never imagined this could happen.\A new fact has come to light about the contested goal.\Protests, in the meanwhile, are continuing to escalate.\Meanwhile, protests are continuing to escalate. response:	The opposing faction has ended their silence and launched counterprotests in turn.
context: I can't let Croix do as she pleases any longer.\She must be stopped...\Before it's too late.\I never imagined this could happen.\A new fact has come to light about the contested goal.\Protests, in the meanwhile, are continuing to escalate.\Meanwhile, protests are continuing to escalate.\The opposing faction has ended their silence and launched counterprotests in turn. response:	In response, the opposing faction has ended their silence and begun counter protests.
context: She must be stopped...\Before it's too late.\I never imagined this could happen.\A new fact has come to light about the contested goal.\Protests, in the meanwhile, are continuing to escalate.\Meanwhile, protests are continuing to escalate.\The opposing faction has ended their silence and launched counterprotests in turn.\In response, the opposing faction has ended their silence and begun counter protests. response:	Some supporters have even resorted to radical actions.
context: Before it's too late.\I never imagined this could happen.\A new fact has come to light about the contested goal.\Protests, in the meanwhile, are continuing to escalate.\Meanwhile, protests are continuing to escalate.\The opposing faction has ended their silence and launched counterprotests in turn.\In response, the opposing faction has ended their silence and begun counter protests.\Some supporters have even resorted to radical actions. response:	The two countries have opposed each other in three wars since the middle ages,
context: I never imagined this could happen.\A new fact has come to light about the contested goal.\Protests, in the meanwhile, are continuing to escalate.\Meanwhile, protests are continuing to escalate.\The opposing faction has ended their silence and launched counterprotests in turn.\In response, the opposing faction has ended their silence and begun counter protests.\Some supporters have even resorted to radical actions.\The two countries have opposed each other in three wars since the middle ages, response:	We cannot continue this appeasement policy any longer.
context: A new fact has come to light about the contested goal.\Protests, in the meanwhile, are continuing to escalate.\Meanwhile, protests are continuing to escalate.\The opposing faction has ended their silence and launched counterprotests in turn.\In response, the opposing faction has ended their silence and begun counter protests.\Some supporters have even resorted to radical actions.\The two countries have opposed each other in three wars since the middle ages,\We cannot continue this appeasement policy any longer. response:	There is only one outcome to this long-held appeasement.
context: Protests, in the meanwhile, are continuing to escalate.\Meanwhile, protests are continuing to escalate.\The opposing faction has ended their silence and launched counterprotests in turn.\In response, the opposing faction has ended their silence and begun counter protests.\Some supporters have even resorted to radical actions.\The two countries have opposed each other in three wars since the middle ages,\We cannot continue this appeasement policy any longer.\There is only one outcome to this long-held appeasement. response:	They are taking us for soft. This is not just a matter of winning or losing a match anymore.
context: Meanwhile, protests are continuing to escalate.\The opposing faction has ended their silence and launched counterprotests in turn.\In response, the opposing faction has ended their silence and begun counter protests.\Some supporters have even resorted to radical actions.\The two countries have opposed each other in three wars since the middle ages,\We cannot continue this appeasement policy any longer.\There is only one outcome to this long-held appeasement.\They are taking us for soft. This is not just a matter of winning or losing a match anymore. response:	They scorn us as weak-willed. This is no longer just about winning or losing a game.
