context: Eiji, some people from Shounen Jack are here to see you. response:	Niizuma-kun, this is the editor-in-chief, Sasaki-san
context: Eiji, some people from Shounen Jack are here to see you.\Niizuma-kun, this is the editor-in-chief, Sasaki-san response:	Niizuma-kun...?
context: Eiji, some people from Shounen Jack are here to see you.\Niizuma-kun, this is the editor-in-chief, Sasaki-san\Niizuma-kun...? response:	This is quite a room.
context: Eiji, some people from Shounen Jack are here to see you.\Niizuma-kun, this is the editor-in-chief, Sasaki-san\Niizuma-kun...?\This is quite a room. response:	About moving to Tokyo, I actually have one condition.
context: Eiji, some people from Shounen Jack are here to see you.\Niizuma-kun, this is the editor-in-chief, Sasaki-san\Niizuma-kun...?\This is quite a room.\About moving to Tokyo, I actually have one condition. response:	Condition?
context: Eiji, some people from Shounen Jack are here to see you.\Niizuma-kun, this is the editor-in-chief, Sasaki-san\Niizuma-kun...?\This is quite a room.\About moving to Tokyo, I actually have one condition.\Condition? response:	If I become the number one most popular author in Jack,
context: Eiji, some people from Shounen Jack are here to see you.\Niizuma-kun, this is the editor-in-chief, Sasaki-san\Niizuma-kun...?\This is quite a room.\About moving to Tokyo, I actually have one condition.\Condition?\If I become the number one most popular author in Jack, response:	please give me the power to end one manga that I hate.
context: Eiji, some people from Shounen Jack are here to see you.\Niizuma-kun, this is the editor-in-chief, Sasaki-san\Niizuma-kun...?\This is quite a room.\About moving to Tokyo, I actually have one condition.\Condition?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate. response:	WWhat are you talking about, Niizuma-kun?!
context: Niizuma-kun, this is the editor-in-chief, Sasaki-san\Niizuma-kun...?\This is quite a room.\About moving to Tokyo, I actually have one condition.\Condition?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\WWhat are you talking about, Niizuma-kun?! response:	Obviously we can't do anything like that.
context: Niizuma-kun...?\This is quite a room.\About moving to Tokyo, I actually have one condition.\Condition?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\WWhat are you talking about, Niizuma-kun?!\Obviously we can't do anything like that. response:	What a cruel joke...
context: This is quite a room.\About moving to Tokyo, I actually have one condition.\Condition?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\WWhat are you talking about, Niizuma-kun?!\Obviously we can't do anything like that.\What a cruel joke... response:	I want that to be my motivation, though.
context: About moving to Tokyo, I actually have one condition.\Condition?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\WWhat are you talking about, Niizuma-kun?!\Obviously we can't do anything like that.\What a cruel joke...\I want that to be my motivation, though. response:	The most popular author?
context: Condition?\If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\WWhat are you talking about, Niizuma-kun?!\Obviously we can't do anything like that.\What a cruel joke...\I want that to be my motivation, though.\The most popular author? response:	That's quite a wonderful goal.
context: If I become the number one most popular author in Jack,\please give me the power to end one manga that I hate.\WWhat are you talking about, Niizuma-kun?!\Obviously we can't do anything like that.\What a cruel joke...\I want that to be my motivation, though.\The most popular author?\That's quite a wonderful goal. response:	Once you learn the harshness of being a pro firsthand
context: please give me the power to end one manga that I hate.\WWhat are you talking about, Niizuma-kun?!\Obviously we can't do anything like that.\What a cruel joke...\I want that to be my motivation, though.\The most popular author?\That's quite a wonderful goal.\Once you learn the harshness of being a pro firsthand response:	and you've risen to the true forefront of Jack,
context: WWhat are you talking about, Niizuma-kun?!\Obviously we can't do anything like that.\What a cruel joke...\I want that to be my motivation, though.\The most popular author?\That's quite a wonderful goal.\Once you learn the harshness of being a pro firsthand\and you've risen to the true forefront of Jack, response:	if you still think that,
context: Obviously we can't do anything like that.\What a cruel joke...\I want that to be my motivation, though.\The most popular author?\That's quite a wonderful goal.\Once you learn the harshness of being a pro firsthand\and you've risen to the true forefront of Jack,\if you still think that, response:	then at that time, ask me again.
context: What a cruel joke...\I want that to be my motivation, though.\The most popular author?\That's quite a wonderful goal.\Once you learn the harshness of being a pro firsthand\and you've risen to the true forefront of Jack,\if you still think that,\then at that time, ask me again. response:	I see.
context: I want that to be my motivation, though.\The most popular author?\That's quite a wonderful goal.\Once you learn the harshness of being a pro firsthand\and you've risen to the true forefront of Jack,\if you still think that,\then at that time, ask me again.\I see. response:	I understand. I'll go to Tokyo.
context: The most popular author?\That's quite a wonderful goal.\Once you learn the harshness of being a pro firsthand\and you've risen to the true forefront of Jack,\if you still think that,\then at that time, ask me again.\I see.\I understand. I'll go to Tokyo. response:	The fact that he backed off so easily means he's still a kid...
context: That's quite a wonderful goal.\Once you learn the harshness of being a pro firsthand\and you've risen to the true forefront of Jack,\if you still think that,\then at that time, ask me again.\I see.\I understand. I'll go to Tokyo.\The fact that he backed off so easily means he's still a kid... response:	No, could it be that he was testing me...?
context: Once you learn the harshness of being a pro firsthand\and you've risen to the true forefront of Jack,\if you still think that,\then at that time, ask me again.\I see.\I understand. I'll go to Tokyo.\The fact that he backed off so easily means he's still a kid...\No, could it be that he was testing me...? response:	Saikou.
context: and you've risen to the true forefront of Jack,\if you still think that,\then at that time, ask me again.\I see.\I understand. I'll go to Tokyo.\The fact that he backed off so easily means he's still a kid...\No, could it be that he was testing me...?\Saikou. response:	They're just in text form, but I wrote out summaries for a bunch of stories.
context: if you still think that,\then at that time, ask me again.\I see.\I understand. I'll go to Tokyo.\The fact that he backed off so easily means he's still a kid...\No, could it be that he was testing me...?\Saikou.\They're just in text form, but I wrote out summaries for a bunch of stories. response:	Tell me if you like any of them.
context: then at that time, ask me again.\I see.\I understand. I'll go to Tokyo.\The fact that he backed off so easily means he's still a kid...\No, could it be that he was testing me...?\Saikou.\They're just in text form, but I wrote out summaries for a bunch of stories.\Tell me if you like any of them. response:	What did you think?
context: I see.\I understand. I'll go to Tokyo.\The fact that he backed off so easily means he's still a kid...\No, could it be that he was testing me...?\Saikou.\They're just in text form, but I wrote out summaries for a bunch of stories.\Tell me if you like any of them.\What did you think? response:	Well, none of them were boring, but...
context: I understand. I'll go to Tokyo.\The fact that he backed off so easily means he's still a kid...\No, could it be that he was testing me...?\Saikou.\They're just in text form, but I wrote out summaries for a bunch of stories.\Tell me if you like any of them.\What did you think?\Well, none of them were boring, but... response:	Honestly, in terms of what we could use...
context: The fact that he backed off so easily means he's still a kid...\No, could it be that he was testing me...?\Saikou.\They're just in text form, but I wrote out summaries for a bunch of stories.\Tell me if you like any of them.\What did you think?\Well, none of them were boring, but...\Honestly, in terms of what we could use... response:	I get it.
context: No, could it be that he was testing me...?\Saikou.\They're just in text form, but I wrote out summaries for a bunch of stories.\Tell me if you like any of them.\What did you think?\Well, none of them were boring, but...\Honestly, in terms of what we could use...\I get it. response:	Then try these.
context: Saikou.\They're just in text form, but I wrote out summaries for a bunch of stories.\Tell me if you like any of them.\What did you think?\Well, none of them were boring, but...\Honestly, in terms of what we could use...\I get it.\Then try these. response:	I wrote these four just now.
context: They're just in text form, but I wrote out summaries for a bunch of stories.\Tell me if you like any of them.\What did you think?\Well, none of them were boring, but...\Honestly, in terms of what we could use...\I get it.\Then try these.\I wrote these four just now. response:	That was fast.
context: Tell me if you like any of them.\What did you think?\Well, none of them were boring, but...\Honestly, in terms of what we could use...\I get it.\Then try these.\I wrote these four just now.\That was fast. response:	Was there anything you thought was particularly good?
context: What did you think?\Well, none of them were boring, but...\Honestly, in terms of what we could use...\I get it.\Then try these.\I wrote these four just now.\That was fast.\Was there anything you thought was particularly good? response:	Of what you've done so far, I'm thinking Usagi to Camera.
context: Well, none of them were boring, but...\Honestly, in terms of what we could use...\I get it.\Then try these.\I wrote these four just now.\That was fast.\Was there anything you thought was particularly good?\Of what you've done so far, I'm thinking Usagi to Camera. response:	TL Note: Usagi to Camera = Rabbit and Camera
context: Honestly, in terms of what we could use...\I get it.\Then try these.\I wrote these four just now.\That was fast.\Was there anything you thought was particularly good?\Of what you've done so far, I'm thinking Usagi to Camera.\TL Note: Usagi to Camera = Rabbit and Camera response:	That one?
context: I get it.\Then try these.\I wrote these four just now.\That was fast.\Was there anything you thought was particularly good?\Of what you've done so far, I'm thinking Usagi to Camera.\TL Note: Usagi to Camera = Rabbit and Camera\That one? response:	That didn't really stand out to me.
context: Then try these.\I wrote these four just now.\That was fast.\Was there anything you thought was particularly good?\Of what you've done so far, I'm thinking Usagi to Camera.\TL Note: Usagi to Camera = Rabbit and Camera\That one?\That didn't really stand out to me. response:	Want to try looking in the library?
context: I wrote these four just now.\That was fast.\Was there anything you thought was particularly good?\Of what you've done so far, I'm thinking Usagi to Camera.\TL Note: Usagi to Camera = Rabbit and Camera\That one?\That didn't really stand out to me.\Want to try looking in the library? response:	Hey, are you all right?
context: That was fast.\Was there anything you thought was particularly good?\Of what you've done so far, I'm thinking Usagi to Camera.\TL Note: Usagi to Camera = Rabbit and Camera\That one?\That didn't really stand out to me.\Want to try looking in the library?\Hey, are you all right? response:	I'm fine...
context: Was there anything you thought was particularly good?\Of what you've done so far, I'm thinking Usagi to Camera.\TL Note: Usagi to Camera = Rabbit and Camera\That one?\That didn't really stand out to me.\Want to try looking in the library?\Hey, are you all right?\I'm fine... response:	I wasn't looking where I was going.
context: Of what you've done so far, I'm thinking Usagi to Camera.\TL Note: Usagi to Camera = Rabbit and Camera\That one?\That didn't really stand out to me.\Want to try looking in the library?\Hey, are you all right?\I'm fine...\I wasn't looking where I was going. response:	Well, see you tomorrow.
context: TL Note: Usagi to Camera = Rabbit and Camera\That one?\That didn't really stand out to me.\Want to try looking in the library?\Hey, are you all right?\I'm fine...\I wasn't looking where I was going.\Well, see you tomorrow. response:	See ya.
context: That one?\That didn't really stand out to me.\Want to try looking in the library?\Hey, are you all right?\I'm fine...\I wasn't looking where I was going.\Well, see you tomorrow.\See ya. response:	Shuujin!
context: That didn't really stand out to me.\Want to try looking in the library?\Hey, are you all right?\I'm fine...\I wasn't looking where I was going.\Well, see you tomorrow.\See ya.\Shuujin! response:	Sorry...
context: Want to try looking in the library?\Hey, are you all right?\I'm fine...\I wasn't looking where I was going.\Well, see you tomorrow.\See ya.\Shuujin!\Sorry... response:	About what?
context: Hey, are you all right?\I'm fine...\I wasn't looking where I was going.\Well, see you tomorrow.\See ya.\Shuujin!\Sorry...\About what? response:	When it gets down to it, this is because of my selfishness.
context: I'm fine...\I wasn't looking where I was going.\Well, see you tomorrow.\See ya.\Shuujin!\Sorry...\About what?\When it gets down to it, this is because of my selfishness. response:	But still...
context: I wasn't looking where I was going.\Well, see you tomorrow.\See ya.\Shuujin!\Sorry...\About what?\When it gets down to it, this is because of my selfishness.\But still... response:	you're working incredibly hard, Shuujin, so...
context: Well, see you tomorrow.\See ya.\Shuujin!\Sorry...\About what?\When it gets down to it, this is because of my selfishness.\But still...\you're working incredibly hard, Shuujin, so... response:	I'm sorry.
context: See ya.\Shuujin!\Sorry...\About what?\When it gets down to it, this is because of my selfishness.\But still...\you're working incredibly hard, Shuujin, so...\I'm sorry. response:	Don't get me wrong.
context: Shuujin!\Sorry...\About what?\When it gets down to it, this is because of my selfishness.\But still...\you're working incredibly hard, Shuujin, so...\I'm sorry.\Don't get me wrong. response:	I still want to support you and Azuki.
context: Sorry...\About what?\When it gets down to it, this is because of my selfishness.\But still...\you're working incredibly hard, Shuujin, so...\I'm sorry.\Don't get me wrong.\I still want to support you and Azuki. response:	It was pretty frustrating for me, not even getting to the final selection for the monthly award.
context: About what?\When it gets down to it, this is because of my selfishness.\But still...\you're working incredibly hard, Shuujin, so...\I'm sorry.\Don't get me wrong.\I still want to support you and Azuki.\It was pretty frustrating for me, not even getting to the final selection for the monthly award. response:	But I've really got a we'll do it this time kind of feeling, so I've been having fun.
context: When it gets down to it, this is because of my selfishness.\But still...\you're working incredibly hard, Shuujin, so...\I'm sorry.\Don't get me wrong.\I still want to support you and Azuki.\It was pretty frustrating for me, not even getting to the final selection for the monthly award.\But I've really got a we'll do it this time kind of feeling, so I've been having fun. response:	Acting weird?
context: But still...\you're working incredibly hard, Shuujin, so...\I'm sorry.\Don't get me wrong.\I still want to support you and Azuki.\It was pretty frustrating for me, not even getting to the final selection for the monthly award.\But I've really got a we'll do it this time kind of feeling, so I've been having fun.\Acting weird? response:	Really weird.
context: you're working incredibly hard, Shuujin, so...\I'm sorry.\Don't get me wrong.\I still want to support you and Azuki.\It was pretty frustrating for me, not even getting to the final selection for the monthly award.\But I've really got a we'll do it this time kind of feeling, so I've been having fun.\Acting weird?\Really weird. response:	I've been getting the feeling that Takagi's totally exhausted.
context: I'm sorry.\Don't get me wrong.\I still want to support you and Azuki.\It was pretty frustrating for me, not even getting to the final selection for the monthly award.\But I've really got a we'll do it this time kind of feeling, so I've been having fun.\Acting weird?\Really weird.\I've been getting the feeling that Takagi's totally exhausted. response:	Is that so?
context: Don't get me wrong.\I still want to support you and Azuki.\It was pretty frustrating for me, not even getting to the final selection for the monthly award.\But I've really got a we'll do it this time kind of feeling, so I've been having fun.\Acting weird?\Really weird.\I've been getting the feeling that Takagi's totally exhausted.\Is that so? response:	The top of our class is pulling all-nighters?
context: I still want to support you and Azuki.\It was pretty frustrating for me, not even getting to the final selection for the monthly award.\But I've really got a we'll do it this time kind of feeling, so I've been having fun.\Acting weird?\Really weird.\I've been getting the feeling that Takagi's totally exhausted.\Is that so?\The top of our class is pulling all-nighters? response:	Do you think he has to study that hard to get into the school he wants to go to?
context: It was pretty frustrating for me, not even getting to the final selection for the monthly award.\But I've really got a we'll do it this time kind of feeling, so I've been having fun.\Acting weird?\Really weird.\I've been getting the feeling that Takagi's totally exhausted.\Is that so?\The top of our class is pulling all-nighters?\Do you think he has to study that hard to get into the school he wants to go to? response:	Hey, Miho, are you listening?
context: But I've really got a we'll do it this time kind of feeling, so I've been having fun.\Acting weird?\Really weird.\I've been getting the feeling that Takagi's totally exhausted.\Is that so?\The top of our class is pulling all-nighters?\Do you think he has to study that hard to get into the school he wants to go to?\Hey, Miho, are you listening? response:	I... am going to become a mangaka! I came to confess that to you!
context: Acting weird?\Really weird.\I've been getting the feeling that Takagi's totally exhausted.\Is that so?\The top of our class is pulling all-nighters?\Do you think he has to study that hard to get into the school he wants to go to?\Hey, Miho, are you listening?\I... am going to become a mangaka! I came to confess that to you! response:	I'm going to be drawing the art, and he's doing the stories.
context: Really weird.\I've been getting the feeling that Takagi's totally exhausted.\Is that so?\The top of our class is pulling all-nighters?\Do you think he has to study that hard to get into the school he wants to go to?\Hey, Miho, are you listening?\I... am going to become a mangaka! I came to confess that to you!\I'm going to be drawing the art, and he's doing the stories. response:	Hello?
context: I've been getting the feeling that Takagi's totally exhausted.\Is that so?\The top of our class is pulling all-nighters?\Do you think he has to study that hard to get into the school he wants to go to?\Hey, Miho, are you listening?\I... am going to become a mangaka! I came to confess that to you!\I'm going to be drawing the art, and he's doing the stories.\Hello? response:	Can you hear me?
context: Is that so?\The top of our class is pulling all-nighters?\Do you think he has to study that hard to get into the school he wants to go to?\Hey, Miho, are you listening?\I... am going to become a mangaka! I came to confess that to you!\I'm going to be drawing the art, and he's doing the stories.\Hello?\Can you hear me? response:	Hey!
context: The top of our class is pulling all-nighters?\Do you think he has to study that hard to get into the school he wants to go to?\Hey, Miho, are you listening?\I... am going to become a mangaka! I came to confess that to you!\I'm going to be drawing the art, and he's doing the stories.\Hello?\Can you hear me?\Hey! response:	Kaya, you sure are paying close attention to Takagi-kun, aren't you?
context: Do you think he has to study that hard to get into the school he wants to go to?\Hey, Miho, are you listening?\I... am going to become a mangaka! I came to confess that to you!\I'm going to be drawing the art, and he's doing the stories.\Hello?\Can you hear me?\Hey!\Kaya, you sure are paying close attention to Takagi-kun, aren't you? response:	So you like him that much?
context: Hey, Miho, are you listening?\I... am going to become a mangaka! I came to confess that to you!\I'm going to be drawing the art, and he's doing the stories.\Hello?\Can you hear me?\Hey!\Kaya, you sure are paying close attention to Takagi-kun, aren't you?\So you like him that much? response:	What are you talking about?!
context: I... am going to become a mangaka! I came to confess that to you!\I'm going to be drawing the art, and he's doing the stories.\Hello?\Can you hear me?\Hey!\Kaya, you sure are paying close attention to Takagi-kun, aren't you?\So you like him that much?\What are you talking about?! response:	I'm just a little interested in him because he confessed to me!
context: I'm going to be drawing the art, and he's doing the stories.\Hello?\Can you hear me?\Hey!\Kaya, you sure are paying close attention to Takagi-kun, aren't you?\So you like him that much?\What are you talking about?!\I'm just a little interested in him because he confessed to me! response:	Hm?
context: Hello?\Can you hear me?\Hey!\Kaya, you sure are paying close attention to Takagi-kun, aren't you?\So you like him that much?\What are you talking about?!\I'm just a little interested in him because he confessed to me!\Hm? response:	What's that Hm supposed to mean?
context: Can you hear me?\Hey!\Kaya, you sure are paying close attention to Takagi-kun, aren't you?\So you like him that much?\What are you talking about?!\I'm just a little interested in him because he confessed to me!\Hm?\What's that Hm supposed to mean? response:	What did you think?
context: Hey!\Kaya, you sure are paying close attention to Takagi-kun, aren't you?\So you like him that much?\What are you talking about?!\I'm just a little interested in him because he confessed to me!\Hm?\What's that Hm supposed to mean?\What did you think? response:	Ichi Oku Bun No is interesting!
context: Kaya, you sure are paying close attention to Takagi-kun, aren't you?\So you like him that much?\What are you talking about?!\I'm just a little interested in him because he confessed to me!\Hm?\What's that Hm supposed to mean?\What did you think?\Ichi Oku Bun No is interesting! response:	TL Note: Ichi Oku Bun No = Out of 100 Million
context: So you like him that much?\What are you talking about?!\I'm just a little interested in him because he confessed to me!\Hm?\What's that Hm supposed to mean?\What did you think?\Ichi Oku Bun No is interesting!\TL Note: Ichi Oku Bun No = Out of 100 Million response:	That's the one I had confidence in!
