context: I've gathered you all here for one reason. response:	At this point we shall now commence Operation High Tension Syndrome.
context: I've gathered you all here for one reason.\At this point we shall now commence Operation High Tension Syndrome. response:	Why is there no reaction?
context: I've gathered you all here for one reason.\At this point we shall now commence Operation High Tension Syndrome.\Why is there no reaction? response:	This is the first time I've heard of this operation.
context: I've gathered you all here for one reason.\At this point we shall now commence Operation High Tension Syndrome.\Why is there no reaction?\This is the first time I've heard of this operation. response:	Of course. I only recently came up with it.
context: I've gathered you all here for one reason.\At this point we shall now commence Operation High Tension Syndrome.\Why is there no reaction?\This is the first time I've heard of this operation.\Of course. I only recently came up with it. response:	Yurippe, what kind of operation is it?
context: I've gathered you all here for one reason.\At this point we shall now commence Operation High Tension Syndrome.\Why is there no reaction?\This is the first time I've heard of this operation.\Of course. I only recently came up with it.\Yurippe, what kind of operation is it? response:	It's a simple one.
context: I've gathered you all here for one reason.\At this point we shall now commence Operation High Tension Syndrome.\Why is there no reaction?\This is the first time I've heard of this operation.\Of course. I only recently came up with it.\Yurippe, what kind of operation is it?\It's a simple one. response:	For one day, you will conduct everything at high tension.
context: I've gathered you all here for one reason.\At this point we shall now commence Operation High Tension Syndrome.\Why is there no reaction?\This is the first time I've heard of this operation.\Of course. I only recently came up with it.\Yurippe, what kind of operation is it?\It's a simple one.\For one day, you will conduct everything at high tension. response:	That's all.
context: At this point we shall now commence Operation High Tension Syndrome.\Why is there no reaction?\This is the first time I've heard of this operation.\Of course. I only recently came up with it.\Yurippe, what kind of operation is it?\It's a simple one.\For one day, you will conduct everything at high tension.\That's all. response:	Everything you do will be at high tension.
context: Why is there no reaction?\This is the first time I've heard of this operation.\Of course. I only recently came up with it.\Yurippe, what kind of operation is it?\It's a simple one.\For one day, you will conduct everything at high tension.\That's all.\Everything you do will be at high tension. response:	When moving between classes, a full - speed sprint.
context: This is the first time I've heard of this operation.\Of course. I only recently came up with it.\Yurippe, what kind of operation is it?\It's a simple one.\For one day, you will conduct everything at high tension.\That's all.\Everything you do will be at high tension.\When moving between classes, a full - speed sprint. response:	When drinking juice, chugging.
context: Of course. I only recently came up with it.\Yurippe, what kind of operation is it?\It's a simple one.\For one day, you will conduct everything at high tension.\That's all.\Everything you do will be at high tension.\When moving between classes, a full - speed sprint.\When drinking juice, chugging. response:	When talking to each other, yelling.
context: Yurippe, what kind of operation is it?\It's a simple one.\For one day, you will conduct everything at high tension.\That's all.\Everything you do will be at high tension.\When moving between classes, a full - speed sprint.\When drinking juice, chugging.\When talking to each other, yelling. response:	And don't forget to smile!
context: It's a simple one.\For one day, you will conduct everything at high tension.\That's all.\Everything you do will be at high tension.\When moving between classes, a full - speed sprint.\When drinking juice, chugging.\When talking to each other, yelling.\And don't forget to smile! response:	You will conduct everything at high tension.
context: For one day, you will conduct everything at high tension.\That's all.\Everything you do will be at high tension.\When moving between classes, a full - speed sprint.\When drinking juice, chugging.\When talking to each other, yelling.\And don't forget to smile!\You will conduct everything at high tension. response:	We act as though we're spending a fulfilled school life.
context: That's all.\Everything you do will be at high tension.\When moving between classes, a full - speed sprint.\When drinking juice, chugging.\When talking to each other, yelling.\And don't forget to smile!\You will conduct everything at high tension.\We act as though we're spending a fulfilled school life. response:	And what will that accomplish?
context: Everything you do will be at high tension.\When moving between classes, a full - speed sprint.\When drinking juice, chugging.\When talking to each other, yelling.\And don't forget to smile!\You will conduct everything at high tension.\We act as though we're spending a fulfilled school life.\And what will that accomplish? response:	If we live a fulfilled life, we'll disappear.
context: When moving between classes, a full - speed sprint.\When drinking juice, chugging.\When talking to each other, yelling.\And don't forget to smile!\You will conduct everything at high tension.\We act as though we're spending a fulfilled school life.\And what will that accomplish?\If we live a fulfilled life, we'll disappear. response:	No, we won't disappear.
context: When drinking juice, chugging.\When talking to each other, yelling.\And don't forget to smile!\You will conduct everything at high tension.\We act as though we're spending a fulfilled school life.\And what will that accomplish?\If we live a fulfilled life, we'll disappear.\No, we won't disappear. response:	If we do as the operation says, we'll be faking high tension all day, like we've gone mad.
