context: Staff Room response:	Goodbye.
context: Staff Room\Goodbye. response:	Huh? Where's my bag?
context: Staff Room\Goodbye.\Huh? Where's my bag? response:	Wait...
context: Staff Room\Goodbye.\Huh? Where's my bag?\Wait... response:	What was that noise?
context: Staff Room\Goodbye.\Huh? Where's my bag?\Wait...\What was that noise? response:	Overlap
context: Staff Room\Goodbye.\Huh? Where's my bag?\Wait...\What was that noise?\Overlap response:	You're awake?
context: Staff Room\Goodbye.\Huh? Where's my bag?\Wait...\What was that noise?\Overlap\You're awake? response:	This is the nurse's office.
context: Staff Room\Goodbye.\Huh? Where's my bag?\Wait...\What was that noise?\Overlap\You're awake?\This is the nurse's office. response:	You two were found collapsed by the stairs.
context: Goodbye.\Huh? Where's my bag?\Wait...\What was that noise?\Overlap\You're awake?\This is the nurse's office.\You two were found collapsed by the stairs. response:	What happened?
context: Huh? Where's my bag?\Wait...\What was that noise?\Overlap\You're awake?\This is the nurse's office.\You two were found collapsed by the stairs.\What happened? response:	Did you miss your step?
context: Wait...\What was that noise?\Overlap\You're awake?\This is the nurse's office.\You two were found collapsed by the stairs.\What happened?\Did you miss your step? response:	Yeah.
context: What was that noise?\Overlap\You're awake?\This is the nurse's office.\You two were found collapsed by the stairs.\What happened?\Did you miss your step?\Yeah. response:	I guess I sorta slipped.
context: Overlap\You're awake?\This is the nurse's office.\You two were found collapsed by the stairs.\What happened?\Did you miss your step?\Yeah.\I guess I sorta slipped. response:	Kaizaki-kun, you shielded Kariu-san from the fall.
context: You're awake?\This is the nurse's office.\You two were found collapsed by the stairs.\What happened?\Did you miss your step?\Yeah.\I guess I sorta slipped.\Kaizaki-kun, you shielded Kariu-san from the fall. response:	Nicely done.
context: This is the nurse's office.\You two were found collapsed by the stairs.\What happened?\Did you miss your step?\Yeah.\I guess I sorta slipped.\Kaizaki-kun, you shielded Kariu-san from the fall.\Nicely done. response:	Good boy.
context: You two were found collapsed by the stairs.\What happened?\Did you miss your step?\Yeah.\I guess I sorta slipped.\Kaizaki-kun, you shielded Kariu-san from the fall.\Nicely done.\Good boy. response:	* Actually 27
context: What happened?\Did you miss your step?\Yeah.\I guess I sorta slipped.\Kaizaki-kun, you shielded Kariu-san from the fall.\Nicely done.\Good boy.\* Actually 27 response:	Boy?
context: Did you miss your step?\Yeah.\I guess I sorta slipped.\Kaizaki-kun, you shielded Kariu-san from the fall.\Nicely done.\Good boy.\* Actually 27\Boy? response:	Inukai-sensei, Inukai-sensei, please come to the staff room.
context: Yeah.\I guess I sorta slipped.\Kaizaki-kun, you shielded Kariu-san from the fall.\Nicely done.\Good boy.\* Actually 27\Boy?\Inukai-sensei, Inukai-sensei, please come to the staff room. response:	Oh, sorry.
context: I guess I sorta slipped.\Kaizaki-kun, you shielded Kariu-san from the fall.\Nicely done.\Good boy.\* Actually 27\Boy?\Inukai-sensei, Inukai-sensei, please come to the staff room.\Oh, sorry. response:	I'll be back in a minute. Can you stay with her?
context: Kaizaki-kun, you shielded Kariu-san from the fall.\Nicely done.\Good boy.\* Actually 27\Boy?\Inukai-sensei, Inukai-sensei, please come to the staff room.\Oh, sorry.\I'll be back in a minute. Can you stay with her? response:	Sure thing.
context: Nicely done.\Good boy.\* Actually 27\Boy?\Inukai-sensei, Inukai-sensei, please come to the staff room.\Oh, sorry.\I'll be back in a minute. Can you stay with her?\Sure thing. response:	Oh, right.
context: Good boy.\* Actually 27\Boy?\Inukai-sensei, Inukai-sensei, please come to the staff room.\Oh, sorry.\I'll be back in a minute. Can you stay with her?\Sure thing.\Oh, right. response:	Your classmate, Hishiro-san, let us know.
context: * Actually 27\Boy?\Inukai-sensei, Inukai-sensei, please come to the staff room.\Oh, sorry.\I'll be back in a minute. Can you stay with her?\Sure thing.\Oh, right.\Your classmate, Hishiro-san, let us know. response:	She carried your stuff here, too.
context: Boy?\Inukai-sensei, Inukai-sensei, please come to the staff room.\Oh, sorry.\I'll be back in a minute. Can you stay with her?\Sure thing.\Oh, right.\Your classmate, Hishiro-san, let us know.\She carried your stuff here, too. response:	Thank her later, okay?
context: Inukai-sensei, Inukai-sensei, please come to the staff room.\Oh, sorry.\I'll be back in a minute. Can you stay with her?\Sure thing.\Oh, right.\Your classmate, Hishiro-san, let us know.\She carried your stuff here, too.\Thank her later, okay? response:	Hishiro-san...
context: Oh, sorry.\I'll be back in a minute. Can you stay with her?\Sure thing.\Oh, right.\Your classmate, Hishiro-san, let us know.\She carried your stuff here, too.\Thank her later, okay?\Hishiro-san... response:	I knew it... that was Hishiro-san's.
context: I'll be back in a minute. Can you stay with her?\Sure thing.\Oh, right.\Your classmate, Hishiro-san, let us know.\She carried your stuff here, too.\Thank her later, okay?\Hishiro-san...\I knew it... that was Hishiro-san's. response:	Why did Kariu have it?
context: Sure thing.\Oh, right.\Your classmate, Hishiro-san, let us know.\She carried your stuff here, too.\Thank her later, okay?\Hishiro-san...\I knew it... that was Hishiro-san's.\Why did Kariu have it? response:	What was she trying to do?
context: Oh, right.\Your classmate, Hishiro-san, let us know.\She carried your stuff here, too.\Thank her later, okay?\Hishiro-san...\I knew it... that was Hishiro-san's.\Why did Kariu have it?\What was she trying to do? response:	She's got top sales again.
context: Your classmate, Hishiro-san, let us know.\She carried your stuff here, too.\Thank her later, okay?\Hishiro-san...\I knew it... that was Hishiro-san's.\Why did Kariu have it?\What was she trying to do?\She's got top sales again. response:	We'll lose face if we let a woman trounce us like this.
context: She carried your stuff here, too.\Thank her later, okay?\Hishiro-san...\I knew it... that was Hishiro-san's.\Why did Kariu have it?\What was she trying to do?\She's got top sales again.\We'll lose face if we let a woman trounce us like this. response:	Why won't she just quit?
context: Thank her later, okay?\Hishiro-san...\I knew it... that was Hishiro-san's.\Why did Kariu have it?\What was she trying to do?\She's got top sales again.\We'll lose face if we let a woman trounce us like this.\Why won't she just quit? response:	Hasn't she worked it out yet?
context: Hishiro-san...\I knew it... that was Hishiro-san's.\Why did Kariu have it?\What was she trying to do?\She's got top sales again.\We'll lose face if we let a woman trounce us like this.\Why won't she just quit?\Hasn't she worked it out yet? response:	With all we've done? She knows.
context: I knew it... that was Hishiro-san's.\Why did Kariu have it?\What was she trying to do?\She's got top sales again.\We'll lose face if we let a woman trounce us like this.\Why won't she just quit?\Hasn't she worked it out yet?\With all we've done? She knows. response:	Knock it off. The new guy's here.
context: Why did Kariu have it?\What was she trying to do?\She's got top sales again.\We'll lose face if we let a woman trounce us like this.\Why won't she just quit?\Hasn't she worked it out yet?\With all we've done? She knows.\Knock it off. The new guy's here. response:	Oh.
context: What was she trying to do?\She's got top sales again.\We'll lose face if we let a woman trounce us like this.\Why won't she just quit?\Hasn't she worked it out yet?\With all we've done? She knows.\Knock it off. The new guy's here.\Oh. response:	She's in charge of his training, right?
context: She's got top sales again.\We'll lose face if we let a woman trounce us like this.\Why won't she just quit?\Hasn't she worked it out yet?\With all we've done? She knows.\Knock it off. The new guy's here.\Oh.\She's in charge of his training, right? response:	Don't rat us out, Kaizaki.
context: We'll lose face if we let a woman trounce us like this.\Why won't she just quit?\Hasn't she worked it out yet?\With all we've done? She knows.\Knock it off. The new guy's here.\Oh.\She's in charge of his training, right?\Don't rat us out, Kaizaki. response:	I apologize.
context: Why won't she just quit?\Hasn't she worked it out yet?\With all we've done? She knows.\Knock it off. The new guy's here.\Oh.\She's in charge of his training, right?\Don't rat us out, Kaizaki.\I apologize. response:	We'll make absolutely sure nothing like this happens again.
context: Hasn't she worked it out yet?\With all we've done? She knows.\Knock it off. The new guy's here.\Oh.\She's in charge of his training, right?\Don't rat us out, Kaizaki.\I apologize.\We'll make absolutely sure nothing like this happens again. response:	Please, let us make it up to you.
context: With all we've done? She knows.\Knock it off. The new guy's here.\Oh.\She's in charge of his training, right?\Don't rat us out, Kaizaki.\I apologize.\We'll make absolutely sure nothing like this happens again.\Please, let us make it up to you. response:	You know this mess wasn't your fault!
context: Knock it off. The new guy's here.\Oh.\She's in charge of his training, right?\Don't rat us out, Kaizaki.\I apologize.\We'll make absolutely sure nothing like this happens again.\Please, let us make it up to you.\You know this mess wasn't your fault! response:	We went over the order several times
context: Oh.\She's in charge of his training, right?\Don't rat us out, Kaizaki.\I apologize.\We'll make absolutely sure nothing like this happens again.\Please, let us make it up to you.\You know this mess wasn't your fault!\We went over the order several times response:	while you were showing me the ropes!
context: She's in charge of his training, right?\Don't rat us out, Kaizaki.\I apologize.\We'll make absolutely sure nothing like this happens again.\Please, let us make it up to you.\You know this mess wasn't your fault!\We went over the order several times\while you were showing me the ropes! response:	Someone must've...
context: Don't rat us out, Kaizaki.\I apologize.\We'll make absolutely sure nothing like this happens again.\Please, let us make it up to you.\You know this mess wasn't your fault!\We went over the order several times\while you were showing me the ropes!\Someone must've... response:	I know.
