context: Go, go, let's go! Let's go Date Tech! response:	Well? Are they winning?!
context: Go, go, let's go! Let's go Date Tech!\Well? Are they winning?! response:	Don't push.
context: Go, go, let's go! Let's go Date Tech!\Well? Are they winning?!\Don't push. response:	Date Tech Aoba Johsai
context: Go, go, let's go! Let's go Date Tech!\Well? Are they winning?!\Don't push.\Date Tech Aoba Johsai response:	Wait. They're still only two points ahead.
context: Go, go, let's go! Let's go Date Tech!\Well? Are they winning?!\Don't push.\Date Tech Aoba Johsai\Wait. They're still only two points ahead. response:	They're on the second set right now.
context: Go, go, let's go! Let's go Date Tech!\Well? Are they winning?!\Don't push.\Date Tech Aoba Johsai\Wait. They're still only two points ahead.\They're on the second set right now. response:	Who got the first set?
context: Go, go, let's go! Let's go Date Tech!\Well? Are they winning?!\Don't push.\Date Tech Aoba Johsai\Wait. They're still only two points ahead.\They're on the second set right now.\Who got the first set? response:	Um...
context: Go, go, let's go! Let's go Date Tech!\Well? Are they winning?!\Don't push.\Date Tech Aoba Johsai\Wait. They're still only two points ahead.\They're on the second set right now.\Who got the first set?\Um... response:	Apparently Seijoh got the first set.
context: Well? Are they winning?!\Don't push.\Date Tech Aoba Johsai\Wait. They're still only two points ahead.\They're on the second set right now.\Who got the first set?\Um...\Apparently Seijoh got the first set. response:	Ah, Karasuno!
context: Don't push.\Date Tech Aoba Johsai\Wait. They're still only two points ahead.\They're on the second set right now.\Who got the first set?\Um...\Apparently Seijoh got the first set.\Ah, Karasuno! response:	H-Hello, there...
context: Date Tech Aoba Johsai\Wait. They're still only two points ahead.\They're on the second set right now.\Who got the first set?\Um...\Apparently Seijoh got the first set.\Ah, Karasuno!\H-Hello, there... response:	Hey.
context: Wait. They're still only two points ahead.\They're on the second set right now.\Who got the first set?\Um...\Apparently Seijoh got the first set.\Ah, Karasuno!\H-Hello, there...\Hey. response:	Heyo.
context: They're on the second set right now.\Who got the first set?\Um...\Apparently Seijoh got the first set.\Ah, Karasuno!\H-Hello, there...\Hey.\Heyo. response:	Heyo.
context: Who got the first set?\Um...\Apparently Seijoh got the first set.\Ah, Karasuno!\H-Hello, there...\Hey.\Heyo.\Heyo. response:	Heyo.
context: Um...\Apparently Seijoh got the first set.\Ah, Karasuno!\H-Hello, there...\Hey.\Heyo.\Heyo.\Heyo. response:	Hey.
context: Apparently Seijoh got the first set.\Ah, Karasuno!\H-Hello, there...\Hey.\Heyo.\Heyo.\Heyo.\Hey. response:	Karasuno's got some third-years left.
context: Ah, Karasuno!\H-Hello, there...\Hey.\Heyo.\Heyo.\Heyo.\Hey.\Karasuno's got some third-years left. response:	Yeah.
context: H-Hello, there...\Hey.\Heyo.\Heyo.\Heyo.\Hey.\Karasuno's got some third-years left.\Yeah. response:	How's our new team doing?
context: Hey.\Heyo.\Heyo.\Heyo.\Hey.\Karasuno's got some third-years left.\Yeah.\How's our new team doing? response:	Makki!
context: Heyo.\Heyo.\Heyo.\Hey.\Karasuno's got some third-years left.\Yeah.\How's our new team doing?\Makki! response:	Damn it... They're seeing right through them.
context: Heyo.\Heyo.\Hey.\Karasuno's got some third-years left.\Yeah.\How's our new team doing?\Makki!\Damn it... They're seeing right through them. response:	Rule the Court
context: Heyo.\Hey.\Karasuno's got some third-years left.\Yeah.\How's our new team doing?\Makki!\Damn it... They're seeing right through them.\Rule the Court response:	Great, great, Takahiro! Push it, push it, Takahiro! One more!
context: Hey.\Karasuno's got some third-years left.\Yeah.\How's our new team doing?\Makki!\Damn it... They're seeing right through them.\Rule the Court\Great, great, Takahiro! Push it, push it, Takahiro! One more! response:	Date Tech Aoba Johsai
context: Karasuno's got some third-years left.\Yeah.\How's our new team doing?\Makki!\Damn it... They're seeing right through them.\Rule the Court\Great, great, Takahiro! Push it, push it, Takahiro! One more!\Date Tech Aoba Johsai response:	Hanamaki, nice serve!
context: Yeah.\How's our new team doing?\Makki!\Damn it... They're seeing right through them.\Rule the Court\Great, great, Takahiro! Push it, push it, Takahiro! One more!\Date Tech Aoba Johsai\Hanamaki, nice serve! response:	Sorry!
context: How's our new team doing?\Makki!\Damn it... They're seeing right through them.\Rule the Court\Great, great, Takahiro! Push it, push it, Takahiro! One more!\Date Tech Aoba Johsai\Hanamaki, nice serve!\Sorry! response:	Kogane!
context: Makki!\Damn it... They're seeing right through them.\Rule the Court\Great, great, Takahiro! Push it, push it, Takahiro! One more!\Date Tech Aoba Johsai\Hanamaki, nice serve!\Sorry!\Kogane! response:	Got it!
context: Damn it... They're seeing right through them.\Rule the Court\Great, great, Takahiro! Push it, push it, Takahiro! One more!\Date Tech Aoba Johsai\Hanamaki, nice serve!\Sorry!\Kogane!\Got it! response:	Date Tech has a new setter.
context: Rule the Court\Great, great, Takahiro! Push it, push it, Takahiro! One more!\Date Tech Aoba Johsai\Hanamaki, nice serve!\Sorry!\Kogane!\Got it!\Date Tech has a new setter. response:	Yeah,
context: Great, great, Takahiro! Push it, push it, Takahiro! One more!\Date Tech Aoba Johsai\Hanamaki, nice serve!\Sorry!\Kogane!\Got it!\Date Tech has a new setter.\Yeah, response:	I wonder what kind of toss...
context: Date Tech Aoba Johsai\Hanamaki, nice serve!\Sorry!\Kogane!\Got it!\Date Tech has a new setter.\Yeah,\I wonder what kind of toss... response:	What the heck was that?!
context: Hanamaki, nice serve!\Sorry!\Kogane!\Got it!\Date Tech has a new setter.\Yeah,\I wonder what kind of toss...\What the heck was that?! response:	Haikyu!!
context: Sorry!\Kogane!\Got it!\Date Tech has a new setter.\Yeah,\I wonder what kind of toss...\What the heck was that?!\Haikyu!! response:	Episode 19: The Iron Wall Can Be Rebuilt Again and Again.
