context: And now for the final exercise! response:	Swing your arms out wide,
context: And now for the final exercise!\Swing your arms out wide, response:	then cross them in front of you as you take slow, deep breaths.
context: And now for the final exercise!\Swing your arms out wide,\then cross them in front of you as you take slow, deep breaths. response:	In... And out...
context: And now for the final exercise!\Swing your arms out wide,\then cross them in front of you as you take slow, deep breaths.\In... And out... response:	I came to check on you since break time's almost over.
context: And now for the final exercise!\Swing your arms out wide,\then cross them in front of you as you take slow, deep breaths.\In... And out...\I came to check on you since break time's almost over. response:	In... And out...
context: And now for the final exercise!\Swing your arms out wide,\then cross them in front of you as you take slow, deep breaths.\In... And out...\I came to check on you since break time's almost over.\In... And out... response:	Things are quite lively.
context: And now for the final exercise!\Swing your arms out wide,\then cross them in front of you as you take slow, deep breaths.\In... And out...\I came to check on you since break time's almost over.\In... And out...\Things are quite lively. response:	Okay, finally...
context: And now for the final exercise!\Swing your arms out wide,\then cross them in front of you as you take slow, deep breaths.\In... And out...\I came to check on you since break time's almost over.\In... And out...\Things are quite lively.\Okay, finally... response:	Victory!
context: Swing your arms out wide,\then cross them in front of you as you take slow, deep breaths.\In... And out...\I came to check on you since break time's almost over.\In... And out...\Things are quite lively.\Okay, finally...\Victory! response:	Victory!
context: then cross them in front of you as you take slow, deep breaths.\In... And out...\I came to check on you since break time's almost over.\In... And out...\Things are quite lively.\Okay, finally...\Victory!\Victory! response:	All right!
context: In... And out...\I came to check on you since break time's almost over.\In... And out...\Things are quite lively.\Okay, finally...\Victory!\Victory!\All right! response:	Yeah!
context: I came to check on you since break time's almost over.\In... And out...\Things are quite lively.\Okay, finally...\Victory!\Victory!\All right!\Yeah! response:	I feel so much younger.
context: In... And out...\Things are quite lively.\Okay, finally...\Victory!\Victory!\All right!\Yeah!\I feel so much younger. response:	Okay, everyone has touched me now.
context: Things are quite lively.\Okay, finally...\Victory!\Victory!\All right!\Yeah!\I feel so much younger.\Okay, everyone has touched me now. response:	Barusu...
context: Okay, finally...\Victory!\Victory!\All right!\Yeah!\I feel so much younger.\Okay, everyone has touched me now.\Barusu... response:	What sort of game is this?
context: Victory!\Victory!\All right!\Yeah!\I feel so much younger.\Okay, everyone has touched me now.\Barusu...\What sort of game is this? response:	Radio calisthenics.
context: Victory!\All right!\Yeah!\I feel so much younger.\Okay, everyone has touched me now.\Barusu...\What sort of game is this?\Radio calisthenics. response:	I think the fact that everyone, young and old, can enjoy it
context: All right!\Yeah!\I feel so much younger.\Okay, everyone has touched me now.\Barusu...\What sort of game is this?\Radio calisthenics.\I think the fact that everyone, young and old, can enjoy it response:	is the secret to its many long years of success!
context: Yeah!\I feel so much younger.\Okay, everyone has touched me now.\Barusu...\What sort of game is this?\Radio calisthenics.\I think the fact that everyone, young and old, can enjoy it\is the secret to its many long years of success! response:	Who cares?
context: I feel so much younger.\Okay, everyone has touched me now.\Barusu...\What sort of game is this?\Radio calisthenics.\I think the fact that everyone, young and old, can enjoy it\is the secret to its many long years of success!\Who cares? response:	Ram-chi, that was cold.
context: Okay, everyone has touched me now.\Barusu...\What sort of game is this?\Radio calisthenics.\I think the fact that everyone, young and old, can enjoy it\is the secret to its many long years of success!\Who cares?\Ram-chi, that was cold. response:	Ram-chi, that was mean.
context: Barusu...\What sort of game is this?\Radio calisthenics.\I think the fact that everyone, young and old, can enjoy it\is the secret to its many long years of success!\Who cares?\Ram-chi, that was cold.\Ram-chi, that was mean. response:	Ram-chi, you're scary.
context: What sort of game is this?\Radio calisthenics.\I think the fact that everyone, young and old, can enjoy it\is the secret to its many long years of success!\Who cares?\Ram-chi, that was cold.\Ram-chi, that was mean.\Ram-chi, you're scary. response:	Did you teach these children to call me that?
context: Radio calisthenics.\I think the fact that everyone, young and old, can enjoy it\is the secret to its many long years of success!\Who cares?\Ram-chi, that was cold.\Ram-chi, that was mean.\Ram-chi, you're scary.\Did you teach these children to call me that? response:	Well, it was more like...
context: I think the fact that everyone, young and old, can enjoy it\is the secret to its many long years of success!\Who cares?\Ram-chi, that was cold.\Ram-chi, that was mean.\Ram-chi, you're scary.\Did you teach these children to call me that?\Well, it was more like... response:	I wanted to spread some friendliness around?
context: is the secret to its many long years of success!\Who cares?\Ram-chi, that was cold.\Ram-chi, that was mean.\Ram-chi, you're scary.\Did you teach these children to call me that?\Well, it was more like...\I wanted to spread some friendliness around? response:	I don't mind, but what about Rem?
context: Who cares?\Ram-chi, that was cold.\Ram-chi, that was mean.\Ram-chi, you're scary.\Did you teach these children to call me that?\Well, it was more like...\I wanted to spread some friendliness around?\I don't mind, but what about Rem? response:	Rem-rin?
