context: Presented by SoulEaterFan response:	Presented by SoulEaterFan
context: Presented by SoulEaterFan\Presented by SoulEaterFan response:	Hold your breath
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath response:	Deadly Night awaits us
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us response:	You desired it,
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it, response:	the world like that
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that response:	to reflect in those eyes
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes response:	OOHO
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO response:	Even if those dreams will be scary
context: Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary response:	For your sake, Fairy Blue
context: Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue response:	Breaking of stars
context: Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars response:	was decorated by
context: You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by response:	So don't stop believing!
context: the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing! response:	As long as I'm looking at
context: to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at response:	the brightly shining moon.
context: OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon. response:	My dried lips
context: Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips response:	are exposed to
context: For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to response:	the freezing sun.
context: Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun. response:	Overflowing tears
context: was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears response:	with its reflecting shine,
context: So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine, response:	keep falling down my cheeks.
context: As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks. response:	Hoping to make up,
context: the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up, response:	I have been looking for you
context: My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you response:	in dreary places.
context: are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places. response:	When our fingers made contact
context: the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact response:	the only thing that was scrambled
context: Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled response:	was your loneliness
context: with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness response:	The wish we held on
context: keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on response:	in the middle of our heartbeats,
context: Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats, response:	if only that was our destiny...
context: I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny... response:	Although I have lost you,
context: in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you, response:	the memories you left behind,
context: When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind, response:	along with your image,
context: the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image, response:	even now
context: was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now response:	remain within' me...
context: The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me... response:	Coward Crona' s Determination
context: in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Coward Crona' s Determination response:	For You, Who Are Always By My Side?
context: if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Coward Crona' s Determination\For You, Who Are Always By My Side? response:	The Anti - demon Wavelength
context: Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\Coward Crona' s Determination\For You, Who Are Always By My Side?\The Anti - demon Wavelength response:	Fierce Attack, Hatred of the Demon Hunter??
context: the memories you left behind,\along with your image,\even now\remain within' me...\Coward Crona' s Determination\For You, Who Are Always By My Side?\The Anti - demon Wavelength\Fierce Attack, Hatred of the Demon Hunter?? response:	What are you trying to do, running all the way here?
context: along with your image,\even now\remain within' me...\Coward Crona' s Determination\For You, Who Are Always By My Side?\The Anti - demon Wavelength\Fierce Attack, Hatred of the Demon Hunter??\What are you trying to do, running all the way here? response:	I'm going to look for Professor Stein!
context: even now\remain within' me...\Coward Crona' s Determination\For You, Who Are Always By My Side?\The Anti - demon Wavelength\Fierce Attack, Hatred of the Demon Hunter??\What are you trying to do, running all the way here?\I'm going to look for Professor Stein! response:	I understand that...
context: remain within' me...\Coward Crona' s Determination\For You, Who Are Always By My Side?\The Anti - demon Wavelength\Fierce Attack, Hatred of the Demon Hunter??\What are you trying to do, running all the way here?\I'm going to look for Professor Stein!\I understand that... response:	but what I want to know is how you plan to do it.
context: Coward Crona' s Determination\For You, Who Are Always By My Side?\The Anti - demon Wavelength\Fierce Attack, Hatred of the Demon Hunter??\What are you trying to do, running all the way here?\I'm going to look for Professor Stein!\I understand that...\but what I want to know is how you plan to do it. response:	Through Soul Resonance, I'll push my Soul Perception ability to the limit.
context: For You, Who Are Always By My Side?\The Anti - demon Wavelength\Fierce Attack, Hatred of the Demon Hunter??\What are you trying to do, running all the way here?\I'm going to look for Professor Stein!\I understand that...\but what I want to know is how you plan to do it.\Through Soul Resonance, I'll push my Soul Perception ability to the limit. response:	What?
context: The Anti - demon Wavelength\Fierce Attack, Hatred of the Demon Hunter??\What are you trying to do, running all the way here?\I'm going to look for Professor Stein!\I understand that...\but what I want to know is how you plan to do it.\Through Soul Resonance, I'll push my Soul Perception ability to the limit.\What? response:	If I filter the search down to only Crona,
context: Fierce Attack, Hatred of the Demon Hunter??\What are you trying to do, running all the way here?\I'm going to look for Professor Stein!\I understand that...\but what I want to know is how you plan to do it.\Through Soul Resonance, I'll push my Soul Perception ability to the limit.\What?\If I filter the search down to only Crona, response:	I'm sure it'll lead to something.
context: What are you trying to do, running all the way here?\I'm going to look for Professor Stein!\I understand that...\but what I want to know is how you plan to do it.\Through Soul Resonance, I'll push my Soul Perception ability to the limit.\What?\If I filter the search down to only Crona,\I'm sure it'll lead to something. response:	Are you out of your mind?
context: I'm going to look for Professor Stein!\I understand that...\but what I want to know is how you plan to do it.\Through Soul Resonance, I'll push my Soul Perception ability to the limit.\What?\If I filter the search down to only Crona,\I'm sure it'll lead to something.\Are you out of your mind? response:	Are you serious about what you just said?
context: I understand that...\but what I want to know is how you plan to do it.\Through Soul Resonance, I'll push my Soul Perception ability to the limit.\What?\If I filter the search down to only Crona,\I'm sure it'll lead to something.\Are you out of your mind?\Are you serious about what you just said? response:	Of course I'm serious.
