context: How awful... response:	Those locusts must've eaten up all the rice before it was harvested.
context: How awful...\Those locusts must've eaten up all the rice before it was harvested. response:	Young Master.
context: How awful...\Those locusts must've eaten up all the rice before it was harvested.\Young Master. response:	I checked the neighboring villages.
context: How awful...\Those locusts must've eaten up all the rice before it was harvested.\Young Master.\I checked the neighboring villages. response:	How are they?
context: How awful...\Those locusts must've eaten up all the rice before it was harvested.\Young Master.\I checked the neighboring villages.\How are they? response:	Some have had their fields overrun by rats.
context: How awful...\Those locusts must've eaten up all the rice before it was harvested.\Young Master.\I checked the neighboring villages.\How are they?\Some have had their fields overrun by rats. response:	All are suffering from some form of misfortune.
context: How awful...\Those locusts must've eaten up all the rice before it was harvested.\Young Master.\I checked the neighboring villages.\How are they?\Some have had their fields overrun by rats.\All are suffering from some form of misfortune. response:	Some villages have even been struck by epidemics.
context: How awful...\Those locusts must've eaten up all the rice before it was harvested.\Young Master.\I checked the neighboring villages.\How are they?\Some have had their fields overrun by rats.\All are suffering from some form of misfortune.\Some villages have even been struck by epidemics. response:	Those near the borders are hit the worst.
context: Those locusts must've eaten up all the rice before it was harvested.\Young Master.\I checked the neighboring villages.\How are they?\Some have had their fields overrun by rats.\All are suffering from some form of misfortune.\Some villages have even been struck by epidemics.\Those near the borders are hit the worst. response:	It seems to be spreading inwards.
context: Young Master.\I checked the neighboring villages.\How are they?\Some have had their fields overrun by rats.\All are suffering from some form of misfortune.\Some villages have even been struck by epidemics.\Those near the borders are hit the worst.\It seems to be spreading inwards. response:	Could it be the demons?
context: I checked the neighboring villages.\How are they?\Some have had their fields overrun by rats.\All are suffering from some form of misfortune.\Some villages have even been struck by epidemics.\Those near the borders are hit the worst.\It seems to be spreading inwards.\Could it be the demons? response:	Because we couldn't kill him?
context: How are they?\Some have had their fields overrun by rats.\All are suffering from some form of misfortune.\Some villages have even been struck by epidemics.\Those near the borders are hit the worst.\It seems to be spreading inwards.\Could it be the demons?\Because we couldn't kill him? response:	We must find out.
context: Some have had their fields overrun by rats.\All are suffering from some form of misfortune.\Some villages have even been struck by epidemics.\Those near the borders are hit the worst.\It seems to be spreading inwards.\Could it be the demons?\Because we couldn't kill him?\We must find out. response:	To the Hall of Hell.
context: All are suffering from some form of misfortune.\Some villages have even been struck by epidemics.\Those near the borders are hit the worst.\It seems to be spreading inwards.\Could it be the demons?\Because we couldn't kill him?\We must find out.\To the Hall of Hell. response:	Please, sir.
context: Some villages have even been struck by epidemics.\Those near the borders are hit the worst.\It seems to be spreading inwards.\Could it be the demons?\Because we couldn't kill him?\We must find out.\To the Hall of Hell.\Please, sir. response:	Could you spare a morsel of food for this child?
context: Those near the borders are hit the worst.\It seems to be spreading inwards.\Could it be the demons?\Because we couldn't kill him?\We must find out.\To the Hall of Hell.\Please, sir.\Could you spare a morsel of food for this child? response:	Is that good, Sakichi?
context: It seems to be spreading inwards.\Could it be the demons?\Because we couldn't kill him?\We must find out.\To the Hall of Hell.\Please, sir.\Could you spare a morsel of food for this child?\Is that good, Sakichi? response:	There's still more. Chew well now.
context: Could it be the demons?\Because we couldn't kill him?\We must find out.\To the Hall of Hell.\Please, sir.\Could you spare a morsel of food for this child?\Is that good, Sakichi?\There's still more. Chew well now. response:	I promise you as the man who looks over this land.
context: Because we couldn't kill him?\We must find out.\To the Hall of Hell.\Please, sir.\Could you spare a morsel of food for this child?\Is that good, Sakichi?\There's still more. Chew well now.\I promise you as the man who looks over this land. response:	I will never forsake you.
context: We must find out.\To the Hall of Hell.\Please, sir.\Could you spare a morsel of food for this child?\Is that good, Sakichi?\There's still more. Chew well now.\I promise you as the man who looks over this land.\I will never forsake you. response:	Betrayed this world
context: To the Hall of Hell.\Please, sir.\Could you spare a morsel of food for this child?\Is that good, Sakichi?\There's still more. Chew well now.\I promise you as the man who looks over this land.\I will never forsake you.\Betrayed this world response:	And it simmers within
context: Please, sir.\Could you spare a morsel of food for this child?\Is that good, Sakichi?\There's still more. Chew well now.\I promise you as the man who looks over this land.\I will never forsake you.\Betrayed this world\And it simmers within response:	Rupturing my innards
context: Could you spare a morsel of food for this child?\Is that good, Sakichi?\There's still more. Chew well now.\I promise you as the man who looks over this land.\I will never forsake you.\Betrayed this world\And it simmers within\Rupturing my innards response:	Swelling a reddish black
context: Is that good, Sakichi?\There's still more. Chew well now.\I promise you as the man who looks over this land.\I will never forsake you.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black response:	Until the sun burnt skin ruptures
context: There's still more. Chew well now.\I promise you as the man who looks over this land.\I will never forsake you.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures response:	There is a light in the depths of the seething darkness
context: I promise you as the man who looks over this land.\I will never forsake you.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness response:	Confirming each other's voices in the distance
context: I will never forsake you.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	There is a light in the depths of the darkness
context: Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness response:	Confirming each other's voices in the distance
context: Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	20 The story of the Nue
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\20 The story of the Nue response:	Wow! It's all bright red everywhere I look.
context: As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\20 The story of the Nue\Wow! It's all bright red everywhere I look. response:	Dororo.
context: I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\20 The story of the Nue\Wow! It's all bright red everywhere I look.\Dororo. response:	Oh yeah.
context: There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\20 The story of the Nue\Wow! It's all bright red everywhere I look.\Dororo.\Oh yeah. response:	We're here to defeat a demon.
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\20 The story of the Nue\Wow! It's all bright red everywhere I look.\Dororo.\Oh yeah.\We're here to defeat a demon. response:	Seems like lots of people have been killed around here.
context: As if to stroke with wet fingertips\I'd like to touch you one day\20 The story of the Nue\Wow! It's all bright red everywhere I look.\Dororo.\Oh yeah.\We're here to defeat a demon.\Seems like lots of people have been killed around here. response:	That's funny. I've been to the mountains in the fall before.
context: I'd like to touch you one day\20 The story of the Nue\Wow! It's all bright red everywhere I look.\Dororo.\Oh yeah.\We're here to defeat a demon.\Seems like lots of people have been killed around here.\That's funny. I've been to the mountains in the fall before. response:	Why am I so amazed now?
context: 20 The story of the Nue\Wow! It's all bright red everywhere I look.\Dororo.\Oh yeah.\We're here to defeat a demon.\Seems like lots of people have been killed around here.\That's funny. I've been to the mountains in the fall before.\Why am I so amazed now? response:	Guess I was too busy trying to stay alive to notice when I was on my own.
context: Wow! It's all bright red everywhere I look.\Dororo.\Oh yeah.\We're here to defeat a demon.\Seems like lots of people have been killed around here.\That's funny. I've been to the mountains in the fall before.\Why am I so amazed now?\Guess I was too busy trying to stay alive to notice when I was on my own. response:	I'm going to eat one too.
context: Dororo.\Oh yeah.\We're here to defeat a demon.\Seems like lots of people have been killed around here.\That's funny. I've been to the mountains in the fall before.\Why am I so amazed now?\Guess I was too busy trying to stay alive to notice when I was on my own.\I'm going to eat one too. response:	Is this for me?
context: Oh yeah.\We're here to defeat a demon.\Seems like lots of people have been killed around here.\That's funny. I've been to the mountains in the fall before.\Why am I so amazed now?\Guess I was too busy trying to stay alive to notice when I was on my own.\I'm going to eat one too.\Is this for me? response:	For you, Dororo.
context: We're here to defeat a demon.\Seems like lots of people have been killed around here.\That's funny. I've been to the mountains in the fall before.\Why am I so amazed now?\Guess I was too busy trying to stay alive to notice when I was on my own.\I'm going to eat one too.\Is this for me?\For you, Dororo. response:	Bro got me some food...
context: Seems like lots of people have been killed around here.\That's funny. I've been to the mountains in the fall before.\Why am I so amazed now?\Guess I was too busy trying to stay alive to notice when I was on my own.\I'm going to eat one too.\Is this for me?\For you, Dororo.\Bro got me some food... response:	There are four seasons, you see? Spring, summer, fall, and winter.
