context: Presented by SoulEaterFan response:	Presented by SoulEaterFan
context: Presented by SoulEaterFan\Presented by SoulEaterFan response:	Hold your breath
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath response:	Deadly Night awaits us
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us response:	You desired it,
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it, response:	the world like that
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that response:	to reflect in those eyes
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes response:	OOHO
context: Presented by SoulEaterFan\Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO response:	Even if those dreams will be scary
context: Presented by SoulEaterFan\Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary response:	For your sake, Fairy Blue
context: Hold your breath\Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue response:	Breaking of stars
context: Deadly Night awaits us\You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars response:	was decorated by
context: You desired it,\the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by response:	So don't stop believing!
context: the world like that\to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing! response:	As long as I'm looking at
context: to reflect in those eyes\OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at response:	the brightly shining moon.
context: OOHO\Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon. response:	My dried lips
context: Even if those dreams will be scary\For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips response:	are exposed to
context: For your sake, Fairy Blue\Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to response:	the freezing sun.
context: Breaking of stars\was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun. response:	Overflowing tears
context: was decorated by\So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears response:	with its reflecting shine,
context: So don't stop believing!\As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine, response:	keep falling down my cheeks.
context: As long as I'm looking at\the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks. response:	Hoping to make up,
context: the brightly shining moon.\My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up, response:	I have been looking for you
context: My dried lips\are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you response:	in dreary places.
context: are exposed to\the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places. response:	When our fingers made contact
context: the freezing sun.\Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact response:	the only thing that was scrambled
context: Overflowing tears\with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled response:	was your loneliness
context: with its reflecting shine,\keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness response:	The wish we held on
context: keep falling down my cheeks.\Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on response:	in the middle of our heartbeats,
context: Hoping to make up,\I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats, response:	if only that was our destiny...
context: I have been looking for you\in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny... response:	Although I have lost you,
context: in dreary places.\When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you, response:	the memories you left behind,
context: When our fingers made contact\the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind, response:	along with your image,
context: the only thing that was scrambled\was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image, response:	even now
context: was your loneliness\The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now response:	remain within' me...
context: The wish we held on\in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me... response:	The Miraculous Raging Flip
context: in the middle of our heartbeats,\if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\The Miraculous Raging Flip response:	Hildegarde: Fly! Our Death City' s Robot?
context: if only that was our destiny...\Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\The Miraculous Raging Flip\Hildegarde: Fly! Our Death City' s Robot? response:	The Weapon Shinigami Had
context: Although I have lost you,\the memories you left behind,\along with your image,\even now\remain within' me...\The Miraculous Raging Flip\Hildegarde: Fly! Our Death City' s Robot?\The Weapon Shinigami Had response:	Towards Uncertainty, Filled with Darkness?
context: the memories you left behind,\along with your image,\even now\remain within' me...\The Miraculous Raging Flip\Hildegarde: Fly! Our Death City' s Robot?\The Weapon Shinigami Had\Towards Uncertainty, Filled with Darkness? response:	The way of a demon or the way of a warrior?
context: along with your image,\even now\remain within' me...\The Miraculous Raging Flip\Hildegarde: Fly! Our Death City' s Robot?\The Weapon Shinigami Had\Towards Uncertainty, Filled with Darkness?\The way of a demon or the way of a warrior? response:	Black Star,
context: even now\remain within' me...\The Miraculous Raging Flip\Hildegarde: Fly! Our Death City' s Robot?\The Weapon Shinigami Had\Towards Uncertainty, Filled with Darkness?\The way of a demon or the way of a warrior?\Black Star, response:	on which path will you walk?
context: remain within' me...\The Miraculous Raging Flip\Hildegarde: Fly! Our Death City' s Robot?\The Weapon Shinigami Had\Towards Uncertainty, Filled with Darkness?\The way of a demon or the way of a warrior?\Black Star,\on which path will you walk? response:	Shut up!
context: The Miraculous Raging Flip\Hildegarde: Fly! Our Death City' s Robot?\The Weapon Shinigami Had\Towards Uncertainty, Filled with Darkness?\The way of a demon or the way of a warrior?\Black Star,\on which path will you walk?\Shut up! response:	And quit barking orders at me!
context: Hildegarde: Fly! Our Death City' s Robot?\The Weapon Shinigami Had\Towards Uncertainty, Filled with Darkness?\The way of a demon or the way of a warrior?\Black Star,\on which path will you walk?\Shut up!\And quit barking orders at me! response:	In the end, he still chose to walk into darkness.
context: The Weapon Shinigami Had\Towards Uncertainty, Filled with Darkness?\The way of a demon or the way of a warrior?\Black Star,\on which path will you walk?\Shut up!\And quit barking orders at me!\In the end, he still chose to walk into darkness. response:	BLACK STAR!!!
context: Towards Uncertainty, Filled with Darkness?\The way of a demon or the way of a warrior?\Black Star,\on which path will you walk?\Shut up!\And quit barking orders at me!\In the end, he still chose to walk into darkness.\BLACK STAR!!! response:	Where am I?
context: The way of a demon or the way of a warrior?\Black Star,\on which path will you walk?\Shut up!\And quit barking orders at me!\In the end, he still chose to walk into darkness.\BLACK STAR!!!\Where am I? response:	What the-!
context: Black Star,\on which path will you walk?\Shut up!\And quit barking orders at me!\In the end, he still chose to walk into darkness.\BLACK STAR!!!\Where am I?\What the-! response:	Let go of me!
context: on which path will you walk?\Shut up!\And quit barking orders at me!\In the end, he still chose to walk into darkness.\BLACK STAR!!!\Where am I?\What the-!\Let go of me! response:	Let go of me, goddammit!
context: Shut up!\And quit barking orders at me!\In the end, he still chose to walk into darkness.\BLACK STAR!!!\Where am I?\What the-!\Let go of me!\Let go of me, goddammit! response:	STOP!!!
context: And quit barking orders at me!\In the end, he still chose to walk into darkness.\BLACK STAR!!!\Where am I?\What the-!\Let go of me!\Let go of me, goddammit!\STOP!!! response:	Those images...
context: In the end, he still chose to walk into darkness.\BLACK STAR!!!\Where am I?\What the-!\Let go of me!\Let go of me, goddammit!\STOP!!!\Those images... response:	Hey, Free, can you hear me?
