context: You're Miss Emma, right? response:	This is for you.
context: You're Miss Emma, right?\This is for you. response:	I was told to deliver this letter to you by the back door.
context: You're Miss Emma, right?\This is for you.\I was told to deliver this letter to you by the back door. response:	You must marry someone from the same country.
context: You're Miss Emma, right?\This is for you.\I was told to deliver this letter to you by the back door.\You must marry someone from the same country. response:	England is one nation, but there are two countries within it.
context: You're Miss Emma, right?\This is for you.\I was told to deliver this letter to you by the back door.\You must marry someone from the same country.\England is one nation, but there are two countries within it. response:	In other words, the aristocracy and the commoners.
context: You're Miss Emma, right?\This is for you.\I was told to deliver this letter to you by the back door.\You must marry someone from the same country.\England is one nation, but there are two countries within it.\In other words, the aristocracy and the commoners. response:	Episode 7 Crystal Palace
context: You're Miss Emma, right?\This is for you.\I was told to deliver this letter to you by the back door.\You must marry someone from the same country.\England is one nation, but there are two countries within it.\In other words, the aristocracy and the commoners.\Episode 7 Crystal Palace response:	What's with that face? If I was that upset, I'd do something about it.
context: You're Miss Emma, right?\This is for you.\I was told to deliver this letter to you by the back door.\You must marry someone from the same country.\England is one nation, but there are two countries within it.\In other words, the aristocracy and the commoners.\Episode 7 Crystal Palace\What's with that face? If I was that upset, I'd do something about it. response:	Forget it.
context: This is for you.\I was told to deliver this letter to you by the back door.\You must marry someone from the same country.\England is one nation, but there are two countries within it.\In other words, the aristocracy and the commoners.\Episode 7 Crystal Palace\What's with that face? If I was that upset, I'd do something about it.\Forget it. response:	You came!
context: I was told to deliver this letter to you by the back door.\You must marry someone from the same country.\England is one nation, but there are two countries within it.\In other words, the aristocracy and the commoners.\Episode 7 Crystal Palace\What's with that face? If I was that upset, I'd do something about it.\Forget it.\You came! response:	Thank you for inviting us.
context: You must marry someone from the same country.\England is one nation, but there are two countries within it.\In other words, the aristocracy and the commoners.\Episode 7 Crystal Palace\What's with that face? If I was that upset, I'd do something about it.\Forget it.\You came!\Thank you for inviting us. response:	My father sends his regards.
context: England is one nation, but there are two countries within it.\In other words, the aristocracy and the commoners.\Episode 7 Crystal Palace\What's with that face? If I was that upset, I'd do something about it.\Forget it.\You came!\Thank you for inviting us.\My father sends his regards. response:	This is all rather embarrassing...
context: In other words, the aristocracy and the commoners.\Episode 7 Crystal Palace\What's with that face? If I was that upset, I'd do something about it.\Forget it.\You came!\Thank you for inviting us.\My father sends his regards.\This is all rather embarrassing... response:	Not at all, it's very lovely.
context: Episode 7 Crystal Palace\What's with that face? If I was that upset, I'd do something about it.\Forget it.\You came!\Thank you for inviting us.\My father sends his regards.\This is all rather embarrassing...\Not at all, it's very lovely. response:	It captures your characteristics well. The artist has a fine touch.
context: What's with that face? If I was that upset, I'd do something about it.\Forget it.\You came!\Thank you for inviting us.\My father sends his regards.\This is all rather embarrassing...\Not at all, it's very lovely.\It captures your characteristics well. The artist has a fine touch. response:	Do I really look like that...?
context: Forget it.\You came!\Thank you for inviting us.\My father sends his regards.\This is all rather embarrassing...\Not at all, it's very lovely.\It captures your characteristics well. The artist has a fine touch.\Do I really look like that...? response:	Your father told me that I should invite you for a drive.
context: You came!\Thank you for inviting us.\My father sends his regards.\This is all rather embarrassing...\Not at all, it's very lovely.\It captures your characteristics well. The artist has a fine touch.\Do I really look like that...?\Your father told me that I should invite you for a drive. response:	Does that displease you?
context: Thank you for inviting us.\My father sends his regards.\This is all rather embarrassing...\Not at all, it's very lovely.\It captures your characteristics well. The artist has a fine touch.\Do I really look like that...?\Your father told me that I should invite you for a drive.\Does that displease you? response:	Of course not. I'd be delighted.
context: My father sends his regards.\This is all rather embarrassing...\Not at all, it's very lovely.\It captures your characteristics well. The artist has a fine touch.\Do I really look like that...?\Your father told me that I should invite you for a drive.\Does that displease you?\Of course not. I'd be delighted. response:	Really?
context: This is all rather embarrassing...\Not at all, it's very lovely.\It captures your characteristics well. The artist has a fine touch.\Do I really look like that...?\Your father told me that I should invite you for a drive.\Does that displease you?\Of course not. I'd be delighted.\Really? response:	Yes.
context: Not at all, it's very lovely.\It captures your characteristics well. The artist has a fine touch.\Do I really look like that...?\Your father told me that I should invite you for a drive.\Does that displease you?\Of course not. I'd be delighted.\Really?\Yes. response:	Eleanor, your portrait is delightful!
context: It captures your characteristics well. The artist has a fine touch.\Do I really look like that...?\Your father told me that I should invite you for a drive.\Does that displease you?\Of course not. I'd be delighted.\Really?\Yes.\Eleanor, your portrait is delightful! response:	Indeed!
context: Do I really look like that...?\Your father told me that I should invite you for a drive.\Does that displease you?\Of course not. I'd be delighted.\Really?\Yes.\Eleanor, your portrait is delightful!\Indeed! response:	It's so elegant!
context: Your father told me that I should invite you for a drive.\Does that displease you?\Of course not. I'd be delighted.\Really?\Yes.\Eleanor, your portrait is delightful!\Indeed!\It's so elegant! response:	But, the artist didn't quite capture your mouth.
context: Does that displease you?\Of course not. I'd be delighted.\Really?\Yes.\Eleanor, your portrait is delightful!\Indeed!\It's so elegant!\But, the artist didn't quite capture your mouth. response:	Pardon me.
context: Of course not. I'd be delighted.\Really?\Yes.\Eleanor, your portrait is delightful!\Indeed!\It's so elegant!\But, the artist didn't quite capture your mouth.\Pardon me. response:	I'm going to commission a different painter for my portrait. Pardon me.
context: Really?\Yes.\Eleanor, your portrait is delightful!\Indeed!\It's so elegant!\But, the artist didn't quite capture your mouth.\Pardon me.\I'm going to commission a different painter for my portrait. Pardon me. response:	I'm going to commission a different painter for my portrait.
context: Yes.\Eleanor, your portrait is delightful!\Indeed!\It's so elegant!\But, the artist didn't quite capture your mouth.\Pardon me.\I'm going to commission a different painter for my portrait. Pardon me.\I'm going to commission a different painter for my portrait. response:	Alice, don't be rude!
context: Eleanor, your portrait is delightful!\Indeed!\It's so elegant!\But, the artist didn't quite capture your mouth.\Pardon me.\I'm going to commission a different painter for my portrait. Pardon me.\I'm going to commission a different painter for my portrait.\Alice, don't be rude! response:	Oh! All I meant was that you're prettier than your portrait.
context: Indeed!\It's so elegant!\But, the artist didn't quite capture your mouth.\Pardon me.\I'm going to commission a different painter for my portrait. Pardon me.\I'm going to commission a different painter for my portrait.\Alice, don't be rude!\Oh! All I meant was that you're prettier than your portrait. response:	Right, Miss Eleanor?
context: It's so elegant!\But, the artist didn't quite capture your mouth.\Pardon me.\I'm going to commission a different painter for my portrait. Pardon me.\I'm going to commission a different painter for my portrait.\Alice, don't be rude!\Oh! All I meant was that you're prettier than your portrait.\Right, Miss Eleanor? response:	Do you want to say something?
context: But, the artist didn't quite capture your mouth.\Pardon me.\I'm going to commission a different painter for my portrait. Pardon me.\I'm going to commission a different painter for my portrait.\Alice, don't be rude!\Oh! All I meant was that you're prettier than your portrait.\Right, Miss Eleanor?\Do you want to say something? response:	Not really...
context: Pardon me.\I'm going to commission a different painter for my portrait. Pardon me.\I'm going to commission a different painter for my portrait.\Alice, don't be rude!\Oh! All I meant was that you're prettier than your portrait.\Right, Miss Eleanor?\Do you want to say something?\Not really... response:	Be clearer in your actions. You're giving her the wrong impression.
context: I'm going to commission a different painter for my portrait. Pardon me.\I'm going to commission a different painter for my portrait.\Alice, don't be rude!\Oh! All I meant was that you're prettier than your portrait.\Right, Miss Eleanor?\Do you want to say something?\Not really...\Be clearer in your actions. You're giving her the wrong impression. response:	That's what you're thinking, isn't it?
context: I'm going to commission a different painter for my portrait.\Alice, don't be rude!\Oh! All I meant was that you're prettier than your portrait.\Right, Miss Eleanor?\Do you want to say something?\Not really...\Be clearer in your actions. You're giving her the wrong impression.\That's what you're thinking, isn't it? response:	I'm aware of the situation. I'm not just going along with my father's wishes.
context: Alice, don't be rude!\Oh! All I meant was that you're prettier than your portrait.\Right, Miss Eleanor?\Do you want to say something?\Not really...\Be clearer in your actions. You're giving her the wrong impression.\That's what you're thinking, isn't it?\I'm aware of the situation. I'm not just going along with my father's wishes. response:	I haven't said a word.
context: Oh! All I meant was that you're prettier than your portrait.\Right, Miss Eleanor?\Do you want to say something?\Not really...\Be clearer in your actions. You're giving her the wrong impression.\That's what you're thinking, isn't it?\I'm aware of the situation. I'm not just going along with my father's wishes.\I haven't said a word. response:	What is it?
context: Right, Miss Eleanor?\Do you want to say something?\Not really...\Be clearer in your actions. You're giving her the wrong impression.\That's what you're thinking, isn't it?\I'm aware of the situation. I'm not just going along with my father's wishes.\I haven't said a word.\What is it? response:	You look like you have something you want to say.
